Name,Gen,Gen2,Description,Note,Japanese Kana,Japanese Romaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized,Star
Douse Drive,5,,Makes Techno Blast a Water-type move when held by Genesect.,,アクアカセット,Aqua Cassette,Module Aqua,Aquamodul,Idromodulo,HidroROM,아쿠아카세트,Aqua Cassette,水流卡帶 / 水流卡带,Shuǐliú Kǎdài / Séuilàuh Kāatdáai,0
X Accuracy 2,5,,Sharply raises a Pokémon's accuracy. Wonder Launcher only.,,,,,,,,,,,,0
Metagrossite,6,,Allows Metagross to Mega Evolve into Mega Metagross.,,メタグロスナイト,Metagrossnite,Métalossite,Metagrossnit,Metagrossite,Metagrossita,메타그로스나이트,Metagrossnite,巨金怪進化石 / 巨金怪进化石,Jùjīnguài Jìnhuà Shí / Geuihgāmgwaai Jeunfa Sehk,0
Krane Memo 1,3,,Contains information about snagging.,,クレインメモ１,Krane Memo 1,Memo Syrus 1,Klein-Memo 1,Appunti 1,Parte Cío 1,,,,,0
Hard Stone,2,,Raises the power of Rock-type moves.,,かたいいし,Katai Ishi,Pierre Dure,Granitstein,Pietradura,Piedra Dura,딱딱한돌,Ttakttakhan Dol,硬石頭 / 硬石头,Yìng Shítou / Ngaahng Sehktàuh,0
Yache Berry,4,,Reduces damage taken from a super effective Ice-type move.,,ヤチェのみ,Yache no Mi,Baie Nanone,Kiroyabeere,Baccamoya,Baya Rimoya,플카열매,Peulka Yeolmae,番荔果,Fānlì Guǒ / Fāanlaih Gwó,0
Coupon 1,4,,Used to obtain the Pokétch in Jubilife City.,,ひきかえけん１,Hikikaeken 1,Bon 1,Kupon 1,Coupon 1,Cupón 1,교환권 1,Gyohwangwon 1,兌換券１ / 兑换券１,Duìhuàn Quàn 1 / Deuiwuhn Hyun 1,0
White Herb,3,,Raises a lowered stat.,,しろいハーブ,Shiroi Herb,Herbe Blanche,Schlohkraut,Erbachiara,Hierba Blanca,하양허브,Hayang Herb,白色香草,Bái-sè Xiāngcǎo / Baahk-sīk Hēungchóu,144
Rule Book,,,,,ルールブック,Rule Book,Livre Règles,Regelbuch,Libro Regole,Reglamento,룰북,Rule Book,規則書 / 规则书,Guīzé Shū / Kwāijāk Syū,0
Roller Skates,6,,Allows the player to glide around and perform tricks.,,ローラースケート,Roller Skate,Rollers,Rollerskates,Pattini,Patines,롤러스케이트,Roller Skate,"溜冰鞋*
轮滑鞋","Liūbīng Xié / Làuhbīng Hàaih*
Lúnhuá Xié",3
Drash Berry,3,,Cures Poison status. Will turn into an Enigma Berry if transferred to Generation IV via Pal Park.,,,,,,,,,,,,0
Prism Scale,5,,A hold item that allows Feebas to evolve when traded.,,きれいなウロコ,Kireina Uroko,Bel'Écaille,Schönschuppe,Squama Bella,Escama Bella,고운비늘,Goun Bineul,美麗鱗片 / 美丽鳞片,Měilì Línpiàn / Méihlaih Lèuhnpin,0
X Sp. Atk,1,,Raises a Pokémon's Special Attack (Special in Generation I) by 2 stages (1 stage before Gen. VII).,Called X Special prior to Generation VI.,スペシャルアップ,Special Up,Special +,X-Spezial,Att. Speciale X,Especial X,스페셜업,Special-Up,特攻強化 / 特攻强化,Tègōng Qiánghuà / Dahkgūng Kèuhngfa,1056
Red Nectar,7,,Changes Oricorio to its Baile Style.,,くれないのミツ,Kurenai no Mitsu,Nectar Rouge,Roter Nektar,Nettare rosso,Néctar Rojo,다홍꿀,Dahong Kkul,朱紅色花蜜,Zhūhóng-sè Huāmì / Jyūhùhng-sīk Fāmaht,0
Colress Machine,5,,A special device that wrings out the potential of Pokémon. It is an imperfect prototype.,Formatted as Colress MCHN prior to Generation VI.,アクロママシーン,Achroma Machine,Nikodule,Achromat,Acrocongegno,Acromáquina,아크로마머신,Achroma Machine,阿克羅瑪機器 / 阿克罗玛机器,Ākèluómǎ Jīqì / Ahāklòhmáh Gēihei,1024
Berry Pouch,3,,Holds Berries.,,きのみぶくろ,Kinomi Bukuro,Sac A Baies,Beerentüte,Porta Bacche,Saco Bayas,,,,,0
Normalium Z,7,,Allows a Pokémon to upgrade their Normal-type damaging moves to the Z-Move Breakneck Blitz or upgrade their Normal-type status moves into Z-Moves.,,ノーマルＺ,Normal-Z,Normazélite,Normium Z,Normium Z,Normastal Z,노말Z,Normal-Z,一般Ｚ,Yī​bān-Z / Yātbūn-Z,0
Lustrous Orb,4,,Boosts Palkia's Water- and Dragon-type attacks.,,しらたま,Shiratama,Orbe Perlé,Weiß-Orb,Splendisfera,Lustresfera,백옥,Baegok,白玉寶珠 / 白玉宝珠,Báiyù Bǎozhū / Baahkyuhk Bóujyū,0
Secret Potion,2,,Used to cure Amphy's sicknessGSCHGSS or the Psyduck's headachesDPPt. Is produced by the Cianwood City Pharmacy.,Formatted as SecretPotion prior to Generation VI.,ひでんのくすり,Hiden no Kusuri,Potionsecret,Geheimtrank,Poz. Segreta,Poc. Secreta,비전신약,Bijeon Sin-yak,秘傳之藥 / 秘传之药,Mìchuán-zhī Yào / Beichyùhn-jī Yeuhk,1024
Magma Stone,5,,Allows the player to battle Heatran.,,かざんのおきいし,Kazan no Okiishi,Pierre Magma,Magmastein,Magmapietra,Piedra Magma,화산의 돌,Hwasan-ui Dol,火山鎮石 / 火山镇石,Huǒshān Zhènshí / Fósāan Jansehk,0
Pure Incense,4,,Causes Chimecho to produce a Chingling Egg at the Pokémon Day Care. Also lowers wild Pokémon encounter rate.,,きよめのおこう,Kiyome no Okō,Encens Pur,Scheuchrauch,Puroaroma,Incienso puro,순결의향로,Sun-gyeorui Hyangno,潔淨薰香 / 洁净薰香,Jiéjìng Xūnxiāng / Gitjehng Fānhēung,16
Mayor's Note,3,,A letter from the Mayor to Justy.,,しちょうのてがみ,Shichō no Tegami,Lettre Maire,Zettel,Nota Sindaco,Nota Alcalde,,,,,0
Abomasite,6,,Allows Abomasnow to Mega Evolve into Mega Abomasnow.,,ユキノオナイト,Yukinoonite,Blizzarite,Rexblisarnit,Abomasnowite,Abomasnowita,눈설왕나이트,Nunseolwangnite,暴雪王進化石 / 暴雪王进化石,Bàoxuěwáng Jìnhuà Shí / Bouhsyutwòhng Jeunfa Sehk,0
Amulet Coin,2,,Doubles the earned money after a battle against a Trainer.,,おまもりこばん,Omamori Koban,Piece Rune,Münzamulett,Monetamuleto,Moneda Amuleto,부적금화,Bujeok Geumhwa,護符金幣 / 护符金币,Hùfú Jīnbì / Wuhfùh Gāmbaih,16
Metal Coat,2,,Raises the power of Steel-type moves. Allows Onix and Scyther to evolve when traded.,,メタルコート,Metal Coat,Peau Metal,Metallmantel,Metalcoperta,Revest. Metálico,금속코트,Geumsok Coat,金屬膜 / 金属膜,Jīnshǔ Mó / Gāmsuhk Mohk,16
Figy Berry,3,,"When HP falls below 25%, restores 50% HP, but confuses Pokémon that dislike spicy food (12.5% when below 50% before Gen. VII).",,フィラのみ,Fira no Mi,Baie Figuy,Giefebeere,Baccafico,Baya Higog,무화열매,Muhwa Yeolmae,勿花果,Wùhuā Guǒ / Mahtfā Gwó,0
Card Key,2,,Allows the player to access the third floor of Radio Tower while it is under siege by Team Rocket.,,カードキー,Card Key,"Carte Magn.
Cle Magnetique","Türöffner
Schlüsselkarte",Apriporta,"Llave Magnética
T. Magnética",카드키,Card Key,鑰匙卡 / 钥匙卡,Yàoshi Kǎ / Yeuhksìh Kāat,0
Incinium Z,7,,Allows Incineroar to upgrade Darkest Lariat to the special Z-Move Malicious Moonsault.,,ガオガエンＺ,Gaogaen-Z,Félinozélite,Fuegronium Z,Incineronium Z,Incinostal Z,어흥염Z,Eoheungyeom-Z,熾焰咆哮虎Ｚ / 炽焰咆哮虎Ｚ,Chìyànpáoxiāohǔ-Z / Chiyihmpàauhhāaufú-Z,0
X Attack,1,,Raises a Pokémon's Attack by 2 stages (1 stage before Gen. VII).,,プラスパワー,Plus Power,Attaque +,X-Angriff,Attacco X,Ataque X,플러스파워,Plus Power,力量強化 / 力量强化,Lìliàng Qiánghuà / Lihkleuhng Kèuhngfa,0
Miror Radar,3,,Keeps track of Miror B.,,ミラーボレーダー,Mirorbo Radar,Radar Disco,Queen-Radar,Discoradar,Radar Discal,,,,,0
Never-Melt Ice,2,,Raises the power of Ice-type moves.,Formatted as NeverMeltIce prior to Generation VI.,とけないこおり,Tokenai Kōri,Glace Éternelle,Ewiges Eis,Gelomai,Antiderretir,녹지않는얼음,Nokji Anneun Eoreum,不融冰,Bù Róng Bīng / Bāt Yùhng Bīng,1152
Razor Claw,4,,Raises the chance of getting a critical hit. Allows Sneasel to evolve at night.,,するどいツメ,Surudoi Tsume,Griffe Rasoir,Scharfklaue,Affilartigli,Garra Afilada,예리한손톱,Yerihan Sontop,銳利之爪 / 锐利之爪,Ruìlì-zhī Zhuǎ / Yeuihleih-jī Jáau,16
Lumiose Galette,6,,Cures any status condition.,,ミアレガレット,Miare Galette,Galette Illumis,Illumina-Galette,Pan di Lumi,Crêpe Luminalia,미르갈레트,Mireu Galette,密阿雷格雷派餅 / 密阿雷格雷派饼,Mì'āléi Géléi Pàibǐng / Maht'alèuih Gaaklèuih Paaibéng,0
Master Ball,1,,"A rare type of Poké Ball that catches any wild Pokémon without fail. Generally available only once in the game, though it may be obtained again in very unlikely situations (such as winning the lottery), cheating, or on the GTS in Generation IV.",,マスターボール,Master Ball,Master Ball,Meisterball,Master Ball,Master Ball,마스터볼,Master Ball,大師球 / 大师球,Dàshī Qiú / Daaihsī Kàuh,0
Guard Spec.,1,,Temporarily prevents stat reduction.,,エフェクトガード,Effect Guard,Defense Spec,Megablock,Superguardia,Protec. Esp.,이펙트가드,Effect Guard,能力防守,Nénglì Fángshǒu / Nàhnglihk Fòhngsáu,0
Heat Rock,4,,Extends the duration of harsh sunlight.,,あついいわ,Atsui Iwa,Roche Chaude,Heißbrocken,Rocciacalda,Roca Calor,뜨거운바위,Tteugeoun Bawi,熾熱岩石 / 炽热岩石,Chìrè Yánshí / Chiyiht Ngàahmsehk,0
Water Stone,1,,"Can be used to evolve Poliwhirl into Poliwrath, Shellder into Cloyster, Staryu into Starmie, Eevee into Vaporeon, Lombre into Ludicolo, and Panpour into Simipour.",,みずのいし,Mizu no Ishi,Pierre Eau,Wasserstein,Pietraidrica,Piedra Agua,물의돌,Murui Dol,水之石,Shuǐ-zhī Shí / Séui-jī Sehk,0
Shadow Mail,3,,Mail with a picture of Duskull. To be held by a Pokémon for delivery.,,シャドーメール,Shadow Mail,Lettre Ombre,Dunkelbrief,Mess. Ombra,Carta Sombra,,,,,0
Hondew Berry,3,,"Lowers Special Attack EV, but raises friendship.",,ロメのみ,Rome no Mi,Baie Lonme,Honmelbeere,Baccamelon,Baya Meluce,로매열매,Lome Yeolmae,哈密果,Hāmì Guǒ / Hāmaht Gwó,0
Heart Scale,3,,Exchangeable for a variety of services.,,ハートのウロコ,Heart no Uroko,Écaille Cœur,Herzschuppe,Squama Cuore,Escama Corazón,하트비늘,Heart Bineul,心之鱗片 / 心之鳞片,Xīn-zhī Línpiàn / Sām-jī Lèuhnpin,144
Custap Berry,4,,Allows holder to move first just once when HP is below ⅓.,,イバンのみ,Iban no Mi,Baie Chérim,Eipfelbeere,Baccacrela,Baya Chiri,애슈열매,Aesyu Yeolmae,釋陀果 / 释陀果,Shìtuó Guǒ / Sīktòh Gwó,0
Nanab Berry,3,,Pokéblock and Poffin ingredient.,,ナナのみ,Nana no Mi,Baie Nanab,Nanabbeere,Baccabana,Baya Latano,나나열매,Nana Yeolmae,蕉香果,Jiāoxiāng Guǒ / Jīuhēung Gwó,0
Wepear Berry,3,,Pokéblock and Poffin ingredient.,,セシナのみ,Seshina no Mi,Baie Repoi,Nirbebeere,Baccapera,Baya Peragu,서배열매,Seobae Yeolmae,西梨果,Xīlí Guǒ / Sāilèih Gwó,0
Apricorn Box,4,,Contains Apricorns.,,ぼんぐりケース,Bonguri Case,Bte Noigrume,Aprikokobox,Ghicobox,Caja Bonguri,규토리케이스,Gyutori Case,球果盒,Qiúguǒ Hé / Kàuhgwó Hahp,0
Stardust,2,,Can be sold for 1000.,,ほしのすな,Hoshi no Suna,Poussière Étoile,Sternenstaub,Polvostella,Polvoestelar,별의모래,Byeorui Morae,星星沙子,Xīngxīng Shāzi / Sīngsīng Sājí,128
Pamtre Berry,3,,Pokéblock and Poffin ingredient.,,シーヤのみ,Shīya no Mi,Baie Palma,Pallmbeere,Baccapalma,Baya Plama,자야열매,Jaya Yeolmae,椰木果,Yēmù Guǒ / Yèhmuhk Gwó,0
Razz Berry,3,,Pokéblock and Poffin ingredient.,,ズリのみ,Zuri no Mi,Baie Framby,Himmihbeere,Baccalampon,Baya Frambu,라즈열매,Ras Yeolmae,蔓莓果,Mànméi Guǒ / Màahnmùih Gwó,0
Silph Scope,1,,Used to identify ghosts in Pokémon Tower.,,シルフスコープ,Silph Scope,Scope Sylphe,Silph Scope,Spettrosonda,Scope Silph,실프스코프,Silph Scope,西爾佛檢視鏡 / 西尔佛检视镜,Xīěrfu Jiǎnshìjìng / Sāiyíhfaht Gímsihgeng,0
Dowsing Machine,1,,A Key Item that can be used to detect hidden items.,Referred to as the Itemfinder prior to Generation IV and as the Dowsing MCHN in Pokémon HeartGold and SoulSilver and the Generation V games.,ダウジングマシン,Dowsing Machine,Cherch'Objet,Itemradar,Ricerca Strumenti,Zahorí,다우징머신,Dowsing Machine,探寶器 / 探宝器,Tànbǎo Qì / Taambóu Hei,1136
Magnet,2,,Raises the power of Electric-type moves.,,じしゃく,Jishaku,Aimant,Magnet,Calamita,Imán,자석,Jaseok,磁鐵 / 磁铁,Cítiě / Chìhtit,0
Chesto Berry,3,,Awakens a Pokémon from sleep.,,カゴのみ,Kago no Mi,Baie Maron,Maronbeere,Baccastagna,Baya Atania,유루열매,Yuru Yeolmae,零餘果 / 零余果,Língyú Guǒ / Lìhngyùh Gwó,0
Bug Gem,5,,"Increases the power of the holder's first Bug-type move by 50%, and is consumed after use.",,むしのジュエル,Mushi no Jewel,Joyau Insecte,Käferjuwel,Bijoucoleottero,Gema Bicho,벌레주얼,Beolle Jewel,蟲之寶石 / 虫之宝石,Chóng-zhī Bǎoshí / Chùhng-jī Bóusehk,176
Relic Statue,5,,Can be sold for 200000 to the villa owner in Undella Town.,,こだいのせきぞう,Kodai no Sekizō,Vieux Santon,Alte Statue,Statuantica,Efigie Antigua,고대의석상,Godae-yi Seoksang,古代石像,Gǔdài Shíxiàng / Gúdoih Sehkjeuhng,16
Sticky Barb,4,,Damages the holder. May latch onto the foe if a physical move is used and the foe is not already holding an item.,,くっつきバリ,Kuttsuki Bari,Piquants,Klettdorn,Vischiopunta,Toxiestrella,끈적끈적바늘,Kkeunjeokkkeunjeok Baneul,附著針 / 附着针,Fùzhuó Zhēn / Fuhjeuhk Jām,0
Max Ether,1,,Restores all the PP of a single move.,,ピーピーリカバー,PP Recover,Huile Max,Top-Äther,Etere Max,Éter Máximo,PP회복,PP Hoebok,ＰＰ單項全補劑 / ＰＰ单项全补剂,PP Dānxiàng Quánbǔjì / PP Dāanhohng Chyùhnbóujaih,0
Energy Powder,2,,"Restores 50 HP, but lowers friendship.",Formatted as EnergyPowder prior to Generation VI.,ちからのこな,Chikara no Kona,Poudre Énergie,Energiestaub,Polvenergia,Polvo Energía,힘의가루,Himui Garu,元氣粉 / 元气粉,Yuánqì Fěn / Yùhnhei Fán,1168
Stable Mulch,4,,Extends the time ripened Berries will stay on the plant before falling.,,ながながこやし,Naganaga Koyashi,Fertistable,Stabilmulch,Fertilsaldo,Abono Fijador,오래오래비료,Orae-orae Biryo,久久肥,Jiǔjiǔ Féi / Gáugáu Fèih,16
Galladite,6,,Allows Gallade to Mega Evolve into Mega Gallade.,,エルレイドナイト,Erureidonite,Gallamite,Galagladinit,Galladite,Galladita,엘레이드나이트,Elladenite,艾路雷朵進化石 / 艾路雷朵进化石,Àilùléiduǒ Jìnhuà Shí / Ngaaihlouhlèuidó Jeunfa Sehk,0
Pink Nectar,7,,Changes Oricorio to its Pa'u Style.,,うすもものミツ,Usumomo no Mitsu,Nectar Rose,Rosa Nektar,Nettare rosa,Néctar Rosa,연분홍꿀,Yeonbunhong Kkul,桃粉色花蜜,Táofěn-sè Huāmì / Tòuhfán-sīk Fāmaht,0
Ein File F,3,,Describes additional details on purification.,,ボルグファイルＦ,Borg File F,Dossier Teck F,Culpa-Akte A-B,Genus.File F,Parte Ein: F,,,,,0
HM,,,,,ひでんマシン,Hiden Machine,CS,VM,MN,MO,비전머신,Bijeon Machine,秘傳學習器 / 秘传学习器,Mìchuán Xuéxíqì / Beichyùhn Hohkjaahphei,0
Storage Key,3,,Allows a door to be opened on the Abandoned ShipRSE or the storage hold on the Sea MauvilleORAS.,,そうこのカギ,Sōko no Kagi,Clé Stockage,Lagerschlüssel,Chiave magazzino,Llave Almacén,창고열쇠,Changgo Yeolsoe,倉庫鑰匙 / 仓库钥匙,Cāngkù Yàoshi / Chōngfu Yeuhksìh,32
Helix Fossil,1,,A Fossil from which an Omanyte can be resurrected.,,かいのカセキ,Kai no Kaseki,Fossile Nautile,Helixfossil,Helixfossile,Fósil Helix,조개화석,Jogae Hwaseok,貝殼化石 / 贝壳化石,Bèiké Huàshí / Buihok Fasehk,0
Magost Berry,3,,Pokéblock and Poffin ingredient.,,ゴスのみ,Gosu no Mi,Baie Mangou,Magostbeere,Baccagostan,Baya Aostan,고스티열매,Gostee Yeolmae,岳竹果,Yuèzhú Guǒ / Ngohkjūk Gwó,0
Time Flute,3,,Can be used to instantly purify a Shadow Pokémon.,,ときのふえ,Toki no Fue,Flute du Temps,Zeitflöte,Flauto Tempo,Fl. Tiempo,,,,,0
Sharp Beak,2,,Raises the power of Flying-type moves.,,するどいくちばし,Surudoi Kuchibashi,Bec Pointu,Hackattack,Beccaffilato,Pico Afilado,예리한부리,Yerihan Buri,銳利鳥嘴 / 锐利鸟嘴,Ruìlì Niǎozuǐ / Yeuihleih Níuhjéui,0
X Special 2,5,,Sharply raises a Pokémon's Special Attack. Wonder Launcher only.,,,,,,,,,,,,0
Brick Mail,4,,A brick pattern stationery. To be held by a Pokémon for delivery.,,ブリックメール,Brick Mail,Lettre Brik,Ziegelbrief,Mess. Muro,Carta Pared,브릭메일,Brick Mail,,,0
Rock Memory,7,,Makes Silvally a Rock-type Pokémon and makes Multi-Attack a Rock-type move.,,ロックメモリ,Rock Memory,ROM Roche,Gesteins-Disc,ROM Roccia,Disco Roca,락메모리,Rock Memory,"岩石記憶碟*
岩石存储碟","Yánshí Jìyìdié / Ngàahmsehk Geiyīkdihp*
Yánshí Cúnchǔdié",3
Voice Case 5,3,,Heals a Shroomish at ONBS.,,こえカプセル５,Koe Capsule 5,Boite Cri 5,Stimmbox 5,Disco Verso 5,Grabación 5,,,,,0
Full Restore,1,,Fully restores all HP and cures all status problems of a Pokémon.,,かいふくのくすり,Kaifuku no Kusuri,Guerison,Top-Genesung,Ricarica Totale,Restaurar Todo,회복약,Hoebok Yak,全復藥 / 全复药,Quánfùyào / Chyùhnfuhkyeuhk,16
Flower Mail,2,,Mail with a flower pattern. To be held by a Pokémon for delivery.,,はながらメール,Hanagara Mail,Lettre Fleur,Blumenbrief,Messaggio Fiore,Carta Flor,꽃무늬메일,Kkonmunui Mail,,,0
Jaw Fossil,6,,A Fossil from which a Tyrunt can be resurrected.,,アゴのカセキ,Ago no Kaseki,Fossile Mâchoire,Kieferfossil,Fossilmascella,Fósil Mandíbula,턱화석,Teok Hwaseok,顎之化石 / 颚之化石,È-zhī Huàshí / Ngohk-jī Fasehk,0
Sceptilite,6,,Allows Sceptile to Mega Evolve into Mega Sceptile.,,ジュカインナイト,Jukainnite,Jungkite,Gewaldronit,Sceptilite,Sceptilita,나무킹나이트,Namukingnite,蜥蜴王進化石 / 蜥蜴王进化石,Xīyìwáng Jìnhuà Shí / Sīkyihkwòhng Jeunfa Sehk,0
Repel,1,,Prevents wild Pokémon with a lower level than the first member of the party from appearing for 100 steps,,むしよけスプレー,Mushi Yoke Spray,Repousse,Schutz,Repellente,Repelente,벌레회피스프레이,Beolle Hoepi Spray,除蟲噴霧 / 除虫喷雾,Chúchóng Pēnwù / Chèuihchùhng Panmouh,0
Moon Flute,7,,Used to evolve Nebby into Lunala at the Altar of the Moone.,,つきのふえ,Tsuki no Fue,Flûte de la Lune,Mondflöte,Flauto lunare,Flauta Lunar,달의피리,Dal Uipili,月亮之笛,Yuèliàng-zhī Dí / Yuhtleuhng-jī Dehk,0
Fightinium Z,7,,Allows a Pokémon to upgrade their Fighting-type damaging moves to the Z-Move All-Out Pummeling or upgrade their Fighting-type status moves into Z-Moves. Makes Arceus a Fighting-type Pokémon.,,カクトウＺ,Fighting-Z,Combazélite,Battalium Z,Luctium Z,Lizastal Z,격투Z,Gyeoktu-Z,格鬥Ｚ / 格斗Ｚ,Gédòu-Z / Gaakdau-Z,0
Friend Ball,2,,A type of Poké Ball that causes the Pokémon to become friendly.,,フレンドボール,Friend Ball,Copain Ball,Freundesball,Friend Ball,Amigo Ball,프랜드볼,Friend Ball,友友球,Yǒuyǒu Qiú / Yáuhyáuh Kàuh,0
Relic Band,5,,Can be sold for 100000 to the villa owner in Undella Town.,,こだいのうでわ,Kodai no Udewa,Vieux Bijou,Alter Reif,Bracciantico,Brazal,고대의팔찌,Godae-yi Paljji,古代手鐲 / 古代手镯,Gǔdài Shǒuzhuó / Gúdoih Sáujuhk,0
Venusaurite,6,,Allows Venusaur to Mega Evolve into Mega Venusaur.,,フシギバナイト,Fushigibanite,Florizarrite,Bisaflornit,Venusaurite,Venusaurita,이상해꽃나이트,Isanghekkotnite,妙蛙花進化石 / 妙蛙花进化石,Miàowāhuā Jìnhuà Shí / Miuhwāfā Jeunfa Sehk,0
Steelixite,6,,Allows Steelix to Mega Evolve into Mega Steelix.,,ハガネールナイト,Haganeilnite,Steelixite,Stahlosnit,Steelixite,Steelixita,강철톤나이트,Gangcheoltonnite,大鋼蛇進化石 / 大钢蛇进化石,Dàgāngshé Jìnhuà Shí / Daaihgongsèh Jeunfa Sehk,0
Psychic Seed,7,,A one-time use item that raises the holder's Sp. Defense by one stage upon activation of Psychic Terrain.,,サイコシード,Psycho Seed,Graine Psychique,Psycho-Samen,Psicoseme,Semilla Psique,사이코시드,Psycho Seed,精神種子 / 精神种子,Jīngshén Zhǒngzi / Jīngsàhn Júngjí,0
Enigma Stone,4,,Allows for the capture of either Latias or Latios.,,なぞのすいしょう,Nazo no Suishō,Mystécristal,Mytokristall,Misticristal,Misticristal,수수께끼의수정,Susukkekki-ui Sujeong,謎之水晶 / 谜之水晶,Mí-zhī Shuǐjīng / Màih-jī Séuijīng,0
Dire Hit,1,,Raises critical hit ratio in battle.,,クリティカット,Criticut,Muscle +,Angriffplus,Supercolpo,Directo,크리티컬커터,Critical Cutter,要害攻擊 / 要害攻击,Yàohài Gōngjí / Yiuhoih Gūnggīk,768
Mosaic Mail,4,,Mail with a rainbow pattern. To be held by a Pokémon for delivery.,,モザイクメール,Mosaic Mail,Lettremosaik,Mosaikbrief,Mess. Iride,Car. Mosaico,모자이크메일,Mosaic Mail,,,0
Grip Claw,4,,"Causes trapping moves (e.g. Bind, Wrap) to last for five turns.",,ねばりのかぎづめ,Nebari no Kagidzume,Accro Griffe,Griffklaue,Presartigli,Garra Garfio,끈기갈고리손톱,Kkeun-gi Galgori Sontop,緊纏鈎爪 / 紧缠钩爪,Jǐnchán Gōuzhuǎ / Gánchìhn Ngāujáau,0
Shuca Berry,4,,Reduces damage taken from a super effective Ground-type move.,,シュカのみ,Shuca no Mi,Baie Jouca,Schukebeere,Baccanaca,Baya Acardo,슈캐열매,Shewca Yeolmae,腰木果,Yāomù Guǒ / Yīumuhk Gwó,0
Ylw ID Badge,3,,One of four keys needed to unlock the north door of Realgam Tower.,,ＩＤバッジきいろ,ID Badge Kīro,Passe Jaune,Gelbe ID-Marke,Pass Giallo,P. Amarillo,,,,,0
Persim Berry,3,,Cures confusion.,,キーのみ,Kī no Mi,Baie Kika,Persimbeere,Baccaki,Baya Caquic,시몬열매,Simmon Yeolmae,柿仔果,Shìzǐ Guǒ / Chíhjái Gwó,0
Electric Gem,5,,"Increases the power of the holder's first Electric-type move by 50%, and is consumed after use.",,でんきのジュエル,Denki no Jewel,Joyau Électr,Elektrojuwel,Bijouelettro,Gema Eléctrica,전기주얼,Jeongi Jewel,電之寶石 / 电之宝石,Diàn-zhī Bǎoshí / Dihn-jī Bóusehk,16
Voice Case 3,3,,Heals a Taillow in Agate Village.,,こえカプセル３,Koe Capsule 3,Boite Cri 3,Stimmbox 3,Disco Verso 3,Grabación 3,,,,,0
Roto Prize Money,,,,,おこづかいポン,Okozukai Pon,Moti-Magot,Preisgeldbon,Soldi'n'roll,Cupón Botín, ???, ???,零花錢碰碰 / 零花钱碰碰,Líng Huāqián Pèngpèng / Lìhng Fāchín Pungpung,0
Permit,5,,A permit needed to enter the Nature Preserve. Only a few know about this place.,,きょかしょう,License,Permis,Genehmigung,Permesso,Pase,허가증,Heogajeung,許可證 / 许可证,Xǔkě Zhèng / Héuihó Jing,0
Misty Seed,7,,A one-time use item that raises the holder's Sp. Defense by one stage upon activation of Misty Terrain.,,ミストシード,Mist Seed,Graine Brume,Nebel-Samen,Nebbiaseme,Semilla Bruma,미스트시드,Mist Seed,薄霧種子 / 薄雾种子,Bówù Zhǒngzi / Báowù Zhǒngzi / Bohkmouh Júngjí,0
Heal Powder,2,,"Heals any status condition, but lowers friendship.",,ばんのうごな,Bannō Gona,Poudre Soin,Heilpuder,Polvocura,Polvo Curación,만능가루,Manneung Garu,萬能粉 / 万能粉,Wànnéng Fěn / Maahnnàhng Fán,0
Moon Stone,1,,"Can be used to evolve Clefairy, Jigglypuff, Nidorino, Nidorina, and Skitty.",,つきのいし,Tsuki no Ishi,Pierre Lune,Mondstein,Pietralunare,Piedra Lunar,달의돌,Dar-ui Dol,月之石,Yuè-zhī Shí / Yuht-jī Sehk,0
Lovely Mail,2,,Mail with a heart design. To be held by a Pokémon for delivery.,,ラブリーメール,Lovely Mail,LetrCharm.,Herzbrief,Mess. Dolce,Carta Amor,러브리메일,Lovely Mail,,,0
Beast Ball,7,,Allows the player to catch wild Pokémon; works better on Ultra Beasts.,,ウルトラボール,Ultra Ball,Ultra Ball,Ultraball,UC Ball,Ente Ball,울트라볼,Ultra Ball,究極球 / 究极球,Jiūjí Qiú / Gaugihk Kàuh,0
System Lever,3,,Shuts down the Cipher Key Lair.,,かいじょレバー,Kaijo Lever,Levier,Systemhebel,Leva,Palanca,,,,,0
Relic Gold,5,,Can be sold for 10000 to the villa owner in Undella Town.,,こだいのきんか,Kodai no Kinka,Vieux Ducat,Alter Dukat,Doblonantico,Real Oro,고대의금화,Godae-yi Geumhwa,古代金幣 / 古代金币,Gǔdài Jīnbì / Gúdoih Gāmbaih,0
Jaboca Berry,4,,"If the foe's physical move hits, then the foe will also take damage.",,ジャポのみ,Japo no Mi,Baie Jacoba,Jabocabeere,Baccajaba,Baya Jaboca,자보열매,Jabo Yeolmae,嘉珍果,Jiāzhēn Guǒ / Gājān Gwó,0
Dire Hit 2,5,,Raises critical hit ratio by 2 levels in battle. Wonder Launcher only.,,,,,,,,,,,,0
Thick Club,3,,Doubles Cubone and Marowak's Attack.,,ふといホネ,Futoi Hone,Masse Os,Kampfknochen,Ossospesso,Hueso Grueso,굵은뼈,Gulgeun Ppyeo,粗骨頭 / 粗骨头,Cū Gǔtou / Chōu Gwāttàuh,0
Eon Mail,2,,Eevee-printed mail. To be held by a Pokémon for delivery.,,ブイブイメール,Vui-Vui Mail,Lettre Evoli,Anara-Brief,Mess. Eon,Carta Eón,브이브이메일,Beuibeui Mail,,,0
