ID,English,Japanese_Kana,Japanese_Hepburn,Japanese_Trademarked,German,French,Korean_Hangul,Korean_Revised,Korean_McCune_Reischauer,Korean_Official,Chinese_Traditional,Chinese_Simplified,Chinese_Pinyin,Chinese_Yale,Chinese_Former_Names
122,Mr. Mime,バリヤード,Bariyādo,Barrierd,Pantimos,M. Mime,마임맨,Maimmaen,Maimmaen,Maimman,魔牆人偶,魔墙人偶,Móqiángrénǒu,Mōchèuhngyàhnngáuh,"吸盤魔偶 / 吸盘魔偶 Xīpánmó'ǒu (TW/CN)
吸盤小丑 Kāppúnsíucháu (HK)"
123,Scyther,ストライク,Sutoraiku,Strike,Sichlor,Insécateur,스라크,Seurakeu,Sŭrak'ŭ,Srak,飛天螳螂,飞天螳螂,Fēitiāntángláng,Fēitīntòhnglòhng,-
124,Jynx,ルージュラ,Rūjura,Rougela,Rossana,Lippoutou,루주라,Rujura,Rujura,Rujura,迷唇姐,迷唇姐,Míchúnjiě,Màihsèuhnjé,紅唇娃 Hùhngsèuhnwā (HK)
125,Electabuzz,エレブー,Erebū,Eleboo,Elektek,Élektek,에레브,Erebeu,Erebŭ,Elev,電擊獸,电击兽,"Diànjíshòu
Diànjīshòu",Dihngīksau,-
126,Magmar,ブーバー,Būbā,Boober,Magmar,Magmar,마그마,Mageuma,Magŭma,Magmar,鴨嘴火獸,鸭嘴火兽,Yāzuǐhuǒshòu,Aapjéuifósau,"鴨嘴火龍 / 鸭嘴火龙 Yāzuǐhuǒlóng (TW/CN)
鴨嘴火龍 Aapjéuifólùhng (HK)"
127,Pinsir,カイロス,Kairosu,Kailios,Pinsir,Scarabrute,쁘사이저,Ppeusaijeo,Ppŭsaijŏ,Ppeusaizeo,凱羅斯,凯罗斯,Kǎiluósī,Hóilòhsī,"大甲 Dàjiǎ (TW/CN)
鉗刀甲蟲 Kìhmdōugaapchùhng (HK)"
128,Tauros,ケンタロス,Kentarosu,Kentauros,Tauros,Tauros,켄타로스,Kentaroseu,K'ent'arosŭ,Kentaros,肯泰羅,肯泰罗,Kěntàiluó,Hángtaailòh,大隻牛 Daaihjekngàuh (HK)
129,Magikarp,コイキング,Koikingu,Koiking,Karpador,Magicarpe,잉어킹,Ingeoking,Ingŏk'ing,Ingeoking,鯉魚王,鲤鱼王,Lǐyúwáng,Léihyùhwòhng,-
130,Gyarados,ギャラドス,Gyaradosu,Gyarados,Garados,Léviator,갸라도스,Gyaradoseu,Kyaradosŭ,Gyarados,暴鯉龍,暴鲤龙,Bàolǐlóng,Bouhléihlùhng,鯉魚龍 Léihyùhlùhng (HK)
131,Lapras,ラプラス,Rapurasu,Laplace,Lapras,Lokhlass,라프라스,Rapeuraseu,Rap'ŭrasŭ,Lapras,拉普拉斯,拉普拉斯,Lāpǔlāsī,Lāaipóulāaisī,"乘龍 / 乘龙 Chénglóng (TW/CN)
背背龍 Buibuilùhng (HK)"
132,Ditto,メタモン,Metamon,Metamon,Ditto,Métamorph,메타몽,Metamong,Met'among,Metamong,百變怪,百变怪,Bǎibiànguài,Baakbingwaai,-
133,Eevee,イーブイ,Ībui,Eievui,Evoli,Évoli,이브이,Ibeui,Ibŭ'i,Eevee,伊布,伊布,Yībù,Yībou,伊貝 Yībui (HK)
134,Vaporeon,シャワーズ,Shawāzu,Showers,Aquana,Aquali,샤미드,Syamideu,Syamidŭ,Shamid,水伊布,水伊布,Shuǐyībù,Séuiyībou,"水精靈 / 水精灵 Shuǐjīnglíng (TW/CN)
水伊貝 Séuiyībui (HK)"
135,Jolteon,サンダース,Sandāsu,Thunders,Blitza,Voltali,쥬피썬더,Jyupisseondeo,Chyup'issŏndŏ,Jupithunder,雷伊布,雷伊布,Léiyībù,Lèuihyībou,"雷精靈 / 雷精灵 Léijīnglíng (TW/CN)
雷伊貝 Lèuihyībui (HK)"
136,Flareon,ブースター,Būsutā,Booster,Flamara,Pyroli,부스터,Buseuteo,Busŭt'ŏ,Booster,火伊布,火伊布,Huǒyībù,Fóyībou,"火精靈 / 火精灵 Huǒjīnglíng (TW/CN)
水伊貝 Fóyībui (HK)"
137,Porygon,ポリゴン,Porigon,Porygon,Porygon,Porygon,폴리곤,Polligon,P'olligon,Porygon,多邊獸,多边兽,Duōbiānshòu,Dōbīnsau,"3D龍 / 3D龙 3D-Lóng (TW/CN)
立方獸 Laahpfōngsau (HK)"
138,Omanyte,オムナイト,Omunaito,Omnite,Amonitas,Amonita,암나이트,Amnaiteu,Amnait'ŭ,Amnait,菊石獸,菊石兽,Júshíshòu,Gūksehksau,-
139,Omastar,オムスター,Omusutā,Omstar,Amoroso,Amonistar,암스타,Amseuta,Amsŭt'a,Amsta,多刺菊石獸,多刺菊石兽,Duōcìjúshíshòu,Dōchigūksehksau,-
140,Kabuto,カブト,Kabuto,Kabuto,Kabuto,Kabuto,투구,Tugu,T'ugu,Toogu,化石盔,化石盔,Huàshíkuī,Fasehkkwāi,萬年蟲 Maahnnìhnchùhng (HK)
141,Kabutops,カブトプス,Kabutopusu,Kabutops,Kabutops,Kabutops,투구푸스,Tugupuseu,T'ugup'usŭ,Tooguphus,鐮刀盔,镰刀盔,Liándāokuī,Lìhmdōukwāi,鐮刀蟲 Lìhmdōuchùhng (HK)
142,Aerodactyl,プテラ,Putera,Ptera,Aerodactyl,Ptéra,프테라,Peutera,Pŭt'era,Ptera,化石翼龍,化石翼龙,Huàshíyìlóng,Fasehkyihklùhng,化石飛龍 Fasehkfēilùhng (HK)
143,Snorlax,カビゴン,Kabigon,Kabigon,Relaxo,Ronflex,잠만보,Jammanbo,Chammanbo,Jammanbo,卡比獸,卡比兽,Kǎbǐshòu,Kābéisau,-
144,Articuno,フリーザー,Furīzā,Freezer,Arktos,Artikodin,프리져,Peurijyeo,Pŭrijyŏ,Freeser,急凍鳥,急冻鸟,Jídòngniǎo,Gāpdungníuh,-
145,Zapdos,サンダー,Sandā,Thunder,Zapdos,Électhor,썬더,Sseondeo,Ssŏndŏ,Sunder,閃電鳥,闪电鸟,Shǎndiànniǎo,Símdihnníuh,雷鳥 Lèuihníuh (HK)
146,Moltres,ファイヤー,Faiyā,Fire,Lavados,Sulfura,파이어,Paieo,P'aiŏ,Faier,火焰鳥,火焰鸟,Huǒyànniǎo,Fóyihmníuh,火鳥 Fóníuh (HK)
147,Dratini,ミニリュウ,Miniryū,Miniryu,Dratini,Minidraco,미뇽,Minyong,Minyong,Minyong,迷你龍,迷你龙,Mínǐlóng,Màihnéihlùhng,-
148,Dragonair,ハクリュー,Hakuryū,Hakuryu,Dragonir,Draco,신뇽,Sinnyong,Sinnyong,Sinnyong,哈克龍,哈克龙,Hākèlóng,Hāhāklùhng,哈古龍 Hāgúlùhng (HK)
149,Dragonite,カイリュー,Kairyū,Kairyu,Dragoran,Dracolosse,망나뇽,Mangnanyong,Mangnanyong,Mangnanyong,快龍,快龙,Kuàilóng,Faailùhng,啟暴龍 Káibouhlùhng (HK)
150,Mewtwo,ミュウツー,Myūtsū,Mewtwo,Mewtu,Mewtwo,뮤츠,Myucheu,Myuch'ŭ,Mewtwo,超夢,超梦,Chāomèng,Chīumuhng,超夢夢 Chīumuhngmuhng (HK)
151,Mew,ミュウ,Myū,Mew,Mew,Mew,뮤,Myu,Myu,Mew,夢幻,梦幻,Mènghuàn,Muhngwaahn,夢夢 Muhngmuhng (HK)
152,Chikorita,チコリータ,Chikorīta,Chicorita,Endivie,Germignon,치코리타,Chikorita,Ch'ik'orit'a,Chikorita,菊草葉,菊草叶,Júcǎoyè,Gūkchóuyihp,-
153,Bayleef,ベイリーフ,Beirīfu,Bayleaf,Lorblatt,Macronium,베이리프,Beiripeu,Peiripŭ,Bayleef,月桂葉,月桂叶,Yuèguìyè,Yuhtgwaiyihp,-
154,Meganium,メガニウム,Meganiumu,Meganium,Meganie,Méganium,메가니움,Meganium,Meganium,Meganium,大竺葵,大竺葵,Dàzhúkuí,Daaihjūkkwàih,"大菊花 Dàjúhuā (TW/CN)
大菊花 Daaihgūkfā (HK)"
155,Cyndaquil,ヒノアラシ,Hinoarashi,Hinoarashi,Feurigel,Héricendre,브케인,Beukein,Pŭk'ein,Beukein,火球鼠,火球鼠,Huǒqiúshǔ,Fókàuhsyú,-
156,Quilava,マグマラシ,Magumarashi,Magmarashi,Igelavar,Feurisson,마그케인,Mageukein,Magŭk'ein,Mageukein,火岩鼠,火岩鼠,Huǒyánshǔ,Fóngàahmsyú,-
157,Typhlosion,バクフーン,Bakufūn,Bakphoon,Tornupto,Typhlosion,블레이범,Beulleibeom,Bŭlleibŏm,Bleibeom,火爆獸,火暴兽,Huǒbàoshòu,Fóbaausau,"火暴獸 Huǒbàoshòu (TW)
火暴獸 Fóbouhsau (HK)"
158,Totodile,ワニノコ,Waninoko,Waninoko,Karnimani,Kaiminus,리아코,Riako,Riak'o,Liako,小鋸鱷,小锯鳄,Xiǎojù'è,Síugeungohk,-
159,Croconaw,アリゲイツ,Arigeitsu,Alligates,Tyracroc,Crocrodil,엘리게이,Elligei,Elligei,Elligei,藍鱷,蓝鳄,Lán'è,Làahmngohk,-
160,Feraligatr,オーダイル,Ōdairu,Ordile,Impergator,Aligatueur,장크로다일,Jangkeurodail,Changk'ŭrodail,Jangkrodail,大力鱷,大力鳄,Dàlì'è,Daaihlihkngohk,-
161,Sentret,オタチ,Otachi,Otachi,Wiesor,Fouinette,꼬리선,Kkoriseon,Kkorisŏn,Kkoriseon,尾立,尾立,Wěilì,Méihlaahp,-
162,Furret,オオタチ,Ōtachi,Ootachi,Wiesenior,Fouinar,다꼬리,Dakkori,Takkori,Dakkori,大尾立,大尾立,Dàwěilì,Daaihméihlaahp,-
163,Hoothoot,ホーホー,Hōhō,Hoho,Hoothoot,Hoothoot,부우부,Buubu,Puubu,Buubu,咕咕,咕咕,Gūgū,Gūgū,-
164,Noctowl,ヨルノズク,Yorunozuku,Yorunozuku,Noctuh,Noarfang,야부엉,Yabueong,Yabuŏng,Yabueong,貓頭夜鷹,猫头夜鹰,Māotóuyèyīng,Māautàuhyehyīng,-
165,Ledyba,レディバ,Rediba,Rediba,Ledyba,Coxy,레디바,Rediba,Rediba,Ledyba,芭瓢蟲,芭瓢虫,Bāpiáochóng,Bāpìuhchùhng,-
166,Ledian,レディアン,Redian,Redian,Ledian,Coxyclaque,레디안,Redian,Redian,Ledian,安瓢蟲,安瓢虫,Ānpiáochóng,Ōnpìuhchùhng,-
167,Spinarak,イトマル,Itomaru,Itomaru,Webarak,Mimigal,페이검,Peigeom,P'eigŏm,Peigeom,圓絲蛛,圆丝蛛,Yuánsīzhū,Yùhnsījyū,"線球 / 线球 Xiànqiú (TW/CN)
線球 Sinkàuh (HK)"
168,Ariados,アリアドス,Ariadosu,Ariados,Ariados,Migalos,아리아도스,Ariadoseu,Ariadosŭ,Ariados,阿利多斯,阿利多斯,Ālìduōsī,Aleihdōsī,-
169,Crobat,クロバット,Kurobatto,Crobat,Iksbat,Nostenfer,크로뱃,Keurobaet,K'ŭrobaet,Crobat,叉字蝠,叉字蝠,Chāzìfú,Chājihfūk,-
170,Chinchou,チョンチー,Chonchī,Chonchie,Lampi,Loupio,초라기,Choragi,Ch'oragi,Choragi,燈籠魚,灯笼鱼,Dēnglóngyú,Dānglùhngyú,-
171,Lanturn,ランターン,Rantān,Lantern,Lanturn,Lanturn,랜턴,Raenteon,Raent'ŏn,Lanturn,電燈怪,电灯怪,Diàndēngguài,Dihndānggwaai,-
172,Pichu,ピチュー,Pichū,Pichu,Pichu,Pichu,피츄,Pichyu,P'ich'yu,Pichu,皮丘,皮丘,Píqiū,Pèihyāu,比超 Béichīu (HK)
173,Cleffa,ピィ,Pī,Py,Pii,Mélo,삐,Ppi,Ppi,Ppi,皮寶寶,皮宝宝,Píbǎobǎo,Pèihbóubóu,-
174,Igglybuff,ププリン,Pupurin,Pupurin,Fluffeluff,Toudoudou,푸푸린,Pupurin,P'up'urin,Pupurin,寶寶丁,宝宝丁,Bǎobǎodīng,Bóubóudīng,小波球 Síubōkàuh (HK)
175,Togepi,トゲピー,Togepī,Togepy,Togepi,Togepi,토게피,Togepi,T'ogep'i,Togepi,波克比,波克比,Bōkèbǐ,Bōhākbéi,小刺蛋 Síuchidáan (HK)
176,Togetic,トゲチック,Togechikku,Togechick,Togetic,Togetic,토게틱,Togetik,T'oget'ik,Togetic,波克基古,波克基古,Bōkèjīgǔ,Bōhākgēigú,"波剋基古 Bōkèjīgǔ (TW)
波剋基古 Bōhākgēigú (HK)"
177,Natu,ネイティ,Neiti,Naty,Natu,Natu,네이티,Neiti,Neit'i,Neiti,天然雀,天然雀,Tiānránquè,Tīnyìhnjéuk,-
178,Xatu,ネイティオ,Neitio,Natio,Xatu,Xatu,네이티오,Neitio,Neit'io,Neitio,天然鳥,天然鸟,Tiānránniǎo,Tīnyìhnníuh,-
179,Mareep,メリープ,Merīpu,Merriep,Voltilamm,Wattouat,메리프,Meripeu,Merip'ŭ,Meleep,咩利羊,咩利羊,Miēlìyáng,Mēleihyèuhng,-
180,Flaaffy,モココ,Mokoko,Mokoko,Waaty,Lainergie,보송송,Bosongsong,Posongsong,Bosongsong,茸茸羊,茸茸羊,Róngróngyáng,Yùhngyùhngyèuhng,"綿綿 / 绵绵 Miánmián (TW/CN)
綿綿 Mìhnmìhn (HK)"
181,Ampharos,デンリュウ,Denryū,Denryu,Ampharos,Pharamp,전룡,Jeonnyong,Chŏnnyong,Jeonryong,電龍,电龙,Diànlóng,Dihnlùhng,-
182,Bellossom,キレイハナ,Kireihana,Kireihana,Blubella,Joliflor,아르코,Areuko,Arŭk'o,Areuko,美麗花,美丽花,Měilìhuā,Méihlaihfā,-
183,Marill,マリル,Mariru,Maril,Marill,Marill,마릴,Maril,Maril,Marill,瑪力露,玛力露,Mǎlìlù,Máhlihklouh,馬利露 Máhleihlouh (HK)
184,Azumarill,マリルリ,Mariruri,Marilli,Azumarill,Azumarill,마릴리,Marilli,Marilli,Marilly,瑪力露麗,玛力露丽,Mǎlìlùlì,Máhlihklouhlaih,馬利露麗 Máhleihlouhlaih (HK)
185,Sudowoodo,ウソッキー,Usokkī,Usokkie,Mogelbaum,Simularbre,꼬지모,Kkojimo,Kkojimo,Kkojimo,樹才怪,树才怪‎,Shùcáiguài,Syuhchòihgwaai,"胡說樹 / 胡说树 Húshuōshù (TW/CN)
胡說樹 / 鬍說樹 Wùhsyutsyuh (HK)"
186,Politoed,ニョロトノ,Nyorotono,Nyorotono,Quaxo,Tarpaud,왕구리,Wangguri,Wangguri,Wangguri,蚊香蛙皇,蚊香蛙皇,Wénxiāngwāhuáng,Mānhēungwāwòhng,"牛蛙君 Niúwājūn (TW/CN)
牛蛙君 Ngàuhwāgwān (HK)"
187,Hoppip,ハネッコ,Hanekko,Hanecco,Hoppspross,Granivol,통통코,Tongtongko,T'ongt'ongk'o,Tongtongko,毽子草,毽子草,Jiànzǐcǎo,Yínjíchóu,-
188,Skiploom,ポポッコ,Popokko,Popocco,Hubelupf,Floravol,두코,Duko,Tuk'o,Duko,毽子花,毽子花,Jiànzǐhuā,Yínjífā,-
189,Jumpluff,ワタッコ,Watakko,Watacco,Papungha,Cotovol,솜솜코,Somsomko,Somsomk'o,Somsomko,毽子棉,毽子棉,Jiànzǐmián,Yínjímìhn,"毽子綿 / 毽子绵 Jiànzǐmián (TW/CN)
毽子綿 Yínjímìhn (HK)"
190,Aipom,エイパム,Eipamu,Eipam,Griffel,Capumain,에이팜,Eipam,Eip'am,Eipam,長尾怪手,长尾怪手,Chángwěiguàishǒu,Chèuhngméihgwaaisáu,-
191,Sunkern,ヒマナッツ,Himanattsu,Himanuts,Sonnkern,Tournegrin,해너츠,Haeneocheu,Haenŏch'ŭ,Haenuts,向日種子,向日种子,Xiàngrìzhǒngzǐ,Heungyahtjúngjí,-
192,Sunflora,キマワリ,Kimawari,Kimawari,Sonnflora,Héliatronc,해루미,Haerumi,Haerumi,Haerumi,向日花怪,向日花怪,Xiàngrìhuāguài,Heungyahtfāgwaai,-
193,Yanma,ヤンヤンマ,Yan'yanma,Yanyanma,Yanma,Yanma,왕자리,Wangjari,Wangjari,Wangjari,蜻蜻蜓,蜻蜻蜓,Qīngqīngtíng,Chīngchīngtìhng,"陽陽瑪 / 阳阳玛 Yángyángmǎ (TW/CN)
阳阳玛 Yèuhngyèuhngmáh (HK)"
194,Wooper,ウパー,Upā,Upah,Felino,Axoloto,우파,Upa,Up'a,Woopa,烏波,乌波,Wūbō,Wūbō,-
195,Quagsire,ヌオー,Nuō,Nuoh,Morlord,Maraiste,누오,Nuo,Nuo,Nuo,沼王,沼王,Zhǎowáng,Jíuwòhng,-
196,Espeon,エーフィ,Ēfi,Eifie,Psiana,Mentali,에브이,Ebeui,Ebŭi,Ebeui,太陽伊布,太阳伊布,Tàiyángyībù,Taaiyèuhngyībou,"太陽精靈 / 太阳精灵 Tàiyángjīnglíng (TW/CN)
太陽伊貝 Taaiyèuhngyībui (HK)"
197,Umbreon,ブラッキー,Burakkī,Blacky,Nachtara,Noctali,블래키,Beullaeki,Bŭllaek'i,Blacky,月亮伊布,月亮伊布,Yuèliàngyībù,Yuhtleuhngyībou,"月精靈 / 月精灵 Yuèjīnglíng (TW/CN)
月伊貝 Yuhtyībui (HK)"
198,Murkrow,ヤミカラス,Yamikarasu,Yamikarasu,Kramurx,Cornèbre,니로우,Nirou,Nirou,Nirou,黑暗鴉,黑暗鸦,Hēi'ànyā,Hāk'am'ā,-
199,Slowking,ヤドキング,Yadokingu,Yadoking,Laschoking,Roigada,야도킹,Yadoking,Yadok'ing,Yadoking,呆呆王,呆呆王,Dāidāiwáng,Ngòingòihwòhng,"河馬王 / 河马王 Hémǎwáng (TW/CN)
河馬王 Hòhmáhwòhng (HK)"
200,Misdreavus,ムウマ,Mūma,Muma,Traunfugil,Feuforêve,무우마,Muuma,Muuma,Muuma,夢妖,梦妖,Mèngyāo,Muhngyíu,-
201,Unown,アンノーン,Annōn,Unknown,Icognito,Zarbi,안농,Annong,Annong,Annown,未知圖騰,未知图腾,Wèizhītúténg,Meihjītòuhtàhng,-
202,Wobbuffet,ソーナンス,Sōnansu,Sonans,Woingenau,Qulbutoké,마자용,Majayong,Majayong,Mazayong,果然翁,果然翁,Guǒránwēng,Gwóyìhnyūng,-
203,Girafarig,キリンリキ,Kirinriki,Kirinriki,Girafarig,Girafarig,키링키,Kiringki,K'iringk'i,Kilingki,麒麟奇,麒麟奇,Qílínqí,Kèihlèuhnkèih,-
204,Pineco,クヌギダマ,Kunugidama,Kunugidama,Tannza,Pomdepik,피콘,Pikon,P'ik'on,Pikon,榛果球,榛果球,Zhēnguǒqiú,Jēungwókàuh,-
205,Forretress,フォレトス,Foretosu,Foretos,Forstellka,Foretress,쏘콘,Ssokon,Ssok'on,Ssokon,佛烈托斯,佛烈托斯,Fúliètuōsī,Fahtlihttoksī,"佛烈託斯 Fúliètuōsī (TW)
佛烈託斯 Fahtlihttoksī (HK)"
206,Dunsparce,ノコッチ,Nokotchi,Nokocchi,Dummisel,Insolourdo,노고치,Nogochi,Nogoch'i,Nogochi,土龍弟弟,土龙弟弟,Tǔlóngdìdì,Tóulùhngdàihdái,-
207,Gligar,グライガー,Guraigā,Gliger,Skorgla,Scorplane,글라이거,Geullaigeo,Kŭllaigŏ,Glaiger,天蠍,天蝎,Tiānxiē,Tīnkit,-
208,Steelix,ハガネール,Haganēru,Haganeil,Stahlos,Steelix,강철톤,Gangcheolton,Kangch'ŏlt'on,Gangcheolton,大鋼蛇,大钢蛇,Dàgāngshé,Daaihgongsèh,-
209,Snubbull,ブルー,Burū,Bulu,Snubbull,Snubbull,블루,Beullu,Pŭllu,Bullu,布魯,布鲁,Bùlú,Boulóuh,布盧 / 布廬 / 布卢 / 布庐Bùlú (TW/CN)
210,Granbull,グランブル,Guranburu,Granbulu,Granbull,Granbull,그랑블루,Geurangbeullu,Kŭrangbŭllu,Granbullu,布魯皇,布鲁皇,Bùlǔhuáng,Boulóuhwòhng,布盧皇 / 布廬皇 / 布卢皇 Bùlúhuáng (TW/CN)
211,Qwilfish,ハリーセン,Harīsen,Harysen,Baldorfish,Qwilfish,침바루,Chimbaru,Ch'imbaru,Chimbaru,千針魚,千针鱼,Qiānzhēnyú,Chīnjāmyú,-
212,Scizor,ハッサム,Hassamu,Hassam,Scherox,Cizayox,핫삼,Hatsam,Hatsam,Hatsam,巨鉗螳螂,巨钳螳螂,Jùqiántángláng,Geuihkìhmtòhnglòhng,-
213,Shuckle,ツボツボ,Tsubotsubo,Tsubotsubo,Pottrott,Caratroc,단단지,Dandanji,Tandanji,Dandanji,壺壺,壶壶,Húhú,Wùhwùh,-
214,Heracross,ヘラクロス,Herakurosu,Heracros,Skaraborn,Scarhino,헤라크로스,Herakeuroseu,Herak'ŭrosŭ,Heracross,赫拉克羅斯,赫拉克罗斯,Hèlākèluósī,Hāklāaihāklòhsī,"赫拉剋羅斯 Hèlākèluósī (TW)
赫拉剋羅斯 Hāklāaihāklòhsī (HK)"
215,Sneasel,ニューラ,Nyūra,Nyula,Sniebel,Farfuret,포푸니,Popuni,P'op'uni,Popuni,狃拉,狃拉,Niǔlā,Náulāai,-
216,Teddiursa,ヒメグマ,Himeguma,Himeguma,Teddiursa,Teddiursa,깜지곰,Kkamjigom,Kkamjigom,Kkamjigom,熊寶寶,熊宝宝,Xióngbǎobǎo,Hùhngbóubóu,-
217,Ursaring,リングマ,Ringuma,Ringuma,Ursaring,Ursaring,링곰,Ringgom,Ringgom,Ringgom,圈圈熊,圈圈熊,Quānquānxióng,Hyūnhyūnhùhng,-
218,Slugma,マグマッグ,Magumaggu,Magmag,Schneckmag,Limagma,마그마그,Mageumageu,Magŭmagŭ,Magmag,熔岩蟲,熔岩虫,Róngyánchóng,Yùhngngàahmchùhng,-
219,Magcargo,マグカルゴ,Magukarugo,Magcargot,Magcargo,Volcaropod,마그카르고,Mageukareugo,Magŭk'arŭgo,Magcargo,熔岩蝸牛,熔岩蜗牛,"Róngyánguāniú
Róngyánwōniú",Yùhngngàahmwōngàuh,-
220,Swinub,ウリムー,Urimū,Urimoo,Quiekel,Marcacrin,꾸꾸리,Kkukkuri,Kkukkuri,Kkukkuri,小山豬,小山猪,Xiǎoshānzhū,Síusāanjyū,-
221,Piloswine,イノムー,Inomū,Inomoo,Keifel,Cochignon,메꾸리,Mekkuri,Mekkuri,Mekkuri,長毛豬,长毛猪,Chángmáozhū,Chèuhngmòuhjyū,-
222,Corsola,サニーゴ,Sanīgo,Sunnygo,Corasonn,Corayon,코산호,Kosanho,K'osanho,Kosanho,太陽珊瑚,太阳珊瑚,Tàiyángshānhú,Taaiyèuhngsāanwùh,-
223,Remoraid,テッポウオ,Teppouo,Teppouo,Remoraid,Rémoraid,총어,Chongeo,Ch'ongŏ,Chongeo,鐵炮魚,铁炮鱼,Tiěpàoyú,Titpaauyú,-
224,Octillery,オクタン,Okutan,Okutank,Octillery,Octillery,대포무노,Daepomuno,Taep'omuno,Daepomuno,章魚桶,章鱼桶,Zhāngyútǒng,Jēungyùhtún,-
225,Delibird,デリバード,Deribādo,Delibird,Botogel,Cadoizo,딜리버드,Dillibeodeu,Tillibŏdŭ,Delibird,信使鳥,信使鸟,Xìnshǐniǎo,Seunsíníuh,-
226,Mantine,マンタイン,Mantain,Mantain,Mantax,Démanta,만타인,Mantain,Mant'ain,Mantine,巨翅飛魚,巨翅飞鱼,Jùchìfēiyú,Geuihchifēiyùh,-
227,Skarmory,エアームド,Eāmudo,Airmd,Panzaeron,Airmure,무장조,Mujangjo,Mujangjo,Mujangjo,盔甲鳥,盔甲鸟,Kuījiǎniǎo,Kwāigaapníuh,-
228,Houndour,デルビル,Derubiru,Delvil,Hunduster,Malosse,델빌,Delbil,Delbil,Delvil,戴魯比,戴鲁比,Dàilǔbǐ,Daailóuhbéi,-
229,Houndoom,ヘルガー,Herugā,Hellgar,Hundemon,Démolosse,헬가,Helga,Helga,Helga,黑魯加,黑鲁加,Hēilǔjiā,Hāklóuhgā,-
230,Kingdra,キングドラ,Kingudora,Kingdra,Seedraking,Hyporoi,킹드라,Kingdeura,K'ingdŭra,Kingdra,刺龍王,刺龙王,Cìlóngwáng,Chilùhngwòhng,-
231,Phanpy,ゴマゾウ,Gomazō,Gomazou,Phanpy,Phanpy,코코리,Kokori,K'ok'ori,Kokori,小小象,小小象,Xiǎoxiǎoxiàng,Síusíujeuhng,-
232,Donphan,ドンファン,Donfan,Donfan,Donphan,Donphan,코리갑,Korigap,K'origap,Korigap,頓甲,顿甲,Dùnjiǎ,Deuhngaap,冬凡 Dūngfàahn (HK)
233,Porygon2,ポリゴン２,Porigon Tsū,Porygon2,Porygon2,Porygon2,폴리곤2,Polligontu,P'olligont'u,Porygon2,多邊獸Ⅱ,多边兽Ⅱ,Duōbiānshòu-II,Dōbīnsau-II,"3D龍ＩＩ / 3D龙ＩＩ 3D-Lóng II (TW/CN)
立方獸ＩＩ Laahpfōngsau II (HK)"
234,Stantler,オドシシ,Odoshishi,Odoshishi,Damhirplex,Cerfrousse,노라키,Noraki,Norak'i,Noraki,驚角鹿,惊角鹿,Jīngjiǎolù,Gīnggokluhk,-
235,Smeargle,ドーブル,Dōburu,Doble,Farbeagle,Queulorior,루브도,Rubeudo,Rubŭdo,Rubeudo,圖圖犬,图图犬,Tútúquǎn,Tòuhtòuhhyún,圖畫犬 Tòuhwáhyún (HK)
236,Tyrogue,バルキー,Barukī,Balkie,Rabauz,Debugant,배루키,Baeruki,Paeruk'i,Baeruki,無畏小子,无畏小子,Wúwèixiǎozi,Mòuhwaisíují,"巴爾郎 / 巴尔郎 Bā'ěrláng (TW/CN)
巴爾郎 Bāyíhlòhng (HK)"
237,Hitmontop,カポエラー,Kapoerā,Kapoerer,Kapoera,Kapoera,카포에라,Kapoera,K'ap'oëra,Kapoera,戰舞郎,战舞郎,Zhànwǔláng,Jinmóuhlòhng,"柯波朗 Kēbōlǎng (TW/CN)
柯波朗 Ōbōlòhng (HK)"
238,Smoochum,ムチュール,Muchūru,Muchul,Kussilla,Lippouti,뽀뽀라,Ppoppora,Ppoppora,Ppoppora,迷唇娃,迷唇娃,Míchúnwá,Màihsèuhnwā,-
239,Elekid,エレキッド,Erekiddo,Elekid,Elekid,Élekid,에레키드,Erekideu,Erek'idŭ,Elekid,電擊怪,电击怪,"Diànjíguài
Diànjīguài",Dihngīkgwaai,-
240,Magby,ブビィ,Bubī,Buby,Magby,Magby,마그비,Mageubi,Magŭbi,Magby,鴨嘴寶寶,鸭嘴宝宝,Yāzuǐbǎobǎo,Aapjéuibóubóu,"小鴨嘴龍 / 小鸭嘴龙 Xiǎoyāzuǐlóng (TW/CN)
小鴨嘴龍 Síuaapjéuilùhng (HK)"
241,Miltank,ミルタンク,Mirutanku,Miltank,Miltank,Écrémeuh,밀탱크,Miltaengkeu,Milt'aengk'ŭ,Miltank,大奶罐,大奶罐,Dànǎiguàn,Daaihnáaihgun,-
242,Blissey,ハピナス,Hapinasu,Happinas,Heiteira,Leuphorie,해피너스,Haepineoseu,Haep'inŏsŭ,Happynus,幸福蛋,幸福蛋,Xìngfúdàn,Hahngfūkdáan,-
243,Raikou,ライコウ,Raikō,Raikou,Raikou,Raikou,라이코,Raiko,Raik'o,Raikou,雷公,雷公,Léigōng,Lèuihgūng,-
244,Entei,エンテイ,Entei,Entei,Entei,Entei,앤테이,Aentei,Aent'ei,Entei,炎帝,炎帝,Yándì,Yìhmdai,-
245,Suicune,スイクン,Suikun,Suicune,Suicune,Suicune,스이쿤,Seuikun,Sŭik'un,Suicune,水君,水君,Shuǐjūn,Séuigwān,-
