Region,Family,Dex,Dex_Suffix,Name,Class
Kanto,Alolan Sandshrew family,28,A,Sandslash,
Kanto,Exeggcute family,102,A,Exeggcute,
Johto,Wobbuffet family,360,,Wynaut,
Johto,Unown,201,D,Unown D,
Kanto,Bulbasaur family,1,,Bulbasaur,
Kalos,Binacle family,689,,Barbaracle,
Alola,Zeraora family,807,,Zeraora,
Johto,Cyndaquil family,157,,Typhlosion,
Kalos,Noibat family,714,,Noibat,
Kanto,Krabby family,99,,Kingler,
Kalos,Yveltal family,717,,Yveltal,
Hoenn,Jirachi family,385,,Jirachi,
Kalos,Froakie family,657,,Frogadier,
Alola,Minior family,774,,Minior,
Sinnoh,Buizel family,418,,Buizel,
Hoenn,Volbeat and Illumise* family,314,,Illumise,
Hoenn,Bagon family,373,,Salamence,
Johto,Delibird family,225,,Delibird,
Hoenn,Plusle family,311,,Plusle,
Unova,Litwick family,609,,Chandelure,
Unova,Roggenrola family,524,,Roggenrola,
Johto,Cyndaquil family,155,,Cyndaquil,
Kalos,Scatterbug family,664,,Scatterbug,
Hoenn,Registeel family,379,,Registeel,
Alola,Poipole family,803,,Poipole,
Alola,Komala family,775,,Komala,
Unova,Panpour family,516,,Simipour,
Kalos,Phantump family,708,,Phantump,
Sinnoh,Starly family,397,,Staravia,
Unova,Thundurus family,642,,Thundurus,
Sinnoh,Buneary family,427,,Buneary,
Kanto,Pidgey family,17,,Pidgeotto,
Kalos,Volcanion family,721,,Volcanion,
Alola,Type: Null family,772,,Type: Null,
Sinnoh,Azelf family,482,,Azelf,
Alola,Type: Null family,773,,Silvally,
Alola,Stakataka family,805,,Stakataka,
Hoenn,Snorunt family,478,,Froslass,
Unova,Frillish family,592,,Frillish,
Kanto,Eeveelution family,470,,Leafeon,
Unova,Heatmor family,631,,Heatmor,
Hoenn,Latias family,380,,Latias,
Kanto,Drowzee family,96,,Drowzee,
Kalos,Chespin family,650,,Chespin,
Hoenn,Numel family,323,,Camerupt,
Kanto,Horsea family,230,,Kingdra,
Alola,Drampa family,780,,Drampa,
Kanto,Alolan Grimer family,88,A,Grimer,
Johto,Unown,201,J,Unown J,
Unova,Pansear family,514,,Simisear,
Kanto,Slowpoke family,199,,Slowking,
Unova,Patrat family,505,,Watchog,
Johto,Misdreavus family,200,,Misdreavus,
Johto,Unown,201,V,Unown V,
Unova,Axew family,612,,Haxorus,
Hoenn,Beldum family,376,,Metagross,
Alola,Morelull family,755,,Morelull,
Sinnoh,Pachirisu family,417,,Pachirisu,
Kanto,Clefairy family,36,,Clefable,
Johto,Unown,201,M,Unown M,
Kanto,Gastly family,94,,Gengar,
Kanto,Growlithe family,58,,Growlithe,
Kalos,Flabébé family,669,,Flabébé,
Kanto,Cubone family,104,A,Cubone,
Kanto,Spearow family,22,,Fearow,
Johto,Larvitar family,247,,Pupitar,
Kanto,Shellder family,91,,Cloyster,
Kanto,Kangaskhan family,115,,Kangaskhan,
Kalos,Fennekin family,655,,Delphox,
Kanto,Alolan Geodude family,75,A,Graveler,
Hoenn,Feebas family,349,,Feebas,
Kanto,Electabuzz family,125,,Electabuzz,
Alola,Crabrawler family,739,,Crabrawler,
Unova,Deerling family,585,A,Deerling,Autumn Form
Hoenn,Deoxys,386,A,Deoxys,Attack Forme
Johto,Suicune family,245,,Suicune,
Kanto,Magnemite family,462,,Magnezone,
Hoenn,Corphish family,342,,Crawdaunt,
Hoenn,Wailmer family,321,,Wailord,
Alola,Rowlet family,723,,Dartrix,
Kanto,Farfetch'd family,83,,Farfetch'd,
Hoenn,Electrike family,309,,Electrike,
Alola,Salandit family,757,,Salandit,
Kanto,Geodude family,74,,Geodude,
Unova,Larvesta family,637,,Volcarona,
Kanto,Charmander family,6,,Charizard,
Unova,Sewaddle family,540,,Sewaddle,
Johto,Chikorita family,153,,Bayleef,
Hoenn,Zigzagoon family,263,,Zigzagoon,
Sinnoh,Burmy family,413,S,Wormadam,
Hoenn,Luvdisc family,370,,Luvdisc,
Sinnoh,Shellos family,422,,Shellos,West Sea
Hoenn,Shroomish family,286,,Breloom,
Hoenn,Minun family,312,,Minun,
Kanto,Eeveelution family,196,,Espeon,
Kanto,Paras family,46,,Paras,
Unova,Deino family,635,,Hydreigon,
Kanto,Spearow family,21,,Spearow,
Kanto,Bulbasaur family,3,,Venusaur,
Unova,Karrablast family,589,,Escavalier,
Unova,Tepig family,499,,Pignite,
Alola,Pyukumuku family,771,,Pyukumuku,
Hoenn,Whismur family,294,,Loudred,
Kanto,Exeggcute family,102,,Exeggcute,
Johto,Marill family,183,,Marill,
Kanto,Tentacool family,72,,Tentacool,
Johto,Lugia family,249,,Lugia,
Unova,Genesect family,649,,Genesect,
Unova,Stunfisk family,618,,Stunfisk,
Unova,Drilbur family,529,,Drilbur,
Sinnoh,Stunky family,435,,Skuntank,
Unova,Deerling family,585,,Deerling,Spring Form
Hoenn,Corphish family,341,,Corphish,
Kanto,Caterpie family,10,,Caterpie,
Johto,Larvitar family,248,,Tyranitar,
Johto,Smeargle family,235,,Smeargle,
Kanto,Growlithe family,59,,Arcanine,
Kanto,Electabuzz family,239,,Elekid,
Hoenn,Shuppet family,354,,Banette,
Hoenn,Aron family,305,,Lairon,
Kanto,Articuno family,144,,Articuno,
Sinnoh,Shieldon family,411,,Bastiodon,
Kalos,Hoopa family,720,,Hoopa,
Kanto,Magnemite family,82,,Magneton,
Unova,Tepig family,500,,Emboar,
Kanto,Alolan Rattata family,19,A,Rattata,
Kanto,Alolan Meowth family,53,A,Persian,
Alola,Turtonator family,776,,Turtonator,
Johto,Hoothoot family,163,,Hoothoot,
Unova,Oshawott family,501,,Oshawott,
Kanto,Omanyte family,138,,Omanyte,
Unova,Timburr family,534,,Conkeldurr,
Alola,Rockruff family,744,,Rockruff,
Johto,Wooper family,194,,Wooper,
Johto,Slugma family,219,,Magcargo,
Kanto,Koffing family,110,,Weezing,
Unova,Pawniard family,624,,Pawniard,
Johto,Unown,201,T,Unown T,
Hoenn,Torchic family,256,,Combusken,
Hoenn,Aron family,304,,Aron,
Unova,Ducklett family,580,,Ducklett,
Sinnoh,Skorupi family,451,,Skorupi,
Unova,Petilil family,549,,Lilligant,
Unova,Purrloin family,509,,Purrloin,
Unova,Lillipup family,506,,Lillipup,
Unova,Larvesta family,636,,Larvesta,
Hoenn,Ralts family,281,,Kirlia,
Alola,Pheromosa family,795,,Pheromosa,
Johto,Stantler family,234,,Stantler,
Unova,Rufflet family,628,,Braviary,
Hoenn,Nincada family,290,,Nincada,
Unova,Foongus family,591,,Amoonguss,
Kanto,Horsea family,117,,Seadra,
Kanto,Ekans family,23,,Ekans,
Kanto,Ponyta family,77,,Ponyta,
Johto,Totodile family,160,,Feraligatr,
Unova,Vanillite family,582,,Vanillite,
Johto,Ledyba family,166,,Ledian,
Hoenn,Snorunt family,361,,Snorunt,
Kalos,Bunnelby family,659,,Bunnelby,
Hoenn,Slakoth family,289,,Slaking,
Sinnoh,Rotom,479,F,Rotom,Fan Rotom
Kalos,Spritzee family,682,,Spritzee,
Unova,Basculin family,550,B,Basculin,Blue Stripe
Kanto,Weedle family,14,,Kakuna,
Kanto,Geodude family,75,,Graveler,
Kanto,Pikachu family,26,,Raichu,
Johto,Teddiursa family,216,,Teddiursa,
Kanto,Nidoran family*,32,,Nidoran♂,
Kanto,Exeggcute family,103,A,Exeggutor,
Kalos,Klefki family,707,,Klefki,
Kanto,Alolan Geodude family,76,A,Golem,
Kanto,Kabuto family,141,,Kabutops,
Hoenn,Lunatone family,337,,Lunatone,
Unova,Foongus family,590,,Foongus,
Kanto,Poliwag family,62,,Poliwrath,
Alola,Rowlet family,722,,Rowlet,
Hoenn,Tropius family,357,,Tropius,
Kanto,Gastly family,93,,Haunter,
Kanto,Oddish family,43,,Oddish,
Hoenn,Swablu family,334,,Altaria,
Unova,Basculin family,550,,Basculin,Red Stripe
Kanto,Rattata family,20,,Raticate,
Kanto,Staryu family,121,,Starmie,
Unova,Blitzle family,523,,Zebstrika,
Johto,Unown,201,QU,Unown ?,
Alola,Dewpider family,751,,Dewpider,
Kanto,Meowth family,52,,Meowth,
Unova,Pidove family,521,,Unfezant,
Unova,Deerling family,586,,Sawsbuck,Spring Form
Hoenn,Makuhita family,296,,Makuhita,
Sinnoh,Shaymin family,492,S,Shaymin,Sky Forme
Unova,Venipede family,545,,Scolipede,
Hoenn,Lileep family,345,,Lileep,
Unova,Snivy family,497,,Serperior,
Unova,Tympole family,536,,Palpitoad,
Alola,Mareanie family,747,,Mareanie,
Unova,Pawniard family,625,,Bisharp,
Kanto,Meltan family,808,,Meltan,
Kanto,Rattata family,19,,Rattata,
Johto,Snubbull family,209,,Snubbull,
Kalos,Bergmite family,713,,Avalugg,
Kanto,Pikachu family,172,,Pichu,
Kalos,Xerneas family,716,,Xerneas,
Unova,Zekrom family,644,,Zekrom,
Johto,Unown,201,F,Unown F,
Alola,Marshadow family,802,,Marshadow,
Johto,Qwilfish family,211,,Qwilfish,
Hoenn,Zangoose family,335,,Zangoose,
Johto,Skarmory family,227,,Skarmory,
Unova,Solosis family,579,,Reuniclus,
Unova,Sigilyph family,561,,Sigilyph,
Unova,Litwick family,608,,Lampent,
Unova,Druddigon family,621,,Druddigon,
Kalos,Froakie family,656,,Froakie,
Sinnoh,Piplup family,393,,Piplup,
Sinnoh,Bidoof family,400,,Bibarel,
Kalos,Skiddo family,673,,Gogoat,
Johto,Unown,201,H,Unown H,
Hoenn,Zigzagoon family,264,,Linoone,
Unova,Snivy family,495,,Snivy,
Unova,Reshiram family,643,,Reshiram,
Sinnoh,Drifloon family,426,,Drifblim,
Sinnoh,Spiritomb family,442,,Spiritomb,
Kalos,Chespin family,651,,Quilladin,
Johto,Pineco family,204,,Pineco,
Sinnoh,Shieldon family,410,,Shieldon,
Hoenn,Absol family,359,,Absol,
Kanto,Onix family,95,,Onix,
Alola,Pikipek family,733,,Toucannon,
Hoenn,Roselia family,407,,Roserade,
Alola,Cutiefly family,742,,Cutiefly,
Kanto,Ditto family,132,,Ditto,
Alola,Cosmog family,791,,Solgaleo,
Johto,Natu family,178,,Xatu,
Unova,Sandile family,552,,Krokorok,
Kanto,Tentacool family,73,,Tentacruel,
Johto,Unown,201,E,Unown E,
Hoenn,Cacnea family,331,,Cacnea,
Kanto,Squirtle family,9,,Blastoise,
