Ldex,ID,ID_Ext,Name,Type,Type2,Female,Male,ID,Name,Unbreedable,ID,Name,Egg Group 1,Egg Group 2,Cycles,Steps_Gen2,Steps_Gen3,Steps_Gen4,Steps_Gen5,Steps_Gen6,ID_Ext,Name,WeightLbs,WeightKg,ID,Name,Experience type,Body,ID,ID_Ext,Name,Type1,Type2,Color,Name,ID,ID,ID_Ext,Name,Ability 1,Ability 2,Hidden,EvolutionLevel,ID,Name,ID,Name,Base friendship,ID,Name,Call_Rate_SM,Call_Rate_USUM,Habitat,Page,Ndex,Name,Type,Type2,Group,ID,Name,Type,Type2
#117,#117,117,Seadra,Water,,1,7,757,Salandit,,118,Goldeen,Water 2,—,20,5120,5376,5355,5140,5120,39,Jigglypuff,12.1 lbs.,5.5 kg,149,Dragonite,Slow, Pokémon with a quadruped body,,,,,,Blue,Mudkip,258,97,97,Hypno,Insomnia,Forewarn*,Inner Focus,30,#281,Kirlia,135,Jolteon,70,299,Nosepass,9,9, Forest Pokémon,Page 19,#185,Sudowoodo,Rock,,Group C,#227,Skarmory,Steel,Flying
#118,#118,118,Goldeen,Water,,1,7,175,Togepi,U,119,Seaking,Water 2,—,20,5120,5376,5355,5140,5120,290,Nincada,12.1 lbs.,5.5 kg,150,Mewtwo,Slow, Pokémon with a quadruped body,#001,1,Bulbasaur,Grass,Poison,Blue,Marshtomp,259,98,98,Krabby,Hyper Cutter,Shell Armor,Sheer Force,30,#318,Carvanha,136,Flareon,70,302,Sableye,0,0, Forest Pokémon,Page 20,#190,Aipom,Normal,,Group C,#228,Houndour,Dark,Fire
#119,#119,119,Seaking,Water,,1,7,446,Munchlax,U,120,Staryu,Water 3,—,20,5120,5376,5355,5140,5120,415,Combee,12.1 lbs.,5.5 kg,151,Mew,Medium Slow, Pokémon with a quadruped body,#002,2,Ivysaur,Grass,Poison,Blue,"Swampert
All forms",260,99,99,Kingler,Hyper Cutter,Shell Armor,Sheer Force,30,#339,Barboach,137,Porygon,70,303,Mawile,—,6, Forest Pokémon,Page 20,#234,Stantler,Normal,,Group C,#229,Houndoom,Dark,Fire
#120,#120,120,Staryu,Water,,1,7,447,Riolu,U,121,Starmie,Water 3,—,20,5120,5376,5355,5140,5120,427,Buneary,12.1 lbs.,5.5 kg,152,Chikorita,Medium Slow, Pokémon with a quadruped body,#003,3,Venusaur,Grass,Poison,Blue,Taillow,276,100,100,Voltorb,Soundproof,Static,Aftermath,30,#341,Corphish,138,Omanyte,70,309,Electrike,—,9, Forest Pokémon,Page 20,#352,Kecleon,Normal,,Group C,#230,Kingdra,Water,Dragon
#121,#121,121,Starmie,Water,Psychic,1,3,58,Growlithe,,439,Mime Jr.,Undiscovered,—,25,—,—,6630,6425,6400,580,Ducklett,12.1 lbs.,5.5 kg,153,Bayleef,Medium Slow, Pokémon with a quadruped body,#019,19,Rattata,Normal,,Blue,Swellow,277,101,101,Electrode,Soundproof,Static,Aftermath,30,#371,Bagon,139,Omastar,70,310,Manectric,—,6, Forest Pokémon,Page 21,#127,Pinsir,Bug,,Group C,#236,Tyrogue,Fighting,
#122,#122,122,Mr. Mime,Psychic,Fairy,1,3,59,Arcanine,,122,Mr. Mime,Human-Like,—,25,6400,6656,6630,6425,6400,582,Vanillite,12.6 lbs.,5.7 kg,154,Meganium,Medium Slow, Pokémon with a quadruped body,#020,20,Raticate,Normal,,Blue,Surskit,283,102,102,Exeggcute,Chlorophyll,,Harvest,30,#404,Luxio,140,Kabuto,70,318,Carvanha,9,9, Forest Pokémon,Page 21,#214,Heracross,Bug,Fighting,Group C,#237,Hitmontop,Fighting,
#123,#123,123,Scyther,Bug,Flying,1,3,63,Abra,,123,Scyther,Bug,—,25,6400,6656,6630,6425,6400,703,Carbink,12.6 lbs.,5.7 kg,155,Cyndaquil,Medium Slow, Pokémon with a quadruped body,#025,25,Pikachu,Electric,,Blue,Masquerain,284,103,103,Exeggutor,Chlorophyll,,Harvest,30,#408,Cranidos,141,Kabutops,70,319,Sharpedo,3,3, Forest Pokémon,Page 22,#333,Swablu,Normal,Flying,Group C,#239,Elekid,Electric,
#124,#124,124,Jynx,Ice,Psychic,1,3,64,Kadabra,,212,Scizor,Bug,—,25,6400,6656,6630,6425,6400,182,Bellossom,12.8 lbs.,5.8 kg,156,Quilava,Medium Slow, Pokémon with a quadruped body,#029,29,Nidoran♀,Poison,,Blue,Loudred,294,103,103A,Alolan Exeggutor,Frisk,,Harvest,30,#410,Shieldon,142,Aerodactyl,70,320,Wailmer,9,9, Forest Pokémon,Page 22,#334,Altaria,Dragon,Flying,Group C,#240,Magby,Fire,
#125,#125,125,Electabuzz,Electric,,1,3,65,Alakazam,,238,Smoochum,Undiscovered,—,25,6400,6656,6630,6425,6400,572,Minccino,12.8 lbs.,5.8 kg,158,Totodile,Medium Slow, Pokémon with a quadruped body,#030,30,Nidorina,Poison,,Blue,Exploud,295,104,104,Cubone,Rock Head,Lightning Rod,Battle Armor,30,#422,Shellos,143,Snorlax,70,321,Wailord,6,6, Forest Pokémon,Page 22,#357,Tropius,Grass,Flying,Group C,#246,Larvitar,Rock,Ground
#126,#126,126,Magmar,Fire,,1,3,66,Machop,,124,Jynx,Human-Like,—,25,6400,6656,6630,6425,6400,574,Gothita,12.8 lbs.,5.8 kg,159,Croconaw,Medium Slow, Pokémon with a quadruped body,#032,32,Nidoran♂,Poison,,Blue,Azurill,298,105,105,Marowak,Rock Head,Lightning Rod,Battle Armor,30,#544,Whirlipede,144,Articuno,35,324,Torkoal,6,6, Forest Pokémon,Page 23,#355,Duskull,Ghost,,Group C,#247,Pupitar,Rock,Ground
#127,#127,127,Pinsir,Bug,,1,3,67,Machoke,,239,Elekid,Undiscovered,—,25,6400,6656,6630,6425,6400,501,Oshawott,13.0 lbs.,5.9 kg,160,Feraligatr,Medium Slow, Pokémon with a quadruped body,#033,33,Nidorino,Poison,,Blue,Meditite,307,105,105A,Alolan Marowak,Cursed Body,Lightning Rod,Rock Head,30,#570,Zorua,145,Zapdos,35,327,Spinda,6,6, Forest Pokémon,Page 23,#356,Dusclops,Ghost,,Group C,#248,Tyranitar,Rock,Dark
#128,#128,128,Tauros,Normal,,1,3,68,Machamp,,125,Electabuzz,Human-Like,—,25,6400,6656,6630,6425,6400,588,Karrablast,13.0 lbs.,5.9 kg,161,Sentret,Medium Fast, Pokémon with a quadruped body,#037,37,Vulpix,Fire,,Blue,"Sharpedo
All forms",319,236,236,Tyrogue,Guts,Steadfast*,Vital Spirit,30,#686,Inkay,146,Moltres,35,328,Trapinch,9,9, Forest Pokémon,Page 24,#175,Togepi,Normal,,Group C,#255,Torchic,Fire,
#129,#129,129,Magikarp,Water,,1,3,125,Electabuzz,,466,Electivire,Human-Like,—,25,—,—,6630,6425,6400,25,Pikachu,13.2 lbs.,6.0 kg,162,Furret,Medium Fast, Pokémon with a quadruped body,#038,38,Ninetales,Fire,,Blue,Wailmer,320,106,106,Hitmonlee,Limber,Reckless*,Unburden,30,#749,Mudbray,147,Dratini,35,329,Vibrava,6,6, Forest Pokémon,Page 24,#176,Togetic,Normal,Flying,Group C,#256,Combusken,Fire,Fighting
#130,#130,130,Gyarados,Water,Flying,1,3,126,Magmar,,240,Magby,Undiscovered,—,25,6400,6656,6630,6425,6400,81,Magnemite,13.2 lbs.,6.0 kg,163,Hoothoot,Medium Fast, Pokémon with a quadruped body,#052,52,Meowth,Normal,,Blue,Wailord,321,107,107,Hitmonchan,Keen Eye,Iron Fist*,Inner Focus,30,#767,Wimpod,148,Dragonair,35,339,Barboach,9,9, Forest Pokémon,Page 25,#252,Treecko,Grass,,Group C,#257,Blaziken,Fire,Fighting
#131,#131,131,Lapras,Water,Ice,1,3,296,Makuhita,,126,Magmar,Human-Like,—,25,6400,6656,6630,6425,6400,161,Sentret,13.2 lbs.,6.0 kg,164,Noctowl,Medium Fast, Pokémon with a quadruped body,#053,53,Persian,Normal,,Blue,Swablu,333,237,237,Hitmontop,Intimidate,Technician*,Steadfast,31,#048,Venonat,149,Dragonite,35,340,Whiscash,6,6, Forest Pokémon,Page 25,#253,Grovyle,Grass,,Group C,#273,Seedot,Grass,
#132,#132,132,Ditto,Normal,,1,3,297,Hariyama,,467,Magmortar,Human-Like,—,25,—,—,6630,6425,6400,238,Smoochum,13.2 lbs.,6.0 kg,165,Ledyba,Fast, Pokémon with a quadruped body,#058,58,Growlithe,Fire,,Blue,"Altaria
All forms",334,108,108,Lickitung,Own Tempo,Oblivious,Cloud Nine,31,#084,Doduo,150,Mewtwo,0,341,Corphish,—,9, Forest Pokémon,Page 25,#254,Sceptile,Grass,,Group C,#274,Nuzleaf,Grass,Dark
#133,#133,133,Eevee,Normal,,1,3,466,Electivire,,127,Pinsir,Bug,—,25,6400,6656,6630,6425,6400,694,Helioptile,13.2 lbs.,6.0 kg,168,Ariados,Fast, Pokémon with a quadruped body,#059,59,Arcanine,Fire,,Blue,Whiscash,340,463,463,Lickilicky,Own Tempo,Oblivious,Cloud Nine,31,#204,Pineco,151,Mew,100,342,Crawdaunt,—,6, Forest Pokémon,Page 26,#251,Celebi,Psychic,Grass,Group C,#275,Shiftry,Grass,Dark
#134,#134,134,Vaporeon,Water,,1,3,467,Magmortar,,128,Tauros,Field,—,20,5120,5376,5355,5140,5120,734,Yungoos,13.2 lbs.,6.0 kg,169,Crobat,Medium Fast, Pokémon with a quadruped body,#077,77,Ponyta,Fire,,Blue,"Castform
Rainy Form",351R,109,109,Koffing,Levitate,,,31,#456,Finneon,152,Chikorita,70,343,Baltoy,—,15, Water's-edge Pokémon,Page 1,#118,Goldeen,Water,,Group C,#285,Shroomish,Grass,
#135,#135,135,Jolteon,Electric,,1,3,532,Timburr,,129,Magikarp,Water 2,Dragon,5,1280,1536,1530,1285,1280,390,Chimchar,13.7 lbs.,6.2 kg,170,Chinchou,Slow, Pokémon with a quadruped body,#078,78,Rapidash,Fire,,Blue,Chimecho,358,110,110,Weezing,Levitate,,,31,#529,Drilbur,153,Bayleef,70,344,Claydol,—,15, Water's-edge Pokémon,Page 1,#119,Seaking,Water,,Group C,#286,Breloom,Grass,Fighting
#136,#136,136,Flareon,Fire,,1,3,533,Gurdurr,,130,Gyarados,Water 2,Dragon,5,1280,1536,1530,1285,1280,422E,Shellos,13.9 lbs.,6.3 kg,171,Lanturn,Slow, Pokémon with a quadruped body,#079,79,Slowpoke,Water,Psychic,Blue,Wynaut,360,111,111,Rhyhorn,Lightning Rod,Rock Head,Reckless,32,#002,Ivysaur,154,Meganium,70,349,Feebas,9,9, Water's-edge Pokémon,Page 2,#129,Magikarp,Water,,Group C,#287,Slakoth,Normal,
#137,#137,137,Porygon,Normal,,1,3,534,Conkeldurr,U,131,Lapras,Monster,Water 1,40,10240,10496,10455,10280,10240,70,Weepinbell,14.1 lbs.,6.4 kg,172,Pichu,Medium Fast, Pokémon with a quadruped body,#111,111,Rhyhorn,Ground,Rock,Blue,Spheal,363,112,112,Rhydon,Lightning Rod,Rock Head,Reckless,32,#116,Horsea,155,Cyndaquil,70,351,Castform,0,0, Water's-edge Pokémon,Page 2,#130,Gyarados,Water,Flying,Group C,#288,Vigoroth,Normal,
#138,#138,138,Omanyte,Rock,Water,1,3,239,Elekid,U,132,Ditto,Ditto,—,20,5120,5376,5355,5140,5120,152,Chikorita,14.1 lbs.,6.4 kg,173,Cleffa,Fast, Pokémon with a quadruped body,#128,128,Tauros,Normal,,Blue,Sealeo,364,464,464,Rhyperior,Lightning Rod,Solid Rock,Reckless,32,#153,Bayleef,156,Quilava,70,352,Kecleon,—,9, Water's-edge Pokémon,Page 2,#098,Krabby,Water,,Group C,#289,Slaking,Normal,
#139,#139,139,Omastar,Rock,Water,1,3,240,Magby,U,133,Eevee,Field,—,35,8960,9216,9180,8995,8960,98,Krabby,14.3 lbs.,6.5 kg,174,Igglybuff,Fast, Pokémon with a quadruped body,#133,133,Eevee,Normal,,Blue,Walrein,365,440,440,Happiny,Natural Cure,Serene Grace,Friend Guard,32,#304,Aron,157,Typhlosion,70,353,Shuppet,—,9, Water's-edge Pokémon,Page 2,#099,Kingler,Water,,Group C,#302,Sableye,Dark,Ghost
#140,#140,140,Kabuto,Rock,Water,1,1,10,Caterpie,,134,Vaporeon,Field,—,35,8960,9216,9180,8995,8960,104,Cubone,14.3 lbs.,6.5 kg,175,Togepi,Fast, Pokémon with a quadruped body,#134,134,Vaporeon,Water,,Blue,Clamperl,366,113,113,Chansey,Natural Cure,Serene Grace,Healer,32,#325,Spoink,158,Totodile,70,354,Banette,—,6, Water's-edge Pokémon,Page 3,#341,Corphish,Water,,Group C,#303,Mawile,Steel,
#141,#141,141,Kabutops,Rock,Water,1,1,11,Metapod,,135,Jolteon,Field,—,35,8960,9216,9180,8995,8960,133,Eevee,14.3 lbs.,6.5 kg,176,Togetic,Fast, Pokémon with a quadruped body,#135,135,Jolteon,Electric,,Blue,Huntail,367,242,242,Blissey,Natural Cure,Serene Grace,Healer,32,#331,Cacnea,159,Croconaw,70,357,Tropius,—,3, Water's-edge Pokémon,Page 3,#342,Crawdaunt,Water,Dark,Group C,#307,Meditite,Fighting,Psychic
#142,#142,142,Aerodactyl,Rock,Flying,1,1,12,Butterfree,,136,Flareon,Field,—,35,8960,9216,9180,8995,8960,220,Swinub,14.3 lbs.,6.5 kg,177,Natu,Medium Fast, Pokémon with a quadruped body,#136,136,Flareon,Fire,,Blue,Bagon,371,114,114,Tangela,Chlorophyll,Leaf Guard*,Regenerator,32,#363,Spheal,160,Feraligatr,70,359,Absol,3,3, Water's-edge Pokémon,Page 3,#339,Barboach,Water,Ground,Group C,#308,Medicham,Fighting,Psychic
#143,#143,143,Snorlax,Normal,,1,1,13,Weedle,,196,Espeon,Field,—,35,8960,9216,9180,8995,8960,413G,Wormadam,14.3 lbs.,6.5 kg,178,Xatu,Medium Fast, Pokémon with a quadruped body,#152,152,Chikorita,Grass,,Blue,"Salamence
All forms",373,465,465,Tangrowth,Chlorophyll,Leaf Guard,Regenerator,32,#388,Grotle,161,Sentret,70,361,Snorunt,9,9, Water's-edge Pokémon,Page 3,#340,Whiscash,Water,Ground,Group C,#331,Cacnea,Grass,
#144,#144,144,Articuno,Ice,Flying,1,1,14,Kakuna,,197,Umbreon,Field,—,35,8960,9216,9180,8995,8960,648P,Meloetta,14.3 lbs.,6.5 kg,179,Mareep,Medium Slow, Pokémon with a quadruped body,#153,153,Bayleef,Grass,,Blue,Beldum,374,115,115,Kangaskhan,Early Bird,Scrappy*,Inner Focus,32,#507,Herdier,162,Furret,70,362,Glalie,3,3, Water's-edge Pokémon,Page 4,#270,Lotad,Water,Grass,Group C,#332,Cacturne,Grass,Dark
#145,#145,145,Zapdos,Electric,Flying,1,1,15,Beedrill,,470,Leafeon,Field,—,35,—,—,9180,8995,8960,280,Ralts,14.6 lbs.,6.6 kg,180,Flaaffy,Medium Slow, Pokémon with a quadruped body,#154,154,Meganium,Grass,,Blue,Metang,375,115,115M,Mega Kangaskhan,Parental Bond,,,32,#520,Tranquill,163,Hoothoot,70,366,Clamperl,—,15, Water's-edge Pokémon,Page 4,#271,Lombre,Water,Grass,Group C,#335,Zangoose,Normal,
#146,#146,146,Moltres,Fire,Flying,1,1,16,Pidgey,,471,Glaceon,Field,—,35,—,—,9180,8995,8960,547,Whimsicott,14.6 lbs.,6.6 kg,181,Ampharos,Medium Slow, Pokémon with a quadruped body,#156,156,Quilava,Fire,,Blue,"Metagross
All forms",376,116,116,Horsea,Swift Swim,Sniper*,Damp,32,#574,Gothita,164,Noctowl,70,367,Huntail,—,0, Water's-edge Pokémon,Page 4,#272,Ludicolo,Water,Grass,Group C,#336,Seviper,Poison,
#147,#147,147,Dratini,Dragon,,1,1,17,Pidgeotto,,700,Sylveon,Field,—,35,—,—,—,8995,8960,548,Petilil,14.6 lbs.,6.6 kg,182,Bellossom,Medium Slow, Pokémon with a quadruped body,#157,157,Typhlosion,Fire,,Blue,Regice,378,117,117,Seadra,Poison Point,Sniper*,Damp,32,#577,Solosis,165,Ledyba,70,368,Gorebyss,—,0, Water's-edge Pokémon,Page 5,#283,Surskit,Bug,Water,Group C,#359,Absol,Dark,
#148,#148,148,Dragonair,Dragon,,1,1,18,Pidgeot,,137,Porygon,Mineral,—,20,5120,5376,5355,5140,5120,759,Stufful,15.0 lbs.,6.8 kg,183,Marill,Fast, Pokémon with a quadruped body,#161,161,Sentret,Normal,,Blue,"Latios
Normal",381,230,230,Kingdra,Swift Swim,Sniper*,Damp,32,#672,Skiddo,166,Ledian,70,369,Relicanth,3,3, Water's-edge Pokémon,Page 5,#284,Masquerain,Bug,Flying,Group C,#390,Chimchar,Fire,
#149,#149,149,Dragonite,Dragon,Flying,1,1,19,Rattata,,233,Porygon2,Mineral,—,20,5120,5376,5355,5140,5120,1,Bulbasaur,15.2 lbs.,6.9 kg,184,Azumarill,Fast, Pokémon with a quadruped body,#162,162,Furret,Normal,,Blue,"Kyogre
All forms",382,118,118,Goldeen,Swift Swim,Water Veil,Lightning Rod,32,#674,Pancham,167,Spinarak,70,370,Luvdisc,6,6, Water's-edge Pokémon,Page 6,#054,Psyduck,Water,,Group C,#391,Monferno,Fire,Fighting
#150,#150,150,Mewtwo,Psychic,,1,1,20,Raticate,,474,Porygon-Z,Mineral,—,20,—,—,5355,5140,5120,23,Ekans,15.2 lbs.,6.9 kg,185,Sudowoodo,Medium Fast, Pokémon with a quadruped body,#172,172,Pichu,Electric,,Blue,Piplup,393,119,119,Seaking,Swift Swim,Water Veil,Lightning Rod,33,#054,Psyduck,168,Ariados,70,371,Bagon,9,9, Water's-edge Pokémon,Page 6,#055,Golduck,Water,,Group C,#392,Infernape,Fire,Fighting
#151,#151,151,Mew,Psychic,,1,1,21,Spearow,,138,Omanyte,Water 1,Water 3,30,7680,7936,7905,7710,7680,29,Nidoran♀,15.4 lbs.,7.0 kg,186,Politoed,Medium Slow, Pokémon with a quadruped body,#179,179,Mareep,Electric,,Blue,Prinplup,394,120,120,Staryu,Illuminate,Natural Cure,Analytic,33,#118,Goldeen,169,Crobat,70,372,Shelgon,6,6, Water's-edge Pokémon,Page 6,#194,Wooper,Water,Ground,Group C,#403,Shinx,Electric,
,,,,,,1,1,22,Fearow,,139,Omastar,Water 1,Water 3,30,7680,7936,7905,7710,7680,456,Finneon,15.4 lbs.,7.0 kg,187,Hoppip,Medium Slow, Pokémon with a quadruped body,#196,196,Espeon,Psychic,,Blue,Empoleon,395,121,121,Starmie,Illuminate,Natural Cure,Analytic,33,#220,Swinub,170,Chinchou,70,373,Salamence,0,0, Water's-edge Pokémon,Page 6,#195,Quagsire,Water,Ground,Group C,#404,Luxio,Electric,
#001,#152,152,Chikorita,Grass,,1,1,23,Ekans,,140,Kabuto,Water 1,Water 3,30,7680,7936,7905,7710,7680,656,Froakie,15.4 lbs.,7.0 kg,188,Skiploom,Medium Slow, Pokémon with a quadruped body,#197,197,Umbreon,Dark,,Blue,Shinx,403,439,439,Mime Jr.,Soundproof,Filter,Technician,33,#322,Numel,171,Lanturn,70,374,Beldum,9,9, Water's-edge Pokémon,Page 7,#060,Poliwag,Water,,Group C,#405,Luxray,Electric,
#002,#153,153,Bayleef,Grass,,1,1,24,Arbok,,141,Kabutops,Water 1,Water 3,30,7680,7936,7905,7710,7680,708,Phantump,15.4 lbs.,7.0 kg,189,Jumpluff,Medium Slow, Pokémon with a quadruped body,#203,203,Girafarig,Normal,Psychic,Blue,Luxio,404,122,122,Mr. Mime,Soundproof,Filter*,Technician,33,#436,Bronzor,172,Pichu,70,375,Metang,6,6, Water's-edge Pokémon,Page 7,#061,Poliwhirl,Water,,Group C,#408,Cranidos,Rock,
#003,#154,154,Meganium,Grass,,1,1,25,Pikachu,,142,Aerodactyl,Flying,—,35,8960,9216,9180,8995,8960,739,Crabrawler,15.4 lbs.,7.0 kg,190,Aipom,Fast, Pokémon with a quadruped body,#220,220,Swinub,Ice,Ground,Blue,Luxray,405,123,123,Scyther,Swarm,Technician*,Steadfast,33,#757,Salandit,173,Cleffa,140,422,Shellos,9,9, Water's-edge Pokémon,Page 7,#062,Poliwrath,Water,Fighting,Group C,#409,Rampardos,Rock,
#004,#155,155,Cyndaquil,Fire,,1,1,26,Raichu,,446,Munchlax,Undiscovered,—,40,—,—,10455,10280,10240,204,Pineco,15.9 lbs.,7.2 kg,191,Sunkern,Medium Slow, Pokémon with a quadruped body,#221,221,Piloswine,Ice,Ground,Blue,Cranidos,408,212,212,Scizor,Swarm,Technician*,Light Metal,34,#086,Seel,174,Igglybuff,70,423,Gastrodon,6,6, Water's-edge Pokémon,Page 7,#186,Politoed,Water,,Group C,#443,Gible,Dragon,Ground
#005,#156,156,Quilava,Fire,,1,1,27,Sandshrew,,143,Snorlax,Monster,—,40,10240,10496,10455,10280,10240,541,Swadloon,16.1 lbs.,7.3 kg,192,Sunflora,Medium Slow, Pokémon with a quadruped body,#228,228,Houndour,Dark,Fire,Blue,Rampardos,409,212,212M,Mega Scizor,Technician,,,34,#397,Staravia,175,Togepi,70,424,Ambipom,—,0, Water's-edge Pokémon,Page 8,#298,Azurill,Normal,,Group C,#444,Gabite,Dragon,Ground
#006,#157,157,Typhlosion,Fire,,1,1,28,Sandslash,,144,Articuno,Undiscovered,—,80,20480,20736,20655,20560,20480,690,Skrelp,16.1 lbs.,7.3 kg,193,Yanma,Medium Fast, Pokémon with a quadruped body,#229,229,Houndoom,Dark,Fire,Blue,"Shellos
East Sea",422E,238,238,Smoochum,Oblivious,Forewarn*,Hydration,34,#434,Stunky,176,Togetic,70,425,Drifloon,9,9, Water's-edge Pokémon,Page 8,#183,Marill,Water,,Group C,#445,Garchomp,Dragon,Ground
#007,#158,158,Totodile,Water,,1,1,41,Zubat,,145,Zapdos,Undiscovered,—,80,20480,20736,20655,20560,20480,349,Feebas,16.3 lbs.,7.4 kg,194,Wooper,Medium Fast, Pokémon with a quadruped body,#231,231,Phanpy,Ground,,Blue,"Gastrodon
East Sea",423E,124,124,Jynx,Oblivious,Forewarn*,Dry Skin,34,#449,Hippopotas,177,Natu,70,426,Drifblim,6,6, Water's-edge Pokémon,Page 8,#184,Azumarill,Water,,Group C,#447,Riolu,Fighting,
#008,#159,159,Croconaw,Water,,1,1,42,Golbat,,146,Moltres,Undiscovered,—,80,20480,20736,20655,20560,20480,35,Clefairy,16.5 lbs.,7.5 kg,195,Quagsire,Medium Fast, Pokémon with a quadruped body,#232,232,Donphan,Ground,,Blue,Gible,443,239,239,Elekid,Static,,Vital Spirit,34,#557,Dwebble,178,Xatu,70,427,Buneary,—,9, Water's-edge Pokémon,Page 9,#079,Slowpoke,Water,Psychic,Group C,#448,Lucario,Fighting,Steel
#009,#160,160,Feraligatr,Water,,1,1,43,Oddish,,147,Dratini,Water 1,Dragon,40,10240,10496,10455,10280,10240,41,Zubat,16.5 lbs.,7.5 kg,196,Espeon,Medium Fast, Pokémon with a quadruped body,#234,234,Stantler,Normal,,Blue,Gabite,444,125,125,Electabuzz,Static,,Vital Spirit,34,#562,Yamask,179,Mareep,70,428,Lopunny,—,6, Water's-edge Pokémon,Page 9,#080,Slowbro,Water,Psychic,Group C,#451,Skorupi,Poison,Bug
#019,#161,161,Sentret,Normal,,1,1,44,Gloom,,148,Dragonair,Water 1,Dragon,40,10240,10496,10455,10280,10240,138,Omanyte,16.5 lbs.,7.5 kg,197,Umbreon,Medium Fast, Pokémon with a quadruped body,#243,243,Raikou,Electric,,Blue,"Garchomp
All forms",445,466,466,Electivire,Motor Drive,,Vital Spirit,34,#585,Deerling,180,Flaaffy,70,438,Bonsly,15,15, Water's-edge Pokémon,Page 9,#199,Slowking,Water,Psychic,Group C,#452,Drapion,Poison,Dark
#020,#162,162,Furret,Normal,,1,1,45,Vileplume,,149,Dragonite,Water 1,Dragon,40,10240,10496,10455,10280,10240,573,Cinccino,16.5 lbs.,7.5 kg,198,Murkrow,Medium Slow, Pokémon with a quadruped body,#244,244,Entei,Fire,,Blue,Riolu,447,240,240,Magby,Flame Body,,Vital Spirit,34,#723,Dartrix,181,Ampharos,70,439,Mime Jr.,—,15, Water's-edge Pokémon,Page 10,#349,Feebas,Water,,Group C,#466,Electivire,Electric,
#015,#163,163,Hoothoot,Normal,Flying,1,1,46,Paras,,150,Mewtwo,Undiscovered,—,120,30720,30976,30855,30840,30720,710,Large Size Pumpkaboo,16.5 lbs.,7.5 kg,200,Misdreavus,Fast, Pokémon with a quadruped body,#245,245,Suicune,Water,,Blue,"Lucario
All forms",448,126,126,Magmar,Flame Body,,Vital Spirit,34,#726,Torracat,182,Bellossom,70,440,Happiny,0,0, Water's-edge Pokémon,Page 10,#350,Milotic,Water,,Group C,#467,Magmortar,Fire,
#016,#164,164,Noctowl,Normal,Flying,1,1,47,Parasect,,151,Mew,Undiscovered,—,120,30720,30976,30855,30840,30720,728,Popplio,16.5 lbs.,7.5 kg,201,Unown,Medium Fast, Pokémon with a quadruped body,#258,258,Mudkip,Water,,Blue,Croagunk,453,467,467,Magmortar,Flame Body,,Vital Spirit,34,#729,Brionne,183,Marill,70,444,Gabite,0,0, Water's-edge Pokémon,Page 11,#347,Anorith,Rock,Bug,Group C,#472,Gliscor,Ground,Flying
#030,#165,165,Ledyba,Bug,Flying,1,1,48,Venonat,,152,Chikorita,Monster,Grass,20,5120,5376,5355,5140,5120,258,Mudkip,16.8 lbs.,7.6 kg,202,Wobbuffet,Medium Fast, Pokémon with a quadruped body,#261,261,Poochyena,Dark,,Blue,Toxicroak,454,127,127,Pinsir,Hyper Cutter,Mold Breaker*,Moxie,34,#753,Fomantis,184,Azumarill,70,446,Munchlax,6,6, Water's-edge Pokémon,Page 11,#348,Armaldo,Rock,Bug,Group C,#485,Heatran,Fire,Steel
#031,#166,166,Ledian,Bug,Flying,1,1,49,Venomoth,,153,Bayleef,Monster,Grass,20,5120,5376,5355,5140,5120,616,Shelmet,17.0 lbs.,7.7 kg,203,Girafarig,Medium Fast, Pokémon with a quadruped body,#262,262,Mightyena,Dark,,Blue,Finneon,456,127,127M,Mega Pinsir,Aerilate,,,35,#109,Koffing,185,Sudowoodo,70,447,Riolu,15,15, Water's-edge Pokémon,Page 12,#147,Dratini,Dragon,,Group C,#487,Giratina,Ghost,Dragon
#032,#167,167,Spinarak,Bug,Poison,1,1,50,Diglett,,154,Meganium,Monster,Grass,20,5120,5376,5355,5140,5120,179,Mareep,17.2 lbs.,7.8 kg,204,Pineco,Medium Fast, Pokémon with a quadruped body,#263,263,Zigzagoon,Normal,,Blue,Lumineon,457,128,128,Tauros,Intimidate,Anger Point*,Sheer Force,35,#328,Trapinch,186,Politoed,70,448,Lucario,0,0, Water's-edge Pokémon,Page 12,#148,Dragonair,Dragon,,Group D,,,,
#033,#168,168,Ariados,Bug,Poison,1,1,51,Dugtrio,,155,Cyndaquil,Field,—,20,5120,5376,5355,5140,5120,209,Snubbull,17.2 lbs.,7.8 kg,205,Forretress,Medium Fast, Pokémon with a quadruped body,#264,264,Linoone,Normal,,Blue,Mantyke,458,129,129,Magikarp,Swift Swim,,Rattled,35,#333,Swablu,187,Hoppip,70,456,Finneon,9,9, Water's-edge Pokémon,Page 12,#149,Dragonite,Dragon,Flying,Group D,#016,Pidgey,Normal,Flying
#039,#169,169,Crobat,Poison,Flying,1,1,52,Meowth,,156,Quilava,Field,—,20,5120,5376,5355,5140,5120,155,Cyndaquil,17.4 lbs.,7.9 kg,206,Dunsparce,Medium Fast, Pokémon with a quadruped body,#287,287,Slakoth,Normal,,Blue,Tangrowth,465,130,130,Gyarados,Intimidate,,Moxie,35,#554,Darumaka,188,Skiploom,70,457,Lumineon,6,6, Water's-edge Pokémon,Page 13,#007,Squirtle,Water,,Group D,#017,Pidgeotto,Normal,Flying
