ID,Name,Effect,Generation,Single,Dual,Hidden,Japanese Kana,Japanese Rōmaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized
109,Unaware,"When attacking, the Pokémon ignores the target Pokémon's stat changes.",4,1,4,4,てんねん,Tennen,Inconscient,Unkenntnis,Imprudenza,Ignorante,천진,Cheonjin,純樸 / 纯朴,Chúnpǔ / Sèuhnpok
110,Tinted Lens,"The Pokémon can use ""not very effective"" moves to deal regular damage.",4,0,4,5,いろめがね,Iromegane,Lentiteintée,Aufwertung,Lentifumé,Cromolente,색안경,Saek'angyeong,有色眼鏡 / 有色眼镜,Yǒusè Yǎnjìng / Yáuhsīk Ngáahngéng
111,Filter,Reduces the power of supereffective attacks taken.,4,1,2,0,フィルター,Filter,Filtre,Filter,Filtro,Filtro,필터,Filter,過濾 / 过滤,Guòlǜ / Gwoleuih
112,Slow Start,"For five turns, the Pokémon's Attack and Speed stats are halved.",4,1,0,0,スロースタート,Slow Start,Début Calme,Saumselig,Lentoinizio,Inicio Lento,슬로스타트,Slow Start,慢啟動 / 慢启动,Màn Qǐdòng / Maahn Káiduhng
113,Scrappy,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.,4,1,2,8,きもったま,Kimottama,Querelleur,Rauflust,Nervisaldi,Intrépido,배짱,Baejjang,膽量 / 胆量,Dǎnliàng / Dáamleuhng
114,Storm Drain,"Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk.",4,0,4,3,よびみず,Yobimizu,Lavabo,Sturmsog,Acquascolo,Colector,마중물,Majungmul,引水,Yǐnshuǐ / Yáhnséui
115,Ice Body,The Pokémon gradually regains HP in a hailstorm.,4,0,10,4,アイスボディ,Ice Body,Corps Gel,Eishaut,Corpogelo,Gélido,아이스바디,Ice Body,冰凍之軀 / 冰冻之躯,Bīngdòng-zhī Qū / Bīngdung-jī Kēui
116,Solid Rock,Reduces the power of supereffective attacks taken.,4,0,4,0,ハードロック,Hard Rock,Solide Roc,Felskern,Solidroccia,Roca Sólida,하드록,Hard Rock,堅硬岩石 / 坚硬岩石,Jiānyìng Yánshí / Gīnngaahng Ngàahmsehk
117,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.,4,2,1,4,ゆきふらし,Yuki Furashi,Alerte Neige,Hagelalarm,Scendineve,Nevada,눈퍼뜨리기,Nun Peotteurigi,降雪,Jiàngxuě / Gongsyut
118,Honey Gather,The Pokémon may gather Honey after a battle.,4,1,2,1,みつあつめ,Mitsu Atsume,Cherche Miel,Honigmaul,Mielincetta,Recogemiel,꿀모으기,Kkul Moeugi,採蜜 / 采蜜,Cǎimì / Chóimaht
119,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",4,1,12,8,おみとおし,Omitooshi,Fouille,Schnüffler,Indagine,Cacheo,통찰,Tongchal,察覺 / 察觉,Chájué / Chaatgok
120,Reckless,Powers up moves that have recoil damage.,4,0,3,9,すてみ,Sutemi,Téméraire,Achtlos,Temerarietà,Audaz,이판사판,Ipansapan,捨身 / 舍身,Shěshēn / Sésān
121,Multitype,Changes the Pokémon's type to match the Plate or Z-Crystal it holds.,4,1,0,0,マルチタイプ,Multitype,Multitype,Variabilität,Multitipo,Multitipo,멀티타입,Multi-Type,多屬性 / 多属性,Duō Shǔxìng / Dō Suhksing
122,Flower Gift,Boosts the Attack and Sp. Def stats of itself and allies when it is sunny.,4,1,0,0,フラワーギフト,Flower Gift,Don Floral,Pflanzengabe,Regalfiore,Don Floral,플라워기프트,Flower Gift,花之禮 / 花之礼,Huā-zhī Lǐ / Fā-jī Láih
123,Bad Dreams,Reduces the HP of sleeping opposing Pokémon.,4,1,0,0,ナイトメア,Nightmare,Mauvais Rêve,Alptraum,Sogniamari,Mal Sueño,나이트메어,Nightmare,夢魘 / 梦魇,Mèngyǎn / Muhngyím
124,Pickpocket,Steals an item from an attacker that made direct contact.,5,0,0,7,わるいてぐせ,Waruite Guse,Pickpocket,Langfinger,Arraffalesto,Hurto,나쁜손버릇,Nappeun Sonbeoreut,順手牽羊 / 顺手牵羊,Shùnshǒuqiānyáng / Seuhnsáuhīnyèuhng
125,Sheer Force,Removes additional effects to increase the power of moves when attacking.,5,2,6,18,ちからずく,Chikara Zuku,Sans Limite,Rohe Gewalt,Forzabruta,Potencia Bruta*,우격다짐,Ugyeokdajim,強行 / 强行,Qiángxíng / Kéuhnghàhng
126,Contrary,Makes stat changes have an opposite effect.,5,0,2,7,あまのじゃく,Ama no Jaku,Contestation,Umkehrung,Inversione,Respondón,심술꾸러기,Simsul Kkureogi,唱反調 / 唱反调,Chàngfǎndiào / Cheungfáandiuh
127,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,5,0,4,16,きんちょうかん,Kinchōkan,Tension,Anspannung,Agitazione,Nerviosismo,긴장감,Ginjanggam,緊張感 / 紧张感,Jǐnzhāng Gǎn / Gánjēung Gám
128,Defiant,Boosts the Pokémon's Attack stat sharply when its stats are lowered.,5,0,2,11,まけんき,Makenki,Acharné,Siegeswille,Agonismo,Competitivo,오기,Ogi,不服輸 / 不服输,Bù Fúshū / Bāt Fuhksyū
129,Defeatist,Halves the Pokémon's Attack and Sp. Atk stats when its HP becomes half or less.,5,2,0,0,よわき,Yowaki,Défaitiste,Schwächling,Sconforto,Flaqueza,무기력,Mugiryeok,軟弱 / 软弱,Ruǎnruò / Yúhnyeuhk
130,Cursed Body,May disable a move used on the Pokémon.,5,1,3,3,のろわれボディ,Noroware Body,Corps Maudit,Tastfluch,Corpofunesto,Cuerpo Maldito*,저주받은바디,Jeojubad-eun Body,詛咒之軀 / 诅咒之躯,Zǔzhòu-zhī Qū / Jojau-jī Kēui
131,Healer,Sometimes heals an ally's status condition.,5,3,2,3,いやしのこころ,Iyashi no Kokoro,Cœur Soin,Heilherz,Curacuore,Alma Cura,치유의마음,Chiyu-yi Ma'eum,治癒之心 / 治愈之心,Zhìyù-zhī Xīn / Jihyuh-jī Sām
132,Friend Guard,Reduces damage done to allies.,5,0,0,8,フレンドガード,Friend Guard,Garde Amie,Freundeshut,Amicoscudo,Compiescolta,프렌드가드,Friend Guard,友情防守,Yǒuqíng Fángshǒu / Yáuhchìhng Fòhngsáu
133,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,5,0,3,15,くだけるよろい,Kudakeru Yoroi,Armurouillée,Bruchrüstung,Sottilguscio,Armadura Frágil*,깨어진갑옷,Kkaeeojin Gab'ot,碎裂鎧甲 / 碎裂铠甲,Suìliè Kǎijiǎ / Seuiliht Hóigaap
134,Heavy Metal,Doubles the Pokémon's weight.,5,0,0,5,ヘヴィメタル,Heavy Metal,Heavy Metal,Schwermetall,Metalpesante,Metal Pesado*,헤비메탈,Heavy Metal,重金屬 / 重金属,Zhòngjīnshǔ / Chúhnggāmsuhk
135,Light Metal,Halves the Pokémon's weight.,5,0,0,5,ライトメタル,Light Metal,Light Metal,Leichtmetall,Metalleggero,Metal Liviano*,라이트메탈,Light Metal,輕金屬 / 轻金属,Qīngjīnshǔ / Hīnggāmsuhk
136,Multiscale,Reduces the amount of damage the Pokémon takes when its HP is full.,5,0,0,2,マルチスケイル,Multiscale,Multiécaille,Multischuppe,Multisquame,Compensación,멀티스케일,Multiscale,多重鱗片 / 多重鳞片,Duōchóng Línpiàn / Dōchùhng Lèuhnpin
137,Toxic Boost,Powers up physical attacks when the Pokémon is poisoned.,5,0,0,1,どくぼうそう,Doku Bōsō,Rage Poison,Giftwahn,Velenimpeto,Ímpetu Tóxico*,독폭주,Dok Pokju,中毒激升,Zhòngdú Jīshēng / Jungduhk Gīksīng
138,Flare Boost,Powers up special attacks when the Pokémon is burned.,5,0,0,2,ねつぼうそう,Netsu Bōsō,Rage Brûlure,Hitzewahn,Bruciaimpeto,Ímpetu Ardiente*,열폭주,Yeol Pokju,受熱激升 / 受热激升,Shòurè Jīshēng / Sauhyiht Gīksīng
139,Harvest,May create another Berry after one is used.,5,0,0,6,しゅうかく,Shūkaku,Récolte,Reiche Ernte,Coglibacche,Cosecha,수확,Suhwak,收穫 / 收获,Shōuhuò / Sāuwohk
140,Telepathy,Anticipates an ally's attack and dodges it.,5,0,3,18,テレパシー,Telepathy,Télépathe,Telepathie,Telepatia,Telepatía,텔레파시,Telepathy,心靈感應 / 心灵感应,Xīnlínggǎnyìng / Sāmlìhnggámying
141,Moody,Raises one stat sharply and lowers another every turn.,5,0,0,7,ムラっけ,Murakke,Lunatique,Gefühlswippe,Altalena,Veleta,변덕쟁이,Byeondeokjaeng-i,心情不定,Xīnqíng Bùdìng / Sāmchìhng Bātdihng
142,Overcoat,"Protects the Pokémon from things like sand, hail, and powder.",5,0,5,15,ぼうじん,Bōjin,Envelocape,Wetterfest,Copricapo,Funda,방진,Bangjin,防塵 / 防尘,Fángchén / Fòhngchàhn
143,Poison Touch,May poison a target when the Pokémon makes contact.,5,0,5,4,どくしゅ,Dokushu,Toxitouche,Giftgriff,Velentocco,Toque Tóxico,독수,Doksu,毒手,Dúshǒu / Duhksáu
144,Regenerator,Restores a little HP when withdrawn from battle.,5,1,3,15,さいせいりょく,Saiseiryoku,Régé-Force,Belebekraft,Rigenergia,Regeneración,재생력,Jaesaengnyeok,再生力,Zàishēng Lì / Joisāng Lihk
145,Big Pecks,Protects the Pokémon from Defense-lowering effects.,5,1,7,4,はとむね,Hato Mune,Cœur de Coq,Brustbieter,Pettinfuori,Sacapecho,부풀린가슴,Bupullin Gaseum,健壯胸肌 / 健壮胸肌,Jiànzhuàng Xiōngjī / Gihnjong Hūnggēi
146,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.,5,0,5,2,すなかき,Sunakaki,Baigne Sable,Sandscharrer,Remasabbia,Ímpetu Arena,모래헤치기,Morae Hechigi,撥沙 / 拨沙,Bōshā / Buhtsā
147,Wonder Skin,Makes status moves more likely to miss.,5,0,1,4,ミラクルスキン,Miracle Skin,Peau Miracle,Wunderhaut,Splendicute,Piel Milagro,미라클스킨,Miracle Skin,奇跡皮膚 / 奇迹皮肤,Qíjī Pífū / Kèihjīk Pèihfū
148,Analytic,Boosts move power when the Pokémon moves last.,5,0,0,12,アナライズ,Analyze,Analyste,Analyse,Ponderazione,Cálculo Final*,애널라이즈,Analyze,分析,Fēnxī / Fānsīk
149,Illusion,Comes out disguised as the Pokémon in the party's last spot.,5,2,0,0,イリュージョン,Illusion,Illusion,Trugbild,Illusione,Ilusión,일루전,Illusion,幻覺 / 幻觉,Huànjué / Waahngok
150,Imposter,The Pokémon transforms itself into the Pokémon it's facing.,5,0,0,1,かわりもの,Kawari Mono,Imposteur,Doppelgänger,Sosia,Impostor,괴짜,Goejja,變身者 / 变身者,Biànshēn Zhě / Binsān Jé
151,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",5,0,7,14,すりぬけ,Surinuke,Infiltration,Schwebedurch,Intrapasso,Allanamiento,틈새포착,Tuemsae Pochag,穿透,Chuāntòu / Chyūntau
152,Mummy,Contact with the Pokémon changes the attacker's Ability to Mummy.,5,2,0,0,ミイラ,Mīra,Momie,Mumie,Mummia,Momia,미라,Mira,木乃伊,Mùnǎiyī / Muhknáaihyī
153,Moxie,"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.",5,0,5,8,じしんかじょう,Jishin Kajō,Impudence,Hochmut,Arroganza,Autoestima,자기과신,Jagigwashin,自信過度 / 自信过度,Zìxìn Guòdù / Jihseun Gwodouh
154,Justified,"Being hit by a Dark-type move boosts the Attack stat of the Pokémon, for justice.",5,4,0,5,せいぎのこころ,Seigi no Kokoro,Cœur Noble,Redlichkeit,Giustizia,Justiciero,정의의마음,Jeong'ui-yi Ma'eum,正義之心 / 正义之心,Zhèngyì-zhī Xīn / Jingyih-jī Sām
155,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",5,0,0,13,びびり,Bibiri,Phobique,Hasenfuß,Paura,Cobardía,주눅,Junuk,膽怯 / 胆怯,Dǎnqiè / Dáamhip
156,Magic Bounce,"Reflects status moves, instead of getting hit by them.",5,3,0,3,マジックミラー,Magic Mirror,Miroir Magik,Magiespiegel,Magispecchio,Espejo Mágico*,매직미러,Magic Mirror,魔法鏡 / 魔法镜,Mófǎ Jìng / Mōfaat Geng
157,Sap Sipper,"Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.",5,2,7,8,そうしょく,Sōshoku,Herbivore,Vegetarier,Mangiaerba,Herbívoro,초식,Chosik,食草,Shícǎo / Sihkchóu
158,Prankster,Gives priority to a status move.,5,4,2,8,いたずらごころ,Itazura-gokoro,Farceur,Strolch,Burla,Bromista,짓궂은마음,Jitguch-eun Ma'eum,惡作劇之心 / 恶作剧之心,Èzuòjù-zhī Xīn / Okjokkehk-jī Sām
159,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",5,3,2,13,すなのちから,Suna no Chikara,Force Sable,Sandgewalt,Silicoforza,Poder Arena,모래의힘,Morae-yi Him,沙之力,Shā-zhī Lì / Sā-jī Lihk
160,Iron Barbs,Inflicts damage to the attacker on contact with iron barbs.,5,2,1,0,てつのトゲ,Tetsu no Toge,Épine de Fer,Eisenstachel,Spineferrate,Punta Acero,철가시,Cheol Gasi,鐵刺 / 铁刺,Tiěcì / Titchi
161,Zen Mode,Changes the Pokémon's shape when HP is half or less.,5,0,0,1,ダルマモード,Daruma Mode,Mode Transe,Trance-Modus,Stato Zen,Modo Daruma,달마모드,Dalma Mode,達摩模式 / 达摩模式,Dámó Móshì / Daahtmō Mòuhsīk
162,Victory Star,Boosts the accuracy of its allies and itself.,5,1,0,0,しょうりのほし,Shōri no Hoshi,Victorieux,Triumphstern,Vittorstella,Tinovictoria,승리의별,Seungni-yi Beol,勝利之星 / 胜利之星,Shènglì-zhī Xīng / Singleih-jī Sīng
163,Turboblaze,Moves can be used on the target regardless of its Abilities.,5,2,0,0,ターボブレイズ,Turboblaze,TurboBrasier,Turbobrand,Piroturbina,Turbollama,터보블레이즈,Turboblaze,渦輪火焰 / 涡轮火焰,Wōlún Huǒyàn / Wōlèuhn Fóyihm
164,Teravolt,Moves can be used on the target regardless of its Abilities.,5,2,0,0,テラボルテージ,Teravoltage,Téra-Voltage,Teravolt,Teravolt,Terravoltaje,테라볼티지,Teravoltage,兆級電壓 / 兆级电压,Zhàojí Diànyā / Siuhkāp Dihnaat
165,Aroma Veil,Protects itself and its allies from attacks that limit their move choices.,6,0,0,2,アロマベール,Aroma Veil,Aroma-Voile,Dufthülle,Aromavelo,Velo Aroma,아로마베일,Aroma Veil,芳香幕,Fāngxiāng Mù / Fōnghēung Mohk
166,Flower Veil,Ally Grass-type Pokémon are protected from status conditions and the lowering of their stats.,6,3,1,0,フラワーベール,Flower Veil,Flora-Voile,Blütenhülle,Fiorvelo,Velo Flor,플라워베일,Flower Veil,花幕,Huāmù / Fāmohk
167,Cheek Pouch,Restores HP as well when the Pokémon eats a Berry.,6,0,3,0,ほおぶくろ,Hō Bukuro,Bajoues,Backentaschen,Guancegonfie,Carrillo,볼주머니,Boljumeoni,頰囊 / 颊囊,Jiánáng / Gaapnòhng
168,Protean,Changes the Pokémon's type to the type of the move it's about to use.,6,0,0,4,へんげんじざい,Hengen Jizai,Protéen,Wandlungskunst,Mutatipo,Mutatipo,변환자재,Byeonhwan Jajae,變幻自如 / 变幻自如,Biànhuàn Zìrú / Binwaahn Jihyùh
169,Fur Coat,Halves the damage from physical moves.,6,1,1,0,ファーコート,Fur Coat,Toison Épaisse,Fellkleid,Foltopelo,Pelaje Recio,퍼코트,Fur Coat,毛皮大衣,Máopí Dàyī / Mòuhpèih Daaihyī
170,Magician,The Pokémon steals the held item of a Pokémon it hits with a move.,6,1,0,4,マジシャン,Magician,Magicien,Zauberer,Prestigiatore,Prestidigitador,매지션,Magician,魔術師 / 魔术师,Móshùshī / Mōseuhtsī
171,Bulletproof,Protects the Pokémon from some ball and bomb moves.,6,0,3,3,ぼうだん,Bōdan,Pare-Balles,Kugelsicher,Antiproiettile,Antibalas,방탄,Bangtan,防彈 / 防弹,Fángdàn / Fòhngdáan
172,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,6,0,7,1,かちき,Kachiki,Battant,Unbeugsamkeit,Tenacia,Tenacidad,승기,Seunggi,好勝 / 好胜,Hàoshèng / Housing
173,Strong Jaw,The Pokémon's strong jaw boosts the power of its biting moves.,6,3,3,0,がんじょうあご,Ganjō Ago,Prognathe,Titankiefer,Ferromascella,Mandíbula Fuerte,옹골찬턱,Onggolchanteok,強壯之顎 / 强壮之颚,Qiángzhuàng-zhī È / Kèuhngjong-jī Ngohk
174,Refrigerate,Normal-type moves become Ice-type moves. The power of those moves is boosted a little.,6,3,0,0,フリーズスキン,Freeze Skin,Peau Gelée,Frostschicht,Pellegelo,Piel Helada,프리즈스킨,Freeze Skin,冰凍皮膚 / 冰冻皮肤,Bīngdòng Pífū / Bīngdung Pèihfū
175,Sweet Veil,Prevents itself and ally Pokémon from falling asleep.,6,2,0,5,スイートベール,Sweet Veil,Gluco-Voile,Zuckerhülle,Dolcevelo,Velo Dulce,스위트베일,Sweet Veil,甜幕,Tiánmù / Tìhmmohk
176,Stance Change,"The Pokémon changes its form to Blade Forme when it uses an attack move, and changes to Shield Forme when it uses King's Shield.",6,1,0,0,バトルスイッチ,Battle Switch,Déclic Tactique,Taktikwechsel,Accendilotta,Cambio Táctico,배틀스위치,Battle Switch,戰鬥切換 / 战斗切换,Zhàndòu Qiēhuàn / Jindau Chitwuhn
177,Gale Wings,Gives priority to Flying-type moves when the Pokémon's HP is full.,6,0,0,3,はやてのつばさ,Hayate no Tsubasa,Ailes Bourrasque,Orkanschwingen,Aliraffica,Alas Vendaval,질풍날개,Jilpung Nalgae,疾風之翼 / 疾风之翼,Jífēng-zhī Yì / Jahtfūng-jī Yihk
178,Mega Launcher,Powers up aura and pulse moves.,6,3,0,0,メガランチャー,Mega Launcher,Méga Blaster,Megawumme,Megalancio,Megadisparador,메가런처,Mega Launcher,超級發射器 / 超级发射器,Chāojí Fāshèqì / Chīukāp Faatsehhei
179,Grass Pelt,Boosts the Pokémon's Defense stat in Grassy Terrain.,6,0,0,2,くさのけがわ,Grass Pelt,Toison Herbue,Pflanzenpelz,Peloderba,Manto Frondoso,풀모피,Pulmopi,草之毛皮,Cǎo-zhī Máopí / Chóu-jī Mòuhpèih
180,Symbiosis,The Pokémon passes its item to an ally that has used up an item.,6,0,0,4,きょうせい,Kyōsei,Symbiose,Nutznießer,Simbiosi,Simbiosis,공생,Gongsaeng,共生,Gòngshēng / Guhngsāng
181,Tough Claws,Powers up moves that make direct contact.,6,3,2,0,かたいツメ,Katai Tsume,Griffe Dure,Krallenwucht,Unghiedure,Garra Dura,단단한 발톱,Dandanhan Baltop,硬爪,Yìngzhuǎ / Ngaahngjáau
182,Pixilate,Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.,6,2,0,1,フェアリースキン,Fairy Skin,Peau Féérique,Feenschicht,Pellefolletto,Piel Feérica,페어리스킨,Fairy Skin,妖精皮膚 / 妖精皮肤,Yāojing Pífū / Yīujīng Pèihfū
183,Gooey,Contact with the Pokémon lowers the attacker's Speed stat.,6,0,0,3,ぬめぬめ,Numenume,Poisseux,Viskosität,Viscosità,Baba,미끈미끈,Mikkeunmikkeun,黏滑,Niánhuá / Nìhmwaaht
184,Aerilate,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.,6,2,0,0,スカイスキン,Sky Skin,Peau Céleste,Zenithaut,Pellecielo,Piel Celeste,스카이스킨,Sky Skin,飛行皮膚 / 飞行皮肤,Fēixíng Pífū / Fēihàhng Pèihfū
185,Parental Bond,Parent and child each attacks.,6,1,0,0,おやこあい,Oyako Ai,Amour Filial,Familienbande,Amorefiliale,Amor Filial,부자유친,Bujayuchin,親子愛 / 亲子爱,Qīnzǐ Ài / Chānjí Oi
186,Dark Aura,Powers up each Pokémon's Dark-type moves.,6,1,0,0,ダークオーラ,Dark Aura,Aura Ténébreuse,Dunkelaura,Auratetra,Aura Oscura,다크오라,Dark Aura,暗黑氣場 / 暗黑气场,Ànhēi Qìchǎng / Amhāk Heichèuhng
187,Fairy Aura,Powers up each Pokémon's Fairy-type moves.,6,1,0,0,フェアリーオーラ,Fairy Aura,Aura Féérique,Feenaura,Aurafolletto,Aura Feérica,페어리오라,Fairy Aura,妖精氣場 / 妖精气场,Yāojing Qìchǎng / Yīujīng Heichèuhng
188,Aura Break,"The effects of ""Aura"" Abilities are reversed to lower the power of affected moves.",6,0,1,0,オーラブレイク,Aura Break,Aura Inversée,Aura-Umkehr,Frangiaura,Rompeaura,오라브레이크,Aura Break,氣場破壞 / 气场破坏,Qìchǎng Pòhuài / Heichèuhng Powaaih
189,Primordial Sea,The Pokémon changes the weather to nullify Fire-type attacks.,6,1,0,0,はじまりのうみ,Hajimari no Umi,Mer Primaire,Urmeer,Mare Primordiale,Mar del Albor,시작의바다,Sijak-ui Bada,始源之海,Shǐyuán-zhī Hǎi / Chíyùhn-jī Hói
190,Desolate Land,The Pokémon changes the weather to nullify Water-type attacks.,6,1,0,0,おわりのだいち,Owari no Daichi,Terre Finale,Endland,Terra Estrema,Tierra del Ocaso,끝의대지,Kkeut-ui Daeji,終結之地 / 终结之地,Zhōngjié-zhī Dì / Jūnggit-jī Deih
191,Delta Stream,The Pokémon changes the weather to eliminate all of the Flying type's weaknesses.,6,1,0,0,デルタストリーム,Delta Stream,Souffle Delta,Delta-Wind,Flusso Delta,Ráfaga Delta,델타스트림,Delta Stream,德爾塔氣流 / 德尔塔气流,Dé'ěrtǎ Qìliú / Dākyíhtaap Heilàuh
192,Stamina,Boosts the Defense stat when hit by an attack.,7,0,2,0,じきゅうりょく,Jikyūryoku,Endurance,Zähigkeit,Sopportazione,Firmeza,지구력,Jiguryeok,持久力,Chíjiǔlì / Chìhgáulihk
193,Wimp Out,The Pokémon cowardly switches out when its HP becomes half or less.,7,1,0,0,にげごし,Nigegoshi,Escampette,Reißaus,Fuggifuggi,Huida,도망태세,Domang Taese,躍躍欲逃 / 跃跃欲逃,Yuèyuèyùtáo / Yeuhkyeuhkyuhktòuh
194,Emergency Exit,"The Pokémon, sensing danger, switches out when its HP becomes half or less.",7,1,0,0,ききかいひ,Kiki Kaihi,Repli Tactique,Rückzug,Passoindietro,Retirada,위기회피,Wigi Hoepi,危險迴避 / 危险回避,Wéixiǎn Huíbì / Ngàihhím Wùihbeih
195,Water Compaction,Boosts the Pokémon's Defense stat sharply when hit by a Water-type move.,7,2,0,0,みずがため,Mizu Gatame,Sable Humide,Verklumpen,Idrorinforzo,Hidrorrefuerzo,꾸덕꾸덕굳기,Kkudeok-kkudeok Gutgi,遇水凝固,Yù Shuǐ Nínggù / Yuh Séui Yìhnggu
196,Merciless,The Pokémon's attacks become critical hits if the target is poisoned.,7,0,2,0,ひとでなし,Hitodenashi,Cruauté,Quälerei,Spietatezza,Ensañamiento,무도한행동,Mudohan Haengdong,不仁不義 / 不仁不义,Bùrén Bùyì / Bātyàhn Bātyih
197,Shields Down,"When its HP becomes half or less, the Pokémon's shell breaks and it becomes aggressive.",7,1,0,0,リミットシールド,Limit Shield,Bouclier-Carcan,Limitschild,Scudosoglia,Escudo Limitado,리밋실드,Limit Shield,界限盾殼 / 界限盾壳,Jièxiàn Dùnké / Gaaihaahn Téuhnhok
198,Stakeout,Doubles the damage dealt to the target's replacement if the target switches out.,7,0,2,0,はりこみ,Harikomi,Filature,Beschattung,Sorveglianza,Vigilante,잠복,Chambok,"監視*
蹲守*","Jiānshì / Gāamsih*
Dūnshǒu*"
199,Water Bubble,Lowers the power of Fire-type moves done to the Pokémon and prevents the Pokémon from getting a burn.,7,2,0,0,すいほう,Suihō,Aquabulle,Wasserblase,Bolladacqua,Pompa,수포,Supo,水泡,Shuǐpào / Séuipóuh
200,Steelworker,Powers up Steel-type moves.,7,1,0,0,はがねつかい,Hagane Tsukai,Expert Acier,Stahlprofi,Tempracciaio,Acero Templado,강철술사,Gangcheolsulsa,鋼能力者 / 钢能力者,Gāng Nénglì Zhě / Gōng Nàhnglihk Jé
201,Berserk,Boosts the Pokémon's Sp. Atk stat when it takes a hit that causes its HP to become half or less.,7,0,1,0,ぎゃくじょう,Gyakujō,Dracolère,Wutausbruch,Furore,Cólera,발끈,Balkkeun,怒火沖天 / 怒火冲天,Nùhuǒ Chōngtiān / Nouhfó Chūngtīn
202,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,7,0,2,2,ゆきかき,Yuki Kaki,Chasse-Neige,Schneescharrer,Spalaneve,Quitanieves,눈치우기,Nun Chiugi,撥雪 / 拨雪,Bōxuě / Buhtsyut
203,Long Reach,The Pokémon uses its moves without making contact with the target.,7,0,0,3,えんかく,Enkaku,Longue Portée,Langstrecke,Distacco,Remoto,원격,Wongyeok,遠隔 / 远隔,Yuǎngé / Yúhngaak
204,Liquid Voice,All sound-based moves become Water-type moves.,7,0,0,3,うるおいボイス,Uruoi Voice,Hydrata-Son,Plätscherstimme,Idrovoce,Voz Fluida,촉촉보이스,Chokchok Voice,濕潤之聲 / 湿润之声,Shīrùn-zhī Shēng / Sāpyeuhn-jī Sīng
205,Triage,Gives priority to a healing move.,7,0,1,0,ヒーリングシフト,Healing Shift,Prioguérison,Heilwandel,Primacura,Primer Auxilio,힐링시프트,Healing Shift,先行治療 / 先行治疗,Xiānxíng Zhìliáo / Sīnhàahng Jihlìuh
206,Galvanize,Normal-type moves become Electric-type moves. The power of those moves is boosted a little.,7,0,0,3,エレキスキン,Electric Skin,Peau Électrique,Elektrohaut,Pellelettro,Piel Eléctrica,일렉트릭스킨,Electric Skin,電氣皮膚 / 电气皮肤,Diànqì Pífū / Dihnhei Pèihfū
207,Surge Surfer,Doubles the Pokémon's Speed stat on Electric Terrain.,7,1,0,0,サーフテール,Surf Tail,Surf Caudal,Surf-Schweif,Codasurf,Cola Surf,서핑테일,Surfing Tail,衝浪之尾 / 冲浪之尾,Chōnglàng-zhī Wěi / Chūnglohng-jī Méih
208,Schooling,"When it has a lot of HP, the Pokémon forms a powerful school. It stops schooling when its HP is low.",7,1,0,0,ぎょぐん,Gyogun,Banc,Fischschwarm,Banco,Banco,어군,Eogun,魚群 / 鱼群,Yúqún / Yùhkwàhn
209,Disguise,"Once per battle, the shroud that covers the Pokémon can protect it from an attack.",7,1,0,0,ばけのかわ,Bake no Kawa,Fantômasque,Kostümspuk,Fantasmanto,Disfraz,탈,Tal,畫皮 / 画皮,Huàpí / Wahpèih
210,Battle Bond,"Defeating an opposing Pokémon strengthens the Pokémon's bond with its Trainer, and it becomes Ash-Greninja. Water Shuriken gets more powerful.",7,1,0,0,きずなへんげ,Kizuna Henge,Synergie,Freundschaftsakt,Morfosintonia,Fuerte Afecto,유대변화,Yudae Byeonhwa,牽絆變身 / 牵绊变身,Qiānbàn Biànshēn / Hīnbuhn Binsān
211,Power Construct,Other Cells gather to aid when its HP becomes half or less. Then the Pokémon changes its form to Complete Forme.,7,0,1,0,スワームチェンジ,Swarm Change,Rassemblement,Scharwandel,Sciamefusione,Agrupamiento,스웜체인지,Swarm Change,群聚變形 / 群聚变形,Qúnjù Biànxíng / Kwàhnjeuih Binyìhng
212,Corrosion,The Pokémon can poison the target even if it's a Steel or Poison type.,7,2,0,0,ふしょく,Fushoku,Corrosion,Korrosion,Corrosione,Corrosión,부식,Busig,腐蝕 / 腐蚀,Fǔshí / Fuhsihk
