Name,Dex,Dex_Suffix,Alt,Item,Class,LDex,LDex_Suffix,Type,Type2,Female,Male,Unbreedable,Egg Group 1,Egg Group 2,Cycles,Steps_Gen2,Steps_Gen3,Steps_Gen4,Steps_Gen5,Steps_Gen6,WeightLbs,WeightKg,Experience type,Body,Type1,Gen
Cyndaquil,155,,,,,4,,Fire,,1,7,,Field,,20,5120,5376,5355,5140,5120,17.4,7.9,Medium Slow,"bipedal, tailless form",Fire,2
Azelf,482,,,,,148,,Psychic,,,,U,Undiscovered,,80,,,20655,20560,20480,0.7,0.3,Slow,"bipedal, tailed form",Psychic,4
Decidueye,724,,,,,3,,Grass,Ghost,1,7,,Flying,,15,,,,,3840,80.7,36.6,Medium Slow,single pair of wings,Grass,7
Uxie,480,,,,,146,,Psychic,,,,U,Undiscovered,,80,,,20655,20560,20480,0.7,0.3,Slow,"bipedal, tailed form",Psychic,4
Sawsbuck,586,,,,Summer Form,92,,Normal,Grass,1,1,,Field,,20,,,,5140,5120,203.9,92.5,Medium Fast,quadruped body,Normal,5
Drifloon,425,,,,,65,,Ghost,Flying,1,1,,Amorphous,,30,,,7905,7710,7680,2.6,1.2,Fluctuating,head and arms,Ghost,4
Aerodactyl,142,M,,Aerodactylite,Mega,142,,Rock,Flying,1,7,,Flying,,35,8960,9216,9180,8995,8960,130.1,59,Slow,single pair of wings,Rock,1
Trapinch,328,,,,,116,,Ground,,1,1,,Bug,,20,,5376,5355,5140,5120,33.1,15,Medium Slow,insectoid body,Ground,3
Gorebyss,368,,,,,178,,Water,,1,1,,Water 1,,20,,5376,5355,5140,5120,49.8,22.6,Erratic,serpentine bodies,Water,3
Pikachu,25,,,,Sinnoh Cap,25,,Electric,,1,1,,Field,Fairy,10,2560,2816,2805,2570,2560,13.2,6,Medium Fast,quadruped body,Electric,1
Sliggoo,705,,,,,20,Mo,Dragon,,1,1,,Dragon,,40,,,,10280,10240,38.6,17.5,Slow,serpentine bodies,Dragon,6
Marowak,105,A,,,Alolan,,,Fire,Ghost,1,1,,Monster,,20,5120,5376,5355,5140,5120,99.2,45,Medium Fast,"bipedal, tailed form",Ground,1
Minior,774,,,,Meteor Form,213,,Rock,Flying,,,,Mineral,,25,,,,,6400,88.2,40,Medium Slow,head,Rock,7
Staravia,397,,,,,11,,Normal,Flying,1,1,,Flying,,15,,,4080,3855,3840,34.2,15.5,Medium Slow,single pair of wings,Normal,4
Cherubi,420,,,,,58,,Grass,,1,1,,Fairy,Grass,20,,,5355,5140,5120,7.3,3.3,Medium Fast,multiple bodies,Grass,4
Lumineon,457,,,,,135,,Water,,1,1,,Water 2,,20,,,5355,5140,5120,52.9,24,Erratic,fins,Water,4
Slowpoke,79,,,,,79,,Water,Psychic,1,1,,Monster,Water 1,20,5120,5376,5355,5140,5120,79.4,36,Medium Fast,quadruped body,Water,1
Swampert,260,,,,,9,,Water,Ground,1,7,,Monster,Water 1,20,,5376,5355,5140,5120,180.6,81.9,Medium Slow,"bipedal, tailed form",Water,3
Karrablast,588,,,,,94,,Bug,,1,1,,Bug,,15,,,,3855,3840,13,5.9,Medium Fast,"bipedal, tailless form",Bug,5
Nincada,290,,,,,42,,Bug,Ground,1,1,,Bug,,15,,4096,4080,3855,3840,12.1,5.5,Erratic,insectoid body,Bug,3
Chinchou,170,,,,,176,,Water,Electric,1,1,,Water 2,,20,5120,5376,5355,5140,5120,26.5,12,Slow,fins,Water,2
Bellossom,182,,,,,86,,Grass,,1,1,,Grass,,20,5120,5376,5355,5140,5120,12.8,5.8,Medium Slow,"bipedal, tailless form",Grass,2
Vivillon,666,,,,Sun Pattern,22,Ce,Bug,Flying,1,1,,Bug,,15,,,,3855,3840,37.5,17,Medium Fast,two or more pairs of wings,Bug,6
Exeggutor,103,,,,,103,,Grass,Psychic,1,1,,Grass,,20,5120,5376,5355,5140,5120,264.6,120,Slow,head and legs,Grass,1
Audino,531,M,,Audinite,Mega,37,,Normal,Fairy,1,1,,Fairy,,20,,,,5140,5120,68.3,31,Fast,"bipedal, tailed form",Normal,5
Gastrodon,423,E,,,East Sea,61,,Water,Ground,1,1,,Water 1,Amorphous,20,,,5355,5140,5120,65.9,29.9,Medium Fast,serpentine bodies,Water,4
Simisear,514,,,,,20,,Fire,,1,7,,Field,,20,,,,5140,5120,61.7,28,Medium Fast,"bipedal, tailed form",Fire,5
Primeape,57,,,,,57,,Fighting,,1,1,,Field,,20,5120,5376,5355,5140,5120,70.5,32,Medium Fast,"bipedal, tailed form",Fighting,1
Mareep,179,,,,,53,,Electric,,1,1,,Monster,Field,20,5120,5376,5355,5140,5120,17.2,7.8,Medium Slow,quadruped body,Electric,2
Teddiursa,216,,,,,198,,Normal,,1,1,,Field,,20,5120,5376,5355,5140,5120,19.4,8.8,Medium Fast,"bipedal, tailed form",Normal,2
Tranquill,520,,,,,26,,Normal,Flying,1,1,,Flying,,15,,,,3855,3840,33.1,15,Medium Slow,single pair of wings,Normal,5
Florges,671,,,,Yellow Flower,70,Ce,Fairy,,1,0,,Fairy,,20,,,,5140,5120,22,10,Medium Fast,head and arms,Fairy,6
Timburr,532,,,,,38,,Fighting,,1,3,,Human-Like,,20,,,,5140,5120,27.6,12.5,Medium Slow,"bipedal, tailless form",Fighting,5
Chimecho,358,,,,,151,,Psychic,,1,1,,Amorphous,,25,,6656,6630,6425,6400,2.2,1,Fast,head and arms,Psychic,3
Blastoise,9,,,,,9,,Water,,1,7,,Monster,Water 1,20,5120,5376,5355,5140,5120,188.5,85.5,Medium Slow,"bipedal, tailed form",Water,1
Machamp,68,,,,,68,,Fighting,,1,3,,Human-Like,,20,5120,5376,5355,5140,5120,286.6,130,Medium Slow,"bipedal, tailless form",Fighting,1
Blaziken,257,,,,,6,,Fire,Fighting,1,7,,Field,,20,,5376,5355,5140,5120,114.6,52,Medium Slow,"bipedal, tailed form",Fire,3
Keldeo,647,,,,Resolute Form,153,,Water,Fighting,,,U,Undiscovered,,80,,,,20560,20480,106.9,48.5,Slow,quadruped body,Water,5
Garchomp,445,M,,Garchompite,Mega,111,,Dragon,Ground,1,1,,Monster,Dragon,40,,,10455,10280,10240,209.4,95,Slow,"bipedal, tailed form",Dragon,4
Manaphy,490,,,,,151,,Water,,,,,Water 1,Fairy,10,,,2805,2570,2560,3.1,1.4,Slow,"bipedal, tailless form",Water,4
Bellsprout,69,,,,,69,,Grass,Poison,1,1,,Grass,,20,5120,5376,5355,5140,5120,8.8,4,Medium Slow,"bipedal, tailless form",Grass,1
Togetic,176,,,,,47,,Fairy,Flying,1,7,,Flying,Fairy,10,2560,2816,2805,2570,2560,7.1,3.2,Fast,"bipedal, tailless form",Fairy,2
Rhyhorn,111,,,,,111,,Ground,Rock,1,1,,Monster,Field,20,5120,5376,5355,5140,5120,253.5,115,Slow,quadruped body,Ground,1
Tentacruel,73,,,,,73,,Water,Poison,1,1,,Water 3,,20,5120,5376,5355,5140,5120,121.3,55,Slow,tentacles or a multiped body,Water,1
Minccino,572,,,,,78,,Normal,,3,1,,Field,,15,,,,3855,3840,12.8,5.8,Fast,quadruped body,Normal,5
Meditite,307,,,,,76,,Fighting,Psychic,1,1,,Human-Like,,20,,5376,5355,5140,5120,24.7,11.2,Medium Fast,"bipedal, tailless form",Fighting,3
Manectric,310,M,,Manectite,Mega,79,,Electric,,1,1,,Field,,20,,5376,5355,5140,5120,88.6,40.2,Slow,quadruped body,Electric,3
Vivillon,666,,,,Ocean Pattern,22,Ce,Bug,Flying,1,1,,Bug,,15,,,,3855,3840,37.5,17,Medium Fast,two or more pairs of wings,Bug,6
Absol,359,,,,,152,,Dark,,1,1,,Field,,25,,6656,6630,6425,6400,103.6,47,Medium Slow,quadruped body,Dark,3
Sawsbuck,586,,,,Winter Form,92,,Normal,Grass,1,1,,Field,,20,,,,5140,5120,203.9,92.5,Medium Fast,quadruped body,Normal,5
Gardevoir,282,M,,Gardevoirite,Mega,31,,Psychic,Fairy,1,1,,Amorphous,,20,,5376,5355,5140,5120,106.7,48.4,Slow,"bipedal, tailless form",Psychic,3
Silvally,773,,,,Type: Flying,204,,Normal,,,,U,Undiscovered,,120,,,,,30720,221.6,100.5,Slow,quadruped body,Normal,7
Seadra,117,,,,,117,,Water,,1,1,,Water 1,Dragon,20,5120,5376,5355,5140,5120,55.1,25,Medium Fast,head and a base,Water,1
Barbaracle,689,,,,,22,Co,Rock,Water,1,1,,Water 3,,20,,,,5140,5120,211.6,96,Medium Fast,multiple bodies,Rock,6
Arceus,493,,,,Type: Fighting,,,Normal,,,,U,Undiscovered,,120,,,30855,30840,30720,705.5,320,Slow,quadruped body,Normal,4
Grubbin,736,,,,,27,,Bug,,1,1,,Bug,,15,,,,,3840,9.7,4.4,Medium Fast,insectoid body,Bug,7
Starmie,121,,,,,121,,Water,Psychic,,,,Water 3,,20,5120,5376,5355,5140,5120,176.4,80,Slow,head and a base,Water,1
Meowth,52,,,,,52,,Normal,,1,1,,Field,,20,5120,5376,5355,5140,5120,9.3,4.2,Medium Fast,quadruped body,Normal,1
Jirachi,385,,,,,201,,Steel,Psychic,,,U,Undiscovered,,120,,30976,30855,30840,30720,2.4,1.1,Slow,"bipedal, tailless form",Steel,3
Tornadus,641,,,,Incarnate Forme,147,,Flying,,0,1,U,Undiscovered,,120,,,,30840,30720,138.9,63,Slow,head and arms,Flying,5
Metang,375,,,,,191,,Steel,Psychic,,,,Mineral,,40,,10496,10455,10280,10240,446.4,202.5,Slow,head and arms,Steel,3
Whismur,293,,,,,45,,Normal,,1,1,,Monster,Field,20,,5376,5355,5140,5120,35.9,16.3,Medium Slow,"bipedal, tailed form",Normal,3
Jynx,124,,,,,124,,Ice,Psychic,1,0,,Human-Like,,25,6400,6656,6630,6425,6400,89.5,40.6,Medium Fast,"bipedal, tailless form",Ice,1
Spoink,325,,,,,110,,Psychic,,1,1,,Field,,20,,5376,5355,5140,5120,67.5,30.6,Fast,head and arms,Psychic,3
Marill,183,,,,,132,,Water,Fairy,1,1,,Water 1,Fairy,10,2560,2816,2805,2570,2560,18.7,8.5,Fast,"bipedal, tailed form",Water,2
Arbok,24,,,,,24,,Poison,,1,1,,Field,Dragon,20,5120,5376,5355,5140,5120,143.3,65,Medium Fast,serpentine bodies,Poison,1
Cloyster,91,,,,,91,,Water,Ice,1,1,,Water 3,,20,5120,5376,5355,5140,5120,292.1,132.5,Slow,head,Water,1
Mudbray,749,,,,,132,,Ground,,1,1,,Field,,20,,,,,5120,242.5,110,Medium Fast,quadruped body,Ground,7
Croconaw,159,,,,,8,,Water,,1,7,,Monster,Water 1,20,5120,5376,5355,5140,5120,55.1,25,Medium Slow,"bipedal, tailed form",Water,2
Yveltal,717,,,,,149,Mo,Dark,Flying,,,U,Undiscovered,,120,,,,30840,30720,447.5,203,Slow,single pair of wings,Dark,6
Hydreigon,635,,,,,141,,Dark,Dragon,1,1,,Dragon,,40,,,,10280,10240,352.7,160,Slow,"bipedal, tailed form",Dark,5
Rayquaza,384,,,,,200,,Dragon,Flying,,,U,Undiscovered,,120,,30976,30855,30840,30720,455.2,206.5,Slow,serpentine bodies,Dragon,3
Scrafty,560,,,,,66,,Dark,Fighting,1,1,,Field,Dragon,15,,,,3855,3840,66.1,30,Medium Fast,"bipedal, tailed form",Dark,5
Brionne,729,,,,,8,,Water,,1,7,,Water 1,Field,15,,,,,3840,38.6,17.5,Medium Slow,fins,Water,7
Snorunt,361,,,,,171,,Ice,,1,1,,Fairy,Mineral,20,,5376,5355,5140,5120,37,16.8,Medium Fast,"bipedal, tailless form",Ice,3
Snubbull,209,,,,,125,,Fairy,,3,1,,Field,Fairy,20,5120,5376,5355,5140,5120,17.2,7.8,Fast,"bipedal, tailless form",Fairy,2
Snover,459,,,,,142,,Grass,Ice,1,1,,Monster,Grass,20,,,5355,5140,5120,111.3,50.5,Slow,"bipedal, tailed form",Grass,4
Swellow,277,,,,,26,,Normal,Flying,1,1,,Flying,,15,,4096,4080,3855,3840,43.7,19.8,Medium Slow,single pair of wings,Normal,3
Kingler,99,,,,,99,,Water,,1,1,,Water 3,,20,5120,5376,5355,5140,5120,132.3,60,Medium Fast,insectoid body,Water,1
Abomasnow,460,M,,Abomasite,Mega,143,,Grass,Ice,1,1,,Monster,Grass,20,,,5355,5140,5120,298.7,135.5,Slow,"bipedal, tailed form",Grass,4
Ampharos,181,,,,,55,,Electric,,1,1,,Monster,Field,20,5120,5376,5355,5140,5120,135.6,61.5,Medium Slow,"bipedal, tailed form",Electric,2
Seaking,119,,,,,119,,Water,,1,1,,Water 2,,20,5120,5376,5355,5140,5120,86,39,Medium Fast,fins,Water,1
Wooper,194,,,,,56,,Water,Ground,1,1,,Water 1,Field,20,5120,5376,5355,5140,5120,18.7,8.5,Medium Fast,head and legs,Water,2
Shuckle,213,,,,,168,,Bug,Rock,1,1,,Bug,,20,5120,5376,5355,5140,5120,45.2,20.5,Medium Slow,insectoid body,Bug,2
Rotom,479,,,,Frost,152,,Electric,Ghost,,,,Amorphous,,20,,,5355,5140,5120,0.7,0.3,Medium Fast,head,Electric,4
Baltoy,343,,,,,131,,Ground,Psychic,,,,Mineral,,20,,5376,5355,5140,5120,47.4,21.5,Medium Fast,head and arms,Ground,3
Woobat,527,,,,,33,,Psychic,Flying,1,1,,Field,Flying,15,,,,3855,3840,4.6,2.1,Medium Fast,single pair of wings,Psychic,5
Mewtwo,150,MX,X,,Mega  X,150,,Psychic,,,,U,Undiscovered,,120,30720,30976,30855,30840,30720,269,122,Slow,"bipedal, tailed form",Psychic,1
Heracross,214,,,,,114,,Bug,Fighting,1,1,,Bug,,25,6400,6656,6630,6425,6400,119,54,Slow,"bipedal, tailless form",Bug,2
Piplup,393,,,,,7,,Water,,1,7,,Water 1,Field,20,,,5355,5140,5120,11.5,5.2,Medium Slow,"bipedal, tailless form",Water,4
Vulpix,37,,,,,37,,Fire,,3,1,,Field,,20,5120,5376,5355,5140,5120,21.8,9.9,Medium Fast,quadruped body,Fire,1
Feraligatr,160,,,,,9,,Water,,1,7,,Monster,Water 1,20,5120,5376,5355,5140,5120,195.8,88.8,Medium Slow,"bipedal, tailed form",Water,2
Murkrow,198,,,,,213,,Dark,Flying,1,1,,Flying,,20,5120,5376,5355,5140,5120,4.6,2.1,Medium Slow,single pair of wings,Dark,2
Audino,531,,,,,37,,Normal,,1,1,,Fairy,,20,,,,5140,5120,68.3,31,Fast,"bipedal, tailed form",Normal,5
Wynaut,360,,,,,160,,Psychic,,1,1,U,Undiscovered,,20,,5376,5355,5140,5120,30.9,14,Medium Fast,"bipedal, tailed form",Psychic,3
Carnivine,455,,,,,131,,Grass,,1,1,,Grass,,25,,,6630,6425,6400,59.5,27,Slow,tentacles or a multiped body,Grass,4
Florges,671,,,,Blue Flower,70,Ce,Fairy,,1,0,,Fairy,,20,,,,5140,5120,22,10,Medium Fast,head and arms,Fairy,6
Zekrom,644,,,,Overdrive mode,150,,Dragon,Electric,,,U,Undiscovered,,120,,,,30840,30720,760.6,345,Slow,"bipedal, tailed form",Dragon,5
Prinplup,394,,,,,8,,Water,,1,7,,Water 1,Field,20,,,5355,5140,5120,50.7,23,Medium Slow,"bipedal, tailed form",Water,4
Camerupt,323,,,,,102,,Fire,Ground,1,1,,Field,,20,,5376,5355,5140,5120,485,220,Medium Fast,quadruped body,Fire,3
Deoxys,386,A,,,Attack Forme,202,,Psychic,,,,U,Undiscovered,,120,,30976,30855,30840,30720,134,60.8,Slow,"bipedal, tailless form",Psychic,3
Chingling,433,,,,,82,,Psychic,,1,1,U,Undiscovered,,25,,,6630,6425,6400,1.3,0.6,Fast,"bipedal, tailless form",Psychic,4
Crawdaunt,342,,,,,130,,Water,Dark,1,1,,Water 1,Water 3,15,,4096,4080,3855,3840,72.3,32.8,Fluctuating,insectoid body,Water,3
Diancie,719,M,,Diancite,Mega,151,Ce,Rock,Fairy,,,U,Undiscovered,,25,,,,6425,6400,19.4,8.8,Slow,head and arms,Rock,6
Arceus,493,,,,Type: Ice,,,Normal,,,,U,Undiscovered,,120,,,30855,30840,30720,705.5,320,Slow,quadruped body,Normal,4
Sceptile,254,M,,Sceptilite,Mega,3,,Grass,Dragon,1,7,,Monster,Dragon,20,,5376,5355,5140,5120,115.1,52.2,Medium Slow,"bipedal, tailed form",Grass,3
Pikachu,25,,,,Partner Cap,25,,Electric,,1,1,,Field,Fairy,10,2560,2816,2805,2570,2560,13.2,6,Medium Fast,quadruped body,Electric,1
Steelix,208,,,,,63,,Steel,Ground,1,1,,Mineral,,25,6400,6656,6630,6425,6400,881.8,400,Medium Fast,serpentine bodies,Steel,2
Victini,494,,,,,0,,Psychic,Fire,,,U,Undiscovered,,120,,,,30840,30720,8.8,4,Slow,"bipedal, tailless form",Psychic,5
Porygon,137,,,,,137,,Normal,,,,,Mineral,,20,5120,5376,5355,5140,5120,80.5,36.5,Medium Fast,head and legs,Normal,1
Lairon,305,,,,,71,,Steel,Rock,1,1,,Monster,,35,,9216,9180,8995,8960,264.6,120,Slow,quadruped body,Steel,3
Staraptor,398,,,,,12,,Normal,Flying,1,1,,Flying,,15,,,4080,3855,3840,54.9,24.9,Medium Slow,single pair of wings,Normal,4
Crabominable,740,,,,,60,,Fighting,Ice,1,1,,Water 3,,20,,,,,5120,396.8,180,Medium Fast,insectoid body,Fighting,7
Vivillon,666,,,,Marine Pattern,22,Ce,Bug,Flying,1,1,,Bug,,15,,,,3855,3840,37.5,17,Medium Fast,two or more pairs of wings,Bug,6
Yanmega,469,,,,,184,,Bug,Flying,1,1,,Bug,,20,,,5355,5140,5120,113.5,51.5,Medium Fast,two or more pairs of wings,Bug,4
Parasect,47,,,,,47,,Bug,Grass,1,1,,Bug,Grass,20,5120,5376,5355,5140,5120,65,29.5,Medium Fast,insectoid body,Bug,1
Blacephalon,806,,,,,393,,Fire,Ghost,,,U,Undiscovered,,120,,,,,30720,28.7,13,Slow,"bipedal, tailless form",Fire,7
Marshtomp,259,,,,,8,,Water,Ground,1,7,,Monster,Water 1,20,,5376,5355,5140,5120,61.7,28,Medium Slow,"bipedal, tailed form",Water,3
Lurantis,754,,,,,144,,Grass,,1,1,,Grass,,20,,,,,5120,40.8,18.5,Medium Fast,"bipedal, tailless form",Grass,7
Duskull,355,,,,,148,,Ghost,,1,1,,Amorphous,,25,,6656,6630,6425,6400,33.1,15,Fast,head and arms,Ghost,3
Victreebel,71,,,,,71,,Grass,Poison,1,1,,Grass,,20,5120,5376,5355,5140,5120,34.2,15.5,Medium Slow,head and a base,Grass,1
Lunala,792,,,,Full Moon phase,292,,Psychic,Ghost,,,U,Undiscovered,,120,,,,,30720,264.6,120,Slow,single pair of wings,Psychic,7
Tirtouga,564,,,,,70,,Water,Rock,1,7,,Water 1,Water 3,30,,,,7710,7680,36.4,16.5,Medium Fast,quadruped body,Water,5
Cottonee,546,,,,,52,,Grass,Fairy,1,1,,Grass,Fairy,20,,,,5140,5120,1.3,0.6,Medium Fast,head,Grass,5
Gloom,44,,,,,44,,Grass,Poison,1,1,,Grass,,20,5120,5376,5355,5140,5120,19,8.6,Medium Slow,"bipedal, tailless form",Grass,1
Bouffalant,626,,,,,132,,Normal,,1,1,,Field,,20,,,,5140,5120,208.3,94.5,Medium Fast,quadruped body,Normal,5
Pheromosa,795,,,,,295,,Bug,Fighting,,,U,Undiscovered,,120,,,,,30720,55.1,25,Slow,"bipedal, tailless form",Bug,7
Klinklang,601,,,,,107,,Steel,,,,,Mineral,,20,,,,5140,5120,178.6,81,Medium Slow,multiple bodies,Steel,5
Camerupt,323,M,,Cameruptite,Mega,102,,Fire,Ground,1,1,,Field,,20,,5376,5355,5140,5120,485,220,Medium Fast,quadruped body,Fire,3
Silvally,773,,,,Type: Bug,204,,Normal,,,,U,Undiscovered,,120,,,,,30720,221.6,100.5,Slow,quadruped body,Normal,7
Vivillon,666,,,,Icy Snow Pattern,22,Ce,Bug,Flying,1,1,,Bug,,15,,,,3855,3840,37.5,17,Medium Fast,two or more pairs of wings,Bug,6
Budew,406,,,,,25,,Grass,Poison,1,1,U,Undiscovered,,20,,,5355,5140,5120,2.6,1.2,Medium Slow,"bipedal, tailless form",Grass,4
Growlithe,58,,,,,58,,Fire,,1,3,,Field,,20,5120,5376,5355,5140,5120,41.9,19,Slow,quadruped body,Fire,1
Oshawott,501,,,,,7,,Water,,1,7,,Field,,20,,,,5140,5120,13,5.9,Medium Slow,"bipedal, tailed form",Water,5
Glaceon,471,,,,,170,,Ice,,1,7,,Field,,35,,,9180,8995,8960,57.1,25.9,Medium Fast,quadruped body,Ice,4
Nidoking,34,,,,,34,,Poison,Ground,0,1,,Monster,Field,20,5120,5376,5355,5140,5120,136.7,62,Medium Slow,"bipedal, tailed form",Poison,1
Cofagrigus,563,,,,,69,,Ghost,,1,1,,Mineral,Amorphous,25,,,,6425,6400,168.7,76.5,Medium Fast,head and a base,Ghost,5
Vivillon,666,,,,High Plains Pattern,22,Ce,Bug,Flying,1,1,,Bug,,15,,,,3855,3840,37.5,17,Medium Fast,two or more pairs of wings,Bug,6
Whimsicott,547,,,,,53,,Grass,Fairy,1,1,,Grass,Fairy,20,,,,5140,5120,14.6,6.6,Medium Fast,"bipedal, tailless form",Grass,5
Rotom,479,,,,Wash,152,,Electric,Ghost,,,,Amorphous,,20,,,5355,5140,5120,0.7,0.3,Medium Fast,head,Electric,4
Sigilyph,561,,,,,67,,Psychic,Flying,1,1,,Flying,,20,,,,5140,5120,30.9,14,Medium Fast,single pair of wings,Psychic,5
Butterfree,12,,,,,12,,Bug,Flying,1,1,,Bug,,15,3840,4096,4080,3855,3840,70.5,32,Medium Fast,two or more pairs of wings,Bug,1
Pyukumuku,771,,,,,200,,Water,,1,1,,Water 1,,15,,,,,3840,2.6,1.2,Fast,serpentine bodies,Water,7
Hitmontop,237,,,,,148,,Fighting,,0,1,,Human-Like,,25,6400,6656,6630,6425,6400,105.8,48,Medium Fast,"bipedal, tailed form",Fighting,2
Scizor,212,,,,,112,,Bug,Steel,1,1,,Bug,,25,6400,6656,6630,6425,6400,260.1,118,Medium Fast,two or more pairs of wings,Bug,2
Celebi,251,,,,,256,,Psychic,Grass,,,U,Undiscovered,,120,30720,30976,30855,30840,30720,11,5,Medium Slow,"bipedal, tailless form",Psychic,2
Lopunny,428,,,,,68,,Normal,,1,1,,Field,Human-Like,20,,,5355,5140,5120,73.4,33.3,Medium Fast,"bipedal, tailed form",Normal,4
Igglybuff,174,,,,,44,,Normal,Fairy,3,1,U,Undiscovered,,10,2560,2816,2805,2570,2560,2.2,1,Fast,"bipedal, tailless form",Normal,2
Quilladin,651,,,,,2,Ce,Grass,,1,7,,Field,,20,,,,5140,5120,63.9,29,Medium Slow,"bipedal, tailed form",Grass,6
Metagross,376,,,,,192,,Steel,Psychic,,,,Mineral,,40,,10496,10455,10280,10240,1212.5,550,Slow,multiple bodies,Steel,3
Charmander,4,,,,,4,,Fire,,1,7,,Monster,Dragon,20,5120,5376,5355,5140,5120,18.7,8.5,Medium Slow,"bipedal, tailed form",Fire,1
Shellos,422,,,,West Sea,60,,Water,,1,1,,Water 1,Amorphous,20,,,5355,5140,5120,13.9,6.3,Medium Fast,serpentine bodies,Water,4
Rotom,479,,,,Heat,152,,Electric,Ghost,,,,Amorphous,,20,,,5355,5140,5120,0.7,0.3,Medium Fast,head,Electric,4
Aggron,306,M,,Aggronite,Mega,72,,Steel,,1,1,,Monster,,35,,9216,9180,8995,8960,793.7,360,Slow,"bipedal, tailed form",Steel,3
Arceus,493,,,,Type: Steel,,,Normal,,,,U,Undiscovered,,120,,,30855,30840,30720,705.5,320,Slow,quadruped body,Normal,4
Gulpin,316,,,,,95,,Poison,,1,1,,Amorphous,,20,,5376,5355,5140,5120,22.7,10.3,Fluctuating,head and arms,Poison,3
Persian,53,,,,,53,,Normal,,1,1,,Field,,20,5120,5376,5355,5140,5120,70.5,32,Medium Fast,quadruped body,Normal,1
Litten,725,,,,,4,,Fire,,1,7,,Field,,15,,,,,3840,9.5,4.3,Medium Slow,quadruped body,Fire,7
Pikachu,25,,,,Kalos Cap,25,,Electric,,1,1,,Field,Fairy,10,2560,2816,2805,2570,2560,13.2,6,Medium Fast,quadruped body,Electric,1
Aegislash,681,,,,Shield Forme,119,Ce,Steel,Ghost,1,1,,Mineral,,20,,,,5140,5120,116.8,53,Medium Fast,head and a base,Steel,6
Conkeldurr,534,,,,,40,,Fighting,,1,3,U,Human-Like,,20,,,,5140,5120,191.8,87,Medium Slow,"bipedal, tailless form",Fighting,5
Riolu,447,,,,,115,,Fighting,,1,7,U,Undiscovered,,25,,,6630,6425,6400,44.5,20.2,Medium Slow,"bipedal, tailed form",Fighting,4
Metagross,376,M,,Metagrossite,Mega,192,,Steel,Psychic,,,,Mineral,,40,,10496,10455,10280,10240,1212.5,550,Slow,multiple bodies,Steel,3
Lopunny,428,M,,Lopunnite,Mega,68,,Normal,Fighting,1,1,,Field,Human-Like,20,,,5355,5140,5120,73.4,33.3,Medium Fast,"bipedal, tailed form",Normal,4
Clefable,36,,,,,36,,Fairy,,3,1,,Fairy,,10,2560,2816,2805,2570,2560,88.2,40,Fast,"bipedal, tailed form",Fairy,1
Vileplume,45,,,,,45,,Grass,Poison,1,1,,Grass,,20,5120,5376,5355,5140,5120,41,18.6,Medium Slow,"bipedal, tailless form",Grass,1
Kabutops,141,,,,,141,,Rock,Water,1,7,,Water 1,Water 3,30,7680,7936,7905,7710,7680,89.3,40.5,Medium Fast,"bipedal, tailed form",Rock,1
Basculin,550,B,,,Blue-Striped Form,56,,Water,,1,1,,Water 2,,40,,,,10280,10240,39.7,18,Medium Fast,fins,Water,5
Crustle,558,,,,,64,,Bug,Rock,1,1,,Bug,Mineral,20,,,,5140,5120,440.9,200,Medium Fast,insectoid body,Bug,5
Necrozma,800,U,,,Ultra,300,,Psychic,,,,U,Undiscovered,,120,,,,,30720,507.1,230,Slow,two or more pairs of wings,Psychic,7
Bidoof,399,,,,,13,,Normal,,1,1,,Water 1,Field,15,,,4080,3855,3840,44.1,20,Medium Fast,quadruped body,Normal,4
Glalie,362,,,,,172,,Ice,,1,1,,Fairy,Mineral,20,,5376,5355,5140,5120,565.5,256.5,Medium Fast,head,Ice,3
Lucario,448,M,,Lucarionite,Mega,116,,Fighting,Steel,1,7,,Field,Human-Like,25,,,6630,6425,6400,119,54,Medium Slow,"bipedal, tailed form",Fighting,4
Oricorio,741,,,,Pa'u Style,82,,Fire,Flying,3,1,,Flying,,20,,,,,5120,7.5,3.4,Medium Fast,single pair of wings,Fire,7
Salamence,373,,,,,189,,Dragon,Flying,1,1,,Dragon,,40,,10496,10455,10280,10240,226.2,102.6,Slow,quadruped body,Dragon,3
Armaldo,348,,,,,136,,Rock,Bug,1,7,,Water 3,,30,,7936,7905,7710,7680,150.4,68.2,Erratic,"bipedal, tailed form",Rock,3
Floette,670,,,,Orange Flower,69,Ce,Fairy,,1,0,,Fairy,,20,,,,5140,5120,2,0.9,Medium Fast,head and arms,Fairy,6
Steenee,762,,,,,172,,Grass,,1,0,,Grass,,20,,,,,5120,18.1,8.2,Medium Slow,"bipedal, tailless form",Grass,7
Aggron,306,,,,,72,,Steel,Rock,1,1,,Monster,,35,,9216,9180,8995,8960,793.7,360,Slow,"bipedal, tailed form",Steel,3
Furfrou,676,,,,Kabuki Trim,93,Ce,Normal,,1,1,,Field,,20,,,,5140,5120,61.7,28,Medium Fast,quadruped body,Normal,6
Swalot,317,,,,,96,,Poison,,1,1,,Amorphous,,20,,5376,5355,5140,5120,176.4,80,Fluctuating,head and arms,Poison,3
Basculin,550,,,,Red-Striped Form,56,,Water,,1,1,,Water 2,,40,,,,10280,10240,39.7,18,Medium Fast,fins,Water,5
