Classification,Name,Type,Ability,Form_Type,Form_Ability,Item,ID,ID_EXT,NAME
,,,,,,,471,471,Glaceon
,,,,,,,472,472,Gliscor
,,,,,,,473,473,Mamoswine
,,,,,,,474,474,Porygon-Z
,,,,,,,475,475,Gallade
,,,,,,,475,475M,Gallade (Mega Gallade)
,,,,,,,476,476,Probopass
,,,,,,,477,477,Dusknoir
,,,,,,,478,478,Froslass
,,,,,,,479,479,Rotom
,,,,,,,479,479O,Rotom (Heat Rotom)
,,,,,,,479,479W,Rotom (Wash Rotom)
,,,,,,,479,479R,Rotom (Frost Rotom)
,,,,,,,479,479F,Rotom (Fan Rotom)
,,,,,,,479,479L,Rotom (Mow Rotom)
,,,,,,,480,480,Uxie
,,,,,,,481,481,Mesprit
,,,,,,,482,482,Azelf
,,,,,,,483,483,Dialga
,,,,,,,484,484,Palkia
,,,,,,,485,485,Heatran
,,,,,,,486,486,Regigigas
,,,,,,,487,487,Giratina (Altered Forme)
,,,,,,,487,487O,Giratina (Origin Forme)
,,,,,,,488,488,Cresselia
,,,,,,,489,489,Phione
,,,,,,,490,490,Manaphy
,,,,,,,491,491,Darkrai
,,,,,,,492,492,Shaymin (Land Forme)
,,,,,,,492,492S,Shaymin (Sky Forme)
,,,,,,,493,493,Arceus
,,,,,,,494,494,Victini
,,,,,,,495,495,Snivy
,,,,,,,496,496,Servine
,,,,,,,497,497,Serperior
,,,,,,,498,498,Tepig
,,,,,,,499,499,Pignite
,,,,,,,500,500,Emboar
,,,,,,,501,501,Oshawott
,,,,,,,502,502,Dewott
,,,,,,,503,503,Samurott
,,,,,,,504,504,Patrat
,,,,,,,505,505,Watchog
,,,,,,,506,506,Lillipup
,,,,,,,507,507,Herdier
,,,,,,,508,508,Stoutland
,,,,,,,509,509,Purrloin
,,,,,,,510,510,Liepard
,,,,,,,511,511,Pansage
,,,,,,,512,512,Simisage
,,,,,,,513,513,Pansear
,,,,,,,514,514,Simisear
,,,,,,,515,515,Panpour
,,,,,,,516,516,Simipour
,,,,,,,517,517,Munna
,,,,,,,518,518,Musharna
,,,,,,,519,519,Pidove
,,,,,,,520,520,Tranquill
,,,,,,,521,521,Unfezant
,,,,,,,522,522,Blitzle
,,,,,,,523,523,Zebstrika
,,,,,,,524,524,Roggenrola
,,,,,,,525,525,Boldore
,,,,,,,526,526,Gigalith
,,,,,,,527,527,Woobat
,,,,,,,528,528,Swoobat
,,,,,,,529,529,Drilbur
,,,,,,,530,530,Excadrill
,,,,,,,531,531,Audino
,,,,,,,531,531M,Audino (Mega Audino)
,,,,,,,532,532,Timburr
,,,,,,,533,533,Gurdurr
,,,,,,,534,534,Conkeldurr
,,,,,,,535,535,Tympole
,,,,,,,536,536,Palpitoad
,,,,,,,537,537,Seismitoad
,,,,,,,538,538,Throh
,,,,,,,539,539,Sawk
,,,,,,,540,540,Sewaddle
,,,,,,,541,541,Swadloon
,,,,,,,542,542,Leavanny
,,,,,,,543,543,Venipede
,,,,,,,544,544,Whirlipede
,,,,,,,545,545,Scolipede
,,,,,,,546,546,Cottonee
,,,,,,,547,547,Whimsicott
,,,,,,,548,548,Petilil
,,,,,,,549,549,Lilligant
,,,,,,,550,550,Basculin
,,,,,,,551,551,Sandile
,,,,,,,552,552,Krokorok
,,,,,,,553,553,Krookodile
,,,,,,,554,554,Darumaka
,,,,,,,555,555,Darmanitan (Standard Mode)
,,,,,,,555,555Z,Darmanitan (Zen Mode)
,,,,,,,556,556,Maractus
,,,,,,,557,557,Dwebble
,,,,,,,558,558,Crustle
,,,,,,,559,559,Scraggy
,,,,,,,560,560,Scrafty
,,,,,,,561,561,Sigilyph
,,,,,,,562,562,Yamask
,,,,,,,563,563,Cofagrigus
,,,,,,,564,564,Tirtouga
,,,,,,,565,565,Carracosta
,,,,,,,566,566,Archen
,,,,,,,567,567,Archeops
,,,,,,,568,568,Trubbish
,,,,,,,569,569,Garbodor
,,,,,,,570,570,Zorua
,,,,,,,571,571,Zoroark
,,,,,,,572,572,Minccino
,,,,,,,573,573,Cinccino
,,,,,,,574,574,Gothita
,,,,,,,575,575,Gothorita
,,,,,,,576,576,Gothitelle
,,,,,,,577,577,Solosis
,,,,,,,578,578,Duosion
,,,,,,,579,579,Reuniclus
,,,,,,,580,580,Ducklett
,,,,,,,581,581,Swanna
,,,,,,,582,582,Vanillite
,,,,,,,583,583,Vanillish
,,,,,,,584,584,Vanilluxe
,,,,,,,585,585,Deerling
,,,,,,,586,586,Sawsbuck
,,,,,,,587,587,Emolga
,,,,,,,588,588,Karrablast
,,,,,,,589,589,Escavalier
,,,,,,,590,590,Foongus
,,,,,,,591,591,Amoonguss
,,,,,,,592,592,Frillish
,,,,,,,593,593,Jellicent
,,,,,,,594,594,Alomomola
,,,,,,,595,595,Joltik
,,,,,,,596,596,Galvantula
,,,,,,,597,597,Ferroseed
,,,,,,,598,598,Ferrothorn
,,,,,,,599,599,Klink
,,,,,,,600,600,Klang
,,,,,,,601,601,Klinklang
,,,,,,,602,602,Tynamo
,,,,,,,603,603,Eelektrik
,,,,,,,604,604,Eelektross
,,,,,,,605,605,Elgyem
,,,,,,,606,606,Beheeyem
,,,,,,,607,607,Litwick
,,,,,,,608,608,Lampent
,,,,,,,609,609,Chandelure
,,,,,,,610,610,Axew
,,,,,,,611,611,Fraxure
,,,,,,,612,612,Haxorus
,,,,,,,613,613,Cubchoo
,,,,,,,614,614,Beartic
,,,,,,,615,615,Cryogonal
,,,,,,,616,616,Shelmet
,,,,,,,617,617,Accelgor
,,,,,,,618,618,Stunfisk
,,,,,,,619,619,Mienfoo
,,,,,,,620,620,Mienshao
,,,,,,,621,621,Druddigon
,,,,,,,622,622,Golett
,,,,,,,623,623,Golurk
,,,,,,,624,624,Pawniard
,,,,,,,625,625,Bisharp
,,,,,,,626,626,Bouffalant
,,,,,,,627,627,Rufflet
,,,,,,,628,628,Braviary
,,,,,,,629,629,Vullaby
,,,,,,,630,630,Mandibuzz
,,,,,,,631,631,Heatmor
,,,,,,,632,632,Durant
,,,,,,,633,633,Deino
,,,,,,,634,634,Zweilous
,,,,,,,635,635,Hydreigon
,,,,,,,636,636,Larvesta
,,,,,,,637,637,Volcarona
,,,,,,,638,638,Cobalion
,,,,,,,639,639,Terrakion
,,,,,,,640,640,Virizion
,,,,,,,641,641,Tornadus (Incarnate Forme)
,,,,,,,641,641T,Tornadus (Therian Forme)
,,,,,,,642,642,Thundurus (Incarnate Forme)
,,,,,,,642,642T,Thundurus (Therian Forme)
,,,,,,,643,643,Reshiram
,,,,,,,644,644,Zekrom
,,,,,,,645,645,Landorus (Incarnate Forme)
,,,,,,,645,645T,Landorus (Therian Forme)
,,,,,,,646,646,Kyurem (Normal Kyurem)
,,,,,,,646,646B,Kyurem (Black Kyurem)
,,,,,,,646,646W,Kyurem (White Kyurem)
,,,,,,,647,647,Keldeo
,,,,,,,648,648,Meloetta (Aria Forme)
,,,,,,,648,648P,Meloetta (Pirouette Forme)
,,,,,,,649,649,Genesect
,,,,,,,650,650,Chespin
,,,,,,,651,651,Quilladin
,,,,,,,652,652,Chesnaught
,,,,,,,653,653,Fennekin
,,,,,,,654,654,Braixen
,,,,,,,655,655,Delphox
,,,,,,,656,656,Froakie
,,,,,,,657,657,Frogadier
,,,,,,,658,658,Greninja
,,,,,,,658,658A,Greninja (Ash-Greninja)
,,,,,,,659,659,Bunnelby
,,,,,,,660,660,Diggersby
,,,,,,,661,661,Fletchling
,,,,,,,662,662,Fletchinder
,,,,,,,663,663,Talonflame
,,,,,,,664,664,Scatterbug
,,,,,,,665,665,Spewpa
,,,,,,,666,666,Vivillon
,,,,,,,667,667,Litleo
,,,,,,,668,668,Pyroar
,,,,,,,669,669,Flabébé
,,,,,,,670,670,Floette
,,,,,,,671,671,Florges
,,,,,,,672,672,Skiddo
,,,,,,,673,673,Gogoat
,,,,,,,674,674,Pancham
,,,,,,,675,675,Pangoro
,,,,,,,676,676,Furfrou
,,,,,,,677,677,Espurr
,,,,,,,678,678,Meowstic
,,,,,,,679,679,Honedge
,,,,,,,680,680,Doublade
,,,,,,,681,681,Aegislash (Shield Forme)
,,,,,,,681,681B,Aegislash (Blade Forme)
,,,,,,,682,682,Spritzee
,,,,,,,683,683,Aromatisse
,,,,,,,684,684,Swirlix
,,,,,,,685,685,Slurpuff
,,,,,,,686,686,Inkay
,,,,,,,687,687,Malamar
,,,,,,,688,688,Binacle
,,,,,,,689,689,Barbaracle
,,,,,,,690,690,Skrelp
,,,,,,,691,691,Dragalge
,,,,,,,692,692,Clauncher
,,,,,,,693,693,Clawitzer
,,,,,,,694,694,Helioptile
,,,,,,,695,695,Heliolisk
,,,,,,,696,696,Tyrunt
,,,,,,,697,697,Tyrantrum
,,,,,,,698,698,Amaura
,,,,,,,699,699,Aurorus
,,,,,,,700,700,Sylveon
,,,,,,,701,701,Hawlucha
,,,,,,,702,702,Dedenne
,,,,,,,703,703,Carbink
,,,,,,,704,704,Goomy
,,,,,,,705,705,Sliggoo
,,,,,,,706,706,Goodra
,,,,,,,707,707,Klefki
,,,,,,,708,708,Phantump
,,,,,,,709,709,Trevenant
,,,,,,,710,710,Pumpkaboo (Small Size)
,,,,,,,710,710,Pumpkaboo (Average Size)
,,,,,,,710,710,Pumpkaboo (Large Size)
,,,,,,,710,710,Pumpkaboo (Super Size)
,,,,,,,711,711,Gourgeist (Small Size)
,,,,,,,711,711,Gourgeist (Average Size)
,,,,,,,711,711,Gourgeist (Large Size)
,,,,,,,711,711,Gourgeist (Super Size)
,,,,,,,712,712,Bergmite
,,,,,,,713,713,Avalugg
,,,,,,,714,714,Noibat
,,,,,,,715,715,Noivern
,,,,,,,716,716,Xerneas
,,,,,,,717,717,Yveltal
,,,,,,,718,718,Zygarde (50% Forme)
,,,,,,,718,718T,Zygarde (10% Forme)
,,,,,,,718,718C,Zygarde (Complete Forme)
,,,,,,,719,719,Diancie
,,,,,,,719,719M,Diancie (Mega Diancie)
,,,,,,,720,720,Hoopa (Hoopa Confined)
,,,,,,,720,720U,Hoopa (Hoopa Unbound)
,,,,,,,721,721,Volcanion
,,,,,,,722,722,Rowlet
,,,,,,,723,723,Dartrix
,,,,,,,724,724,Decidueye
,,,,,,,725,725,Litten
,,,,,,,726,726,Torracat
,,,,,,,727,727,Incineroar
,,,,,,,728,728,Popplio
,,,,,,,729,729,Brionne
,,,,,,,730,730,Primarina
,,,,,,,731,731,Pikipek
,,,,,,,732,732,Trumbeak
,,,,,,,733,733,Toucannon
,,,,,,,734,734,Yungoos
,,,,,,,735,735,Gumshoos
,,,,,,,736,736,Grubbin
,,,,,,,737,737,Charjabug
,,,,,,,738,738,Vikavolt
,,,,,,,739,739,Crabrawler
,,,,,,,740,740,Crabominable
,,,,,,,741,741,Oricorio
,,,,,,,742,742,Cutiefly
,,,,,,,743,743,Ribombee
,,,,,,,744,744,Rockruff
,,,,,,,745,745,Lycanroc (Midday Form)
,,,,,,,745,745Mn,Lycanroc (Midnight Form)
,,,,,,,745,745D,Lycanroc (Dusk Form)
,,,,,,,746,746,Wishiwashi (Solo Form)
,,,,,,,746,746Sc,Wishiwashi (School Form)
,,,,,,,747,747,Mareanie
,,,,,,,748,748,Toxapex
,,,,,,,749,749,Mudbray
,,,,,,,750,750,Mudsdale
,,,,,,,751,751,Dewpider
,,,,,,,752,752,Araquanid
,,,,,,,753,753,Fomantis
,,,,,,,754,754,Lurantis
,,,,,,,755,755,Morelull
,,,,,,,756,756,Shiinotic
,,,,,,,757,757,Salandit
,,,,,,,758,758,Salazzle
,,,,,,,759,759,Stufful
,,,,,,,760,760,Bewear
,,,,,,,761,761,Bounsweet
,,,,,,,762,762,Steenee
,,,,,,,763,763,Tsareena
,,,,,,,764,764,Comfey
,,,,,,,765,765,Oranguru
,,,,,,,766,766,Passimian
,,,,,,,767,767,Wimpod
,,,,,,,768,768,Golisopod
,,,,,,,769,769,Sandygast
,,,,,,,770,770,Palossand
,,,,,,,771,771,Pyukumuku
,,,,,,,772,772,Type: Null
,,,,,,,773,773,Silvally
,,,,,,,774,774,Minior (Meteor Form)
,,,,,,,774,774R,Minior (Core Form)
,,,,,,,775,775,Komala
,,,,,,,776,776,Turtonator
,,,,,,,777,777,Togedemaru
,,,,,,,778,778,Mimikyu
,,,,,,,779,779,Bruxish
,,,,,,,780,780,Drampa
,,,,,,,781,781,Dhelmise
,,,,,,,782,782,Jangmo-o
,,,,,,,783,783,Hakamo-o
,,,,,,,784,784,Kommo-o
,,,,,,,785,785,Tapu Koko
,,,,,,,786,786,Tapu Lele
,,,,,,,787,787,Tapu Bulu
,,,,,,,788,788,Tapu Fini
,,,,,,,789,789,Cosmog
,,,,,,,790,790,Cosmoem
,,,,,,,791,791,Solgaleo
,,,,,,,792,792,Lunala
,,,,,,,793,793,Nihilego
,,,,,,,794,794,Buzzwole
,,,,,,,795,795,Pheromosa
,,,,,,,796,796,Xurkitree
,,,,,,,797,797,Celesteela
,,,,,,,798,798,Kartana
,,,,,,,799,799,Guzzlord
,,,,,,,800,800,Necrozma
,,,,,,,800,800DM,Necrozma (Dusk Mane)
,,,,,,,800,800DW,Necrozma (Dawn Wings)
,,,,,,,800,800U,Necrozma (Ultra Necrozma)
,,,,,,,801,801,Magearna
,,,,,,,802,802,Marshadow
,,,,,,,803,803,Poipole
,,,,,,,804,804,Naganadel
,,,,,,,805,805,Stakataka
,,,,,,,806,806,Blacephalon
,,,,,,,807,807,Zeraora
,,,,,,,808,808,Meltan
,,,,,,,809,809,Melmetal
