Name,Gen,Description,English,Japanese Kana,Japanese Rōmaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized
Eon Flute,VI,"Summons LatiasAS or LatiosOR to soar in the sky above Hoenn, and fly to any city, route, or island.",Big Root,おおきなねっこ,Ōkina Nekko,Grosse Racine*,Großwurzel,Granradice,Raíz Grande,큰뿌리,Keun Ppuri,大根莖 / 大根茎,Dà Gēnjīng / Daaih Gānging
Eon Mail,II,Eevee-printed mail. To be held by a Pokémon for delivery.,Choice Specs,こだわりメガネ,Kodawari Megane,Lunettes Choix*,Wahlglas,Lentiscelta,Gafas Elegid,구애안경,Guae An-gyeong,講究眼鏡 / 讲究眼镜,Jiǎngjiù Yǎnjìng / Gónggau Ngáahngeng
Eon Ticket,III,Allows player to access Southern Island.,,,,,,,,,,,
Escape Rope,I,Teleports the player out of a cave or dungeon if the player cannot find the way out.,Douse Drive,アクアカセット,Aqua Cassette,Module Aqua,Aquamodul,Idromodulo,HidroROM,아쿠아카세트,Aqua Cassette,水流卡帶 / 水流卡带,Shuǐliú Kǎdài / Séuilàuh Kāatdáai
Ether,I,Restores 10 PP of one move of a Pokémon.,Shock Drive,イナズマカセット,Inazuma Cassette,Module Choc,Blitzmodul,Voltmodulo,FulgoROM,번개카세트,Beongae Cassette,閃電卡帶 / 闪电卡带,Shǎndiàn Kǎdài / Símdihn Kāatdáai
Everstone,II,A hold item that prevents the holder from evolving.,Burn Drive,ブレイズカセット,Blaze Cassette,Module Pyro,Flammenmodul,Piromodulo,PiroROM,블레이즈카세트,Blaze Cassette,火焰卡帶 / 火焰卡带,Huǒyàn Kǎdài / Fóyihm Kāatdáai
Eviolite,V,Raises the holder's Defense and Special Defense by 50% if the holder is capable of evolving.,Chill Drive,フリーズカセット,Freeze Cassette,Module Cryo,Gefriermodul,Gelomodulo,CrioROM,프리즈카세트,Freeze Cassette,冰凍卡帶 / 冰冻卡带,Bīngdòng Kǎdài / Bīngdung Kāatdáai
Excite Scent,III,"Reduces heart gauge, increases friendship.",Prism Scale,きれいなウロコ,Kireina Uroko,Bel'Écaille,Schönschuppe,Squama Bella,Escama Bella,고운비늘,Goun Bineul,美麗鱗片 / 美丽鳞片,Měilì Línpiàn / Méihlaih Lèuhnpin
Explorer Kit,IV,A Key Item which can be used to go to Sinnoh Underground.,Eviolite,しんかのきせき,Shinka no Kiseki,Évoluroc,Evolith,Evolcondensa,Mineral Evol,진화의 휘석,Jinhwa-yi Hwiseok,進化奇石 / 进化奇石,Jìnhuà Qíshí / Jeunfa Kèihsehk
Exp. Share,I,"A held item that allows Pokémon to gain experience without battling.
Note: Named Exp.All prior to Generation II.",Float Stone,かるいし,Karuishi,Pierrallégée,Leichtstein,Pietralieve,Piedra Pómez,가벼운돌,Gabyeoun Dol,輕石 / 轻石,Qīngshí / Hīngsehk
Expert Belt,IV,Increases the power of super effective moves.,Rocky Helmet,ゴツゴツメット,Gotsugotsu Met,Casque Brut,Beulenhelm,Bitorzolelmo,Casco Dentado*,울퉁불퉁멧,Ultungbultung-Met,凸凸頭盔 / 凸凸头盔,Tūtū Tóukuī / Dahtdaht Tàuhkwāi
,,,Air Balloon,ふうせん,Fūsen,Ballon,Luftballon,Palloncino,Globo Helio,풍선,Pungseon,氣球 / 气球,Qìqiú / Heikàuh
,,,Red Card,レッドカード,Red Card,Carton Rouge,Rote Karte,Cartelrosso,Tarjeta Roja,레드카드,Red Card,紅牌 / 红牌,Hóngpái / Hùhngpáai
Fab Mail,III,Mail with an extremely decorative design. To be held by a Pokémon for delivery.,Ring Target,ねらいのまと,Nerai no Mato,Point de Mire*,Zielscheibe,Facilsaglio,Blanco,겨냥표적,Gyeonyang Pyojeok,標靶 / 标靶,Biāobǎ / Bīubá
Fairium Z,VII,Allows a Pokémon to upgrade their Fairy-type damaging moves to the Z-Move Twinkle Tackle or upgrade their Fairy-type status moves into Z-Moves. Makes Arceus a Fairy-type Pokémon.,Binding Band,しめつけバンド,Shimetsuke Band,Bande Étreinte*,Klammerband,Legafascia,Banda Atadura*,조임밴드,Joim Band,緊綁束帶 / 紧绑束带,Jǐnbǎng Shùdài / Gánbóng Chūkdáai
Fairy Gem,VI,"Increases the power of the holder's first Fairy-type move by 50%, and is consumed after use.",Absorb Bulb,きゅうこん,Kyūkon,Bulbe,Knolle,Bulbo,Tubérculo,구근,Gugeun,球根,Qiúgēn / Kàuhgān
Fairy Memory,VII,Makes Silvally a Fairy-type Pokémon and makes Multi-Attack a Fairy-type move.,Cell Battery,じゅうでんち,Jūdenchi,Pile,Akku,Ricaripila,Pila,충전지,Chungjeonji,充電電池 / 充电电池,Chōngdiàn Diànchí / Chūngdihn Dihnchìh
Fame Checker,III,"Records information on famous people, such as Gym Leaders.",Eject Button,だっしゅつボタン,Dasshutsu Button,Bouton Fuite,Fluchtknopf,Pulsantefuga,Botón Escape,탈출버튼,Talchul Button,逃脫按鍵 / 逃脱按键,Táotuō Ànjiàn / Tòuhtyut Ongihn
Fashion Case,IV,Stores Accessories.,Fire Gem,ほのおのジュエル,Honō no Jewel,Joyau Feu,Feuerjuwel,Bijoufuoco,Gema Fuego*,불꽃주얼,Bulkkot Jewel,火之寶石 / 火之宝石,Huǒ-zhī Bǎoshí / Fó-jī Bóusehk
Fast Ball,II,A type of Poké Ball that works better on Pokémon that try to flee.,Water Gem,みずのジュエル,Mizu no Jewel,Joyau Eau,Wasserjuwel,Bijouacqua,Gema Agua*,물주얼,Mul Jewel,水之寶石 / 水之宝石,Shuǐ-zhī Bǎoshí / Séui-jī Bóusehk
Favored Mail,V,Stationary designed for writing about your favorite things. To be held by a Pokémon for delivery.,Electric Gem,でんきのジュエル,Denki no Jewel,Joyau Électr,Elektrojuwel,Bijouelettro,Gema Eléctrica*,전기주얼,Jeongi Jewel,電之寶石 / 电之宝石,Diàn-zhī Bǎoshí / Dihn-jī Bóusehk
F-Disk,III,Moves the UFO in The Under to the Under Colosseum.,Grass Gem,くさのジュエル,Kusa no Jewel,Joyau Plante,Pflanzenjuwel*,Bijouerba,Gema Planta*,풀주얼,Pul Jewel,草之寶石 / 草之宝石,Cǎo-zhī Bǎoshí / Chóu-jī Bóusehk
Festival Ticket,VII,A ticket that allows you to host a mission in Festival Plaza.,Ice Gem,こおりのジュエル,Kōri no Jewel,Joyau Glace,Eisjuwel,Bijoughiaccio*,Gema Hielo*,얼음주얼,Eol'eum Jewel,冰之寶石 / 冰之宝石,Bīng-zhī Bǎoshí / Bīng-jī Bóusehk
Fighting Gem,V,"Increases the power of the holder's first Fighting-type move by 50%, and is consumed after use.",Fighting Gem,かくとうジュエル,Kakutō Jewel,Joyau Combat,Kampfjuwel,Bijoulotta,Gema Lucha*,격투주얼,Gyeoktu Jewel,格鬥寶石 / 格斗宝石,Gédòu Bǎoshí / Gaakdau Bóusehk
Fighting Memory,VII,Makes Silvally a Fighting-type Pokémon and makes Multi-Attack a Fighting-type move.,Poison Gem,どくのジュエル,Doku no Jewel,Joyau Poison,Giftjuwel,Bijouveleno,Gema Veneno*,독주얼,Dok Jewel,毒之寶石 / 毒之宝石,Dú-zhī Bǎoshí / Duhk-jī Bóusehk
Fightinium Z,VII,Allows a Pokémon to upgrade their Fighting-type damaging moves to the Z-Move All-Out Pummeling or upgrade their Fighting-type status moves into Z-Moves. Makes Arceus a Fighting-type Pokémon.,Ground Gem,じめんのジュエル,Jimen no Jewel,Joyau Sol,Bodenjuwel,Bijouterra,Gema Tierra*,땅주얼,Ttang Jewel,地面寶石 / 地面宝石,Dìmiàn Bǎoshí / Deihmín Bóusehk
Figy Berry,III,"When HP falls below 25%, restores 50% HP, but confuses Pokémon that dislike spicy food (12.5% when below 50% before Gen. VII).",Flying Gem,ひこうのジュエル,Hikō no Jewel,Joyau Vol,Flugjuwel,Bijouvolante,Gema Voladora*,비행주얼,Bihaeng Jewel,飛行寶石 / 飞行宝石,Fēixíng Bǎoshí / Fēihàhng Bóusehk
Fire Gem,V,"Increases the power of the holder's first Fire-type move by 50%, and is consumed after use.",Psychic Gem,エスパージュエル,Esper Jewel,Joyau Psy,Psychojuwel,Bijoupsico,Gema Psíquica*,에스퍼주얼,Esper Jewel,超能力寶石 / 超能力宝石,Chāonénglì Bǎoshí / Chīunàhnglihk Bóusehk
Fire Memory,VII,Makes Silvally a Fire-type Pokémon and makes Multi-Attack a Fire-type move.,Bug Gem,むしのジュエル,Mushi no Jewel,Joyau Insecte*,Käferjuwel,Bijoucoleottero*,Gema Bicho*,벌레주얼,Beolle Jewel,蟲之寶石 / 虫之宝石,Chóng-zhī Bǎoshí / Chùhng-jī Bóusehk
Fire Stone,I,"Can be used to evolve Vulpix, Growlithe, Eevee, and Pansear.",Rock Gem,いわのジュエル,Iwa no Jewel,Joyau Roche,Gesteinsjuwel*,Bijouroccia,Gema Roca*,바위주얼,Bawi Jewel,岩石寶石 / 岩石宝石,Yánshí Bǎoshí / Ngàahmsehk Bóusehk
Firium Z,VII,Allows a Pokémon to upgrade their Fire-type damaging moves to the Z-Move Inferno Overdrive or upgrade their Fire-type status moves into Z-Moves. Makes Arceus a Fire-type Pokémon.,Ghost Gem,ゴーストジュエル,Ghost Jewel,Joyau Spectre*,Geisterjuwel*,Bijouspettro,Gema Fantasma*,고스트주얼,Ghost Jewel,幽靈寶石 / 幽灵宝石,Yōulíng Bǎoshí / Yāulìhng Bóusehk
Fishing Rod,VII,Allows the player to fish near underwater piles of rock.,Dragon Gem,ドラゴンジュエル,Dragon Jewel,Joyau Dragon,Drakojuwel,Bijoudrago,Gema Dragón*,드래곤주얼,Dragon Jueol,龍之寶石 / 龙之宝石,Lóng-zhī Bǎoshí / Lùhng-jī Bóusehk
Fist Plate,IV,Raises the power of Fighting-type moves.,Dark Gem,あくのジュエル,Aku no Jewel,Joyau Ténèbres*,Unlichtjuwel,Bijoubuio,Gema Siniestra*,악주얼,Ak Jewel,惡之寶石 / 恶之宝石,È-zhī Bǎoshí / Ok-jī Bóusehk
Flame Mail,IV,Mail with a fire design. To be held by a Pokémon for delivery.,Steel Gem,はがねのジュエル,Hagane no Jewel,Joyau Acier,Stahljuwel,Bijouacciaio,Gema Acero*,강철주얼,Gangcheol Jewel,鋼之寶石 / 钢之宝石,Gāng-zhī Bǎoshí / Gong-jī Bóusehk
Flame Orb,IV,Inflicts a burn on the holder.,Normal Gem,ノーマルジュエル,Normal Jewel,Joyau Normal,Normaljuwel,Bijounormale,Gema Normal*,노말주얼,Normal Jewel,一般寶石 / 一般宝石,Yībān Bǎoshí / Yātbūn Bóusehk
Flame Plate,IV,Raises the power of Fire-type moves.,Fairy Gem,フェアリージュエル,Fairy Jewel,Joyau Fée,Feenjuwel,Bijoufolletto,Gema Hada,페어리주얼,Fairy Jewel,妖精寶石 / 妖精宝石,Yāojing Bǎoshí / Yīujīng Bóusehk
Float Stone,V,Halves the weight of the holder.,,,,,,,,,,,
Flower Mail,II,Mail with a flower pattern. To be held by a Pokémon for delivery.,Weakness Policy,じゃくてんほけん,Jakuten Hoken,Vulné-Assurance,Schwächenschutz,Vulneropolizza,Seguro Debilidad,약점보험,Yagjeom Boheom,弱點保險 / 弱点保险,Ruòdiǎn Bǎoxiǎn / Yeuhkdím Bóuhím
Fluffy Tail,III,Allows the player to flee from any wild Pokémon battle.,Assault Vest,とつげきチョッキ,Totsugeki Chokki,Veste de Combat,Offensivweste,Corpetto Assalto,Chaleco Asalto,돌격조끼,Dolgyeok Jokki,突擊背心 / 突击背心,Tújí Bèixīn / Dahtgīk Buisām
Flying Gem,V,"Increases the power of the holder's first Flying-type move by 50%, and is consumed after use.",Pixie Plate,せいれいプレート,Seirei Purēto,Plaque Pixie,Feentafel,Lastraspiritello,Tabla Duende,정령플레이트,Jeonglyeong Plate,妖精石板,Yāojīng Shíbǎn / Yīujīng Sehkbáan
Flying Memory,VII,Makes Silvally a Flying-type Pokémon and makes Multi-Attack a Flying-type move.,Whipped Dream,ホイップポップ,Whip Pop,Chantibonbon,Sahnehäubchen,Dolcespuma,Dulce de Nata,휘핑팝,Whipping Pop,泡沫奶油,Pàomò nǎiyóu / Póuhmuht Náaihyàuh
Flyinium Z,VII,Allows a Pokémon to upgrade their Flying-type damaging moves to the Z-Move Supersonic Skystrike or upgrade their Flying-type status moves into Z-Moves. Makes Arceus a Flying-type Pokémon.,Sachet,においぶくろ,Nioi Bukuro,Sachet Senteur,Duftbeutel,Bustina Aromi,Saquito Fragante,향기주머니,Hyang-gi Jumeoni,香袋,Xiāngdài / Hēungdoih
Focus Band,II,May leave the holder with 1 HP when a move would normally cause them to faint.,Luminous Moss,ひかりごけ,Hikari Goke,Lichen Lumineux,Leuchtmoos,Muschioluce,Musgo Brillante,빛이끼,Bit Ikki,光苔,Guāngtái / Gwōngtòih
Focus Sash,IV,Prevents a one-hit knockout.,Snowball,ゆきだま,Yukidama,Boule de Neige,Schneeball,Palla di Neve,Bola de Nieve,눈덩이,Nundeong-i,雪球,Xuěqiú / Syutkàuh
Forage Bag,VII,Holds ingredients found during Mallow's trial.,Safety Goggles,ぼうじんゴーグル,Bōjin Goggle,Lunettes Filtre,Schutzbrille,Visierantisabbia,Gafa Protectora,방진고글,Bangjin Goggle,防塵護目鏡 / 防尘护目镜,Fángchén Hù Mùjìng / Fòhngchàhn Wuh Muhkgeng
Fresh Water,I,Restores 30 HP. (50HP before Gen. VII).,Gengarite,ゲンガナイト,Ganganite,Ectoplasmite,Gengarnit,Gengarite,Gengarita,팬텀나이트,Penteomnite,耿鬼進化石 / 耿鬼进化石,Gěngguǐ Jìnhuà Shí / Gánggwái Jeunfa Sehk
Friend Ball,II,A type of Poké Ball that causes the Pokémon to become friendly.,Gardevoirite,サーナイトナイト,Sirknightnite,Gardevoirite,Guardevoirnit,Gardevoirite,Gardevoirita,가디안나이트,Gadiannite,沙奈朵進化石 / 沙奈朵进化石,Shānàiduǒ Jìnhuà Shí / Sānoihdó Jeunfa Sehk
Full Heal,I,Cures any status condition.,Ampharosite,デンリュウナイト,Denryunite,Pharampite,Ampharosnit,Ampharosite,Ampharosita,전룡나이트,Jeonryongnite,電龍進化石 / 电龙进化石,Diànlóng Jìnhuà Shí / Dihnlùhng Jeunfa Sehk
Full Incense,IV,Causes holder to move slower than the opponent. A Snorlax holding it can breed to produce Munchlax.,Venusaurite,フシギバナイト,Fushigibanite,Florizarrite,Bisaflornit,Venusaurite,Venusaurita,이상해꽃나이트,Isanghekkotnite,妙蛙花進化石 / 妙蛙花进化石,Miàowāhuā Jìnhuà Shí / Miuhwāfā Jeunfa Sehk
Full Restore,I,Fully restores all HP and cures all status problems of a Pokémon.,Charizardite X,リザードナイトX,Lizardonite X,Dracaufite X,Gluraknit X,Charizardite X,Charizardita X,리자몽나이트X,Rizamonnite X,噴火龍進化石X / 喷火龙进化石X,Pēnhuǒlóng Jìnhuà Shí X / Panfólùhng Jeunfa Sehk X
,,,Blastoisinite,カメックスナイト,Kamexnite,Tortankite,Turtoknit,Blastoisite,Blastoisita,거북왕나이트,Geobugwangnite,水箭龜進化石 / 水箭龟进化石,Shuǐjiànguī Jìnhuà Shí / Séuijingwāi Jeunfa Sehk
,,,Mewtwonite X,ミュウツナイトX,Mewtwonite X,Mewtwoïte X,Mewtunit X,Mewtwoite X,Mewtwoita X,뮤츠나이트X,Mewtwonite X,超夢進化石X / 超梦进化石X,Chāomèng Jìnhuà Shí X / Chīumuhng Jeunfa Sehk X
Galactic Key,IV,Allows player to access the Galactic HQ in Veilstone City.,Mewtwonite Y,ミュウツナイトY,Mewtwonite Y,Mewtwoïte Y,Mewtunit Y,Mewtwoite Y,Mewtwoita Y,뮤츠나이트Y,Mewtwonite Y,超夢進化石Y / 超梦进化石Y,Chāomèng Jìnhuà Shí Y / Chīumuhng Jeunfa Sehk Y
Galladite,VI,Allows Gallade to Mega Evolve into Mega Gallade.,Blazikenite,バシャーモナイト,Bursyamonite,Braségalite,Lohgocknit,Blazikenite,Blazikenita,번치코나이트,Bunchikonite,火焰雞進化石 / 火焰鸡进化石,Huǒyànjī Jìnhuà Shí / Fóyihmgāi Jeunfa Sehk
Ganlon Berry,III,Raises Defense if HP is below ⅓ of maximum.,Medichamite,チャーレムナイト,Charemnite,Charminite,Meditalisnit,Medichamite,Medichamita,요가램나이트,Yogaramnite,恰雷姆進化石 / 恰雷姆进化石,Qiàléimǔ Jìnhuà Shí / Hāplèuihmóuh Jeunfa Sehk
Garchompite,VI,Allows Garchomp to Mega Evolve into Mega Garchomp.,Houndoominite,ヘルガナイト,Hellganite,Démolossite,Hundemonit,Houndoomite,Houndoomita,헬가나이트,Helganite,黑魯加進化石 / 黑鲁加进化石,Hēilǔjiā Jìnhuà Shí / Hāklóuhgā Jeunfa Sehk
Gardevoirite,VI,Allows Gardevoir to Mega Evolve into Mega Gardevoir.,Aggronite,ボスゴドラナイト,Bossgodoranite,Galekingite,Stollossnit,Aggronite,Aggronita,보스로라나이트,Bosroranite,波士可多拉進化石 / 波士可多拉进化石,Bōshìkěduōlā Jìnhuà Shí / Bōsihhódōlāai Jeunfa Sehk
GB Sounds,IV,Allows player to listen to 8-bit background music in Johto.,Banettite,ジュペッタナイト,Juppetanite,Branettite,Banetteonit,Banettite,Banettita,다크펫나이트,Darkpetnite,詛咒娃娃進化石 / 诅咒娃娃进化石,Zǔzhòuwáwá Jìnhuà Shí / Jojauwāwā Jeunfa Sehk
Gear,III,Keeps the Pyrite Town generators going.,Tyranitarite,バンギラスナイト,Bangirasnite,Tyranocivite,Despotarnit,Tyranitarite,Tyranitarita,마기라스나이트,Magirasnite,班基拉斯進化石 / 班基拉斯进化石,Bānjīlāsī Jìnhuà Shí / Bāangēilāaisī Jeunfa Sehk
Gengarite,VI,Allows Gengar to Mega Evolve into Mega Gengar.,Scizorite,ハッサムナイト,Hassamnite,Cizayoxite,Scheroxnit,Scizorite,Scizorita,핫삼나이트,Hatsamnite,巨鉗螳螂進化石 / 巨钳螳螂进化石,Jùqiántángláng Jìnhuà Shí / Geuihkìhmtòhnglòhng Jeunfa Sehk
Genius Wing,V,Raises the Special Attack of a Pokémon.,Pinsirite,カイロスナイト,Kailiosnite,Scarabruite,Pinsirnit,Pinsirite,Pinsirita,쁘사이저나이트,Ppeusaizeonite,凱羅斯進化石 / 凯罗斯进化石,Kǎiluósī Jìnhuà Shí / Hóilòhsī Jeunfa Sehk
Ghost Gem,V,"Increases the power of the holder's first Ghost-type move by 50%, and is consumed after use.",Aerodactylite,プテラナイト,Pteranite,Ptéraïte,Aerodactylonit,Aerodactylite,Aerodactylita,프테라나이트,Pteranite,化石翼龍進化石 / 化石翼龙进化石,Huàshíyìlóng Jìnhuà Shí / Fasehkyihklùhng Jeunfa Sehk
Ghost Memory,VII,Makes Silvally a Ghost-type Pokémon and makes Multi-Attack a Ghost-type move.,Lucarionite,ルカリオナイト,Lucarionite,Lucarite,Lucarionit,Lucarite,Lucarita,루카리오나이트,Lucarionite,路卡利歐進化石 / 路卡利欧进化石,Lùkǎlì'ōu Jìnhuà Shí / Louhkāleih'āu Jeunfa Sehk
Ghostium Z,VII,Allows a Pokémon to upgrade their Ghost-type damaging moves to the Z-Move Never-Ending Nightmare or upgrade their Ghost-type status moves into Z-Moves. Makes Arceus a Ghost-type Pokémon.,Abomasite,ユキノオナイト,Yukinoonite,Blizzarite,Rexblisarnit,Abomasnowite,Abomasnowita,눈설왕나이트,Nunseolwangnite,暴雪王進化石 / 暴雪王进化石,Bàoxuěwáng Jìnhuà Shí / Bouhsyutwòhng Jeunfa Sehk
Ginema Berry,III,"Raises a lowered stat in battle. If transferred to Generation IV via Pal Park, it will turn into an Enigma Berry.",Kangaskhanite,ガルーラナイト,Garuranite,Kangourexite,Kangamanit,Kangaskhanite,Kangaskhanita,캥카나이트,Kengkanite,袋獸進化石 / 袋兽进化石,Dàishòu Jìnhuà Shí / Doihsau Jeunfa Sehk
Glalitite,VI,Allows Glalie to Mega Evolve into Mega Glalie.,Gyaradosite,ギャラドスナイト,Gyaradosnite,Léviatorite,Garadosnit,Gyaradosite,Gyaradosita,갸라도스나이트,Gyaradosnite,暴鯉龍進化石 / 暴鲤龙进化石,Bàolǐlóng Jìnhuà Shí / Bouhléihlùhng Jeunfa Sehk
Glitter Mail,III,Mail with a Pikachu pattern.,Absolite,アブソルナイト,Absolnite,Absolite,Absolnit,Absolite,Absolita,앱솔나이트,Absolnite,阿勃梭魯進化石 / 阿勃梭鲁进化石,Ābósuōlǔ Jìnhuà Shí / Abuhtsōlóuh Jeunfa Sehk
Go-Goggles,III,"A Key Item that allows the player to travel in sandstorm conditions. Unnecessary in Generations IV and V, as the player may enter sandstorm conditions without protection.",Charizardite Y,リザードナイトY,Lizardonite Y,Dracaufite Y,Gluraknit Y,Charizardite Y,Charizardita Y,리자몽나이트Y,Rizamonnite Y,噴火龍進化石Y / 喷火龙进化石Y,Pēnhuǒlóng Jìnhuà Shí Y / Panfólùhng Jeunfa Sehk Y
God Stone,V,Not available without cheating. Currently has no use.,Alakazite,フーディナイト,Foodinite,Alakazamite,Simsalanit,Alakazamite,Alakazamita,후디나이트,Fudinnite,胡地進化石 / 胡地进化石,Húdì Jìnhuà Shí / Wùhdeih Jeunfa Sehk
Gold Berry,II,Restores 30 HP.,Heracronite,ヘラクロスナイト,Heracrosnite,Scarhinoïte,Skarabornit,Heracrossite,Heracrossita,헤라크로스나이트,Heracrossnite,赫拉剋羅斯進化石 / 赫拉克罗斯进化石,Hèlākèluósī Jìnhuà Shí / Hāklāaihāklòhsī Jeunfa Sehk
Gold Bottle Cap,VII,Can be traded to Mr. Hyper to maximize all of a Pokémon's IVs in Hyper Training.,Mawilite,クチートナイト,Kucheatnite,Mysdibulite,Flunkifernit,Mawilite,Mawilita,입치트나이트,Ipchittnite,大嘴娃進化石 / 大嘴娃进化石,Dàzuǐwá Jìnhuà Shí / Daaihjéuiwā Jeunfa Sehk
Gold Leaf,II,Can be sold for 1000.,Manectite,ライボルトナイト,Livoltnite,Élecsprintite,Voltensonit,Manectricite,Manectricita,썬더볼트나이트,Thundervoltnite,雷電獸進化石 / 雷电兽进化石,Léidiànshòu Jìnhuà Shí / Lèuihdihnsau Jeunfa Sehk
Gold Teeth,I,Safari Zone Warden's false teeth. Return for HM04 (Strength),Garchompite,ガブリアスナイト,Gaburiasnite,Carchacrokite,Knakracknit,Garchompite,Garchompita,한카리아스나이트,Hankariasnite,烈咬陸鯊進化石 / 烈咬陆鲨进化石,Lièyǎolùshā Jìnhuà Shí / Lihtngáauhluhksā Jeunfa Sehk
Gonzap's Key,III,Opens an item box containing TM30 (Shadow Ball).,Latiasite,ラティアスナイト,Latiasnite,Latiasite,Latiasnit,Latiasite,Latiasita,라티아스나이트,Latiasnite,拉帝亞斯進化石 / 拉帝亚斯进化石,Lādìyāsī Jìnhuà Shí / Lāaidai'asī Jeunfa Sehk
Good Rod,I-IV,Allows the player to fish for medium-level aquatic Pokémon.,Latiosite,ラティオスナイト,Latiosnite,Latiosite,Latiosnit,Latiosite,Latiosita,라티오스나이트,Latiosnite,拉帝歐斯進化石 / 拉帝欧斯进化石,Lādì'ōusī Jìnhuà Shí / Lāaidai'āusī Jeunfa Sehk
Gooey Mulch,IV,Increases the number of times new Berry plants can grow where old ones withered.,Swampertite,ラグラージナイト,Laglargenite,Laggronite,Sumpexnit,Swampertite,Swampertita,대짱이나이트,Daejjanginite,巨沼怪進化石 / 巨沼怪进化石,Jùzhǎoguài Jìnhuà Shí / Geuihjíugwaai Jeunfa Sehk
Gorgeous Box,II,Sometimes held by a reward Pokémon from Pokémon Stadium if traded to Generation II.,Sceptilite,ジュカインナイト,Jukainnite,Jungkite,Gewaldronit,Sceptilite,Sceptilita,나무킹나이트,Namukingnite,蜥蜴王進化石 / 蜥蜴王进化石,Xīyìwáng Jìnhuà Shí / Sīkyihkwòhng Jeunfa Sehk
Gracidea,IV,Allows Shaymin to change form.,Sablenite,ヤミラミナイト,Yamiraminite,Ténéfixite,Zobirisnit,Sableyeite,Sableynita,깜까미나이트,Kamkaminite,勾魂眼進化石 / 勾魂眼进化石,Gōuhúnyǎn Jìnhuà Shí / Ngāuwàhnngáahn Jeunfa Sehk
Gram 1,V,An important letter which Wingull delivers.,Altarianite,チルタリスナイト,Tyltalisnite,Altarite,Altarianit,Altarite,Altarianita,파비코리나이트,Pavicorinite,七夕青鳥進化石 / 七夕青鸟进化石,Qīxìqīngniǎo Jìnhuà Shí / Chātjihkchīngníuh Jeunfa Sehk
Gram 2,V,An important letter which Wingull delivers.,Galladite,エルレイドナイト,Erureidonite,Gallamite,Galagladinit,Galladite,Galladita,엘레이드나이트,Elladenite,艾路雷朵進化石 / 艾路雷朵进化石,Àilùléiduǒ Jìnhuà Shí / Ngaaihlouhlèuidó Jeunfa Sehk
Gram 3,V,An important letter which Wingull delivers.,Audinite,タブンネナイト,Tabunnenite,Nanméouïte,Ohrdochnit,Audinite,Audinita,다부니나이트,Dabunienite,差不多娃娃進化石 / 差不多娃娃进化石,Chàbùduōwáwá Jìnhuà Shí / Chābātdōwāwā Jeunfa Sehk
Grass Gem,V,"Increases the power of the holder's first Grass-type move by 50%, and is consumed after use.",Metagrossite,メタグロスナイト,Metagrossnite,Métalossite,Metagrossnit,Metagrossite,Metagrossita,메타그로스나이트,Metagrossnite,巨金怪進化石 / 巨金怪进化石,Jùjīnguài Jìnhuà Shí / Geuihgāmgwaai Jeunfa Sehk
Grass Memory,VII,Makes Silvally a Grass-type Pokémon and makes Multi-Attack a Grass-type move.,Sharpedonite,サメハダナイト,Samehadenite,Sharpedite,Tohaidonit,Sharpedite,Sharpedonita,샤크니아나이트,Sharknianite,巨牙鯊進化石 / 巨牙鲨进化石,Jùyáshā Jìnhuà Shí / Geuihngàhsā Jeunfa Sehk
Grassium Z,VII,Allows a Pokémon to upgrade their Grass-type damaging moves to the Z-Move Bloom Doom or upgrade their Grass-type status moves into Z-Moves. Makes Arceus a Grass-type Pokémon.,Slowbronite,ヤドランナイト,Yadorannite,Flagadossite,Lahmusnit,Slowbroite,Slowbronita,야도란나이트,Yadonrannite,呆殼獸進化石 / 呆壳兽进化石,Dāikéshòu Jìnhuà Shí / Ngòihhoksau Jeunfa Sehk
Grass Mail,IV,Mail with a grass pattern. To be held by a Pokémon for delivery.,Steelixite,ハガネールナイト,Haganeilnite,Steelixite,Stahlosnit,Steelixite,Steelixita,강철톤나이트,Gangcheoltonnite,大鋼蛇進化石 / 大钢蛇进化石,Dàgāngshé Jìnhuà Shí / Daaihgongsèh Jeunfa Sehk
Grassy Seed,VII,A one-time use item that raises the holder's Defense by one stage upon activation of Grassy Terrain.,Pidgeotite,ピジョットナイト,Pigeotnite,Roucarnagite,Taubossnit,Pidgeotite,Pidgeotita,피죤투나이트,Pijontoonite,大比鳥進化石 / 大比鸟进化石,Dàbǐniǎo Jìnhuà Shí / Daaihbéiníuh Jeunfa Sehk
Great Ball,I,A moderately good type of Poké Ball.,Glalitite,オニゴーリナイト,Onigohrinite,Oniglalite,Firnontornit,Glalite,Glalita,얼음귀신나이트,Urumkisinnite,冰鬼護進化石 / 冰鬼护进化石,Bīngguǐhù Jìnhuà Shí / Bīnggwáiwuh Jeunfa Sehk
Green Apricorn,II,"Kurt will make the player a Friend Ball out of it.
Note: Formatted as Grn Apricorn prior to Generation VI.",Diancite,ディアンシナイト,Diancinite,Diancite,Diancienit,Diancite,Diancita,디안시나이트,Diancienite,蒂安希進化石 / 蒂安希进化石,Dì'ānxī Jìnhuà Shí / Dai'ōnhēi Jeunfa Sehk
