Name,Gen,Gen2,Description,Note,NameStar,Japanese Kana,Japanese Romaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized,Star
Sail Fossil,6,,A Fossil from which an Amaura can be resurrected.,,FALSE,ヒレのカセキ,Hire no Kaseki,Fossile Nageoire,Flossenfossil,Fossilpinna,Fósil Aleta,지느러미화석,Jineuleomi Hwaseok,鰭之化石 / 鳍之化石,Qí-zhī Huàshí / Kèih-jī Fasehk,0
Oak's Letter,4,,Opens the Seabreak Path and allows the user to face Shaymin.,,FALSE,オーキドのてがみ,Okido no Tegami,Lettre Chen,Eichs Brief,Lettera di Oak,Carta Pr Oak,오박사의 편지,O-baksa-ui Pyeonji,大木的信,Dàmù-de Xìn / Daaihmuhk-dīk Seun,0
Life Orb,4,,"Raises the power of moves, but causes recoil damage.",,FALSE,いのちのたま,Inochi no Tama,Orbe Vie,Leben-Orb,Assorbisfera,Vidasfera,생명의구슬,Saengmyeong-ui Guseul,生命寶珠 / 生命宝珠,Shēngmìng Bǎozhū / Sāngmihng Bóujyū,0
Helix Fossil,1,,A Fossil from which an Omanyte can be resurrected.,,FALSE,かいのカセキ,Kai no Kaseki,Fossile Nautile,Helixfossil,Helixfossile,Fósil Helix,조개화석,Jogae Hwaseok,貝殼化石 / 贝壳化石,Bèiké Huàshí / Buihok Fasehk,0
Snorlium Z,7,,Allows Snorlax to upgrade Giga Impact to the special Z-Move Pulverizing Pancake.,,FALSE,カビゴンＺ,Kabigon-Z,Ronflézélite,Relaxonium Z,Snorlactium Z,Snorlastal Z,잠만보Z,Jammanbo-Z,卡比獸Ｚ / 卡比兽Ｚ,Kǎbǐshòu-Z / Kábeihsau-Z,0
Absolite,6,,Allows Absol to Mega Evolve into Mega Absol.,,FALSE,アブソルナイト,Absolnite,Absolite,Absolnit,Absolite,Absolita,앱솔나이트,Absolnite,阿勃梭魯進化石 / 阿勃梭鲁进化石,Ābósuōlǔ Jìnhuà Shí / Abuhtsōlóuh Jeunfa Sehk,0
Wood Mail,3,,Mail with picture of a Slakoth.,,FALSE,ウッディメール,Woody Mail,Lettre Bois,Waldbrief,Mess. Bosco,Carta Madera,,,,,0
Unown Report,4,,Lists the caught Unown forms. Replaces the Unown Mode of Generation II.,,FALSE,アンノーンノート,Unknown Note,Carnet Zarbi,Icognitoheft,UnownBloc,Bloc Unown,안농노트,Annong Note,未知圖騰筆記 / 未知图腾笔记,Wèizhītúténg Bǐjì / Meihjītòuhtàhng Bātgei,0
Key to Room 2,6,,Opens Room 2 of the Abandoned ShipRSE/Sea MauvilleORAS.,Called Rm. 2 Key in Generation III.,FALSE,にごうしつのカギ,Ni-gō Shitsu no Kagi,Clé Salle 2,R2-Schlüssel,Chiave stanza 2,Ll. Habitación 2,이호실열쇠,I-hosil Yeolsoe,"２號客房的鑰匙 /
２号客房的钥匙",2 Hào Kèfáng-de Yàoshi / 2 Houh Haakfóng-dīk Yeuhksìh,1616
Rose Incense,4,,Raises the power of Grass-type moves. Roselia and Roserade holding this can breed Budew.,,FALSE,おはなのおこう,Ohana no Okō,Encens Fleur,Rosenrauch,Rosaroma,Incienso floral ,꽃향로,Kkoch Hyangno,花朵薰香,Huāduǒ Xūnxiāng / Fādó Fānhēung,16
Orange Mail,3,,Mail with a Zigzagoon print. To be held by a Pokémon for delivery.,,FALSE,オレンジメール,Orange Mail,Lettre Oranj,Zigzagbrief,Mess. Agrume,Carta Naranja,,,,,0
F-Disk,3,,Moves the UFO in The Under to the Under Colosseum.,,FALSE,Ｆ－ディスク,F-Disk,Disque-A,V-Disc,Disco Avanti,Disco A,,,,,0
Plume Fossil,5,,A Fossil from which an Archen can be resurrected.,,FALSE,はねのカセキ,Hane no Kaseki,Fossile Plume,Federfossil,Fossilpiuma,Fósil Pluma,날개화석,Nalgae Hwaseok,羽毛化石,Yǔmáo Huàshí / Yúhmòuh Fasehk,128
Eon Mail,2,,Eevee-printed mail. To be held by a Pokémon for delivery.,,FALSE,ブイブイメール,Vui-Vui Mail,Lettre Evoli,Anara-Brief,Mess. Eon,Carta Eón,브이브이메일,Beuibeui Mail,,,0
Scope Lens,3,,Raises chances of getting a critical hit.,,FALSE,ピントレンズ,Pint Lens,Lentilscope,Scope-Linse,Mirino,Periscopio,초점렌즈,Chojeom Lens,焦點鏡 / 焦点镜,Jiāodiǎn Jìng / Jīudím Geng,0
Wailmer Pail,3,,Used to water Berry plants.,,FALSE,ホエルコじょうろ,Hoeruko Jōro,Wailmerrosoir,Wailmerkanne,Vaso Wailmer,Wailmegadera,고래왕자물뿌리개,Goraewangja Mulppurigae,吼吼鯨噴壺 / 吼吼鲸喷壶,Hǒuhǒujīng Pēnhú / Hāauhāaukìhng Panwùh,144
Gooey Mulch,4,,Increases the number of times new Berry plants can grow where old ones withered.,,FALSE,ねばねばこやし,Nebaneba Koyashi,Fertiglu,Neumulch,Fertilcolla,Abono Brote,끈적끈적비료,Kkeunjeok-kkeunjeok Biryo,黏黏肥 / 粘粘肥,Niánnián Féi / Nīmnīm Fèih,0
Storage Key,4,,Gives the player access to the Galactic Warehouse in Veilstone City.,,FALSE,そうこのカギ,Sōko no Kagi,Clé Stockage,Lagerschlüssel,Chiave magazzino,Llave Almacén,창고열쇠,Changgo Yeolsoe,倉庫鑰匙 / 仓库钥匙,Cāngkù Yàoshi / Chōngfu Yeuhksìh,32
Grubby Hanky,5,,Can be exchanged for a Fluffy Tail at Café Warehouse.,,FALSE,よごれたハンカチ,Dirty Handkerchief,MouchoirSale,Schnäuztuch,Pezza Sporca,Pan. Sucio,더러손수건,Deoreo Sonsugeon,髒手帕 / 脏手帕,Zāng Shǒupà / Jōng Sáupaak,0
Shoal Salt,3,,Can be used to make a Shell Bell. Does not have any use in Generation IV. Can be sold to an item maniac in the Icirrus City Pokémon Center for 7000 in Generation V.,,FALSE,あさせのしお,Asase no Shio,Sel Trefonds,Küstensalz,Sale Ondoso,Sal Cardumen,여울소금,Yeoul Sogeum,淺灘海鹽 / 浅滩海盐,Qiǎntān Hǎiyán / Chíntāan Hóiyìhm,0
Red Apricorn,2,,Kurt will make a Level Ball out of it.,,FALSE,あかぼんぐり,Aka Bonguri,Noigrume Rge,Aprikoko Rot,Ghicocca Rossa,Bonguri Rojo,빨간규토리,Ppalgan Gyutori,紅球果 / 红球果,Hóng Qiúguǒ / Hùhng Kàuhgwó,48
Super Potion,1,,Restores 60 HP. (50HP before Gen. VII).,,FALSE,いいキズぐすり,Ii Kizu Gusuri,Super Potion,Supertrank,Super Pozione,Superpoción,좋은상처약,Jo-eun Sangcheo Yak,好傷藥 / 好伤药,Hǎo Shāngyào / Hóu Sēungyeuhk,16
Revival Herb,2,,"Revives a Pokémon to full HP, but lowers friendship.",,FALSE,ふっかつそう,Fukkatsu Sō,Herbe Rappel,Vitalkraut,Vitalerba,Hierba Revivir,부활 초,Buhwal Cho,復活草 / 复活草,Fùhuó Cǎo / Fuhkwuht Chóu,0
Steel Teeth,3,,Give to the old man in front of Under Colosseum to obtain the L-Disk.,,FALSE,はがねのいれば,Hagane no Ireba,Dentier d'Acier,Zahnprothese,Dentacciaio,Dentadura,,,,,0
Red Petal,7,,A red petal required to complete Mina's Trial.,,FALSE,あかのはなびら,Aka no Hanabira,Pétale Rouge,Rotes Blatt,Petalo rosso,Pétalo Rojo,빨강꽃잎,Ppalgang Kkochip,紅色花瓣 / 红色花瓣,Hóng-sè Huābàn / Hùhng-sīk Fāfáan,0
Inquiry Mail,5,,Stationary for writing questions. To be held by a Pokémon for delivery.,,FALSE,しつもんメール,Shitsumon Mail,Let. Demande,Fragebrief,Mess. Chiedi,C. Pregunta,질문메일,Jilmun Mail,詢問郵件 / 询问邮件,Xúnwèn Yóujiàn / Sēunmahn Yàuhgín,0
Hyper Potion,1,,Restores 120 HP. (200HP before Gen. VII).,,FALSE,すごいキズぐすり,Sugoi Kizugusuri,Hyper Potion,Hypertrank,Iperpozione,Hiperpoción,고급상처약,Gogeup Sangcheo Yak,厲害傷藥 / 厉害伤药,Lìhài Shāngyào / Leihhhoih Sēungyeuhk,16
Travel Trunk,6,,"Not available without cheating. Allows the player to switch their clothes, just like in a Pokémon Center.",,FALSE,,,,,,,,,,,
Grepa Berry,3,,"Raises friendship, but lowers Special Defense EVs.",,FALSE,ウブのみ,Ubu no Mi,Baie Resin,Labrusbeere,Baccauva,Baya Uvav,또뽀열매,Ttoppo Yeolmae,萄葡果,Táopú Guǒ / Tòuhpòuh Gwó,0
Full Incense,4,,Causes holder to move slower than the opponent. A Snorlax holding it can breed to produce Munchlax.,,FALSE,まんぷくおこう,Manpuku Okō,Encens Plein,Lahmrauch,Gonfioaroma,Incienso lento,만복향로,Manbok Hyangno,飽腹薰香 / 饱腹薰香,Bǎofù Xūnxiāng / Báaufūk Fānhēung,16
Krane Memo 3,3,,Contains information about the Snag Machine.,,FALSE,クレインメモ３,Krane Memo 3,Memo Syrus 3,Klein-Memo 3,Appunti 3,Parte Cío 3,,,,,0
Krane Memo 1,3,,Contains information about snagging.,,FALSE,クレインメモ１,Krane Memo 1,Memo Syrus 1,Klein-Memo 1,Appunti 1,Parte Cío 1,,,,,0
Ultra Ball,1,,A Poké Ball with a high capture rate.,,FALSE,ハイパーボール,Hyper Ball,Hyper Ball,Hyperball,Ultra Ball,Ultraball,하이퍼볼,Hyper Ball,高級球 / 高级球,Gāojí Qiú / Gōukāp Kàuh,16
Medal Box,5,,A box-shaped machine that stores Medals and Medal information.,,FALSE,メダルボックス,Medal Box,B. Médailles,Medaillenbox,Box Premi,C. Insignias,메달박스,Medal Box,獎牌盒 / 奖牌盒,Jiǎngpái Hé / Jéungpáai Hahp,0
Key to Room 1,6,,Opens Room 1 of the Abandoned ShipRSE/Sea MauvilleORAS.,Called Rm. 1 Key in Generation III.,FALSE,いちごうしつのカギ,Ichi-gō Shitsu no Kagi,Clé Salle 1,R1-Schlüssel,Chiave stanza 1,Ll. Habitación 1,일호실열쇠,Il-hosil Yeolsoe,"１號客房的鑰匙 /
１号客房的钥匙",1 Hào Kèfáng-de Yàoshi / 1 Houh Haakfóng-dīk Yeuhksìh,1616
Claw Fossil,3,,A Fossil from which an Anorith can be resurrected.,,FALSE,ツメのカセキ,Tsume no Kaseki,Fossile Griffe,Klauenfossil,Fossilunghia,Fósil Garra,발톱화석,Baltop Hwaseok,爪子化石,Zhuǎzi Huàshí / Jáaují Fasehk,128
Bottle Cap,7,,Can be traded to Mr. Hyper to maximize one of a Pokémon's IVs in Hyper Training.,,FALSE,ぎんのおうかん,Gin no Ōkan,Capsule d'Argent,Silberkronkorken,Tappo d'argento,Chapa Plateada,은왕관,Eun Wanggwan,銀色王冠 / 银色王冠,Yínsè Wángguān / Ngàhnsīk Wòhnggūn,0
Fresh Water,1,,Restores 30 HP. (50HP before Gen. VII).,,FALSE,おいしいみず,Oishii Mizu,Eau Fraiche,Tafelwasser,Acqua Fresca,Agua Fresca,맛있는물,Masinneun Mul,美味之水,Měiwèi-zhī Shuǐ / Méihmeih-jī Séui,0
Max Ether,1,,Restores all the PP of a single move.,,FALSE,ピーピーリカバー,PP Recover,Huile Max,Top-Äther,Etere Max,Éter Máximo,PP회복,PP Hoebok,ＰＰ單項全補劑 / ＰＰ单项全补剂,PP Dānxiàng Quánbǔjì / PP Dāanhohng Chyùhnbóujaih,0
HP Up,1,,Raises the HP of a Pokémon.,,FALSE,マックスアップ,Max Up,PV Plus,KP-Plus,PS-Su,Más PS,맥스업,Max Up,ＨＰ增強劑 / ＨＰ增强剂,HP Zēngqiángjì / HP Jāngkèuhngjaih,0
Eon Ticket,3,,Allows player to access Southern Island.,,FALSE,むげんのチケット,Mugen no Ticket,Passe Éon,Äon-Ticket,Biglietto Eone,Ticket Eón,무한티켓,Muhan Ticket,無限船票 / 无限船票,Wúxiàn Chuánpiào / Mòuhhaahn Syùhnpiu,0
Tapunium Z,7,,Allows the guardian deities to upgrade Nature's Madness to the special Z-Move Guardian of Alola.,,FALSE,カプＺ,Kapu-Z,Tokozélite,Kapium Z,Tapium Z,Tapistal Z,카푸Z,Kapu-Z,卡璞Ｚ,Kǎpú-Z / Kāpok-Z,0
Storage Key,3,,Allows a door to be opened on the Abandoned ShipRSE or the storage hold on the Sea MauvilleORAS.,,FALSE,そうこのカギ,Sōko no Kagi,Clé Stockage,Lagerschlüssel,Chiave magazzino,Llave Almacén,창고열쇠,Changgo Yeolsoe,倉庫鑰匙 / 仓库钥匙,Cāngkù Yàoshi / Chōngfu Yeuhksìh,32
Haban Berry,4,,Halves the power of super effective Dragon-type moves.,,FALSE,ハバンのみ,Haban no Mi,Baie Fraigo,Terirobeere,Baccahaban,Baya Anjiro,하반열매,Haban Yeolmae,莓榴果,Méiliú Guǒ / Mùihlàuh Gwó,0
Fishing Rod,7,,Allows the player to fish near underwater piles of rock.,,FALSE,つりざお,Tsurizao,Canne à Pêche,Angel,Amo,Caña,낚싯대,Nakksisdae,釣竿 / 钓竿,Diàogān / Diugōn,0
Rowap Berry,4,,"If a foe's special move lands, then the foe also takes damage.",,FALSE,レンブのみ,Renbu no Mi,Baie Pommo,Roselbeere,Baccaroam,Baya Magua,애터열매,Aeteo Yeolmae,霧蓮果 / 雾莲果,Wùlián Guǒ / Mouhlìhn Gwó,0
Oval Stone,4,,"When held, allows Happiny to evolve.",,FALSE,まんまるいし,Manmaru Ishi,Pierre Ovale,Ovaler Stein,Pietraovale,Piedra Oval,동글동글돌,Donggeuldonggeul Dol,渾圓之石 / 浑圆之石,Húnyuán-zhī Shí / Wahnyùhn-jī Sehk,0
Rule Book,,,,,,ルールブック,Rule Book,Livre Règles,Regelbuch,Libro Regole,Reglamento,룰북,Rule Book,規則書 / 规则书,Guīzé Shū / Kwāijāk Syū,0
X Speed 6,5,,Immensely raises a Pokémon's Speed. Wonder Launcher only.,,FALSE,,,,,,,,,,,
X Sp. Def 6,5,,Immensely raises a Pokémon's Special Defense. Wonder Launcher only.,,FALSE,,,,,,,,,,,
Relic Vase,5,,Can be sold for 50000 to the villa owner in Undella Town.,,FALSE,こだいのツボ,Kodai no Tsubo,Vieux Vase,Alte Vase,Vasantico,Ánfora,고대의항아리,Godae-yi Hang'ari,古代之壺 / 古代之壶,Gǔdài-zhī Hú / Gúdoih-jī Wùh,0
X Sp. Atk,1,,Raises a Pokémon's Special Attack (Special in Generation I) by 2 stages (1 stage before Gen. VII).,Called X Special prior to Generation VI.,FALSE,スペシャルアップ,Special Up,Special +,X-Spezial,Att. Speciale X,Especial X,스페셜업,Special-Up,特攻強化 / 特攻强化,Tègōng Qiánghuà / Dahkgūng Kèuhngfa,1056
Moon Flute,7,,Used to evolve Nebby into Lunala at the Altar of the Moone.,,FALSE,つきのふえ,Tsuki no Fue,Flûte de la Lune,Mondflöte,Flauto lunare,Flauta Lunar,달의피리,Dal Uipili,月亮之笛,Yuèliàng-zhī Dí / Yuhtleuhng-jī Dehk,0
Cleanse Tag,3,,Repels Pokémon if the holder is first in the party.,,FALSE,きよめのおふだ,Kiyome no Ofuda,Rune Purifiante,Schutzband,Velopuro,Amuleto,순결의부적,Sun-gyeorui Bujeok,潔淨之符 / 洁净之符,Jiéjìng-zhī Fú / Gitjihng-jī Fùh,128
Dragon Fang,2,,Raises the power of Dragon-type moves.,,FALSE,りゅうのキバ,Ryū no Kiba,Croc Dragon,Drachenzahn,Dentedidrago,Colmillo Dragón,용의이빨,Yong-ui Ippal,龍之牙 / 龙之牙,Lóng-zhī Yá / Lùhng-jī Ngàh,16
Antidote,1,,Heals the poisoning of a Pokémon.,,FALSE,どくけし,Dokukeshi,Antidote,Gegengift,Antidoto,Antídoto,해독제,Haedokje,解毒藥 / 解毒药,Jiědúyào / Gáaiduhkyeuhk,0
Eevium Z,7,,Allows Eevee to upgrade Last Resort to the special Z-Move Extreme Evoboost.,,FALSE,イーブイＺ,Eievui-Z,Évolizélite,Evolium Z,Eevium Z,Eeveestal Z,이브이Z,Eevee-Z,伊布Ｚ,Yībù-Z / Yībou-Z,0
Power Bracer,4,,"Promotes Attack EVs, but lowers Speed in battle.",,FALSE,パワーリスト,Power Wrist,Poignée Pouvoir,Machtreif,Vigorcerchio,Brazal Recio,파워리스트,Power Wrist,力量護腕 / 力量护腕,Lìliàng Hùwàn / Lihkleuhng Wuhwún,128
Yellow Petal,7,,A yellow petal required to complete Mina's Trial.,,FALSE,きいろのはなびら,Kiiro no Hanabira,Pétale Jaune,Gelbes Blatt,Petalo giallo,Pétalo Amarillo,노랑꽃잎,Norang Kkochip,黃色花瓣 / 黄色花瓣,Huáng-sè Huābàn / Wòhng-sīk Fāfáan,0
Genius Wing,5,,Raises the Special Attack of a Pokémon.,,FALSE,ちりょくのハネ,Chiryoku no Hane,Aile Esprit,Geniefeder,Piumingegno,Pluma Intelecto,지력날개,Jiryeok Nalgae,智力之羽,Zhìlì-zhī Yǔ / Jilihk-jī Yúh,16
RSVP Mail,5,,Stationary designed for invitations. To be held by a Pokémon for delivery.,,FALSE,おさそいメール,Osasoi Mail,Lettre Invit,Einladebrief,Mess. Invito,C. Invitar,권유메일,Gweon'yu Mail,邀請郵件 / 邀请邮件,Yāoqǐng Yóujiàn / Yīuchíng Yàuhgín,0
Rock Incense,4,,Raises the power of Rock-type moves. A Sudowoodo holding this can breed to produce Bonsly Eggs.,,FALSE,がんせきおこう,Ganseki Okō,Encens Roc,Steinrauch,Roccioaroma,Incienso roca,암석향로,Amseog Hyangno,岩石薰香,Yánshí Xūnxiāng / Ngàahmsehk Fānhēung,16
Poisonium Z,7,,Allows a Pokémon to upgrade their Poison-type damaging moves to the Z-Move Acid Downpour or upgrade their Poison-type status moves into Z-Moves. Makes Arceus a Poison-type Pokémon.,,FALSE,ドクＺ,Poison-Z,Toxizélite,Toxium Z,Venenium Z,Toxistal Z,독Z,Dok-Z,毒Ｚ,Dú-Z / Duhk-Z,0
Big Mushroom,2,,Can be sold for 2500.,,FALSE,おおきなキノコ,Ōkina Kinoko,Gros Champi,Riesenpilz,Grande Fungo,Seta Grande,큰버섯,Keun Beoseot,大蘑菇,Dà Mógū / Daaih Mòhgū,0
X Attack,1,,Raises a Pokémon's Attack by 2 stages (1 stage before Gen. VII).,,FALSE,プラスパワー,Plus Power,Attaque +,X-Angriff,Attacco X,Ataque X,플러스파워,Plus Power,力量強化 / 力量强化,Lìliàng Qiánghuà / Lihkleuhng Kèuhngfa,0
Ether,1,,Restores 10 PP of one move of a Pokémon.,,FALSE,ピーピーエイド,PP Aid,Huile,Äther,Etere,Éter,PP에이드,PP Aid,ＰＰ單項小補劑 / ＰＰ单项小补剂,PP Dānxiàng Xiǎobǔjì / PP Dāanhohng Síubóujaih,0
Latiosite,6,,Allows Latios to Mega Evolve into Mega Latios.,,FALSE,ラティオスナイト,Latiosnite,Latiosite,Latiosnit,Latiosite,Latiosita,라티오스나이트,Latiosnite,拉帝歐斯進化石 / 拉帝欧斯进化石,Lādì'ōusī Jìnhuà Shí / Lāaidai'āusī Jeunfa Sehk,0
Blue Petal,7,,A blue petal required to complete Mina's Trial.,,FALSE,あおのはなびら,Ao no Hanabira,Pétale Bleu,Blaues Blatt,Petalo azzurro,Pétalo Azul,파랑꽃잎,Parang Kkochip,藍色花瓣 / 蓝色花瓣,Lán-sè Huābàn / Làahm-sīk Fāfáan,0
Flying Memory,7,,Makes Silvally a Flying-type Pokémon and makes Multi-Attack a Flying-type move.,,FALSE,フライングメモリ,Flying Memory,ROM Vol,Flug-Disc,ROM Volante,Disco Volador,플라잉메모리,Flying Memory,"飛翔記憶碟*
飞翔存储碟","Fēixiáng Jìyìdié / Fēichèuhng Geiyīkdihp*
Fēixiáng Cúnchǔdié",3
X Accuracy 6,5,,Immensely raises a Pokémon's accuracy. Wonder Launcher only.,,FALSE,,,,,,,,,,,
Odd Keystone,4,,A stone that can trap Spiritomb.,,FALSE,かなめいし,Kaname Ishi,Clé de Voûte,Spiritkern,Roccianima,Piedra Espíritu,쐐기돌,Sswaegi Dol,楔石,Xiē Shí / Sit Sehk,16
HMs,1,,Can be used to teach a field move to a Pokémon. HMs will not break up after use and as such can be used over and over again.,,FALSE,,,,,,,,,,,
Works Key,4,,Allows player access to the Valley Windworks near Floaroma Town.,,FALSE,はつでんしょキー,Hatsudensho Key,Clé Centrale,K-Schlüssel,Turbinchiave,Ll. Central,발전소키,Baljeonso Key,發電廠鑰匙 / 发电厂钥匙,Fādiànchǎng Yàoshi / Faatdihnchóng Yeuhksìh,0
Slowbronite,6,,Allows Slowbro to Mega Evolve into Mega Slowbro.,,FALSE,ヤドランナイト,Yadorannite,Flagadossite,Lahmusnit,Slowbroite,Slowbronita,야도란나이트,Yadonrannite,呆殼獸進化石 / 呆壳兽进化石,Dāikéshòu Jìnhuà Shí / Ngòihhoksau Jeunfa Sehk,0
Damp Mulch,4,,"Causes the soil to dry out more slowly, but also causes the Berry plant to grow more slowly.",,FALSE,じめじめこやし,Jimejime Koyashi,Fertihumide,Feuchtmulch,Fertilidro,Abono Lento,축축이비료,Chukchug'i Biryo,濕濕肥 / 湿湿肥,Shīshī Féi / Sāpsāp Fèih,0
Custap Berry,4,,Allows holder to move first just once when HP is below ⅓.,,FALSE,イバンのみ,Iban no Mi,Baie Chérim,Eipfelbeere,Baccacrela,Baya Chiri,애슈열매,Aesyu Yeolmae,釋陀果 / 释陀果,Shìtuó Guǒ / Sīktòh Gwó,0
Cornn Berry,3,,Poffin and Pokéblock ingredient.,,FALSE,モコシのみ,Mokoshi no Mi,Baie Siam,Saimbeere,Baccavena,Baya Mais,수숙열매,Susuk Yeolmae,玉黍果,Yùshǔ Guǒ / Yuhksyú Gwó,0
Watmel Berry,3,,Pokéblock and Poffin ingredient.,,FALSE,カイスのみ,Kaisu no Mi,Baie Stekpa,Wasmelbeere,Baccacomero,Baya Sambia,슈박열매,Syubak Yeolmae,瓜西果,Guāxī Guǒ / Gwāsāi Gwó,0
Soda Pop,1,,Restores 50 HP. (60HP before Gen. VII).,,FALSE,サイコソーダ,Saiko Soda,Soda Cool,Sprudel,Gassosa,Refresco,미네랄사이다,Mineral Cider,勁爽汽水 / 劲爽汽水,Jìnshuǎng Qìshuǐ / Gihngsóng Heiséui,0
Dark Memory,7,,Makes Silvally a Dark-type Pokémon and makes Multi-Attack a Dark-type move.,,FALSE,ダークメモリ,Dark Memory,ROM Ténèbres,Unlicht-Disc,ROM Buio,Disco Siniestro,다크메모리,Dark Memory,"黑暗記憶碟*
黑暗存储碟","Hēi'àn Jìyìdié / Hāk'am Geiyīkdihp*
Hēi'àn Cúnchǔdié",3
Old Sea Map,3,,"Event item that gives player access to Faraway Island, where Mew can be caught.",,FALSE,ふるびたかいず,Furubita Kaizu,Vieille Carte,Alte Karte,Mappa Stinta,Mapa Viejo,,,,,0
Blue Apricorn,2,,"If taken to Kurt, he will make the player a Lure Ball. Also, Apricorn Drink ingredient.",Formatted as Blu Apricorn prior to Generation VI.,FALSE,あおぼんぐり,Ao Bonguri,Noigrume Blu,Aprikoko Blu,Ghicocca Blu,Bonguri Azul,파란규토리,Paran Gyutori,藍球果 / 蓝球果,Lán Qiúguǒ / Làahm Kàuhgwó,1072
Poké Ball,1,,A ball used to catch Pokémon.,,FALSE,モンスターボール,Monster Ball,Poké Ball,Pokéball,Poké Ball,Poké Ball,몬스터볼,Monster Ball,精靈球 / 精灵球,Jīnglíng Qiú / Jīnglìhng Kàuh,0
Apicot Berry,3,,Raises Special Defense when HP is below ⅓.,,FALSE,ズアのみ,Zua no Mi,Baie Abriko,Apikobeere,Baccacocca,Baya Aricoc,규살열매,Gyusal Yeolmae,杏仔果,Xìngzǐ Guǒ / Hahngjái Gwó,0
Elixir,1,,Restores 10 PP of each move of a Pokémon.,,FALSE,ピーピーエイダー,PP Aider,Elixir,Elixier,Elisir,Elixir,PP에이더,PP Aider,ＰＰ多項小補劑 / ＰＰ多项小补剂,PP Duōxiàng Xiǎobǔjì / PP Dōhohng Síubóujaih,1024
Soot Sack,3,,Allows player to gather soot from Mt. Chimney and exchange for Flutes.,,FALSE,はいぶくろ,Hai Bukuro,Sac à Suie,Aschetasche,Sacco Cenere,Saco hollín,검댕자루,Geomdaeng Jaru,集灰袋,Jíhuī Dài / Jaahpfūi Doih,0
Luminous Moss,6,,Raises the holder's Special Defense by one stage after being hit by a Water-type attack. Consumed after use.,,FALSE,ひかりごけ,Hikari Goke,Lichen Lumineux,Leuchtmoos,Muschioluce,Musgo Brillante,빛이끼,Bit Ikki,光苔,Guāngtái / Gwōngtòih,0
Light Clay,4,,Extends the duration of the moves Reflect and Light Screen.,,FALSE,ひかりのねんど,Hikari no Nendo,Lumargile,Lichtlehm,Creta Luce,Refleluz,빛의점토,Bichui Jeomto,光之黏土,Guāng-zhī Niántǔ / Gwōng-jī Nìhmtóu,0
Energy Root,2,,"Restores 200 HP, but lowers friendship.",,FALSE,ちからのねっこ,Chikara no Nekko,Racine Énergie,Kraftwurzel,Radicenergia,Raíz Energía,힘의뿌리,Himui Ppuri,元氣根 / 元气根,Yuánqì Gēn / Yùhnhei Gān,128
Qualot Berry,3,,"Raises friendship, but lowers Defense EVs.",,FALSE,タポルのみ,Tapol no Mi,Baie Qualot,Qualotbeere,Baccaloquat,Baya Ispero,파비열매,Pabi Yeolmae,比巴果,Bǐbā Guǒ / Béibā Gwó,0
Battle CD,,,,,,バトルディスク,Battle Disk,Holodisk,Kampf-CD,CD Lotta,Disco C.,,,,,0
Town Map,1,,Contains an interactive map of the region and where the player is at the time.,,FALSE,タウンマップ,Town Map,Carte,Karte,Mappa,Mapa,타운맵,Town Map,城鎮地圖 / 城镇地图,Chéngzhèn Dìtú / Sìhngjan Deihtòuh,16
Flyinium Z,7,,Allows a Pokémon to upgrade their Flying-type damaging moves to the Z-Move Supersonic Skystrike or upgrade their Flying-type status moves into Z-Moves. Makes Arceus a Flying-type Pokémon.,,FALSE,ヒコウＺ,Flying-Z,Aérozélite,Aerium Z,Volantium Z,Aerostal Z,비행Z,Bihaeng-Z,飛行Ｚ / 飞行Ｚ,Fēixíng-Z / Fēihàhng-Z,0
Fire Stone,1,,"Can be used to evolve Vulpix, Growlithe, Eevee, and Pansear.",,FALSE,ほのおのいし,Honō no Ishi,Pierre Feu,Feuerstein,Pietrafocaia,Piedra Fuego,불꽃의돌,Bulkkoch-ui Dol,火之石,Huǒ-zhī Shí / Fó-jī Sehk,0
Ein File H,3,,Describes Hyper Mode.,,FALSE,ボルグファイルＨ,Borg File H,Dossier Teck H,Culpa-Akte F-M,Genus.File I,Parte Ein: H,,,,,0
Pal Pad,4,,Used to record friends on Nintendo Wi-Fi Connection and register Friend Codes.,,FALSE,ともだちてちょう,Tomodachi Techō,Registre Ami,Adressbuch,Blocco Amici,Bloc amigos,친구수첩,Chingu Sucheop,朋友手冊 / 朋友手册,Péngyǒu Shǒucè / Pàhngyáuh Sáuchaak,0
Blue Shard,3,,Exchangeable for a variety of services.,,FALSE,あおいかけら,Aoi Kakera,Tesson Bleu,Indigostück,Coccio Blu,Parte Azul,파랑조각,Parang Jogak,藍色碎片 / 蓝色碎片,Lánsè Suìpiàn / Làahmsīk Seuipin,0
Ghost Gem,5,,"Increases the power of the holder's first Ghost-type move by 50%, and is consumed after use.",,FALSE,ゴーストジュエル,Ghost Jewel,Joyau Spectre,Geisterjuwel,Bijouspettro,Gema Fantasma,고스트주얼,Ghost Jewel,幽靈寶石 / 幽灵宝石,Yōulíng Bǎoshí / Yāulìhng Bóusehk,208
Poffin Case,4,,Stores Poffins.,,FALSE,ポフィンケース,Poffin Case,Boîte Poffin,Knurspbox,Portapoffin,Pokochera,포핀케이스,Poffin Case,寶芬盒 / 宝芬盒,Bǎofēn Hé / Bǎofēn Hahp,0
