ID_1,HEX_1,Name_1,Pokcet_1,Translation_1,Type_1,ID_2,HEX_2,Name_2,Pokcet_2,ID_3,HEX_3,Name_3,Pokcet_3,ID_3Colo,HEX_3Colo,Name_3Colo,Pokcet_3Colo,ID_3XD,HEX_3XD,Name_3XD,Pokcet_3XD,ID_4,HEX_4,Name_4,Pokcet_4,ID_5,HEX_5,Name_5,Pokcet_5,ID_6,HEX_6,Name_6,Pokcet_6,ID_7,HEX_7,Name_7,Pokcet_7,ID_7LG,HEX_7LG,Name_7LG,Pokcet_7LG
94,0x5E,9F,,,G,155,0x9B,Teru-sama,Items pocket,155,0x009B,Qualot Berry,Berries pocket,155,0x009B,Qualot Berry,Berries pocket,155,0x009B,Qualot Berry,Berries pocket,155,0x009B,Oran Berry,Berries pocket,155,0x009B,Oran Berry,Berries pocket,155,0x009B,Oran Berry,Berries pocket,155,0x009B,Oran Berry,Berries pocket,155,0x009B,Oran Berry,Unknown pocket
95,0x5F,10F,,,G,156,0x9C,Sacred Ash,Items pocket,156,0x009C,Hondew Berry,Berries pocket,156,0x009C,Hondew Berry,Berries pocket,156,0x009C,Hondew Berry,Berries pocket,156,0x009C,Persim Berry,Berries pocket,156,0x009C,Persim Berry,Berries pocket,156,0x009C,Persim Berry,Berries pocket,156,0x009C,Persim Berry,Berries pocket,156,0x009C,Persim Berry,Unknown pocket
96,0x60,11F,,,G,157,0x9D,Heavy Ball,Poké Balls pocket,157,0x009D,Grepa Berry,Berries pocket,157,0x009D,Grepa Berry,Berries pocket,157,0x009D,Grepa Berry,Berries pocket,157,0x009D,Lum Berry,Berries pocket,157,0x009D,Lum Berry,Berries pocket,157,0x009D,Lum Berry,Berries pocket,157,0x009D,Lum Berry,Berries pocket,157,0x009D,Lum Berry,Unknown pocket
97,0x61,B4F,,,G,158,0x9E,Flower Mail,Items pocket,158,0x009E,Tamato Berry,Berries pocket,158,0x009E,Tamato Berry,Berries pocket,158,0x009E,Tamato Berry,Berries pocket,158,0x009E,Sitrus Berry,Berries pocket,158,0x009E,Sitrus Berry,Berries pocket,158,0x009E,Sitrus Berry,Berries pocket,158,0x009E,Sitrus Berry,Berries pocket,158,0x009E,Sitrus Berry,Unknown pocket
,,,,,,159,0x9F,Level Ball,Poké Balls pocket,159,0x009F,Cornn Berry,Berries pocket,159,0x009F,Cornn Berry,Berries pocket,159,0x009F,Cornn Berry,Berries pocket,159,0x009F,Figy Berry,Berries pocket,159,0x009F,Figy Berry,Berries pocket,159,0x009F,Figy Berry,Berries pocket,159,0x009F,Figy Berry,Berries pocket,159,0x009F,Figy Berry,Unknown pocket
98,0x62,かみなりバッヂ,,ThunderBadge,D,160,0xA0,Lure Ball,Poké Balls pocket,160,0x00A0,Magost Berry,Berries pocket,160,0x00A0,Magost Berry,Berries pocket,160,0x00A0,Magost Berry,Berries pocket,160,0x00A0,Wiki Berry,Berries pocket,160,0x00A0,Wiki Berry,Berries pocket,160,0x00A0,Wiki Berry,Berries pocket,160,0x00A0,Wiki Berry,Berries pocket,160,0x00A0,Wiki Berry,Unknown pocket
99,0x63,かいがらバッヂ,,ShellBadge,D,161,0xA1,Fast Ball,Poké Balls pocket,161,0x00A1,Rabuta Berry,Berries pocket,161,0x00A1,Rabuta Berry,Berries pocket,161,0x00A1,Rabuta Berry,Berries pocket,161,0x00A1,Mago Berry,Berries pocket,161,0x00A1,Mago Berry,Berries pocket,161,0x00A1,Mago Berry,Berries pocket,161,0x00A1,Mago Berry,Berries pocket,161,0x00A1,Mago Berry,Unknown pocket
100,0x64,おじぞうバッヂ,,JizoBadge,D,162,0xA2,Teru-sama,Items pocket,162,0x00A2,Nomel Berry,Berries pocket,162,0x00A2,Nomel Berry,Berries pocket,162,0x00A2,Nomel Berry,Berries pocket,162,0x00A2,Aguav Berry,Berries pocket,162,0x00A2,Aguav Berry,Berries pocket,162,0x00A2,Aguav Berry,Berries pocket,162,0x00A2,Aguav Berry,Berries pocket,162,0x00A2,Aguav Berry,Unknown pocket
101,0x65,はやぶさバッヂ,,FalconBadge,D,163,0xA3,Light Ball,Items pocket,163,0x00A3,Spelon Berry,Berries pocket,163,0x00A3,Spelon Berry,Berries pocket,163,0x00A3,Spelon Berry,Berries pocket,163,0x00A3,Iapapa Berry,Berries pocket,163,0x00A3,Iapapa Berry,Berries pocket,163,0x00A3,Iapapa Berry,Berries pocket,163,0x00A3,Iapapa Berry,Berries pocket,163,0x00A3,Iapapa Berry,Unknown pocket
102,0x66,ひんやりバッヂ,,CoolBadge,D,164,0xA4,Friend Ball,Poké Balls pocket,164,0x00A4,Pamtre Berry,Berries pocket,164,0x00A4,Pamtre Berry,Berries pocket,164,0x00A4,Pamtre Berry,Berries pocket,164,0x00A4,Razz Berry,Berries pocket,164,0x00A4,Razz Berry,Berries pocket,164,0x00A4,Razz Berry,Berries pocket,164,0x00A4,Razz Berry,Berries pocket,164,0x00A4,Razz Berry,Unknown pocket
103,0x67,なかよしバッヂ,,FriendshipBadge,D,165,0xA5,Moon Ball,Poké Balls pocket,165,0x00A5,Watmel Berry,Berries pocket,165,0x00A5,Watmel Berry,Berries pocket,165,0x00A5,Watmel Berry,Berries pocket,165,0x00A5,Bluk Berry,Berries pocket,165,0x00A5,Bluk Berry,Berries pocket,165,0x00A5,Bluk Berry,Berries pocket,165,0x00A5,Bluk Berry,Berries pocket,165,0x00A5,Bluk Berry,Unknown pocket
104,0x68,バラバッヂ,,RoseBadge,D,166,0xA6,Love Ball,Poké Balls pocket,166,0x00A6,Durin Berry,Berries pocket,166,0x00A6,Durin Berry,Berries pocket,166,0x00A6,Durin Berry,Berries pocket,166,0x00A6,Nanab Berry,Berries pocket,166,0x00A6,Nanab Berry,Berries pocket,166,0x00A6,Nanab Berry,Berries pocket,166,0x00A6,Nanab Berry,Berries pocket,166,0x00A6,Nanab Berry,Unknown pocket
105,0x69,ひのたまバッヂ,,FireballBadge,D,167,0xA7,Normal Box,Items pocket,167,0x00A7,Belue Berry,Berries pocket,167,0x00A7,Belue Berry,Berries pocket,167,0x00A7,Belue Berry,Berries pocket,167,0x00A7,Wepear Berry,Berries pocket,167,0x00A7,Wepear Berry,Berries pocket,167,0x00A7,Wepear Berry,Berries pocket,167,0x00A7,Wepear Berry,Berries pocket,167,0x00A7,Wepear Berry,Unknown pocket
106,0x6A,ゴールドバッヂ,,GoldBadge,D,168,0xA8,Gorgeous Box,Items pocket,168,0x00A8,Liechi Berry,Berries pocket,168,0x00A8,Liechi Berry,Berries pocket,168,0x00A8,Liechi Berry,Berries pocket,168,0x00A8,Pinap Berry,Berries pocket,168,0x00A8,Pinap Berry,Berries pocket,168,0x00A8,Pinap Berry,Berries pocket,168,0x00A8,Pinap Berry,Berries pocket,168,0x00A8,Pinap Berry,Unknown pocket
107,0x6B,たまご,,Egg,D,169,0xA9,Sun Stone,Items pocket,169,0x00A9,Ganlon Berry,Berries pocket,169,0x00A9,Ganlon Berry,Berries pocket,169,0x00A9,Ganlon Berry,Berries pocket,169,0x00A9,Pomeg Berry,Berries pocket,169,0x00A9,Pomeg Berry,Berries pocket,169,0x00A9,Pomeg Berry,Berries pocket,169,0x00A9,Pomeg Berry,Berries pocket,169,0x00A9,Pomeg Berry,Unknown pocket
108,0x6C,ひよこ,,Chick,D,170,0xAA,Polkadot Bow,Items pocket,170,0x00AA,Salac Berry,Berries pocket,170,0x00AA,Salac Berry,Berries pocket,170,0x00AA,Salac Berry,Berries pocket,170,0x00AA,Kelpsy Berry,Berries pocket,170,0x00AA,Kelpsy Berry,Berries pocket,170,0x00AA,Kelpsy Berry,Berries pocket,170,0x00AA,Kelpsy Berry,Berries pocket,170,0x00AA,Kelpsy Berry,Unknown pocket
109,0x6D,ブロンズ,,Bronze,D,171,0xAB,Teru-sama,Items pocket,171,0x00AB,Petaya Berry,Berries pocket,171,0x00AB,Petaya Berry,Berries pocket,171,0x00AB,Petaya Berry,Berries pocket,171,0x00AB,Qualot Berry,Berries pocket,171,0x00AB,Qualot Berry,Berries pocket,171,0x00AB,Qualot Berry,Berries pocket,171,0x00AB,Qualot Berry,Berries pocket,171,0x00AB,Qualot Berry,Unknown pocket
110,0x6E,シルバー,,Silver,D,172,0xAC,Up-Grade,Items pocket,172,0x00AC,Apicot Berry,Berries pocket,172,0x00AC,Apicot Berry,Berries pocket,172,0x00AC,Apicot Berry,Berries pocket,172,0x00AC,Hondew Berry,Berries pocket,172,0x00AC,Hondew Berry,Berries pocket,172,0x00AC,Hondew Berry,Berries pocket,172,0x00AC,Hondew Berry,Berries pocket,172,0x00AC,Hondew Berry,Unknown pocket
111,0x6F,ゴールド,,Gold,D,173,0xAD,Berry,Items pocket,173,0x00AD,Lansat Berry,Berries pocket,173,0x00AD,Lansat Berry,Berries pocket,173,0x00AD,Lansat Berry,Berries pocket,173,0x00AD,Grepa Berry,Berries pocket,173,0x00AD,Grepa Berry,Berries pocket,173,0x00AD,Grepa Berry,Berries pocket,173,0x00AD,Grepa Berry,Berries pocket,173,0x00AD,Grepa Berry,Unknown pocket
112,0x70,プチキャプテン,,Petit Captain,D,174,0xAE,Gold Berry,Items pocket,174,0x00AE,Starf Berry,Berries pocket,174,0x00AE,Starf Berry,Berries pocket,174,0x00AE,Starf Berry,Berries pocket,174,0x00AE,Tamato Berry,Berries pocket,174,0x00AE,Tamato Berry,Berries pocket,174,0x00AE,Tamato Berry,Berries pocket,174,0x00AE,Tamato Berry,Berries pocket,174,0x00AE,Tamato Berry,Unknown pocket
113,0x71,キャプテン,,Captain,D,175,0xAF,SquirtBottle,Key items pocket,175,0x00AF,Enigma Berry,Berries pocket,175,0x00AF,unknown,Unknown pocket,175,0x00AF,unknown,Unknown pocket,175,0x00AF,Cornn Berry,Berries pocket,175,0x00AF,Cornn Berry,Berries pocket,175,0x00AF,Cornn Berry,Berries pocket,175,0x00AF,Cornn Berry,Berries pocket,175,0x00AF,Cornn Berry,Unknown pocket
114,0x72,プチマスター,,Petit Master,D,176,0xB0,Teru-sama,Items pocket,176,0x00B0,unknown,Unknown pocket,176,0x00B0,unknown,Unknown pocket,176,0x00B0,unknown,Unknown pocket,176,0x00B0,Magost Berry,Berries pocket,176,0x00B0,Magost Berry,Berries pocket,176,0x00B0,Magost Berry,Berries pocket,176,0x00B0,Magost Berry,Berries pocket,176,0x00B0,Magost Berry,Unknown pocket
115,0x73,マスター,,Master,D,177,0xB1,Park Ball,Poké Balls pocket,177,0x00B1,unknown,Unknown pocket,177,0x00B1,unknown,Unknown pocket,177,0x00B1,unknown,Unknown pocket,177,0x00B1,Rabuta Berry,Berries pocket,177,0x00B1,Rabuta Berry,Berries pocket,177,0x00B1,Rabuta Berry,Berries pocket,177,0x00B1,Rabuta Berry,Berries pocket,177,0x00B1,Rabuta Berry,Unknown pocket
116,0x74,エクセレント,,Excellent,D,178,0xB2,Rainbow Wing,Key items pocket,178,0x00B2,unknown,Unknown pocket,178,0x00B2,unknown,Unknown pocket,178,0x00B2,unknown,Unknown pocket,178,0x00B2,Nomel Berry,Berries pocket,178,0x00B2,Nomel Berry,Berries pocket,178,0x00B2,Nomel Berry,Berries pocket,178,0x00B2,Nomel Berry,Berries pocket,178,0x00B2,Nomel Berry,Unknown pocket
,,,,,,179,0xB3,Teru-sama,Items pocket,179,0x00B3,BrightPowder,Items pocket,179,0x00B3,BrightPowder,Items pocket,179,0x00B3,BrightPowder,Items pocket,179,0x00B3,Spelon Berry,Berries pocket,179,0x00B3,Spelon Berry,Berries pocket,179,0x00B3,Spelon Berry,Berries pocket,179,0x00B3,Spelon Berry,Berries pocket,179,0x00B3,Spelon Berry,Unknown pocket
,,,,,,180,0xB4,Brick Piece,Items pocket,180,0x00B4,White Herb,Items pocket,180,0x00B4,White Herb,Items pocket,180,0x00B4,White Herb,Items pocket,180,0x00B4,Pamtre Berry,Berries pocket,180,0x00B4,Pamtre Berry,Berries pocket,180,0x00B4,Pamtre Berry,Berries pocket,180,0x00B4,Pamtre Berry,Berries pocket,180,0x00B4,Pamtre Berry,Unknown pocket
,,,,,,181,0xB5,Surf Mail,Items pocket,181,0x00B5,Macho Brace,Items pocket,181,0x00B5,Macho Brace,Items pocket,181,0x00B5,Macho Brace,Items pocket,181,0x00B5,Watmel Berry,Berries pocket,181,0x00B5,Watmel Berry,Berries pocket,181,0x00B5,Watmel Berry,Berries pocket,181,0x00B5,Watmel Berry,Berries pocket,181,0x00B5,Watmel Berry,Unknown pocket
,,,,,,182,0xB6,Litebluemail,Items pocket,182,0x00B6,Exp. Share,Items pocket,182,0x00B6,Exp. Share,Items pocket,182,0x00B6,Exp. Share,Items pocket,182,0x00B6,Durin Berry,Berries pocket,182,0x00B6,Durin Berry,Berries pocket,182,0x00B6,Durin Berry,Berries pocket,182,0x00B6,Durin Berry,Berries pocket,182,0x00B6,Durin Berry,Unknown pocket
,,,,,,183,0xB7,Portraitmail,Items pocket,183,0x00B7,Quick Claw,Items pocket,183,0x00B7,Quick Claw,Items pocket,183,0x00B7,Quick Claw,Items pocket,183,0x00B7,Belue Berry,Berries pocket,183,0x00B7,Belue Berry,Berries pocket,183,0x00B7,Belue Berry,Berries pocket,183,0x00B7,Belue Berry,Berries pocket,183,0x00B7,Belue Berry,Unknown pocket
,,,,,,184,0xB8,Lovely Mail,Items pocket,184,0x00B8,Soothe Bell,Items pocket,184,0x00B8,Soothe Bell,Items pocket,184,0x00B8,Soothe Bell,Items pocket,184,0x00B8,Occa Berry,Berries pocket,184,0x00B8,Occa Berry,Berries pocket,184,0x00B8,Occa Berry,Berries pocket,184,0x00B8,Occa Berry,Berries pocket,184,0x00B8,Occa Berry,Unknown pocket
,,,,,,185,0xB9,Eon Mail,Items pocket,185,0x00B9,Mental Herb,Items pocket,185,0x00B9,Mental Herb,Items pocket,185,0x00B9,Mental Herb,Items pocket,185,0x00B9,Passho Berry,Berries pocket,185,0x00B9,Passho Berry,Berries pocket,185,0x00B9,Passho Berry,Berries pocket,185,0x00B9,Passho Berry,Berries pocket,185,0x00B9,Passho Berry,Unknown pocket
,,,,,,186,0xBA,Morph Mail,Items pocket,186,0x00BA,Choice Band,Items pocket,186,0x00BA,Choice Band,Items pocket,186,0x00BA,Choice Band,Items pocket,186,0x00BA,Wacan Berry,Berries pocket,186,0x00BA,Wacan Berry,Berries pocket,186,0x00BA,Wacan Berry,Berries pocket,186,0x00BA,Wacan Berry,Berries pocket,186,0x00BA,Wacan Berry,Unknown pocket
,,,,,,187,0xBB,Bluesky Mail,Items pocket,187,0x00BB,King's Rock,Items pocket,187,0x00BB,King's Rock,Items pocket,187,0x00BB,King's Rock,Items pocket,187,0x00BB,Rindo Berry,Berries pocket,187,0x00BB,Rindo Berry,Berries pocket,187,0x00BB,Rindo Berry,Berries pocket,187,0x00BB,Rindo Berry,Berries pocket,187,0x00BB,Rindo Berry,Unknown pocket
,,,,,,188,0xBC,Music Mail,Items pocket,188,0x00BC,SilverPowder,Items pocket,188,0x00BC,SilverPowder,Items pocket,188,0x00BC,SilverPowder,Items pocket,188,0x00BC,Yache Berry,Berries pocket,188,0x00BC,Yache Berry,Berries pocket,188,0x00BC,Yache Berry,Berries pocket,188,0x00BC,Yache Berry,Berries pocket,188,0x00BC,Yache Berry,Unknown pocket
,,,,,,189,0xBD,Mirage Mail,Items pocket,189,0x00BD,Amulet Coin,Items pocket,189,0x00BD,Amulet Coin,Items pocket,189,0x00BD,Amulet Coin,Items pocket,189,0x00BD,Chople Berry,Berries pocket,189,0x00BD,Chople Berry,Berries pocket,189,0x00BD,Chople Berry,Berries pocket,189,0x00BD,Chople Berry,Berries pocket,189,0x00BD,Chople Berry,Unknown pocket
,,,,,,190,0xBE,Teru-sama,Items pocket,190,0x00BE,Cleanse Tag,Items pocket,190,0x00BE,Cleanse Tag,Items pocket,190,0x00BE,Cleanse Tag,Items pocket,190,0x00BE,Kebia Berry,Berries pocket,190,0x00BE,Kebia Berry,Berries pocket,190,0x00BE,Kebia Berry,Berries pocket,190,0x00BE,Kebia Berry,Berries pocket,190,0x00BE,Kebia Berry,Unknown pocket
,,,,,,191,0xBF,TM01,TMs and HMs pocket,191,0x00BF,Soul Dew,Items pocket,191,0x00BF,Soul Dew,Items pocket,191,0x00BF,Soul Dew,Items pocket,191,0x00BF,Shuca Berry,Berries pocket,191,0x00BF,Shuca Berry,Berries pocket,191,0x00BF,Shuca Berry,Berries pocket,191,0x00BF,Shuca Berry,Berries pocket,191,0x00BF,Shuca Berry,Unknown pocket
,,,,,,192,0xC0,TM02,TMs and HMs pocket,192,0x00C0,DeepSeaTooth,Items pocket,192,0x00C0,DeepSeaTooth,Items pocket,192,0x00C0,DeepSeaTooth,Items pocket,192,0x00C0,Coba Berry,Berries pocket,192,0x00C0,Coba Berry,Berries pocket,192,0x00C0,Coba Berry,Berries pocket,192,0x00C0,Coba Berry,Berries pocket,192,0x00C0,Coba Berry,Unknown pocket
,,,,,,193,0xC1,TM03,TMs and HMs pocket,193,0x00C1,DeepSeaScale,Items pocket,193,0x00C1,DeepSeaScale,Items pocket,193,0x00C1,DeepSeaScale,Items pocket,193,0x00C1,Payapa Berry,Berries pocket,193,0x00C1,Payapa Berry,Berries pocket,193,0x00C1,Payapa Berry,Berries pocket,193,0x00C1,Payapa Berry,Berries pocket,193,0x00C1,Payapa Berry,Unknown pocket
,,,,,,194,0xC2,TM04,TMs and HMs pocket,194,0x00C2,Smoke Ball,Items pocket,194,0x00C2,Smoke Ball,Items pocket,194,0x00C2,Smoke Ball,Items pocket,194,0x00C2,Tanga Berry,Berries pocket,194,0x00C2,Tanga Berry,Berries pocket,194,0x00C2,Tanga Berry,Berries pocket,194,0x00C2,Tanga Berry,Berries pocket,194,0x00C2,Tanga Berry,Unknown pocket
,,,,,,195,0xC3,TM04,Items pocket,195,0x00C3,Everstone,Items pocket,195,0x00C3,Everstone,Items pocket,195,0x00C3,Everstone,Items pocket,195,0x00C3,Charti Berry,Berries pocket,195,0x00C3,Charti Berry,Berries pocket,195,0x00C3,Charti Berry,Berries pocket,195,0x00C3,Charti Berry,Berries pocket,195,0x00C3,Charti Berry,Unknown pocket
,,,,,,196,0xC4,TM05,TMs and HMs pocket,196,0x00C4,Focus Band,Items pocket,196,0x00C4,Focus Band,Items pocket,196,0x00C4,Focus Band,Items pocket,196,0x00C4,Kasib Berry,Berries pocket,196,0x00C4,Kasib Berry,Berries pocket,196,0x00C4,Kasib Berry,Berries pocket,196,0x00C4,Kasib Berry,Berries pocket,196,0x00C4,Kasib Berry,Unknown pocket
,,,,,,197,0xC5,TM06,TMs and HMs pocket,197,0x00C5,Lucky Egg,Items pocket,197,0x00C5,Lucky Egg,Items pocket,197,0x00C5,Lucky Egg,Items pocket,197,0x00C5,Haban Berry,Berries pocket,197,0x00C5,Haban Berry,Berries pocket,197,0x00C5,Haban Berry,Berries pocket,197,0x00C5,Haban Berry,Berries pocket,197,0x00C5,Haban Berry,Unknown pocket
,,,,,,198,0xC6,TM07,TMs and HMs pocket,198,0x00C6,Scope Lens,Items pocket,198,0x00C6,Scope Lens,Items pocket,198,0x00C6,Scope Lens,Items pocket,198,0x00C6,Colbur Berry,Berries pocket,198,0x00C6,Colbur Berry,Berries pocket,198,0x00C6,Colbur Berry,Berries pocket,198,0x00C6,Colbur Berry,Berries pocket,198,0x00C6,Colbur Berry,Unknown pocket
,,,,,,199,0xC7,TM08,TMs and HMs pocket,199,0x00C7,Metal Coat,Items pocket,199,0x00C7,Metal Coat,Items pocket,199,0x00C7,Metal Coat,Items pocket,199,0x00C7,Babiri Berry,Berries pocket,199,0x00C7,Babiri Berry,Berries pocket,199,0x00C7,Babiri Berry,Berries pocket,199,0x00C7,Babiri Berry,Berries pocket,199,0x00C7,Babiri Berry,Unknown pocket
,,,,,,200,0xC8,TM09,TMs and HMs pocket,200,0x00C8,Leftovers,Items pocket,200,0x00C8,Leftovers,Items pocket,200,0x00C8,Leftovers,Items pocket,200,0x00C8,Chilan Berry,Berries pocket,200,0x00C8,Chilan Berry,Berries pocket,200,0x00C8,Chilan Berry,Berries pocket,200,0x00C8,Chilan Berry,Berries pocket,200,0x00C8,Chilan Berry,Unknown pocket
,,,,,,201,0xC9,TM10,TMs and HMs pocket,201,0x00C9,Dragon Scale,Items pocket,201,0x00C9,Dragon Scale,Items pocket,201,0x00C9,Dragon Scale,Items pocket,201,0x00C9,Liechi Berry,Berries pocket,201,0x00C9,Liechi Berry,Berries pocket,201,0x00C9,Liechi Berry,Berries pocket,201,0x00C9,Liechi Berry,Berries pocket,201,0x00C9,Liechi Berry,Unknown pocket
,,,,,,202,0xCA,TM11,TMs and HMs pocket,202,0x00CA,Light Ball,Items pocket,202,0x00CA,Light Ball,Items pocket,202,0x00CA,Light Ball,Items pocket,202,0x00CA,Ganlon Berry,Berries pocket,202,0x00CA,Ganlon Berry,Berries pocket,202,0x00CA,Ganlon Berry,Berries pocket,202,0x00CA,Ganlon Berry,Berries pocket,202,0x00CA,Ganlon Berry,Unknown pocket
,,,,,,203,0xCB,TM12,TMs and HMs pocket,203,0x00CB,Soft Sand,Items pocket,203,0x00CB,Soft Sand,Items pocket,203,0x00CB,Soft Sand,Items pocket,203,0x00CB,Salac Berry,Berries pocket,203,0x00CB,Salac Berry,Berries pocket,203,0x00CB,Salac Berry,Berries pocket,203,0x00CB,Salac Berry,Berries pocket,203,0x00CB,Salac Berry,Unknown pocket
,,,,,,204,0xCC,TM13,TMs and HMs pocket,204,0x00CC,Hard Stone,Items pocket,204,0x00CC,Hard Stone,Items pocket,204,0x00CC,Hard Stone,Items pocket,204,0x00CC,Petaya Berry,Berries pocket,204,0x00CC,Petaya Berry,Berries pocket,204,0x00CC,Petaya Berry,Berries pocket,204,0x00CC,Petaya Berry,Berries pocket,204,0x00CC,Petaya Berry,Unknown pocket
,,,,,,205,0xCD,TM14,TMs and HMs pocket,205,0x00CD,Miracle Seed,Items pocket,205,0x00CD,Miracle Seed,Items pocket,205,0x00CD,Miracle Seed,Items pocket,205,0x00CD,Apicot Berry,Berries pocket,205,0x00CD,Apicot Berry,Berries pocket,205,0x00CD,Apicot Berry,Berries pocket,205,0x00CD,Apicot Berry,Berries pocket,205,0x00CD,Apicot Berry,Unknown pocket
,,,,,,206,0xCE,TM15,TMs and HMs pocket,206,0x00CE,BlackGlasses,Items pocket,206,0x00CE,BlackGlasses,Items pocket,206,0x00CE,BlackGlasses,Items pocket,206,0x00CE,Lansat Berry,Berries pocket,206,0x00CE,Lansat Berry,Berries pocket,206,0x00CE,Lansat Berry,Berries pocket,206,0x00CE,Lansat Berry,Berries pocket,206,0x00CE,Lansat Berry,Unknown pocket
,,,,,,207,0xCF,TM16,TMs and HMs pocket,207,0x00CF,Black Belt,Items pocket,207,0x00CF,Black Belt,Items pocket,207,0x00CF,Black Belt,Items pocket,207,0x00CF,Starf Berry,Berries pocket,207,0x00CF,Starf Berry,Berries pocket,207,0x00CF,Starf Berry,Berries pocket,207,0x00CF,Starf Berry,Berries pocket,207,0x00CF,Starf Berry,Unknown pocket
,,,,,,208,0xD0,TM17,TMs and HMs pocket,208,0x00D0,Magnet,Items pocket,208,0x00D0,Magnet,Items pocket,208,0x00D0,Magnet,Items pocket,208,0x00D0,Enigma Berry,Berries pocket,208,0x00D0,Enigma Berry,Berries pocket,208,0x00D0,Enigma Berry,Berries pocket,208,0x00D0,Enigma Berry,Berries pocket,208,0x00D0,Enigma Berry,Unknown pocket
,,,,,,209,0xD1,TM18,TMs and HMs pocket,209,0x00D1,Mystic Water,Items pocket,209,0x00D1,Mystic Water,Items pocket,209,0x00D1,Mystic Water,Items pocket,209,0x00D1,Micle Berry,Berries pocket,209,0x00D1,Micle Berry,Berries pocket,209,0x00D1,Micle Berry,Berries pocket,209,0x00D1,Micle Berry,Berries pocket,209,0x00D1,Micle Berry,Unknown pocket
,,,,,,210,0xD2,TM19,TMs and HMs pocket,210,0x00D2,Sharp Beak,Items pocket,210,0x00D2,Sharp Beak,Items pocket,210,0x00D2,Sharp Beak,Items pocket,210,0x00D2,Custap Berry,Berries pocket,210,0x00D2,Custap Berry,Berries pocket,210,0x00D2,Custap Berry,Berries pocket,210,0x00D2,Custap Berry,Berries pocket,210,0x00D2,Custap Berry,Unknown pocket
,,,,,,211,0xD3,TM20,TMs and HMs pocket,211,0x00D3,Poison Barb,Items pocket,211,0x00D3,Poison Barb,Items pocket,211,0x00D3,Poison Barb,Items pocket,211,0x00D3,Jaboca Berry,Berries pocket,211,0x00D3,Jaboca Berry,Berries pocket,211,0x00D3,Jaboca Berry,Berries pocket,211,0x00D3,Jaboca Berry,Berries pocket,211,0x00D3,Jaboca Berry,Unknown pocket
,,,,,,212,0xD4,TM21,TMs and HMs pocket,212,0x00D4,NeverMeltIce,Items pocket,212,0x00D4,NeverMeltIce,Items pocket,212,0x00D4,NeverMeltIce,Items pocket,212,0x00D4,Rowap Berry,Berries pocket,212,0x00D4,Rowap Berry,Berries pocket,212,0x00D4,Rowap Berry,Berries pocket,212,0x00D4,Rowap Berry,Berries pocket,212,0x00D4,Rowap Berry,Unknown pocket
,,,,,,213,0xD5,TM22,TMs and HMs pocket,213,0x00D5,Spell Tag,Items pocket,213,0x00D5,Spell Tag,Items pocket,213,0x00D5,Spell Tag,Items pocket,213,0x00D5,BrightPowder,Items pocket,213,0x00D5,BrightPowder,Items pocket,213,0x00D5,Bright Powder,Items pocket,213,0x00D5,Bright Powder,Items pocket,213,0x00D5,Bright Powder,Unknown pocket
,,,,,,214,0xD6,TM23,TMs and HMs pocket,214,0x00D6,TwistedSpoon,Items pocket,214,0x00D6,TwistedSpoon,Items pocket,214,0x00D6,TwistedSpoon,Items pocket,214,0x00D6,White Herb,Items pocket,214,0x00D6,White Herb,Items pocket,214,0x00D6,White Herb,Items pocket,214,0x00D6,White Herb,Items pocket,214,0x00D6,White Herb,Unknown pocket
,,,,,,215,0xD7,TM24,TMs and HMs pocket,215,0x00D7,Charcoal,Items pocket,215,0x00D7,Charcoal,Items pocket,215,0x00D7,Charcoal,Items pocket,215,0x00D7,Macho Brace,Items pocket,215,0x00D7,Macho Brace,Items pocket,215,0x00D7,Macho Brace,Items pocket,215,0x00D7,Macho Brace,Items pocket,215,0x00D7,Macho Brace,Unknown pocket
,,,,,,216,0xD8,TM25,TMs and HMs pocket,216,0x00D8,Dragon Fang,Items pocket,216,0x00D8,Dragon Fang,Items pocket,216,0x00D8,Dragon Fang,Items pocket,216,0x00D8,Exp. Share,Items pocket,216,0x00D8,Exp. Share,Items pocket,216,0x00D8,Exp. Share,Key items pocket,216,0x00D8,Exp. Share,Key items pocket,216,0x00D8,Exp. Share,Unknown pocket
,,,,,,217,0xD9,TM26,TMs and HMs pocket,217,0x00D9,Silk Scarf,Items pocket,217,0x00D9,Silk Scarf,Items pocket,217,0x00D9,Silk Scarf,Items pocket,217,0x00D9,Quick Claw,Items pocket,217,0x00D9,Quick Claw,Items pocket,217,0x00D9,Quick Claw,Items pocket,217,0x00D9,Quick Claw,Items pocket,217,0x00D9,Quick Claw,Unknown pocket
,,,,,,218,0xDA,TM27,TMs and HMs pocket,218,0x00DA,Up-Grade,Items pocket,218,0x00DA,Up-Grade,Items pocket,218,0x00DA,Up-Grade,Items pocket,218,0x00DA,Soothe Bell,Items pocket,218,0x00DA,Soothe Bell,Items pocket,218,0x00DA,Soothe Bell,Items pocket,218,0x00DA,Soothe Bell,Items pocket,218,0x00DA,Soothe Bell,Unknown pocket
