ID,Name,English,Japanese,Romaji,French,German,Italian,Spanish,Korean,Chinese,ID,Name,Cat_EN,Cat_JP,CAT_JP_T
118,Goldeen,Goldfish,きんぎょ,Kin Gyo,Poisson,Goldfisch,Pescerosso,Pez Color,금붕어 Geumbung-eo,金魚 / 金鱼 Jīnyú / Gāmyùh,118,Goldeen,Goldfish Pokémon,きんぎょポケモン,Goldfish Pokémon
119,Seaking,Goldfish,きんぎょ,Kin Gyo,Poisson,Goldfisch,Pescerosso,Pez Color,금붕어 Geumbung-eo,金魚 / 金鱼 Jīnyú / Gāmyùh,119,Seaking,Goldfish Pokémon,きんぎょポケモン,Goldfish Pokémon
120,Staryu,Star Shape*,ほしがた,Hoshi Gata,Étoile,Sternform,Stella,Estrellada,별 Byeol,星形 Xīngxíng / Sēngyìhng,120,Staryu,Star Shape Pokémon,ほしがたポケモン,Star Shape Pokémon
121,Starmie,Mysterious,なぞの,Nazono,Mystérieux,Mysteriös,Misterioso,Misterioso,수수께끼 Susukkekki,謎 / 谜 Mí / Màih,121,Starmie,Mysterious Pokémon,なぞのポケモン,Mysterious Pokémon
122,Mr. Mime,Barrier,バリアー,Bariā,Bloqueur,Sperre,Barriera,Barrera,배리어 Barrier,屏障 Píngzhàng / Bíngjeung,122,Mr. Mime,Barrier Pokémon,バリアーポケモン,Barrier Pokémon
123,Scyther,Mantis,かまきり,Kamakiri,Mante,Mantis,Mantide,Mantis,버마재비 Beomajaebi,螳螂 Tángláng / Tòhnglòhng,123,Scyther,Mantis Pokémon,かまきりポケモン,Praying Mantis Pokémon
124,Jynx,Human Shape*,ひとがた,Hito Gata,Humanoïde,Humanotyp,Umanoide,Forma Humana,인간형태 Ingan Hyeongtae,人形 Rénxíng / Yàhnyìhng,124,Jynx,Human Shape Pokémon,ひとがたポケモン,Humanoid Pokémon
125,Electabuzz,Electric,でんげき,Dengeki,Électrique,Elektro,Elettrico,Eléctrico,전기 Jeongi,電擊 / 电击 Diànjí / Diànjī / Dihngīk,125,Electabuzz,Electric Pokémon,でんげきポケモン,Electric Shock Pokémon
126,Magmar,Spitfire,ひふき,Hi Fuki,Crache-Feu,Brenner,Sputafuoco,Escupefuego,불뿜기 Bulbbumgi,吐火 Tǔhuǒ / Tóufó,126,Magmar,Spitfire Pokémon,ひふきポケモン,Fire-Blowing Pokémon
127,Pinsir,Stag Beetle*,くわがた,Kuwagata,Scarabée,Kneifkäfer,Cervolante,Escarabajo,뿔집게 Bbul Jipge,鍬形蟲 / 锹形虫 Qiāoxíngchóng / Chīuyìhngchùhng,127,Pinsir,Stag Beetle Pokémon,くわがたポケモン,Stag Beetle Pokémon
128,Tauros,Wild Bull,あばれうし,Abare Ushi,Buffle,Wildbulle,Torobrado,Toro Bravo,성난소 Seongnan So,暴牛 Bàoniú / Bouh'ngàuh,128,Tauros,Wild Bull Pokémon,あばれうしポケモン,Rampaging Bull Pokémon
129,Magikarp,Fish,さかな,Sakana,Poisson,Fisch,Pesce,Pez,물고기 Mulgogi,魚 / 鱼 Yú / Yùh,129,Magikarp,Fish Pokémon,さかなポケモン,Fish Pokémon
130,Gyarados,Atrocious,きょうあく,Kyōku,Terrifiant,Grausam,Atroce,Atrocidad,흉악 Hyung-ak,凶惡 / 凶恶 Xiōng'è / Hūngngok,130,Gyarados,Atrocious Pokémon,きょうあくポケモン,Atrocious Pokémon
131,Lapras,Transport,のりもの,Nori Mono,Transport,Transport,Trasporto,Transporte,탈것 Talgeot,乘載 / 乘载 Chéng / Sìhngjói,131,Lapras,Transport Pokémon,のりものポケモン,Transport Pokémon
132,Ditto,Transform,へんしん,Henshin,Morphing,Transform,Mutante,Transform,변신 Byeonsin,變身 / 变身 Biànshēn / Bingyūn,132,Ditto,Transform Pokémon,へんしんポケモン,Transformation Pokémon
133,Eevee,Evolution,しんか,Shinka,Évolutif,Evolution,Evoluzione,Evolución,진화 Jinhwa,進化 / 进化 Jìnhuà / Jeunfa,133,Eevee,Evolution Pokémon,しんかポケモン,Evolution Pokémon
134,Vaporeon,Bubble Jet,あわはき,Awa Haki,Bulleur,Blubblase,Bollajet,Burbuja,거품뿜기 Geopum Ppumgi,吐泡 Tǔpào / Tóupāau,134,Vaporeon,Bubble Jet Pokémon,あわはきポケモン,Foam-Spitting Pokémon
135,Jolteon,Lightning,かみなり,Kaminari,Orage,Blitz,Luminoso,Calambre,번개 Beongae,雷 Xuě / Lèuih,135,Jolteon,Lightning Pokémon,かみなりポケモン,Thunder Pokémon
136,Flareon,Flame,ほのお,Honō,Flamme,Feuer,Fiamma,Llama,불꽃 Bulkkot,火 Huǒ / Fó,136,Flareon,Flame Pokémon,ほのおポケモン,Flame Pokémon
137,Porygon,Virtual,バーチャル*,Bācharu*,Virtuel,Virtuell,Virtuale,Virtual,가상 Gasang,虛擬 / 虚拟 Xūnǐ / Hēuiyìh,137,Porygon,Virtual Pokémon,バーチャルポケモン,Virtual Pokémon
138,Omanyte,Spiral,うずまき,Uzumaki,Spirale,Spirale,Spirale,Espiral,소용돌이 Soyongdori,漩渦 / 漩涡 Xuánwō / Syùhngwō,138,Omanyte,Spiral Pokémon,うずまきポケモン,Spiral Pokémon
139,Omastar,Spiral,うずまき,Uzumaki,Spirale,Spirale,Spirale,Espiral,소용돌이 Soyongdori,漩渦 / 漩涡 Xuánwō / Syùhngwō,139,Omastar,Spiral Pokémon,うずまきポケモン,Spiral Pokémon
140,Kabuto,Shellfish,こうら,Kōra,Carapace,Schaltier,Crostaceo,Marisco,껍질 Kkeopjil,甲殼 / 甲壳 Jiǎké / Jiǎqiào / Gaaphok,140,Kabuto,Shellfish Pokémon,こうらポケモン,Shell Pokémon
141,Kabutops,Shellfish,こうら,Kōra,Carapace,Schaltier,Crostaceo,Marisco,껍질 Kkeopjil,甲殼 / 甲壳 Jiǎké / Jiǎqiào / Gaaphok,141,Kabutops,Shellfish Pokémon,こうらポケモン,Shell Pokémon
142,Aerodactyl,Fossil,かせき,Kaseki,Fossile,Fossil,Fossile,Fósil,화석 Hwaseok,化石 Huàshí / Fadaam,142,Aerodactyl,Fossil Pokémon,かせきポケモン,Fossil Pokémon
143,Snorlax,Sleeping,いねむり,Inemuri,Pionceur,Tagträumer,Sonno,Dormir,졸음 Joreum,瞌睡 Kēshuì / Hāpseuih,143,Snorlax,Sleeping Pokémon,いねむりポケモン,Dozing Pokémon
144,Articuno,Freeze,れいとう,Reitō,Glaciaire,Eis,Gelo,Congelar,냉동 Naengdong,冰凍 / 冰冻 Bīngdòng / Bīngdūng,144,Articuno,Freeze Pokémon,れいとうポケモン,Freezing Pokémon
145,Zapdos,Electric,でんげき,Dengeki,Électrique,Elektro,Elettrico,Eléctrico,전기 Jeon-gi,電擊 / 电击 Diànjí / Diànjī / Dihngīk,145,Zapdos,Electric Pokémon,でんげきポケモン,Electric Shock Pokémon
146,Moltres,Flame,かえん,Kaen,Flamme,Flamme,Fiamma,Llama,화염 Hwayeom,火焰 Huǒyàn / Fóyìhm,146,Moltres,Flame Pokémon,かえんポケモン,Flame Pokémon
147,Dratini,Dragon,ドラゴン,Doragon,Dragon,Drache,Drago,Dragón,드래곤 Dragon,龍 / 龙 Lóng / Lùhng,147,Dratini,Dragon Pokémon,ドラゴンポケモン,Dragon Pokémon
148,Dragonair,Dragon,ドラゴン,Doragon,Dragon,Drache,Drago,Dragón,드래곤 Dragon,龍 / 龙 Lóng / Lùhng,148,Dragonair,Dragon Pokémon,ドラゴンポケモン,Dragon Pokémon
149,Dragonite,Dragon,ドラゴン,Doragon,Dragon,Drache,Drago,Dragón,드래곤 Dragon,龍 / 龙 Lóng / Lùhng,149,Dragonite,Dragon Pokémon,ドラゴンポケモン,Dragon Pokémon
150,Mewtwo,Genetic,いでんし,Idenshi,Génétique,Genmutant,Genetico,Genético,유전 Yujeon,基因 Jīyīn / Gēiyān,150,Mewtwo,Genetic Pokémon,いでんしポケモン,Genetic Pokémon
151,Mew,New Species*,しんしゅ,Shin Shu,Nouveau,Neue Art,Novaspecie,N. Especie,신종 Sin Jong,新種 / 新种 Xīnzhǒng / Sānjúng,151,Mew,New Species Pokémon,しんしゅポケモン,New Species Pokémon
152,Chikorita,Leaf,はっぱ,Happa,Feuille,Laub,Foglia,Hoja,잎사귀 Ipsagwi,葉子 / 叶子 Yèzi / Yihpjí,152,Chikorita,Leaf Pokémon,はっぱポケモン,Leaf Pokémon
153,Bayleef,Leaf,はっぱ,Happa,Feuille,Laub,Foglia,Hoja,잎사귀 Ipsagwi,葉子 / 叶子 Yèzi / Yihpjí,153,Bayleef,Leaf Pokémon,はっぱポケモン,Leaf Pokémon
154,Meganium,Herb,ハーブ,Hābu,Herbe,Kräuter,Erbe,Hierba,허브 Herb,芳草 Fāngcǎo / Fōngchóu,154,Meganium,Herb Pokémon,ハーブポケモン,Herb Pokémon
155,Cyndaquil,Fire Mouse,ひねずみ,Hi Nezumi,Souris Feu,Feuermaus,Fuocotopo,Ratón Fuego,불쥐 Bul Jwi,火鼠 Huǒshǔ / Fósyú,155,Cyndaquil,Fire Mouse Pokémon,ひねずみポケモン,Fire Mouse Pokémon
156,Quilava,Volcano,かざん,Kazan,Volcan,Vulkan,Vulcano,Volcán,화산 Hwasan,火山 Huǒshān / Fósāan,156,Quilava,Volcano Pokémon,かざんポケモン,Volcano Pokémon
157,Typhlosion,Volcano,かざん,Kazan,Volcan,Vulkan,Vulcano,Volcán,화산 Hwasan,火山 Huǒshān / Fósāan,157,Typhlosion,Volcano Pokémon,かざんポケモン,Volcano Pokémon
158,Totodile,Big Jaw,おおあご,Ō Ago,Mâchoire,Großmaul,Mascellone,Fauces,큰턱 Keun Teok,大顎 / 大颚 Dà'è / Daaih'ngohk,158,Totodile,Big Jaw Pokémon,おおあごポケモン,Big Jaw Pokémon
159,Croconaw,Big Jaw,おおあご,Ō Ago,Mâchoire,Großmaul,Mascellone,Fauces,큰턱 Keun Teok,大顎 / 大颚 Dà'è / Daaih'ngohk,159,Croconaw,Big Jaw Pokémon,おおあごポケモン,Big Jaw Pokémon
160,Feraligatr,Big Jaw,おおあご,Ō Ago,Mâchoire,Großmaul,Mascellone,Fauces,큰턱 Keun Teok,大顎 / 大颚 Dà'è / Daaih'ngohk,160,Feraligatr,Big Jaw Pokémon,おおあごポケモン,Big Jaw Pokémon
161,Sentret,Scout,みはり,Mihari,Espion,Späher,Esplorante,Explorador,망보기 Mangbogi,放哨 Fàngshào / Fongsaau,161,Sentret,Scout Pokémon,みはりポケモン,Lookout Pokémon
162,Furret,Long Body,どうなが,Dō Nagi,Allongé,Langleib,Lungocorpo,Alargado,긴몸통 Gin Momtong,長軀幹 / 长躯干 Zhǎngqūgàn / Chèuhngkēuigon,162,Furret,Long Body Pokémon,どうながポケモン,Long Torso Pokémon
163,Hoothoot,Owl,ふくろう,Fukurō,Hibou,Eule,Gufo,Búho,부엉이 Bueong-i,貓頭鷹 / 猫头鹰 Māotóuyīng / Māautàuhyīng,163,Hoothoot,Owl Pokémon,ふくろうポケモン,Owl Pokémon
164,Noctowl,Owl,ふくろう,Fukurō,Hibou,Eule,Gufo,Búho,부엉이 Bueong-i,貓頭鷹 / 猫头鹰 Māotóuyīng / Māautàuhyīng,164,Noctowl,Owl Pokémon,ふくろうポケモン,Owl Pokémon
165,Ledyba,Five Star,いつつぼし,Itsutsu Boshi,5 Étoiles,Fünf-Punkt,Pentastra,5 Estrellas,별다섯 Byeol Daseot,五星 Wǔxīng / Nghsēng,165,Ledyba,Five Star Pokémon,いつつぼしポケモン,Five Star Pokémon
166,Ledian,Five Star,いつつぼし,Itsutsu Boshi,5 Étoiles,Fünf-Punkt,Pentastra,5 Estrellas,별다섯 Byeol Daseot,五星 Wǔxīng / Nghsēng,166,Ledian,Five Star Pokémon,いつつぼしポケモン,Five Star Pokémon
167,Spinarak,String Spit*,いとはき,Itohaki,Crache Fil,Fadenwurf,Tela,Escupesoga,실뿜기 Sil Ppumgi,吐絲 / 吐丝 Tǔsī / Tóusī,167,Spinarak,String Spit Pokémon,いとはきポケモン,String-Spitting Pokémon
168,Ariados,Long Leg,あしなが,Ashinaga,Long-Patte,Langbein,Lungazampa,Pata Larga,롱다리 Long Dari,長腿 / 长腿 Zhǎngtuǐ / Chèuhngtéui,168,Ariados,Long Leg Pokémon,あしながポケモン,Long Leg Pokémon
169,Crobat,Bat,こうもり,Kōmori,Chovsouris,Fledermaus,Pipistrello,Murciélago,박쥐 Bakjwi,蝙蝠 Biānfú / Bīnfūk,169,Crobat,Bat Pokémon,こうもりポケモン,Bat Pokémon
170,Chinchou,Angler,あんこう,Ankō,Poisson,Angler,Pescatore,Rape,아귀 Agwi,琵琶魚 / 琵琶鱼 Pípáyú / Pèihpàhyùh,170,Chinchou,Angler Pokémon,あんこうポケモン,Anglerfish Pokémon
171,Lanturn,Light,ライト,Raito,Lumière,Leuchte,Luce,Luz,라이트 Light,燈 / 灯 Dēng / Dāng,171,Lanturn,Light Pokémon,ライトポケモン,Light Pokémon
172,Pichu,Tiny Mouse,こねずみ,Ko Nezumi,Minisouris,Babymaus,Topino,Ratoncito,아기쥐 Agi Jwi,小鼠 Xiǎoshǔ / Síusyú,172,Pichu,Tiny Mouse Pokémon,こねずみポケモン,Small Mouse Pokémon
173,Cleffa,Star Shape*,ほしがた,Hoshi Gata,Étoile,Sternform,Stella,Estrellada,별 Byeol,星形 Xīngxíng / Sēngyìhng,173,Cleffa,Star Shape Pokémon,ほしがたポケモン,Star Shape Pokémon
174,Igglybuff,Balloon,ふうせん,Fūsen,Bouboule,Ballon,Pallone,Globo,풍선 Pungseon,氣球 / 气球 Qìqiú / Heikàuh,174,Igglybuff,Balloon Pokémon,ふうせんポケモン,Balloon Pokémon
175,Togepi,Spike Ball,はりたま,Toge Tama,Balle Pic,Zackenball,Pallapunte,Bolaclavos,바늘알 Baneul Al,針球 / 针球 Zhēnqiú / Jāmkàuh,175,Togepi,Spike Ball Pokémon,はりたまポケモン,Spike Ball Pokémon
176,Togetic,Happiness,しあわせ,Shiawase,Bonheur,Freude,Felicità,Felicidad,행복 Haengbok,幸福 Xìngfú / Hahngfūk,176,Togetic,Happiness Pokémon,しあわせポケモン,Happiness Pokémon
177,Natu,Tiny Bird*,ことり,Ko Tori,Minoiseau,Kleinvogel,Uccellino,Pajarito,아기새 Agi Sae,小鳥 / 小鸟 Xiǎoniǎo / Síuníuh,177,Natu,Tiny Bird Pokémon,ことりポケモン,Small Bird Pokémon
178,Xatu,Mystic,せいれい,Seirei,Mystique,Mystik,Magico,Místico,정령 Jeongnyeong,神秘 Shénmì / Sānbei,178,Xatu,Mystic Pokémon,せいれいポケモン,Spirit Pokémon
179,Mareep,Wool,わたげ,Watage,Laine,Wolle,Lana,Lana,솜털 Somteol,綿毛 / 绵毛 Miánmáo / Mìhnmòuh,179,Mareep,Wool Pokémon,わたげポケモン,Fluff Pokémon
180,Flaaffy,Wool,わたげ,Watage,Laine,Wolle,Lana,Lana,솜털 Somteol,綿毛 / 绵毛 Miánmáo / Mìhnmòuh,180,Flaaffy,Wool Pokémon,わたげポケモン,Fluff Pokémon
181,Ampharos,Light,ライト,Raito,Lumière,Leuchte,Luce,Luz,라이트 Light,燈 / 灯 Dēng / Dāng,181,Ampharos,Light Pokémon,ライトポケモン,Light Pokémon
182,Bellossom,Flower,フラワー,Furawā,Fleur,Blume,Fiore,Flor,꽃 Kkot,花 Huā / Fā,182,Bellossom,Flower Pokémon,フラワーポケモン,Flower Pokémon
183,Marill,Aqua Mouse*,みずねずみ,Mizu Nezumi,Aquasouris,Aquamaus,Acquatopo,Ratón Agua,물쥐 Mul Jwi,水鼠 Shuǐshǔ / Séuisyú,183,Marill,Aqua Mouse Pokémon,みずねずみポケモン,Water Mouse Pokémon
184,Azumarill,Aqua Rabbit*,みずうさぎ,Mizu Usagi,Aqualapin,Aquahase,Acquaniglio,Conejo Agua,물토끼 Mul Tokki,水兔 Shuǐtù / Séuitou,184,Azumarill,Aqua Rabbit Pokémon,みずうさぎポケモン,Water Rabbit Pokémon
185,Sudowoodo,Imitation,まね,Mane,Imitation,Imitation,Imitazione,Imitación,흉내 Hyungnae,模仿 Mófǎng / Mòuhfóng,185,Sudowoodo,Imitation Pokémon,まねポケモン,Imitation Pokémon
186,Politoed,Frog,かえる,Kaeru,Grenouille,Frosch,Rana,Rana,개구리 Gaeguri,蛙 Wā,186,Politoed,Frog Pokémon,かえるポケモン,Frog Pokémon
187,Hoppip,Cottonweed,わたくさ,Wata Kusa,Pissenlit,Löwenzahn,Gramigna,Algadón,솜풀 Sompul,棉草 Miáncǎo / Mìhnchóu,187,Hoppip,Cottonweed Pokémon,わたくさポケモン,Cottonweed Pokémon
188,Skiploom,Cottonweed,わたくさ,Wata Kusa,Pissenlit,Löwenzahn,Gramigna,Algadón,솜풀 Sompul,棉草 Miáncǎo / Mìhnchóu,188,Skiploom,Cottonweed Pokémon,わたくさポケモン,Cottonweed Pokémon
189,Jumpluff,Cottonweed,わたくさ,Wata Kusa,Pissenlit,Löwenzahn,Gramigna,Algadón,솜풀 Sompul,棉草 Miáncǎo / Mìhnchóu,189,Jumpluff,Cottonweed Pokémon,わたくさポケモン,Cottonweed Pokémon
190,Aipom,Long Tail,おなが,Onaga,Longqueue,Langschweif,Lungacoda,Cola Larga,긴꼬리 Gin Kkori,長尾 / 长尾 Chángwěi / Chèuhngméih,190,Aipom,Long Tail Pokémon,おながポケモン,Long Tail Pokémon
191,Sunkern,Seed,たね,Tane,Graine,Samen,Seme,Semilla,씨앗 Ssiat,種子 / 种子 Zhǒngzǐ / Júngjí,191,Sunkern,Seed Pokémon,たねポケモン,Seed Pokémon
192,Sunflora,Sun,たいよう,Taiyō,Soleil,Sonne,Sole,Sol,태양 Taeyang,太陽 / 太阳 Tàiyáng / Taaiyèuhng,192,Sunflora,Sun Pokémon,たいようポケモン,Sun Pokémon
193,Yanma,Clear Wing,うすばね,Usu Bane,Translaile,Libelle,Alachiara,Ala Clara,얇은날개 Yalb-eun Nalgae,薄翼 Báoyì / Bohkyihk,193,Yanma,Clear Wing Pokémon,うすばねポケモン,Thin Wing Pokémon
194,Wooper,Water Fish,みずうお,Mizu Uo,Poisson,Fisch,Acquapesce,Pez Agua,수어 Sueo,水魚 / 水鱼 Shuǐyú / Séuiyùh,194,Wooper,Water Fish Pokémon,みずうおポケモン,Water Fish Pokémon
195,Quagsire,Water Fish,みずうお,Mizu Uo,Poisson,Fisch,Acquapesce,Pez Agua,수어 Sueo,水魚 / 水鱼 Shuǐyú / Séuiyùh,195,Quagsire,Water Fish Pokémon,みずうおポケモン,Water Fish Pokémon
196,Espeon,Sun,たいよう,Taiyō,Soleil,Sonne,Sole,Sol,태양 Taeyang,太陽 / 太阳 Tàiyáng / Taaiyèuhng,196,Espeon,Sun Pokémon,たいようポケモン,Sun Pokémon
197,Umbreon,Moonlight,げっこう,Gekkō,Lune,Mondschein,Lucelunare,Luz Lunar,달빛 Dalbit,月光 Yuèguāng / Yuhtgwōng,197,Umbreon,Moonlight Pokémon,げっこうポケモン,Moonlight Pokémon
198,Murkrow,Darkness,くらやみ,Kurayami,Obscurité,Finsternis,Oscurità,Oscuridad,어둠 Eodum,黑暗 Hēi'àn / Hāak'am,198,Murkrow,Darkness Pokémon,くらやみポケモン,Darkness Pokémon
199,Slowking,Royal,おうじゃ,Ōja,Royal,Monarch,Reale,Regio,임금 Imgeum,王者 Wángzhě / Wòhngjé,199,Slowking,Royal Pokémon,おうじゃポケモン,Monarch Pokémon
200,Misdreavus,Screech,よなき,Yonaki,Strident,Kreischer,Strido,Chirrido,야명 Yamyeong,夜啼 Yètí / Yehtàih,200,Misdreavus,Screech Pokémon,よなきポケモン,Night Cry Pokémon
201,Unown,Symbol,シンボル,Shinboru,Symbolique,Symbol,Simbolo,Símbolo,심볼 Symbol,象徵 / 象征 Xiàngzhēng / Jeuhngjí,201,Unown,Symbol Pokémon,シンボルポケモン,Symbol Pokémon
202,Wobbuffet,Patient,がまん,Gaman,Patient,Geduld,Pazienza,Paciente,참기 Chamgi,忍耐 Rěnnài / Yánnoih,202,Wobbuffet,Patient Pokémon,がまんポケモン,Endurance Pokémon
203,Girafarig,Long Neck,くびなが,Kubinaga,Long-Cou,Langhals,Lungocollo,Gran Cuello,긴목 Gin Mok,長頸 / 长颈 Chángjǐng / Chèuhnggéng,203,Girafarig,Long Neck Pokémon,くびながポケモン,Long Neck Pokémon
204,Pineco,Bagworm,みのむし,Minomushi,Ver Caché,Beutelwurm,Larva,Larva,도롱이벌레 Dorong-i Beolle,蓑衣蟲 / 蓑衣虫 Suōyīchóng / Sōyīchùhng,204,Pineco,Bagworm Pokémon,みのむしポケモン,Bagworm Pokémon
205,Forretress,Bagworm,みのむし,Minomushi,Ver Caché,Beutelwurm,Larva,Larva,도롱이벌레 Dorong-i Beolle,蓑衣蟲 / 蓑衣虫 Suōyīchóng / Sōyīchùhng,205,Forretress,Bagworm Pokémon,みのむしポケモン,Bagworm Pokémon
206,Dunsparce,Land Snake,つちへび,Tsuchi Hebi,Serpent,Schlange,Terraserpe,Serptierra,땅뱀 Ttang Baem,地蛇 Dìshé / Deihyìh,206,Dunsparce,Land Snake Pokémon,つちへびポケモン,Land Snake Pokémon
207,Gligar,Fly Scorpion*,とびさそり,Toba Sasori,Scorpivol,Flugskorpi,Aliscorpio,Escorpiala,날전갈 Nal Jeon-gal,飛蠍 / 飞蝎 Fēixiē / Fēihit,207,Gligar,Fly Scorpion Pokémon,とびさそりポケモン,Flying Scorpion Pokémon
208,Steelix,Iron Snake,てつへび,Tetsu Hebi,Serpenfer,Stahlboa,Ferroserpe,Serpférrea,철뱀 Cheol Baem,鐵蛇 / 铁蛇 Tiěshé / Tityìh,208,Steelix,Iron Snake Pokémon,てつへびポケモン,Iron Snake Pokémon
209,Snubbull,Fairy,ようせい,Yōsei,Fée,Fee,Fata,Hada,요정 Yojeong,妖精 Yāojing / Yīujēng,209,Snubbull,Fairy Pokémon,ようせいポケモン,Fairy Pokémon
210,Granbull,Fairy,ようせい,Yōsei,Fée,Fee,Fata,Hada,요정 Yojeong,妖精 Yāojing / Yīujēng,210,Granbull,Fairy Pokémon,ようせいポケモン,Fairy Pokémon
211,Qwilfish,Balloon,ふうせん,Fūsen,Bouboule,Ballon,Pallone,Globo,풍선 Pungseon,氣球 / 气球 Qìqiú / Heikàuh,211,Qwilfish,Balloon Pokémon,ふうせんポケモン,Balloon Pokémon
212,Scizor,Pincer*,はさみ,Hasami,Pince,Kneifer,Chela,Tenaza,집게 Jipge,鉗子 / 钳子 Qiánzi / Kìhmjí,212,Scizor,Pincer Pokémon,はさみポケモン,Pincer Pokémon
213,Shuckle,Mold,はっこう,Hakkō,Pourri,Schimmel,Muffa,Moho,발효 Balhyo,發酵 / 发酵 Fāxiào / Fājiào / Faatgaau,213,Shuckle,Mold Pokémon,はっこうポケモン,Fermentation Pokémon
214,Heracross,Single Horn*,1ぽんヅノ,Ippon Tsuno,Unicorne,Einzelhorn,Monocorno,Unicornio,외뿔 Oe Ppul,獨角 / 独角 Dújiǎo / Duhkgok,214,Heracross,Single Horn Pokémon,1ぽんヅノポケモン,Single Horn Pokémon
215,Sneasel,Sharp Claw,かぎづめ,Kagidzume,Grifacérée,Stichklaue,Lamartigli,Garra Filo,갈고리손톱 Galgori Sontop,鉤爪 / 钩爪 Gōuzhǎo / Āujáau,215,Sneasel,Sharp Claw Pokémon,かぎづめポケモン,Claw Pokémon
216,Teddiursa,Little Bear*,こぐま,Ko Guma,Mini Ours,Kleinbär,Orsetto,Osito,아기곰 Agi Gom,小熊 Xiǎoxióng / Síuhùhng,216,Teddiursa,Little Bear Pokémon,こぐまポケモン,Small Bear Pokémon
217,Ursaring,Hibernator*,とうみん,Tōmin,Hibernant,Schläfer,Letargo,Hibernante,동면 Dongmyeon,冬眠 Dōngmián / Dūngmìhn,217,Ursaring,Hibernator Pokémon,とうみんポケモン,Hibernation Pokémon
218,Slugma,Lava,ようがん,Yōgan,Lave,Lava,Lava,Lava,용암 Yong-am,熔岩 Róngyán / Yùhngngàahm,218,Slugma,Lava Pokémon,ようがんポケモン,Lava Pokémon
219,Magcargo,Lava,ようがん,Yōgan,Lave,Lava,Lava,Lava,용암 Yong-am,熔岩 Róngyán / Yùhngngàahm,219,Magcargo,Lava Pokémon,ようがんポケモン,Lava Pokémon
220,Swinub,Pig,いのぶた,Ino Buta,Cochon,Ferkel,Maiale,Cerdo,산돼지 Sandwaeji,小豬 / 小猪 Xiǎozhū / Síujyū,220,Swinub,Pig Pokémon,いのぶたポケモン,Pig Boar Pokémon
221,Piloswine,Swine,いのしし,Inoshishi,Porc,Schwein,Suino,Puerco,멧돼지 Metdwaeji,野豬 / 野猪 Yězhū / Yéhjyū,221,Piloswine,Swine Pokémon,いのししポケモン,Wild Boar Pokémon
222,Corsola,Coral,さんご,Sango,Corail,Koralle,Corallo,Coral,산호 Sanho,珊瑚 Shānhú / Sāanwùh,222,Corsola,Coral Pokémon,さんごポケモン,Coral Pokémon
223,Remoraid,Jet,ふんしゃ,Funsha,Jet,Hochdruck,Jet,Reactor,분사 Bunsa,噴射 / 喷射 Pēnshè / Fáhnyeh,223,Remoraid,Jet Pokémon,ふんしゃポケモン,Jet Pokémon
224,Octillery,Jet,ふんしゃ,Funsha,Jet,Hochdruck,Jet,Reactor,분사 Bunsa,噴射 / 喷射 Pēnshè / Fáhnyeh,224,Octillery,Jet Pokémon,ふんしゃポケモン,Jet Pokémon
225,Delibird,Delivery,はこびや,Hakobiya,Livraison,Lieferant,Consegna,Reparto,배달 Baedal,搬運 / 搬运 Bānyùn / Būnwahn,225,Delibird,Delivery Pokémon,はこびやポケモン,Courier Pokémon
226,Mantine,Kite,カイト,Kaito,Cervolant,Flugrochen,Aquilone,Milano,연 Yeon,風箏 / 风筝 Fēngzhēng / Fūngjāang,226,Mantine,Kite Pokémon,カイトポケモン,Kite Pokémon
227,Skarmory,Armor Bird,よろいどり,Yoroi Tori,Armoiseau,Flugstahl,Armuccello,Coraza Ave,갑옷새 Gabot Sae,鋼甲鳥 / 钢甲鸟 Gāngjiǎniǎo / Gōnggaapníuh,227,Skarmory,Armor Bird Pokémon,よろいどりポケモン,Armor Bird Pokémon
228,Houndour,Dark,ダーク,Dāku,Sombre,Hades,Buio,Siniestro,다크 Dark,陰暗 / 阴暗 Yīn'àn / Yām'am,228,Houndour,Dark Pokémon,ダークポケモン,Dark Pokémon
229,Houndoom,Dark,ダーク,Dāku,Sombre,Hades,Buio,Siniestro,다크 Dark,陰暗 / 阴暗 Yīn'àn / Yām'am,229,Houndoom,Dark Pokémon,ダークポケモン,Dark Pokémon
230,Kingdra,Dragon,ドラゴン,Doragon,Dragon,Drache,Drago,Dragón,드래곤 Dragon,龍 / 龙 Lóng / Lùhng,230,Kingdra,Dragon Pokémon,ドラゴンポケモン,Dragon Pokémon
231,Phanpy,Long Nose,ながはな,Nagahana,Long-Nez,Langrüssel,Nasone,Narizotas,긴코 Gin ko,長鼻 / 长鼻 Chángbí / Chèuhngbeih,231,Phanpy,Long Nose Pokémon,ながはなポケモン,Long Nose Pokémon
232,Donphan,Armor,よろい,Yoroi,Armure,Panzer,Armatura,Coraza,갑옷 Gabot,鎧甲 / 铠甲 Kǎijiǎ / Hóigaap,232,Donphan,Armor Pokémon,よろいポケモン,Armor Pokémon
233,Porygon2,Virtual,バーチャル,Bācharu,Virtuel,Virtuell,Virtuale,Virtual,가상 Gasang,虛擬 / 虚拟 Xūnǐ / Hēuiyìh,233,Porygon2,Virtual Pokémon,バーチャルポケモン,Virtual Pokémon
