ID,ID_EXT,NAME,Base_HP_7,Base_Attack_7,Base_Defense_7,Base_Sp_Attack_7,Base_Sp_Defense_7,Base_Speed_7,Base_Total_7,Base_Average_7,ID,Pokémon,Base_HP_1,Base_Attack_1,Base_Defense_1,Base_Speed_1,Base_Special_1,Base_Total_1,Base_Average_1,ID,Pokémon,Base_HP_2_5,Base_Attack_2_5,Base_Defense_2_5,Base_Sp_Attack_2_5,Base_Sp_Defense_2_5,Base_Speed_2_5,Base_Total_2_5,Base_Average_2_5,ID,ID_EX,Name,Base_HP_6,Base_Attack_6,Base_Defense_6,Base_Sp_Attack_6,Base_Sp_Defense_6,Base_Speed_6,Base_Total_6,Base_Average_6
101,101,Electrode,60,50,70,80,80,150,490,81.67,127,Pinsir,65,125,100,85,55,430,86,127,Pinsir,65,125,100,55,70,85,500,83.33,117,117,Seadra,55,65,95,95,45,85,440,73.33
102,102,Exeggcute,60,40,80,60,45,40,325,54.17,128,Tauros,75,100,95,110,70,450,90,128,Tauros,75,100,95,40,70,110,490,81.67,118,118,Goldeen,45,67,60,35,50,63,320,53.33
103,103,Exeggutor,95,95,85,125,75,55,530,88.33,129,Magikarp,20,10,55,80,20,185,37,129,Magikarp,20,10,55,15,20,80,200,33.33,119,119,Seaking,80,92,65,65,80,68,450,75
103,103A,Exeggutor (Alolan Exeggutor),95,105,85,125,75,45,530,88.33,130,Gyarados,95,125,79,81,100,480,96,130,Gyarados,95,125,79,60,100,81,540,90,120,120,Staryu,30,45,55,70,55,85,340,56.67
104,104,Cubone,50,50,95,40,50,35,320,53.33,131,Lapras,130,85,80,60,95,450,90,131,Lapras,130,85,80,85,95,60,535,89.17,121,121,Starmie,60,75,85,100,85,115,520,86.67
105,105,Marowak,60,80,110,50,80,45,425,70.83,132,Ditto,48,48,48,48,48,240,48,132,Ditto,48,48,48,48,48,48,288,48,122,122,Mr. Mime,40,45,65,100,120,90,460,76.67
105,105A,Marowak (Alolan Marowak),60,80,110,50,80,45,425,70.83,133,Eevee,55,55,50,55,65,280,56,133,Eevee,55,55,50,45,65,55,325,54.17,123,123,Scyther,70,110,80,55,80,105,500,83.33
106,106,Hitmonlee,50,120,53,35,110,87,455,75.83,134,Vaporeon,130,65,60,65,110,430,86,134,Vaporeon,130,65,60,110,95,65,525,87.5,124,124,Jynx,65,50,35,115,95,95,455,75.83
107,107,Hitmonchan,50,105,79,35,110,76,455,75.83,135,Jolteon,65,65,60,130,110,430,86,135,Jolteon,65,65,60,110,95,130,525,87.5,125,125,Electabuzz,65,83,57,95,85,105,490,81.67
108,108,Lickitung,90,55,75,60,75,30,385,64.17,136,Flareon,65,130,60,65,110,430,86,136,Flareon,65,130,60,95,110,65,525,87.5,126,126,Magmar,65,95,57,100,85,93,495,82.5
109,109,Koffing,40,65,95,60,45,35,340,56.67,137,Porygon,65,60,70,40,75,310,62,137,Porygon,65,60,70,85,75,40,395,65.83,127,127,Pinsir,65,125,100,55,70,85,500,83.33
110,110,Weezing,65,90,120,85,70,60,490,81.67,138,Omanyte,35,40,100,35,90,300,60,138,Omanyte,35,40,100,90,55,35,355,59.17,127,127M,Pinsir (Mega Pinsir),65,155,120,65,90,105,600,100
111,111,Rhyhorn,80,85,95,30,30,25,345,57.5,139,Omastar,70,60,125,55,115,425,85,139,Omastar,70,60,125,115,70,55,495,82.5,128,128,Tauros,75,100,95,40,70,110,490,81.67
112,112,Rhydon,105,130,120,45,45,40,485,80.83,140,Kabuto,30,80,90,55,45,300,60,140,Kabuto,30,80,90,55,45,55,355,59.17,129,129,Magikarp,20,10,55,15,20,80,200,33.33
113,113,Chansey,250,5,5,35,105,50,450,75,141,Kabutops,60,115,105,80,70,430,86,141,Kabutops,60,115,105,65,70,80,495,82.5,130,130,Gyarados,95,125,79,60,100,81,540,90
114,114,Tangela,65,55,115,100,40,60,435,72.5,142,Aerodactyl,80,105,65,130,60,440,88,142,Aerodactyl,80,105,65,60,75,130,515,85.83,130,130M,Gyarados (Mega Gyarados),95,155,109,70,130,81,640,106.67
115,115,Kangaskhan,105,95,80,40,80,90,490,81.67,143,Snorlax,160,110,65,30,65,430,86,143,Snorlax,160,110,65,65,110,30,540,90,131,131,Lapras,130,85,80,85,95,60,535,89.17
115,115M,Kangaskhan (Mega Kangaskhan),105,125,100,60,100,100,590,98.33,144,Articuno,90,85,100,85,125,485,97,144,Articuno,90,85,100,95,125,85,580,96.67,132,132,Ditto,48,48,48,48,48,48,288,48
116,116,Horsea,30,40,70,70,25,60,295,49.17,145,Zapdos,90,90,85,100,125,490,98,145,Zapdos,90,90,85,125,90,100,580,96.67,133,133,Eevee,55,55,50,45,65,55,325,54.17
117,117,Seadra,55,65,95,95,45,85,440,73.33,146,Moltres,90,100,90,90,125,495,99,146,Moltres,90,100,90,125,85,90,580,96.67,134,134,Vaporeon,130,65,60,110,95,65,525,87.5
118,118,Goldeen,45,67,60,35,50,63,320,53.33,147,Dratini,41,64,45,50,50,250,50,147,Dratini,41,64,45,50,50,50,300,50,135,135,Jolteon,65,65,60,110,95,130,525,87.5
119,119,Seaking,80,92,65,65,80,68,450,75,148,Dragonair,61,84,65,70,70,350,70,148,Dragonair,61,84,65,70,70,70,420,70,136,136,Flareon,65,130,60,95,110,65,525,87.5
120,120,Staryu,30,45,55,70,55,85,340,56.67,149,Dragonite,91,134,95,80,100,500,100,149,Dragonite,91,134,95,100,100,80,600,100,137,137,Porygon,65,60,70,85,75,40,395,65.83
121,121,Starmie,60,75,85,100,85,115,520,86.67,150,Mewtwo,106,110,90,130,154,590,118,150,Mewtwo,106,110,90,154,90,130,680,113.33,138,138,Omanyte,35,40,100,90,55,35,355,59.17
122,122,Mr. Mime,40,45,65,100,120,90,460,76.67,151,Mew,100,100,100,100,100,500,100,151,Mew,100,100,100,100,100,100,600,100,139,139,Omastar,70,60,125,115,70,55,495,82.5
123,123,Scyther,70,110,80,55,80,105,500,83.33,,,,,,,,,,152,Chikorita,45,49,65,49,65,45,318,53,140,140,Kabuto,30,80,90,55,45,55,355,59.17
124,124,Jynx,65,50,35,115,95,95,455,75.83,,,,,,,,,,153,Bayleef,60,62,80,63,80,60,405,67.5,141,141,Kabutops,60,115,105,65,70,80,495,82.5
125,125,Electabuzz,65,83,57,95,85,105,490,81.67,,,,,,,,,,154,Meganium,80,82,100,83,100,80,525,87.5,142,142,Aerodactyl,80,105,65,60,75,130,515,85.83
126,126,Magmar,65,95,57,100,85,93,495,82.5,,,,,,,,,,155,Cyndaquil,39,52,43,60,50,65,309,51.5,142,142M,Aerodactyl (Mega Aerodactyl),80,135,85,70,95,150,615,102.5
127,127,Pinsir,65,125,100,55,70,85,500,83.33,,,,,,,,,,156,Quilava,58,64,58,80,65,80,405,67.5,143,143,Snorlax,160,110,65,65,110,30,540,90
127,127M,Pinsir (Mega Pinsir),65,155,120,65,90,105,600,100,,,,,,,,,,157,Typhlosion,78,84,78,109,85,100,534,89,144,144,Articuno,90,85,100,95,125,85,580,96.67
128,128,Tauros,75,100,95,40,70,110,490,81.67,,,,,,,,,,158,Totodile,50,65,64,44,48,43,314,52.33,145,145,Zapdos,90,90,85,125,90,100,580,96.67
129,129,Magikarp,20,10,55,15,20,80,200,33.33,,,,,,,,,,159,Croconaw,65,80,80,59,63,58,405,67.5,146,146,Moltres,90,100,90,125,85,90,580,96.67
130,130,Gyarados,95,125,79,60,100,81,540,90,,,,,,,,,,160,Feraligatr,85,105,100,79,83,78,530,88.33,147,147,Dratini,41,64,45,50,50,50,300,50
130,130M,Gyarados (Mega Gyarados),95,155,109,70,130,81,640,106.67,,,,,,,,,,161,Sentret,35,46,34,35,45,20,215,35.83,148,148,Dragonair,61,84,65,70,70,70,420,70
131,131,Lapras,130,85,80,85,95,60,535,89.17,,,,,,,,,,162,Furret,85,76,64,45,55,90,415,69.17,149,149,Dragonite,91,134,95,100,100,80,600,100
132,132,Ditto,48,48,48,48,48,48,288,48,,,,,,,,,,163,Hoothoot,60,30,30,36,56,50,262,43.67,150,150,Mewtwo,106,110,90,154,90,130,680,113.33
133,133,Eevee,55,55,50,45,65,55,325,54.17,,,,,,,,,,164,Noctowl,100,50,50,76,96,70,442,73.67,150,150MX,Mewtwo (Mega Mewtwo X),106,190,100,154,100,130,780,130
133,133Pa,Eevee (Partner Eevee),65,75,70,65,85,75,435,72.5,,,,,,,,,,165,Ledyba,40,20,30,40,80,55,265,44.17,150,150MY,Mewtwo (Mega Mewtwo Y),106,150,70,194,120,140,780,130
134,134,Vaporeon,130,65,60,110,95,65,525,87.5,,,,,,,,,,166,Ledian,55,35,50,55,110,85,390,65,151,151,Mew,100,100,100,100,100,100,600,100
135,135,Jolteon,65,65,60,110,95,130,525,87.5,,,,,,,,,,167,Spinarak,40,60,40,40,40,30,250,41.67,152,152,Chikorita,45,49,65,49,65,45,318,53
136,136,Flareon,65,130,60,95,110,65,525,87.5,,,,,,,,,,168,Ariados,70,90,70,60,60,40,390,65,153,153,Bayleef,60,62,80,63,80,60,405,67.5
137,137,Porygon,65,60,70,85,75,40,395,65.83,,,,,,,,,,169,Crobat,85,90,80,70,80,130,535,89.17,154,154,Meganium,80,82,100,83,100,80,525,87.5
138,138,Omanyte,35,40,100,90,55,35,355,59.17,,,,,,,,,,170,Chinchou,75,38,38,56,56,67,330,55,155,155,Cyndaquil,39,52,43,60,50,65,309,51.5
139,139,Omastar,70,60,125,115,70,55,495,82.5,,,,,,,,,,171,Lanturn,125,58,58,76,76,67,460,76.67,156,156,Quilava,58,64,58,80,65,80,405,67.5
140,140,Kabuto,30,80,90,55,45,55,355,59.17,,,,,,,,,,172,Pichu,20,40,15,35,35,60,205,34.17,157,157,Typhlosion,78,84,78,109,85,100,534,89
141,141,Kabutops,60,115,105,65,70,80,495,82.5,,,,,,,,,,173,Cleffa,50,25,28,45,55,15,218,36.33,158,158,Totodile,50,65,64,44,48,43,314,52.33
142,142,Aerodactyl,80,105,65,60,75,130,515,85.83,,,,,,,,,,174,Igglybuff,90,30,15,40,20,15,210,35,159,159,Croconaw,65,80,80,59,63,58,405,67.5
142,142M,Aerodactyl (Mega Aerodactyl),80,135,85,70,95,150,615,102.5,,,,,,,,,,175,Togepi,35,20,65,40,65,20,245,40.83,160,160,Feraligatr,85,105,100,79,83,78,530,88.33
143,143,Snorlax,160,110,65,65,110,30,540,90,,,,,,,,,,176,Togetic,55,40,85,80,105,40,405,67.5,161,161,Sentret,35,46,34,35,45,20,215,35.83
144,144,Articuno,90,85,100,95,125,85,580,96.67,,,,,,,,,,177,Natu,40,50,45,70,45,70,320,53.33,162,162,Furret,85,76,64,45,55,90,415,69.17
145,145,Zapdos,90,90,85,125,90,100,580,96.67,,,,,,,,,,178,Xatu,65,75,70,95,70,95,470,78.33,163,163,Hoothoot,60,30,30,36,56,50,262,43.67
146,146,Moltres,90,100,90,125,85,90,580,96.67,,,,,,,,,,179,Mareep,55,40,40,65,45,35,280,46.67,164,164,Noctowl,100,50,50,76,96,70,442,73.67
147,147,Dratini,41,64,45,50,50,50,300,50,,,,,,,,,,180,Flaaffy,70,55,55,80,60,45,365,60.83,165,165,Ledyba,40,20,30,40,80,55,265,44.17
148,148,Dragonair,61,84,65,70,70,70,420,70,,,,,,,,,,181,Ampharos,90,75,75,115,90,55,500,83.33,166,166,Ledian,55,35,50,55,110,85,390,65
149,149,Dragonite,91,134,95,100,100,80,600,100,,,,,,,,,,182,Bellossom,75,80,85,90,100,50,480,80,167,167,Spinarak,40,60,40,40,40,30,250,41.67
150,150,Mewtwo,106,110,90,154,90,130,680,113.33,,,,,,,,,,183,Marill,70,20,50,20,50,40,250,41.67,168,168,Ariados,70,90,70,60,60,40,390,65
150,150MX,Mewtwo (Mega Mewtwo X),106,190,100,154,100,130,780,130,,,,,,,,,,184,Azumarill,100,50,80,50,80,50,410,68.33,169,169,Crobat,85,90,80,70,80,130,535,89.17
150,150MY,Mewtwo (Mega Mewtwo Y),106,150,70,194,120,140,780,130,,,,,,,,,,185,Sudowoodo,70,100,115,30,65,30,410,68.33,170,170,Chinchou,75,38,38,56,56,67,330,55
151,151,Mew,100,100,100,100,100,100,600,100,,,,,,,,,,186,Politoed,90,75,75,90,100,70,500,83.33,171,171,Lanturn,125,58,58,76,76,67,460,76.67
152,152,Chikorita,45,49,65,49,65,45,318,53,,,,,,,,,,187,Hoppip,35,35,40,35,55,50,250,41.67,172,172,Pichu,20,40,15,35,35,60,205,34.17
153,153,Bayleef,60,62,80,63,80,60,405,67.5,,,,,,,,,,188,Skiploom,55,45,50,45,65,80,340,56.67,173,173,Cleffa,50,25,28,45,55,15,218,36.33
154,154,Meganium,80,82,100,83,100,80,525,87.5,,,,,,,,,,189,Jumpluff,75,55,70,55,85,110,450,75,174,174,Igglybuff,90,30,15,40,20,15,210,35
155,155,Cyndaquil,39,52,43,60,50,65,309,51.5,,,,,,,,,,190,Aipom,55,70,55,40,55,85,360,60,175,175,Togepi,35,20,65,40,65,20,245,40.83
156,156,Quilava,58,64,58,80,65,80,405,67.5,,,,,,,,,,191,Sunkern,30,30,30,30,30,30,180,30,176,176,Togetic,55,40,85,80,105,40,405,67.5
157,157,Typhlosion,78,84,78,109,85,100,534,89,,,,,,,,,,192,Sunflora,75,75,55,105,85,30,425,70.83,177,177,Natu,40,50,45,70,45,70,320,53.33
158,158,Totodile,50,65,64,44,48,43,314,52.33,,,,,,,,,,193,Yanma,65,65,45,75,45,95,390,65,178,178,Xatu,65,75,70,95,70,95,470,78.33
159,159,Croconaw,65,80,80,59,63,58,405,67.5,,,,,,,,,,194,Wooper,55,45,45,25,25,15,210,35,179,179,Mareep,55,40,40,65,45,35,280,46.67
160,160,Feraligatr,85,105,100,79,83,78,530,88.33,,,,,,,,,,195,Quagsire,95,85,85,65,65,35,430,71.67,180,180,Flaaffy,70,55,55,80,60,45,365,60.83
161,161,Sentret,35,46,34,35,45,20,215,35.83,,,,,,,,,,196,Espeon,65,65,60,130,95,110,525,87.5,181,181,Ampharos,90,75,85,115,90,55,510,85
162,162,Furret,85,76,64,45,55,90,415,69.17,,,,,,,,,,197,Umbreon,95,65,110,60,130,65,525,87.5,181,181M,Ampharos (Mega Ampharos),90,95,105,165,110,45,610,101.67
163,163,Hoothoot,60,30,30,36,56,50,262,43.67,,,,,,,,,,198,Murkrow,60,85,42,85,42,91,405,67.5,182,182,Bellossom,75,80,95,90,100,50,490,81.67
164,164,Noctowl,100,50,50,86,96,70,452,75.33,,,,,,,,,,199,Slowking,95,75,80,100,110,30,490,81.67,183,183,Marill,70,20,50,20,50,40,250,41.67
165,165,Ledyba,40,20,30,40,80,55,265,44.17,,,,,,,,,,200,Misdreavus,60,60,60,85,85,85,435,72.5,184,184,Azumarill,100,50,80,60,80,50,420,70
166,166,Ledian,55,35,50,55,110,85,390,65,,,,,,,,,,201,Unown,48,72,48,72,48,48,336,56,185,185,Sudowoodo,70,100,115,30,65,30,410,68.33
167,167,Spinarak,40,60,40,40,40,30,250,41.67,,,,,,,,,,202,Wobbuffet,190,33,58,33,58,33,405,67.5,186,186,Politoed,90,75,75,90,100,70,500,83.33
168,168,Ariados,70,90,70,60,70,40,400,66.67,,,,,,,,,,203,Girafarig,70,80,65,90,65,85,455,75.83,187,187,Hoppip,35,35,40,35,55,50,250,41.67
169,169,Crobat,85,90,80,70,80,130,535,89.17,,,,,,,,,,204,Pineco,50,65,90,35,35,15,290,48.33,188,188,Skiploom,55,45,50,45,65,80,340,56.67
170,170,Chinchou,75,38,38,56,56,67,330,55,,,,,,,,,,205,Forretress,75,90,140,60,60,40,465,77.5,189,189,Jumpluff,75,55,70,55,95,110,460,76.67
171,171,Lanturn,125,58,58,76,76,67,460,76.67,,,,,,,,,,206,Dunsparce,100,70,70,65,65,45,415,69.17,190,190,Aipom,55,70,55,40,55,85,360,60
172,172,Pichu,20,40,15,35,35,60,205,34.17,,,,,,,,,,207,Gligar,65,75,105,35,65,85,430,71.67,191,191,Sunkern,30,30,30,30,30,30,180,30
173,173,Cleffa,50,25,28,45,55,15,218,36.33,,,,,,,,,,208,Steelix,75,85,200,55,65,30,510,85,192,192,Sunflora,75,75,55,105,85,30,425,70.83
174,174,Igglybuff,90,30,15,40,20,15,210,35,,,,,,,,,,209,Snubbull,60,80,50,40,40,30,300,50,193,193,Yanma,65,65,45,75,45,95,390,65
175,175,Togepi,35,20,65,40,65,20,245,40.83,,,,,,,,,,210,Granbull,90,120,75,60,60,45,450,75,194,194,Wooper,55,45,45,25,25,15,210,35
176,176,Togetic,55,40,85,80,105,40,405,67.5,,,,,,,,,,211,Qwilfish,65,95,75,55,55,85,430,71.67,195,195,Quagsire,95,85,85,65,65,35,430,71.67
177,177,Natu,40,50,45,70,45,70,320,53.33,,,,,,,,,,212,Scizor,70,130,100,55,80,65,500,83.33,196,196,Espeon,65,65,60,130,95,110,525,87.5
178,178,Xatu,65,75,70,95,70,95,470,78.33,,,,,,,,,,213,Shuckle,20,10,230,10,230,5,505,84.17,197,197,Umbreon,95,65,110,60,130,65,525,87.5
179,179,Mareep,55,40,40,65,45,35,280,46.67,,,,,,,,,,214,Heracross,80,125,75,40,95,85,500,83.33,198,198,Murkrow,60,85,42,85,42,91,405,67.5
180,180,Flaaffy,70,55,55,80,60,45,365,60.83,,,,,,,,,,215,Sneasel,55,95,55,35,75,115,430,71.67,199,199,Slowking,95,75,80,100,110,30,490,81.67
181,181,Ampharos,90,75,85,115,90,55,510,85,,,,,,,,,,216,Teddiursa,60,80,50,50,50,40,330,55,200,200,Misdreavus,60,60,60,85,85,85,435,72.5
181,181M,Ampharos (Mega Ampharos),90,95,105,165,110,45,610,101.67,,,,,,,,,,217,Ursaring,90,130,75,75,75,55,500,83.33,201,201,Unown,48,72,48,72,48,48,336,56
182,182,Bellossom,75,80,95,90,100,50,490,81.67,,,,,,,,,,218,Slugma,40,40,40,70,40,20,250,41.67,202,202,Wobbuffet,190,33,58,33,58,33,405,67.5
183,183,Marill,70,20,50,20,50,40,250,41.67,,,,,,,,,,219,Magcargo,50,50,120,80,80,30,410,68.33,203,203,Girafarig,70,80,65,90,65,85,455,75.83
184,184,Azumarill,100,50,80,60,80,50,420,70,,,,,,,,,,220,Swinub,50,50,40,30,30,50,250,41.67,204,204,Pineco,50,65,90,35,35,15,290,48.33
185,185,Sudowoodo,70,100,115,30,65,30,410,68.33,,,,,,,,,,221,Piloswine,100,100,80,60,60,50,450,75,205,205,Forretress,75,90,140,60,60,40,465,77.5
186,186,Politoed,90,75,75,90,100,70,500,83.33,,,,,,,,,,222,Corsola,55,55,85,65,85,35,380,63.33,206,206,Dunsparce,100,70,70,65,65,45,415,69.17
187,187,Hoppip,35,35,40,35,55,50,250,41.67,,,,,,,,,,223,Remoraid,35,65,35,65,35,65,300,50,207,207,Gligar,65,75,105,35,65,85,430,71.67
188,188,Skiploom,55,45,50,45,65,80,340,56.67,,,,,,,,,,224,Octillery,75,105,75,105,75,45,480,80,208,208,Steelix,75,85,200,55,65,30,510,85
189,189,Jumpluff,75,55,70,55,95,110,460,76.67,,,,,,,,,,225,Delibird,45,55,45,65,45,75,330,55,208,208M,Steelix (Mega Steelix),75,125,230,55,95,30,610,101.67
190,190,Aipom,55,70,55,40,55,85,360,60,,,,,,,,,,226,Mantine,65,40,70,80,140,70,465,77.5,209,209,Snubbull,60,80,50,40,40,30,300,50
191,191,Sunkern,30,30,30,30,30,30,180,30,,,,,,,,,,227,Skarmory,65,80,140,40,70,70,465,77.5,210,210,Granbull,90,120,75,60,60,45,450,75
192,192,Sunflora,75,75,55,105,85,30,425,70.83,,,,,,,,,,228,Houndour,45,60,30,80,50,65,330,55,211,211,Qwilfish,65,95,75,55,55,85,430,71.67
193,193,Yanma,65,65,45,75,45,95,390,65,,,,,,,,,,229,Houndoom,75,90,50,110,80,95,500,83.33,212,212,Scizor,70,130,100,55,80,65,500,83.33
194,194,Wooper,55,45,45,25,25,15,210,35,,,,,,,,,,230,Kingdra,75,95,95,95,95,85,540,90,212,212M,Scizor (Mega Scizor),70,150,140,65,100,75,600,100
195,195,Quagsire,95,85,85,65,65,35,430,71.67,,,,,,,,,,231,Phanpy,90,60,60,40,40,40,330,55,213,213,Shuckle,20,10,230,10,230,5,505,84.17
196,196,Espeon,65,65,60,130,95,110,525,87.5,,,,,,,,,,232,Donphan,90,120,120,60,60,50,500,83.33,214,214,Heracross,80,125,75,40,95,85,500,83.33
197,197,Umbreon,95,65,110,60,130,65,525,87.5,,,,,,,,,,233,Porygon2,85,80,90,105,95,60,515,85.83,214,214M,Heracross (Mega Heracross),80,185,115,40,105,75,600,100
198,198,Murkrow,60,85,42,85,42,91,405,67.5,,,,,,,,,,234,Stantler,73,95,62,85,65,85,465,77.5,215,215,Sneasel,55,95,55,35,75,115,430,71.67
199,199,Slowking,95,75,80,100,110,30,490,81.67,,,,,,,,,,235,Smeargle,55,20,35,20,45,75,250,41.67,216,216,Teddiursa,60,80,50,50,50,40,330,55
200,200,Misdreavus,60,60,60,85,85,85,435,72.5,,,,,,,,,,236,Tyrogue,35,35,35,35,35,35,210,35,217,217,Ursaring,90,130,75,75,75,55,500,83.33
201,201,Unown,48,72,48,72,48,48,336,56,,,,,,,,,,237,Hitmontop,50,95,95,35,110,70,455,75.83,218,218,Slugma,40,40,40,70,40,20,250,41.67
202,202,Wobbuffet,190,33,58,33,58,33,405,67.5,,,,,,,,,,238,Smoochum,45,30,15,85,65,65,305,50.83,219,219,Magcargo,50,50,120,80,80,30,410,68.33
203,203,Girafarig,70,80,65,90,65,85,455,75.83,,,,,,,,,,239,Elekid,45,63,37,65,55,95,360,60,220,220,Swinub,50,50,40,30,30,50,250,41.67
204,204,Pineco,50,65,90,35,35,15,290,48.33,,,,,,,,,,240,Magby,45,75,37,70,55,83,365,60.83,221,221,Piloswine,100,100,80,60,60,50,450,75
205,205,Forretress,75,90,140,60,60,40,465,77.5,,,,,,,,,,241,Miltank,95,80,105,40,70,100,490,81.67,222,222,Corsola,55,55,85,65,85,35,380,63.33
206,206,Dunsparce,100,70,70,65,65,45,415,69.17,,,,,,,,,,242,Blissey,255,10,10,75,135,55,540,90,223,223,Remoraid,35,65,35,65,35,65,300,50
207,207,Gligar,65,75,105,35,65,85,430,71.67,,,,,,,,,,243,Raikou,90,85,75,115,100,115,580,96.67,224,224,Octillery,75,105,75,105,75,45,480,80
208,208,Steelix,75,85,200,55,65,30,510,85,,,,,,,,,,244,Entei,115,115,85,90,75,100,580,96.67,225,225,Delibird,45,55,45,65,45,75,330,55
208,208M,Steelix (Mega Steelix),75,125,230,55,95,30,610,101.67,,,,,,,,,,245,Suicune,100,75,115,90,115,85,580,96.67,226,226,Mantine,65,40,70,80,140,70,465,77.5
209,209,Snubbull,60,80,50,40,40,30,300,50,,,,,,,,,,246,Larvitar,50,64,50,45,50,41,300,50,227,227,Skarmory,65,80,140,40,70,70,465,77.5
210,210,Granbull,90,120,75,60,60,45,450,75,,,,,,,,,,247,Pupitar,70,84,70,65,70,51,410,68.33,228,228,Houndour,45,60,30,80,50,65,330,55
211,211,Qwilfish,65,95,85,55,55,85,440,73.33,,,,,,,,,,248,Tyranitar,100,134,110,95,100,61,600,100,229,229,Houndoom,75,90,50,110,80,95,500,83.33
212,212,Scizor,70,130,100,55,80,65,500,83.33,,,,,,,,,,249,Lugia,106,90,130,90,154,110,680,113.33,229,229M,Houndoom (Mega Houndoom),75,90,90,140,90,115,600,100
212,212M,Scizor (Mega Scizor),70,150,140,65,100,75,600,100,,,,,,,,,,250,Ho-Oh,106,130,90,110,154,90,680,113.33,230,230,Kingdra,75,95,95,95,95,85,540,90
213,213,Shuckle,20,10,230,10,230,5,505,84.17,,,,,,,,,,251,Celebi,100,100,100,100,100,100,600,100,231,231,Phanpy,90,60,60,40,40,40,330,55
214,214,Heracross,80,125,75,40,95,85,500,83.33,,,,,,,,,,252,Treecko,40,45,35,65,55,70,310,51.67,232,232,Donphan,90,120,120,60,60,50,500,83.33
214,214M,Heracross (Mega Heracross),80,185,115,40,105,75,600,100,,,,,,,,,,253,Grovyle,50,65,45,85,65,95,405,67.5,233,233,Porygon2,85,80,90,105,95,60,515,85.83
215,215,Sneasel,55,95,55,35,75,115,430,71.67,,,,,,,,,,254,Sceptile,70,85,65,105,85,120,530,88.33,234,234,Stantler,73,95,62,85,65,85,465,77.5
216,216,Teddiursa,60,80,50,50,50,40,330,55,,,,,,,,,,255,Torchic,45,60,40,70,50,45,310,51.67,235,235,Smeargle,55,20,35,20,45,75,250,41.67
217,217,Ursaring,90,130,75,75,75,55,500,83.33,,,,,,,,,,256,Combusken,60,85,60,85,60,55,405,67.5,236,236,Tyrogue,35,35,35,35,35,35,210,35
218,218,Slugma,40,40,40,70,40,20,250,41.67,,,,,,,,,,257,Blaziken,80,120,70,110,70,80,530,88.33,237,237,Hitmontop,50,95,95,35,110,70,455,75.83
219,219,Magcargo,60,50,120,90,80,30,430,71.67,,,,,,,,,,258,Mudkip,50,70,50,50,50,40,310,51.67,238,238,Smoochum,45,30,15,85,65,65,305,50.83
220,220,Swinub,50,50,40,30,30,50,250,41.67,,,,,,,,,,259,Marshtomp,70,85,70,60,70,50,405,67.5,239,239,Elekid,45,63,37,65,55,95,360,60
221,221,Piloswine,100,100,80,60,60,50,450,75,,,,,,,,,,260,Swampert,100,110,90,85,90,60,535,89.17,240,240,Magby,45,75,37,70,55,83,365,60.83
222,222,Corsola,65,55,95,65,95,35,410,68.33,,,,,,,,,,261,Poochyena,35,55,35,30,30,35,220,36.67,241,241,Miltank,95,80,105,40,70,100,490,81.67
223,223,Remoraid,35,65,35,65,35,65,300,50,,,,,,,,,,262,Mightyena,70,90,70,60,60,70,420,70,242,242,Blissey,255,10,10,75,135,55,540,90
224,224,Octillery,75,105,75,105,75,45,480,80,,,,,,,,,,263,Zigzagoon,38,30,41,30,41,60,240,40,243,243,Raikou,90,85,75,115,100,115,580,96.67
225,225,Delibird,45,55,45,65,45,75,330,55,,,,,,,,,,264,Linoone,78,70,61,50,61,100,420,70,244,244,Entei,115,115,85,90,75,100,580,96.67
226,226,Mantine,85,40,70,80,140,70,485,80.83,,,,,,,,,,265,Wurmple,45,45,35,20,30,20,195,32.5,245,245,Suicune,100,75,115,90,115,85,580,96.67
227,227,Skarmory,65,80,140,40,70,70,465,77.5,,,,,,,,,,266,Silcoon,50,35,55,25,25,15,205,34.17,246,246,Larvitar,50,64,50,45,50,41,300,50
228,228,Houndour,45,60,30,80,50,65,330,55,,,,,,,,,,267,Beautifly,60,70,50,90,50,65,385,64.17,247,247,Pupitar,70,84,70,65,70,51,410,68.33
229,229,Houndoom,75,90,50,110,80,95,500,83.33,,,,,,,,,,268,Cascoon,50,35,55,25,25,15,205,34.17,248,248,Tyranitar,100,134,110,95,100,61,600,100
229,229M,Houndoom (Mega Houndoom),75,90,90,140,90,115,600,100,,,,,,,,,,269,Dustox,60,50,70,50,90,65,385,64.17,248,248M,Tyranitar (Mega Tyranitar),100,164,150,95,120,71,700,116.67
230,230,Kingdra,75,95,95,95,95,85,540,90,,,,,,,,,,270,Lotad,40,30,30,40,50,30,220,36.67,249,249,Lugia,106,90,130,90,154,110,680,113.33
231,231,Phanpy,90,60,60,40,40,40,330,55,,,,,,,,,,271,Lombre,60,50,50,60,70,50,340,56.67,250,250,Ho-Oh,106,130,90,110,154,90,680,113.33
232,232,Donphan,90,120,120,60,60,50,500,83.33,,,,,,,,,,272,Ludicolo,80,70,70,90,100,70,480,80,251,251,Celebi,100,100,100,100,100,100,600,100
233,233,Porygon2,85,80,90,105,95,60,515,85.83,,,,,,,,,,273,Seedot,40,40,50,30,30,30,220,36.67,252,252,Treecko,40,45,35,65,55,70,310,51.67
