Name,Dex,Item,Egg Group 1,Egg Group 2,Type,Type2,Body,Color,Call_Rate_SM,Call_Rate_USUM,Star,Gender_Ratio,Cycles,Ability 1,Ability 2,Hidden,WeightKg,WeightLbs,HeightM,Ft,In
Landorus,645,,Undiscovered,,Ground,Flying,Head and arms,Brown,,,0,0:1U,120,Sand Force,,Sheer Force,68,149.9,1.3,4,3
Sharpedo,319,,Water 2,,Water,Dark,Fins,Blue,,,0,1:1,20,Rough Skin,,Speed Boost,88.8,195.8,1.8,5,11
Ditto,132,,Ditto,,Normal,,Head,Purple,,,0,G*,20,Limber,,Imposter,4,8.8,0.3,1,0
Dhelmise,781,,Mineral,,Ghost,Grass,Head and a base,Green,,,0,G,25,Steelworker,,,210,463,3.9,12,10
Golduck,55,,Water 1,Field,Water,,"Bipedal, tailed form",Blue,,,0,1:1,20,Damp,Cloud Nine,Swift Swim,76.6,168.9,1.7,5,7
Ampharos,181,,Monster,Field,Electric,,"Bipedal, tailed form",Yellow,,,0,1:1,20,Static,,Plus,61.5,135.6,1.4,4,7
Inkay,686,,Water 1,Water 2,Dark,Psychic,Tentacles or a multiped body,Blue,,,0,1:1,20,Contrary,Suction Cups,Infiltrator,3.5,7.7,0.4,1,4
Scraggy,559,,Field,Dragon,Dark,Fighting,"Bipedal, tailed form",Yellow,,,0,1:1,15,Shed Skin,Moxie,Intimidate,11.8,26,0.6,2,0
Venipede,543,,Bug,,Bug,Poison,Insectoid body,Red,,,9,1:1,15,Poison Point,Swarm,Speed Boost,5.3,11.7,0.4,1,4
Musharna,518,,Field,,Psychic,,"Bipedal, tailless form",Pink,,,0,1:1,10,Forewarn,Synchronize,Telepathy,60.5,133.4,1.1,3,7
Plusle,311,,Fairy,,Electric,,"Bipedal, tailed form",Yellow,,,1,1:1,20,Plus,,Lightning Rod,4.2,9.3,0.4,1,4
Karrablast,588,,Bug,,Bug,,"Bipedal, tailless form",Blue,,,0,1:1,15,Swarm,Shed Skin,No Guard,5.9,13,0.5,1,8
Delphox,655,,Field,,Fire,Psychic,"Bipedal, tailed form",Red,,,0,1:7,20,Blaze,,Magician,39,86,1.5,4,11
Hippopotas,449,,Field,,Ground,,Quadruped body,Brown,,,0,1:1,30,Sand Stream,,Sand Force,49.5,109.1,0.8,2,7
Kabutops,141,,Water 1,Water 3,Rock,Water,"Bipedal, tailed form",Brown,,,0,1:7,30,Swift Swim,Battle Armor,Weak Armor,40.5,89.3,1.3,4,3
Duskull,355,,Amorphous,,Ghost,,Head and arms,Black,,,1,1:1,25,Levitate,,Frisk,15,33.1,0.8,2,7
Vivillon,666,,Bug,,Bug,Flying,Two or more pairs of wings,White,,,0,1:1,15,Shield Dust,Compound Eyes,Friend Guard,17,37.5,1.2,3,11
Lileep,345,,Water 3,,Rock,Grass,Head and a base,Purple,,,0,1:7,30,Suction Cups,,Storm Drain,23.8,52.5,1,3,3
Pyroar,668,,Field,,Fire,Normal,Quadruped body,Brown,,,0,7:1,20,Rivalry,Unnerve,Moxie,81.5,179.7,1.5,4,11
Cresselia,488,,Undiscovered,,Psychic,,Serpentine bodies,Yellow,,,0,1:0U,120,Levitate,,,85.6,188.7,1.5,4,11
Komala,775,,Field,,Normal,,"Bipedal, tailless form",Blue,,,0,1:1,20,Comatose,,,19.9,43.9,0.4,1,4
Tsareena,763,,Grass,,Grass,,"Bipedal, tailless form",Purple,,,0,1:0,20,Leaf Guard,Queenly Majesty,Sweet Veil,21.4,47.2,1.2,3,11
Mamoswine,473,,Field,,Ice,Ground,Quadruped body,Brown,,,0,1:1,20,Oblivious,Snow Cloak,Thick Fat,291,641.5,2.5,8,2
Illumise,314,,Bug,Human-Like,Bug,,"Bipedal, tailless form",Purple,,,2,1:0,15,Oblivious,Tinted Lens,Prankster,17.7,39,0.6,2,0
Flabébé,669,,Fairy,,Fairy,,Head and arms,White,,,0,1:0,20,Flower Veil,,Symbiosis,0.1,0.2,0.1,0,4
Palkia,484,,Undiscovered,,Water,Dragon,"Bipedal, tailed form",Purple,,,0,GU,120,Pressure,,Telepathy,336,740.8,4.2,13,9
Lapras,131,,Monster,Water 1,Water,Ice,Fins,Blue,,,0,1:1,40,Water Absorb,Shell Armor,Hydration,220,485,2.5,8,2
Drampa,780,,Monster,Dragon,Normal,Dragon,Serpentine bodies,White,,,0,1:1,20,Berserk,Sap Sipper,Cloud Nine,185,407.9,3,9,10
Tyrunt,696,,Monster,Dragon,Rock,Dragon,"Bipedal, tailed form",Brown,,,0,1:7,30,Strong Jaw,,Sturdy,26,57.3,0.8,2,7
Rayquaza,384,,Undiscovered,,Dragon,Flying,Serpentine bodies,Green,,,0,GU,120,Air Lock,,,206.5,455.2,7,23,0
Tepig,498,,Field,,Fire,,Quadruped body,Red,,,0,1:7,20,Blaze,,Thick Fat,9.9,21.8,0.5,1,8
Omanyte,138,,Water 1,Water 3,Rock,Water,Tentacles or a multiped body,Blue,,,0,1:7,30,Swift Swim,Shell Armor,Weak Armor,7.5,16.5,0.4,1,4
Pikachu,25,,Field,Fairy,Electric,,Quadruped body,Yellow,,,0,1:1,10,Static,,Lightning Rod,6,13.2,0.4,1,4
Tirtouga,564,,Water 1,Water 3,Water,Rock,Quadruped body,Blue,,,0,1:7,30,Solid Rock,Sturdy,Swift Swim,16.5,36.4,0.7,2,4
Silvally,773,,Undiscovered,,Normal,,Quadruped body,Gray,,,0,GU,120,RKS System,,,100.5,221.6,2.3,7,7
Arceus,493,,Undiscovered,,Normal,,Quadruped body,White,,,0,GU,120,Multitype,,,320,705.5,3.2,10,6
Minior,774,,Mineral,,Rock,Flying,Head,Brown,,,0,G,25,Shields Down,,,40,88.2,0.3,1,0
Deerling,585,,Field,,Normal,Grass,Quadruped body,Pink,,,0,1:1,20,Chlorophyll,Sap Sipper,Serene Grace,19.5,43,0.6,2,0
Togedemaru,777,,Field,Fairy,Electric,Steel,"Bipedal, tailed form",Gray,,,0,1:1,10,Iron Barbs,Lightning Rod,Sturdy,3.3,7.3,0.3,1,0
Koffing,109,,Amorphous,,Poison,,Head,Purple,,,0,1:1,20,Levitate,,,1,2.2,0.6,2,0
Pangoro,675,,Field,Human-Like,Fighting,Dark,"Bipedal, tailless form",White,,,0,1:1,25,Iron Fist,Mold Breaker,Scrappy,136,299.8,2.1,6,11
Starly,396,,Flying,,Normal,Flying,Single pair of wings,Brown,,,1,1:1,15,Keen Eye,,Reckless,2,4.4,0.3,1,0
Electabuzz,125,,Human-Like,,Electric,,"Bipedal, tailed form",Yellow,,,0,1:3,25,Static,,Vital Spirit,30,66.1,1.1,3,7
Avalugg,713,,Monster,,Ice,,Quadruped body,Blue,,,0,1:1,20,Own Tempo,Ice Body,Sturdy,505,1113.3,2,6,7
Typhlosion,157,,Field,,Fire,,Quadruped body,Yellow,,,0,1:7,20,Blaze,,Flash Fire,79.5,175.3,1.7,5,7
Emboar,500,,Field,,Fire,Fighting,"Bipedal, tailed form",Red,,,0,1:7,20,Blaze,,Reckless,150,330.7,1.6,5,3
Bulbasaur,1,,Monster,Grass,Grass,Poison,Quadruped body,Green,,,0,1:7,20,Overgrow,,Chlorophyll,6.9,15.2,0.7,2,4
Sawsbuck,586,,Field,,Normal,Grass,Quadruped body,Brown,,,0,1:1,20,Chlorophyll,Sap Sipper,Serene Grace,92.5,203.9,1.9,6,3
Swinub,220,,Field,,Ice,Ground,Quadruped body,Brown,,,2,1:1,20,Oblivious,Snow Cloak,Thick Fat,6.5,14.3,0.4,1,4
Kakuna,14,,Bug,,Bug,Poison,Serpentine bodies,Yellow,,,0,1:1,15,Shed Skin,,,10,22,0.6,2,0
Herdier,507,,Field,,Normal,,Quadruped body,Gray,,,0,1:1,15,Intimidate,Sand Rush,Scrappy,14.7,32.4,0.9,2,11
Riolu,447,,Undiscovered,,Fighting,,"Bipedal, tailed form",Blue,,,0,1:7U,25,Steadfast,Inner Focus,Prankster,20.2,44.5,0.7,2,4
Lickitung,108,,Monster,,Normal,,"Bipedal, tailed form",Pink,,,0,1:1,20,Own Tempo,Oblivious,Cloud Nine,65.5,144.4,1.2,3,11
Bisharp,625,,Human-Like,,Dark,Steel,"Bipedal, tailless form",Red,,,0,1:1,20,Defiant,Inner Focus,Pressure,70,154.3,1.6,5,3
Solrock,338,,Mineral,,Rock,Psychic,Head,Red,,,0,G,25,Levitate,,,154,339.5,1.2,3,11
Necrozma,800,,Undiscovered,,Psychic,,Single pair of wings,Blue,,,0,GU,120,Prism Armor,,,350,771.6,4.2,13,9
Minun,312,,Fairy,,Electric,,"Bipedal, tailed form",Yellow,,,1,1:1,20,Minus,,Volt Absorb,4.2,9.3,0.4,1,4
Pikipek,731,,Flying,,Normal,Flying,Single pair of wings,Black,,,0,1:1,15,Keen Eye,Skill Link,Pickup,1.2,2.6,0.3,1,0
Swablu,333,,Flying,Dragon,Normal,Flying,Single pair of wings,Blue,,,0,1:1,20,Natural Cure,,Cloud Nine,1.2,2.6,0.4,1,4
Pikachu,25,,Field,Fairy,Electric,,Quadruped body,Yellow,,,0,1:1,10,Static,,Lightning Rod,6,13.2,0.4,1,4
Litten,725,,Field,,Fire,,Quadruped body,Red,,,0,1:7,15,Blaze,,Intimidate,4.3,9.5,0.4,1,4
Reshiram,643,,Undiscovered,,Dragon,Fire,Single pair of wings,White,,,0,GU,120,Turboblaze,,,330,727.5,3.2,10,6
Burmy,412,,Bug,,Bug,,Head and a base,Green,,,0,1:1,15,Shed Skin,,Overcoat,3.4,7.5,0.2,0,8
Furfrou,676,,Field,,Normal,,Quadruped body,White,,,0,1:1,20,Fur Coat,,,28,61.7,1.2,3,11
Servine,496,,Field,Grass,Grass,,"Bipedal, tailed form",Green,,,0,1:7,20,Overgrow,,Contrary,16,35.3,0.8,2,7
Combee,415,,Bug,,Bug,Flying,Multiple bodies,Yellow,,,0,1:7,15,Honey Gather,,Hustle,5.5,12.1,0.3,1,0
Steelix,208,,Mineral,,Steel,Ground,Serpentine bodies,Gray,,,0,1:1,25,Rock Head,Sturdy,Sheer Force,400,881.8,9.2,30,2
Uxie,480,,Undiscovered,,Psychic,,"Bipedal, tailed form",Yellow,,,0,GU,80,Levitate,,,0.3,0.7,0.3,1,0
Gurdurr,533,,Human-Like,,Fighting,,"Bipedal, tailless form",Gray,,,0,1:3,20,Guts,Sheer Force,Iron Fist,40,88.2,1.2,3,11
Gastrodon,423,,Water 1,Amorphous,Water,Ground,Serpentine bodies,Purple,,,0,1:1,20,Sticky Hold,Storm Drain,Sand Force,29.9,65.9,0.9,2,11
Togekiss,468,,Flying,Fairy,Fairy,Flying,Single pair of wings,White,,,0,1:7,10,Hustle,Serene Grace,Super Luck,38,83.8,1.5,4,11
Staraptor,398,,Flying,,Normal,Flying,Single pair of wings,Brown,,,0,1:1,15,Intimidate,,Reckless,24.9,54.9,1.2,3,11
Espurr,677,,Field,,Psychic,,"Bipedal, tailed form",Gray,,,0,1:1,20,Keen Eye,Infiltrator,Own Tempo,3.5,7.7,0.3,1,0
Raticate,20,,Field,,Normal,,Quadruped body,Brown,,,0,1:1,15,Run Away,Guts,Hustle,18.5,40.8,0.7,2,4
Swoobat,528,,Field,Flying,Psychic,Flying,Single pair of wings,Blue,,,0,1:1,15,Unaware,Klutz,Simple,10.5,23.1,0.9,2,11
Medicham,308,,Human-Like,,Fighting,Psychic,"Bipedal, tailless form",Red,,,0,1:1,20,Pure Power,,Telepathy,31.5,69.4,1.3,4,3
Persian,53,,Field,,Normal,,Quadruped body,Yellow,,,2,1:1,20,Limber,Technician,Unnerve,32,70.5,1,3,3
Bidoof,399,,Water 1,Field,Normal,,Quadruped body,Brown,,,0,1:1,15,Simple,Unaware,Moody,20,44.1,0.5,1,8
Buzzwole,794,,Undiscovered,,Bug,Fighting,Tentacles or a multiped body,Red,,,0,GU,120,Beast Boost,,,333.6,735.5,2.4,7,10
Tapu Bulu,787,,Undiscovered,,Grass,Fairy,Head and arms,Red,,,0,GU,15,Grassy Surge,,Telepathy,45.5,100.3,1.9,6,3
Pichu,172,,Undiscovered,,Electric,,Quadruped body,Yellow,,,0,1:1U,10,Static,,Lightning Rod,2,4.4,0.3,1,0
Gothita,574,,Human-Like,,Psychic,,"Bipedal, tailless form",Purple,,,2,3:1,20,Frisk,Competitive,Shadow Tag,5.8,12.8,0.4,1,4
Hitmonchan,107,,Human-Like,,Fighting,,"Bipedal, tailless form",Brown,,,2,0:1,25,Keen Eye,Iron Fist,Inner Focus,50.2,110.7,1.4,4,7
Phantump,708,,Grass,Amorphous,Ghost,Grass,Head and arms,Brown,,,0,1:1,20,Natural Cure,Frisk,Harvest,7,15.4,0.4,1,4
Honedge,679,,Mineral,,Steel,Ghost,Head and a base,Brown,,,0,1:1,20,No Guard,,,2,4.4,0.8,2,7
Zorua,570,,Field,,Dark,,Quadruped body,Gray,,,0,1:7,25,Illusion,,,12.5,27.6,0.7,2,4
Mewtwo,150,,Undiscovered,,Psychic,,"Bipedal, tailed form",Purple,,,0,GU,120,Pressure,,Unnerve,122,269,2.3,7,7
Kangaskhan,115,,Monster,,Normal,,"Bipedal, tailed form",Brown,,,2,1:0,20,Early Bird,Scrappy,Inner Focus,80,176.4,2.2,7,3
Torkoal,324,,Field,,Fire,,Quadruped body,Brown,,,2,1:1,20,White Smoke,Drought,Shell Armor,80.4,177.2,0.5,1,8
Floatzel,419,,Water 1,Field,Water,,Quadruped body,Brown,,,0,1:1,20,Swift Swim,,Water Veil,33.5,73.9,1.1,3,7
Wormadam,413,,Bug,,Bug,Grass,Head and a base,Green,,,0,1:0,15,Anticipation,,Overcoat,6.5,14.3,0.5,1,8
Necrozma,800,,Undiscovered,,Psychic,,Two or more pairs of wings,Yellow,,,0,GU,120,Prism Armor,,,230,507.1,7.5,24,7
Minccino,572,,Field,,Normal,,Quadruped body,Gray,,,0,3:1,15,Cute Charm,Technician,Skill Link,5.8,12.8,0.4,1,4
Gabite,444,,Monster,Dragon,Dragon,Ground,"Bipedal, tailed form",Blue,,,0,1:1,40,Sand Veil,,Rough Skin,56,123.5,1.4,4,7
Frogadier,657,,Water 1,,Water,,"Bipedal, tailless form",Blue,,,0,1:7,20,Torrent,,Protean,10.9,24,0.6,2,0
Noctowl,164,,Flying,,Normal,Flying,Single pair of wings,Brown,,,0,1:1,15,Insomnia,Keen Eye,Tinted Lens,40.8,89.9,1.6,5,3
Silvally,773,,Undiscovered,,Normal,,Quadruped body,Gray,,,0,GU,120,RKS System,,,100.5,221.6,2.3,7,7
Lucario,448,Lucarionite,Field,Human-Like,Fighting,Steel,"Bipedal, tailed form",Blue,,,0,1:7,25,Steadfast,Inner Focus,Justified,54,119,1.3,4,3
Aipom,190,,Field,,Normal,,"Bipedal, tailed form",Purple,,,0,1:1,20,Run Away,Pickup,Skill Link,11.5,25.4,0.8,2,7
Heliolisk,695,,Monster,Dragon,Electric,Normal,"Bipedal, tailed form",Yellow,,,0,1:1,20,Dry Skin,Sand Veil,Solar Power,21,46.3,1,3,3
Regice,378,,Undiscovered,,Ice,,"Bipedal, tailless form",Blue,,,0,GU,80,Clear Body,,Ice Body,175,385.8,1.8,5,11
Latios,381,Latiosite,Undiscovered,,Dragon,Psychic,Single pair of wings,Purple,,,0,0:1U,120,Levitate,,,60,132.3,2.3,7,7
Archen,566,,Flying,Water 3,Rock,Flying,Single pair of wings,Yellow,,,0,1:7,30,Defeatist,,,9.5,20.9,0.6,2,0
Pikachu,25,,Field,Fairy,Electric,,Quadruped body,Yellow,,,0,1:1,10,Static,,Lightning Rod,6,13.2,0.4,1,4
Gourgeist,711,,Amorphous,,Ghost,Grass,Head and a base,Brown,,,0,1:1,20,Pickup,Frisk,Insomnia,39,86,1.7,5,7
Malamar,687,,Water 1,Water 2,Dark,Psychic,Head and a base,Blue,,,0,1:1,20,Contrary,Suction Cups,Infiltrator,47,103.6,1.5,4,11
Psyduck,54,,Water 1,Field,Water,,"Bipedal, tailed form",Yellow,,,0,1:1,20,Damp,Cloud Nine,Swift Swim,19.6,43.2,0.8,2,7
Wormadam,413,,Bug,,Bug,Ground,Head and a base,Brown,,,0,1:0,15,Anticipation,,Overcoat,6.5,14.3,0.5,1,8
Zangoose,335,,Field,,Normal,,"Bipedal, tailed form",White,,,0,1:1,20,Immunity,,Toxic Boost,40.3,88.8,1.3,4,3
Torchic,255,,Field,,Fire,,Head and legs,Red,,,0,1:7,20,Blaze,,Speed Boost,2.5,5.5,0.4,1,4
Rotom,479,,Amorphous,,Electric,Ghost,Head,Red,,,0,G,20,Levitate,,,0.3,0.7,0.3,1,0
Floette,670,,Fairy,,Fairy,,Head and arms,White,,0,0,1:0,20,Flower Veil,,Symbiosis,0.9,2,0.2,0,8
Raikou,243,,Undiscovered,,Electric,,Quadruped body,Yellow,,,8,GU,80,Pressure,,Inner Focus,178,392.4,1.9,6,3
Tornadus,641,,Undiscovered,,Flying,,Single pair of wings,Green,,,0,0:1U,120,Regenerator,,,63,138.9,1.4,4,7
Treecko,252,,Monster,Dragon,Grass,,"Bipedal, tailed form",Green,,,0,1:7,20,Overgrow,,Unburden,5,11,0.5,1,8
Torterra,389,,Monster,Grass,Grass,Ground,Quadruped body,Green,,,0,1:7,20,Overgrow,,Shell Armor,310,683.4,2.2,7,3
Crabominable,740,,Water 3,,Fighting,Ice,Insectoid body,White,,,0,1:1,20,Hyper Cutter,Iron Fist,Anger Point,180,396.8,1.7,5,7
Pyukumuku,771,,Water 1,,Water,,Serpentine bodies,Black,,,0,1:1,15,Innards Out,,Unaware,1.2,2.6,0.3,1,0
Vivillon,666,,Bug,,Bug,Flying,Two or more pairs of wings,White,,,0,1:1,15,Shield Dust,Compound Eyes,Friend Guard,17,37.5,1.2,3,11
Pikachu,25,,Field,Fairy,Electric,,Quadruped body,Yellow,,,0,1:1,10,Static,,Lightning Rod,6,13.2,0.4,1,4
Chesnaught,652,,Field,,Grass,Fighting,"Bipedal, tailed form",Green,,,0,1:7,20,Overgrow,,Bulletproof,90,198.4,1.6,5,3
Durant,632,,Bug,,Bug,Steel,Insectoid body,Gray,,,0,1:1,20,Swarm,Hustle,Truant,33,72.8,0.3,1,0
Dartrix,723,,Flying,,Grass,Flying,Single pair of wings,Brown,,,0,1:7,15,Overgrow,,Long Reach,16,35.3,0.7,2,4
Infernape,392,,Field,Human-Like,Fire,Fighting,"Bipedal, tailed form",Brown,,,0,1:7,20,Blaze,,Iron Fist,55,121.3,1.2,3,11
Klinklang,601,,Mineral,,Steel,,Multiple bodies,Gray,,,0,G,20,Plus,Minus,Clear Body,81,178.6,0.6,2,0
Froslass,478,,Fairy,Mineral,Ice,Ghost,Head and arms,White,,,0,1:0,20,Snow Cloak,,Cursed Body,26.6,58.6,1.3,4,3
Abra,63,,Human-Like,,Psychic,,"Bipedal, tailed form",Brown,,,0,1:3,20,Synchronize,Inner Focus,Magic Guard,19.5,43,0.9,2,11
Clefairy,35,,Fairy,,Fairy,,"Bipedal, tailed form",Pink,,,2,3:1,10,Cute Charm,Magic Guard,Friend Guard,7.5,16.5,0.6,2,0
Shinx,403,,Field,,Electric,,Quadruped body,Blue,,,0,1:1,20,Rivalry,Intimidate,Guts,9.5,20.9,0.5,1,8
Nidorina,30,,Undiscovered,,Poison,,Quadruped body,Blue,,,2,1:0U,20,Poison Point,Rivalry,Hustle,20,44.1,0.8,2,7
Bayleef,153,,Monster,Grass,Grass,,Quadruped body,Green,,,0,1:7,20,Overgrow,,Leaf Guard,15.8,34.8,1.2,3,11
Gallade,475,,Amorphous,,Psychic,Fighting,"Bipedal, tailless form",White,,,0,0:1,20,Steadfast,,Justified,52,114.6,1.6,5,3
Rotom,479,,Amorphous,,Electric,Ghost,Head,Red,,,0,G,20,Levitate,,,0.3,0.7,0.3,1,0
Silvally,773,,Undiscovered,,Normal,,Quadruped body,Gray,,,0,GU,120,RKS System,,,100.5,221.6,2.3,7,7
Ferrothorn,598,,Grass,Mineral,Grass,Steel,Tentacles or a multiped body,Gray,,,1,1:1,20,Iron Barbs,,Anticipation,110,242.5,1,3,3
Rapidash,78,,Field,,Fire,,Quadruped body,Yellow,,,0,1:1,20,Run Away,Flash Fire,Flame Body,95,209.4,1.7,5,7
Amaura,698,,Monster,,Rock,Ice,Quadruped body,Blue,,,0,1:7,30,Refrigerate,,Snow Warning,25.2,55.6,1.3,4,3
Butterfree,12,,Bug,,Bug,Flying,Two or more pairs of wings,White,,,0,1:1,15,Compound Eyes,,Tinted Lens,32,70.5,1.1,3,7
Poliwag,60,,Water 1,,Water,,Head and legs,Blue,,,0,1:1,20,Water Absorb,Damp,Swift Swim,12.4,27.3,0.6,2,0
Liepard,510,,Field,,Dark,,Quadruped body,Purple,,,0,1:1,20,Limber,Unburden,Prankster,37.5,82.7,1.1,3,7
Necrozma,800,,Undiscovered,,Psychic,,Quadruped body,Yellow,,,0,GU,120,Prism Armor,,,460,1014.1,3.8,12,6
Stunky,434,,Field,,Poison,Dark,Quadruped body,Purple,,,0,1:1,20,Stench,Aftermath,Keen Eye,19.2,42.3,0.4,1,4
Aegislash,681,,Mineral,,Steel,Ghost,Head and a base,Brown,,,0,1:1,20,Stance Change,,,53,116.8,1.7,5,7
Paras,46,,Bug,Grass,Bug,Grass,Insectoid body,Red,,,2,1:1,20,Effect Spore,Dry Skin,Damp,5.4,11.9,0.3,1,0
Houndoom,229,,Field,,Dark,Fire,Quadruped body,Black,,,0,1:1,20,Early Bird,Flash Fire,Unnerve,35,77.2,1.4,4,7
Simipour,516,,Field,,Water,,"Bipedal, tailed form",Blue,,,0,1:7,20,Gluttony,,Torrent,29,63.9,1,3,3
Linoone,264,,Field,,Normal,,Quadruped body,White,,,2,1:1,15,Pickup,Gluttony,Quick Feet,32.5,71.6,0.5,1,8
Gothitelle,576,,Human-Like,,Psychic,,"Bipedal, tailless form",Purple,,,2,3:1,20,Frisk,Competitive,Shadow Tag,44,97,1.5,4,11
Nosepass,299,,Mineral,,Rock,,"Bipedal, tailless form",Gray,,,0,1:1,20,Sturdy,Magnet Pull,Sand Force,97,213.8,1,3,3
Minior,774,,Mineral,,Rock,Flying,Head,Blue,,,0,G,25,Shields Down,,,40,88.2,0.3,1,0
Spheal,363,,Water 1,Field,Ice,Water,Fins,Blue,,,2,1:1,20,Thick Fat,Ice Body,Oblivious,39.5,87.1,0.8,2,7
Pidgeot,18,,Flying,,Normal,Flying,Single pair of wings,Brown,,,2,1:1,15,Keen Eye,Tangled Feet,Big Pecks,39.5,87.1,1.5,4,11
Meloetta,648,,Undiscovered,,Normal,Psychic,"Bipedal, tailless form",White,,,0,GU,120,Serene Grace,,,6.5,14.3,0.6,2,0
Binacle,688,,Water 3,,Rock,Water,Multiple bodies,Brown,,,0,1:1,20,Sniper,Tough Claws,Pickpocket,31,68.3,0.5,1,8
Voltorb,100,,Mineral,,Electric,,Head,Red,,,0,G,20,Soundproof,Static,Aftermath,10.4,22.9,0.5,1,8
Gengar,94,Gengarite,Amorphous,,Ghost,Poison,"Bipedal, tailed form",Purple,,,8,1:1,20,Cursed Body,,,40.5,89.3,1.4,4,7
Deoxys,386,,Undiscovered,,Psychic,,"Bipedal, tailless form",Red,,,0,GU,120,Pressure,,,60.8,134,1.7,5,7
Floette,670,,Fairy,,Fairy,,Head and arms,White,,0,0,1:0,20,Flower Veil,,Symbiosis,0.9,2,0.2,0,8
Bunnelby,659,,Field,,Normal,,"Bipedal, tailed form",Brown,,,0,1:1,15,Pickup,Cheek Pouch,Huge Power,5,11,0.4,1,4
Solgaleo,791,,Undiscovered,,Psychic,Steel,Quadruped body,White,,,0,GU,120,Full Metal Body,,,230,507.1,3.4,11,2
Lucario,448,,Field,Human-Like,Fighting,Steel,"Bipedal, tailed form",Blue,,,0,1:7,25,Steadfast,Inner Focus,Justified,54,119,1.2,3,11
Magikarp,129,,Water 2,Dragon,Water,,Fins,Red,,,0,1:1,5,Swift Swim,,Rattled,10,22,0.9,2,11
Dugtrio,51,,Field,,Ground,Steel,Multiple bodies,Brown,,,0,1:1,20,Sand Veil,Arena Trap,Sand Force,33.3,73.4,0.7,2,4
Cacturne,332,,Grass,Human-Like,Grass,Dark,"Bipedal, tailless form",Green,,,0,1:1,20,Sand Veil,,Water Absorb,77.4,170.6,1.3,4,3
Darkrai,491,,Undiscovered,,Dark,,"Bipedal, tailless form",Black,,,0,GU,120,Bad Dreams,,,50.5,111.3,1.5,4,11
Silvally,773,,Undiscovered,,Normal,,Quadruped body,Gray,,,0,GU,120,RKS System,,,100.5,221.6,2.3,7,7
Volcanion,721,,Undiscovered,,Fire,Water,Quadruped body,Brown,,,0,GU,120,Water Absorb,,,195,429.9,1.7,5,7
Ekans,23,,Field,Dragon,Poison,,Serpentine bodies,Purple,,,0,1:1,20,Intimidate,Shed Skin,Unnerve,6.9,15.2,2,6,7
Zweilous,634,,Dragon,,Dark,Dragon,Quadruped body,Blue,,,0,1:1,40,Hustle,,,50,110.2,1.4,4,7
Audino,531,,Fairy,,Normal,,"Bipedal, tailed form",Pink,,,0,1:1,20,Healer,Regenerator,Klutz,31,68.3,1.1,3,7
Golett,622,,Mineral,,Ground,Ghost,"Bipedal, tailless form",Green,,,0,G,25,Iron Fist,Klutz,No Guard,92,202.8,1,3,3
Ursaring,217,,Field,,Normal,,"Bipedal, tailed form",Brown,,,2,1:1,20,Guts,Quick Feet,Unnerve,125.8,277.3,1.8,5,11
Scyther,123,,Bug,,Bug,Flying,Two or more pairs of wings,Green,,,2,1:1,25,Swarm,Technician,Steadfast,56,123.5,1.5,4,11
Pikachu,25,,Field,Fairy,Electric,,Quadruped body,Yellow,,,0,1:1,10,Static,,Lightning Rod,6,13.2,0.4,1,4
Growlithe,58,,Field,,Fire,,Quadruped body,Brown,,,0,1:3,20,Intimidate,Flash Fire,Justified,19,41.9,0.7,2,4
Shellos,422,,Water 1,Amorphous,Water,,Serpentine bodies,Blue,,,0,1:1,20,Sticky Hold,Storm Drain,Sand Force,6.3,13.9,0.3,1,0
Slurpuff,685,,Fairy,,Fairy,,"Bipedal, tailless form",White,,,0,1:1,20,Sweet Veil,,Unburden,5,11,0.8,2,7
Abomasnow,460,Abomasite,Monster,Grass,Grass,Ice,"Bipedal, tailed form",White,,,0,1:1,20,Snow Warning,,Soundproof,135.5,298.7,2.7,8,10
Bagon,371,,Dragon,,Dragon,,"Bipedal, tailless form",Blue,,,0,1:1,40,Rock Head,,Sheer Force,42.1,92.8,0.6,2,0
Furfrou,676,,Field,,Normal,,Quadruped body,White,,,0,1:1,20,Fur Coat,,,28,61.7,1.2,3,11
Manaphy,490,,Water 1,Fairy,Water,,"Bipedal, tailless form",Blue,,,0,G,10,Hydration,,,1.4,3.1,0.3,1,0
Natu,177,,Flying,,Psychic,Flying,Single pair of wings,Green,,,0,1:1,20,Synchronize,Early Bird,Magic Bounce,2,4.4,0.2,0,8
Eelektrik,603,,Amorphous,,Electric,,Fins,Blue,,,0,1:1,20,Levitate,,,22,48.5,1.2,3,11
Flabébé,669,,Fairy,,Fairy,,Head and arms,White,,,0,1:0,20,Flower Veil,,Symbiosis,0.1,0.2,0.1,0,4
Zapdos,145,,Undiscovered,,Electric,Flying,Single pair of wings,Yellow,,,9,GU,80,Pressure,,Static,52.6,116,1.6,5,3
Salandit,757,,Monster,Dragon,Poison,Fire,Quadruped body,Black,,,0,1:7,20,Corrosion,,Oblivious,4.8,10.6,0.6,2,0
Tapu Fini,788,,Undiscovered,,Water,Fairy,Head and arms,Purple,,,0,GU,15,Misty Surge,,Telepathy,21.2,46.7,1.3,4,3
Minior,774,,Mineral,,Rock,Flying,Head,Blue,,,0,G,25,Shields Down,,,40,88.2,0.3,1,0
Ledyba,165,,Bug,,Bug,Flying,Single pair of wings,Red,,,0,1:1,15,Swarm,Early Bird,Rattled,10.8,23.8,1,3,3
