Name,Dex,Dex_Suffix,Alt,Item,Class,LDex,LDex_Suffix,Type,Type2,Gender_Ratio,Egg Group 1,Egg Group 2,Cycles,Steps_Gen2,Steps_Gen3,Steps_Gen4,Steps_Gen5,Steps_Gen6,WeightLbs,WeightKg,Experience type,Body,Type1,Gen,Color,Group,Base friendship,EvolutionLevel,Call_Rate_SM,Call_Rate_USUM,Ability 1,Ability 2,Hidden,Star,Habitat,Page,Ft,In,HeightM
Absol,359,,,,,152,,Dark,,1:1,Field,—,25,,6656,6630,6425,6400,103.6,47,Medium Slow,Pokémon with a quadruped body,Dark,3,White,C,35,,,,Pressure,Super Luck,Justified,1,Mountain,14,3,11,1.2
Solgaleo,791,,,,Radiant Sun phase,291,,Psychic,Steel,GU,Undiscovered,—,120,,,,,30720,507.1,230,Slow,Pokémon with a quadruped body,Psychic,7,White,,0,,,,Full Metal Body,,,0,,,11,2,3.4
Groudon,383,P,,Red Orb,Primal,199,,Ground,Fire,GU,Undiscovered,—,120,,30976,30855,30840,30720,2094.4,950,Slow,"Pokémon with a bipedal, tailed form",Ground,3,Red,,0,,,,Drought,,,0,Rough-terrain,11,16,5,5
Lucario,448,M,,Lucarionite,Mega,116,,Fighting,Steel,1:7,Field,Human-Like,25,,,6630,6425,6400,119,54,Medium Slow,"Pokémon with a bipedal, tailed form",Fighting,4,Blue,,70,,,,Steadfast,Inner Focus,Justified,0,,,4,3,1.3
Wormadam,413,S,,,Trash Cloak,46,,Bug,Steel,1:0,Bug,—,15,,,4080,3855,3840,14.3,6.5,Medium Fast,Pokémon consisting of a head and a base,Bug,4,Red,,70,,,,Anticipation,,Overcoat,0,,,1,8,0.5
Vullaby,629,,,,,135,,Dark,Flying,1:0,Flying,—,20,,,,5140,5120,19.8,9,Slow,Pokémon with a single pair of wings,Dark,5,Brown,,35,54,,,Big Pecks,Overcoat,Weak Armor,0,,,1,8,0.5
Zygarde,718,,,,50% Forme,150,Mo,Dragon,Ground,GU,Undiscovered,—,120,,,,30840,30720,672.4,305,Slow,Pokémon with serpentine bodies,Dragon,6,Green,,0,,,,Aura Break,Power Construct,,0,,,16,5,5
Porygon2,233,,,,,221,,Normal,,G,Mineral,—,20,5120,5376,5355,5140,5120,71.6,32.5,Medium Fast,Pokémon consisting of a head and legs,Normal,2,Red,E,70,,,,Trace,Download,Analytic,1,Urban,9,2,0,0.6
Venipede,543,,,,,49,,Bug,Poison,1:1,Bug,—,15,,,,3855,3840,11.7,5.3,Medium Slow,Pokémon with an insectoid body,Bug,5,Red,,70,22,,,Poison Point,Swarm,Speed Boost*,4,,,1,4,0.4
Charizard,6,MY,Y,,Mega  Y,6,,Fire,Flying,1:7,Monster,Dragon,20,5120,5376,5355,5140,5120,199.5,90.5,Medium Slow,"Pokémon with a bipedal, tailed form",Fire,1,Red,,70,,,,Blaze,,Solar Power,0,Mountain,16,5,7,1.7
Mienshao,620,,,,,126,,Fighting,,1:1,Field,Human-Like,25,,,,6425,6400,78.3,35.5,Medium Slow,"Pokémon with a bipedal, tailed form",Fighting,5,Purple,,70,,,,Inner Focus,Regenerator,Reckless,0,,,4,7,1.4
Marshtomp,259,,,,,8,,Water,Ground,1:7,Monster,Water 1,20,,5376,5355,5140,5120,61.7,28,Medium Slow,"Pokémon with a bipedal, tailed form",Water,3,Blue,F,70,36,,,Torrent,,Damp,0,Water's-edge,15,2,4,0.7
Mewtwo,150,MX,X,,Mega  X,150,,Psychic,,GU,Undiscovered,—,120,30720,30976,30855,30840,30720,269,122,Slow,"Pokémon with a bipedal, tailed form",Psychic,1,Purple,,0,,,,Pressure,,Unnerve,0,Rare,7,7,7,2.3
Rhyperior,464,,,,,188,,Ground,Rock,1:1,Monster,Field,20,,,5355,5140,5120,623.5,282.8,Slow,"Pokémon with a bipedal, tailed form",Ground,4,Gray,E,70,,,,Lightning Rod,Solid Rock,Reckless,0,,,7,10,2.4
Igglybuff,174,,,,,44,,Normal,Fairy,3:1U,Undiscovered,—,10,2560,2816,2805,2570,2560,2.2,1,Fast,"Pokémon with a bipedal, tailless form",Normal,2,Pink,B,70,,,,Cute Charm,Competitive,Friend Guard,1,Grassland,10,1,0,0.3
Pidgeotto,17,,,,,17,,Normal,Flying,1:1,Flying,—,15,3840,4096,4080,3855,3840,66.1,30,Medium Slow,Pokémon with a single pair of wings,Normal,1,Brown,D,70,36,,,Keen Eye,Tangled Feet,Big Pecks,1,Forest,5,3,7,1.1
Latias,380,,,,,196,,Dragon,Psychic,1:0U,Undiscovered,—,120,,30976,30855,30840,30720,88.2,40,Slow,Pokémon with a single pair of wings,Dragon,3,Red,D,90,,,,Levitate,,,0,Water's-edge,16,4,7,1.4
Gastrodon,423,,,,West Sea,61,,Water,Ground,1:1,Water 1,Amorphous,20,,,5355,5140,5120,65.9,29.9,Medium Fast,Pokémon with serpentine bodies,Water,4,Purple,E,70,,,,Sticky Hold,Storm Drain,Sand Force,0,,,2,11,0.9
Tapu Lele,786,,,,,286,,Psychic,Fairy,GU,Undiscovered,—,15,,,,,3840,41,18.6,Slow,Pokémon consisting of a head and arms,Psychic,7,Pink,,70,,,,Psychic Surge,,Telepathy,0,,,3,11,1.2
Deerling,585,,,,Autumn Form,91,,Normal,Grass,1:1,Field,—,20,,,,5140,5120,43,19.5,Medium Fast,Pokémon with a quadruped body,Normal,5,Pink,,70,34,,,Chlorophyll,Sap Sipper,Serene Grace,0,,,2,0,0.6
Muk,89,,,,,89,,Poison,,1:1,Amorphous,—,20,5120,5376,5355,5140,5120,66.1,30,Medium Fast,Pokémon consisting of a head and arms,Poison,1,Purple,G,70,,,,Stench,Sticky Hold,Poison Touch,0,Urban,2,3,11,1.2
Muk,89,A,,,Alolan,,,Poison,Dark,1:1,Amorphous,—,20,5120,5376,5355,5140,5120,66.1,30,Medium Fast,Pokémon consisting of a head and arms,Poison,1,Green,,70,,,,Stench,Sticky Hold,Poison Touch,0,Urban,2,3,3,1
Sunflora,192,,,,,104,,Grass,,1:1,Grass,—,20,5120,5376,5355,5140,5120,18.7,8.5,Medium Slow,"Pokémon with a bipedal, tailless form",Grass,2,Yellow,B,70,,,,Chlorophyll,Solar Power,Early Bird,1,Grassland,6,2,7,0.8
Magmortar,467,,,,,202,,Fire,,1:3,Human-Like,—,25,,,6630,6425,6400,149.9,68,Medium Fast,"Pokémon with a bipedal, tailed form",Fire,4,Red,C,70,,,,Flame Body,,Vital Spirit,0,,,5,3,1.6
Beedrill,15,,,,,15,,Bug,Poison,1:1,Bug,—,15,3840,4096,4080,3855,3840,65,29.5,Medium Fast,Pokémon with two or more pairs of wings,Bug,1,Yellow,A,70,,,,Swarm,,Sniper,0,Forest,2,3,3,1
Diancie,719,,,,,151,Ce,Rock,Fairy,GU,Undiscovered,—,25,,,,6425,6400,19.4,8.8,Slow,Pokémon consisting of a head and arms,Rock,6,Pink,,70,,,,Clear Body,,,0,,,2,4,0.7
Salazzle,758,,,,,162,,Poison,Fire,1:0,Monster,Dragon,20,,,,,5120,48.9,22.2,Medium Fast,Pokémon with a quadruped body,Poison,7,Black,,70,,,,Corrosion,,Oblivious,0,,,3,11,1.2
Landorus,645,T,,,Therian Forme,151,,Ground,Flying,0:1U,Undiscovered,—,120,,,,30840,30720,149.9,68,Slow,Pokémon with a quadruped body,Ground,5,Brown,,90,,,,Intimidate,,,0,,,4,3,1.3
Phanpy,231,,,,,200,,Ground,,1:1,Field,—,20,5120,5376,5355,5140,5120,73.9,33.5,Medium Fast,Pokémon with a quadruped body,Ground,2,Blue,E,70,25,,,Pickup,,Sand Veil,0,Rough-terrain,4,1,8,0.5
Glameow,431,,,,,76,,Normal,,3:1,Field,—,20,,,5355,5140,5120,8.6,3.9,Fast,Pokémon with a quadruped body,Normal,4,Gray,G,70,38,,,Limber,Own Tempo,Keen Eye,0,,,1,8,0.5
Smoochum,238,,,,,154,,Ice,Psychic,1:0U,Undiscovered,—,25,6400,6656,6630,6425,6400,13.2,6,Medium Fast,"Pokémon with a bipedal, tailless form",Ice,2,Pink,G,70,30,,,Oblivious,Forewarn,Hydration,1,Urban,6,1,4,0.4
Minior,774,B,,,Meteor Form,213,,Rock,Flying,G,Mineral,—,25,,,,,6400,88.2,40,Medium Slow,Pokémon consisting of only a head,Rock,7,Blue,,70,,,,Shields Down,,,0,,,1,0,0.3
Regice,378,,,,,194,,Ice,,GU,Undiscovered,—,80,,20736,20655,20560,20480,385.8,175,Slow,"Pokémon with a bipedal, tailless form",Ice,3,Blue,E,35,,,,Clear Body,,Ice Body,0,Cave,10,5,11,1.8
Drampa,780,,,,,244,,Normal,Dragon,1:1,Monster,Dragon,20,,,,,5120,407.9,185,Medium Fast,Pokémon with serpentine bodies,Normal,7,White,,70,,,,Berserk,Sap Sipper,Cloud Nine,0,,,9,10,3
Tapu Bulu,787,,,,,287,,Grass,Fairy,GU,Undiscovered,—,15,,,,,3840,100.3,45.5,Slow,Pokémon consisting of a head and arms,Grass,7,Red,,70,,,,Grassy Surge,,Telepathy,0,,,6,3,1.9
Froakie,656,,,,,7,Ce,Water,,1:7,Water 1,—,20,,,,5140,5120,15.4,7,Medium Slow,Pokémon with a quadruped body,Water,6,Blue,,70,16,,,Torrent,,Protean,0,,,1,0,0.3
Tyrunt,696,,,,,64,Co,Rock,Dragon,1:7,Monster,Dragon,30,,,,7710,7680,57.3,26,Medium Fast,"Pokémon with a bipedal, tailed form",Rock,6,Brown,,70,39,,,Strong Jaw,,Sturdy,0,,,2,7,0.8
Altaria,334,M,,Altarianite,Mega,122,,Dragon,Fairy,1:1,Flying,Dragon,20,,5376,5355,5140,5120,45.4,20.6,Erratic,Pokémon with a single pair of wings,Dragon,3,Blue,,70,,,,Natural Cure,,Cloud Nine,0,Forest,22,4,11,1.5
Sableye,302,,,,,68,,Dark,Ghost,1:1,Human-Like,—,25,,6656,6630,6425,6400,24.3,11,Medium Slow,"Pokémon with a bipedal, tailless form",Dark,3,Purple,C,35,,,,Keen Eye,Stall,Prankster,1,Cave,6,1,8,0.5
Ariados,168,,,,,33,,Bug,Poison,1:1,Bug,—,15,3840,4096,4080,3855,3840,73.9,33.5,Fast,Pokémon with an insectoid body,Bug,2,Red,F,70,,,,Swarm,Insomnia,Sniper,0,Forest,12,3,7,1.1
Donphan,232,,,,,201,,Ground,,1:1,Field,—,20,5120,5376,5355,5140,5120,264.6,120,Medium Fast,Pokémon with a quadruped body,Ground,2,Gray,E,70,,,,Sturdy,,Sand Veil,0,Rough-terrain,4,3,7,1.1
Rhydon,112,,,,,112,,Ground,Rock,1:1,Monster,Field,20,5120,5376,5355,5140,5120,264.6,120,Slow,"Pokémon with a bipedal, tailed form",Ground,1,Gray,E,70,,,,Lightning Rod,Rock Head,Reckless,0,Rough-terrain,2,6,3,1.9
Pumpkaboo,710,,,,Large Size,63,Mo,Ghost,Grass,1:1,Amorphous,—,20,,,,5140,5120,16.5,7.5,Medium Fast,Pokémon consisting of only a head,Ghost,6,Brown,,70,,,,Pickup,Frisk,Insomnia,0,,,1,8,0.5
Noctowl,164,,,,,16,,Normal,Flying,1:1,Flying,—,15,3840,4096,4080,3855,3840,89.9,40.8,Medium Fast,Pokémon with a single pair of wings,Normal,2,Brown,A,70,,,,Insomnia,Keen Eye,Tinted Lens,0,Forest,6,5,3,1.6
Vivillon,666,,,,Jungle Pattern,22,Ce,Bug,Flying,1:1,Bug,—,15,,,,3855,3840,37.5,17,Medium Fast,Pokémon with two or more pairs of wings,Bug,6,White,,70,,,,Shield Dust,Compound Eyes,Friend Guard,0,,,3,11,1.2
Raticate,20,,,,,20,,Normal,,1:1,Field,—,15,3840,4096,4080,3855,3840,40.8,18.5,Medium Fast,Pokémon with a quadruped body,Normal,1,Brown,F,70,,,,Run Away,Guts,Hustle,0,Grassland,1,2,4,0.7
Horsea,116,,,,,116,,Water,,1:1,Water 1,Dragon,20,5120,5376,5355,5140,5120,17.6,8,Medium Fast,Pokémon consisting of a head and a base,Water,1,Blue,C,70,32,,,Swift Swim,Sniper,Damp,1,Sea,11,1,4,0.4
Emboar,500,,,,,6,,Fire,Fighting,1:7,Field,—,20,,,,5140,5120,330.7,150,Medium Slow,"Pokémon with a bipedal, tailed form",Fire,5,Red,,70,,,,Blaze,,Reckless,0,,,5,3,1.6
Chimecho,358,,,,,151,,Psychic,,1:1,Amorphous,—,25,,6656,6630,6425,6400,2.2,1,Fast,Pokémon consisting of a head and arms,Psychic,3,Blue,B,70,,,,Levitate,,,0,Grassland,22,2,0,0.6
Mankey,56,,,,,56,,Fighting,,1:1,Field,—,20,5120,5376,5355,5140,5120,61.7,28,Medium Fast,"Pokémon with a bipedal, tailed form",Fighting,1,Brown,C,70,28,,,Vital Spirit,Anger Point,Defiant,1,Mountain,2,1,8,0.5
Necrozma,800,U,,,Ultra,300,,Psychic,,GU,Undiscovered,—,120,,,,,30720,507.1,230,Slow,Pokémon with two or more pairs of wings,Psychic,7,Yellow,,0,,,,Prism Armor,,,0,,,24,7,7.5
Tentacool,72,,,,,72,,Water,Poison,1:1,Water 3,—,20,5120,5376,5355,5140,5120,100.3,45.5,Slow,Pokémon with tentacles or a multiped body,Water,1,Blue,C,70,30,,,Clear Body,Liquid Ooze,Rain Dish,0,Sea,1,2,11,0.9
Elekid,239,,,,,156,,Electric,,1:3U,Undiscovered,—,25,6400,6656,6630,6425,6400,51.8,23.5,Medium Fast,"Pokémon with a bipedal, tailless form",Electric,2,Yellow,C,70,30,,,Static,,Vital Spirit,0,Grassland,18,2,0,0.6
Pyroar,668,,,,,58,Ce,Fire,Normal,7:1,Field,—,20,,,,5140,5120,179.7,81.5,Medium Slow,Pokémon with a quadruped body,Fire,6,Brown,,70,,,,Rivalry,Unnerve,Moxie,0,,,4,11,1.5
Lycanroc,745,,,,Midday Form,104,,Rock,,1:1,Field,—,15,,,,,3840,55.1,25,Medium Fast,Pokémon with a quadruped body,Rock,7,Brown,,70,,,,Keen Eye,Sand Rush,Steadfast,0,,,2,7,0.8
Tynamo,602,,,,,108,,Electric,,1:1,Amorphous,—,20,,,,5140,5120,0.7,0.3,Slow,Pokémon with fins,Electric,5,White,,70,39,,,Levitate,,,0,,,0,8,0.2
Pyukumuku,771,,,,,200,,Water,,1:1,Water 1,—,15,,,,,3840,2.6,1.2,Fast,Pokémon with serpentine bodies,Water,7,Black,,70,,,,Innards Out,,Unaware,0,,,1,0,0.3
Aipom,190,,,,,123,,Normal,,1:1,Field,—,20,5120,5376,5355,5140,5120,25.4,11.5,Fast,"Pokémon with a bipedal, tailed form",Normal,2,Purple,F,70,,,,Run Away,Pickup,Skill Link,0,Forest,20,2,7,0.8
Gothorita,575,,,,,81,,Psychic,,3:1,Human-Like,—,20,,,,5140,5120,39.7,18,Medium Slow,"Pokémon with a bipedal, tailless form",Psychic,5,Purple,,70,41,,,Frisk,Competitive,Shadow Tag,1,,,2,4,0.7
Arceus,493,,,,Type: Rock,,,Normal,,GU,Undiscovered,—,120,,,30855,30840,30720,705.5,320,Slow,Pokémon with a quadruped body,Normal,4,White,,0,,,,Multitype,,,0,,,10,6,3.2
Gastly,92,,,,,92,,Ghost,Poison,1:1,Amorphous,—,20,5120,5376,5355,5140,5120,0.2,0.1,Medium Slow,Pokémon consisting of only a head,Ghost,1,Purple,G,70,25,,,Levitate,,,0,Cave,7,4,3,1.3
Meowstic,678,,,,Male,115,Ce,Psychic,,1:1,Field,—,20,,,,5140,5120,18.7,8.5,Medium Fast,"Pokémon with a bipedal, tailed form",Psychic,6,Blue,,70,,,,Keen Eye,Infiltrator,Prankster,0,,,2,0,0.6
Rapidash,78,,,,,78,,Fire,,1:1,Field,—,20,5120,5376,5355,5140,5120,209.4,95,Medium Fast,Pokémon with a quadruped body,Fire,1,Yellow,D,70,,,,Run Away,Flash Fire,Flame Body,0,Grassland,17,5,7,1.7
Torterra,389,,,,,3,,Grass,Ground,1:7,Monster,Grass,20,,,5355,5140,5120,683.4,310,Medium Slow,Pokémon with a quadruped body,Grass,4,Green,E,70,,,,Overgrow,,Shell Armor,0,,,7,3,2.2
Togepi,175,,,,,46,,Fairy,,1:7U,Undiscovered,—,10,2560,2816,2805,2570,2560,3.3,1.5,Fast,"Pokémon with a bipedal, tailless form",Fairy,2,White,H,70,,,,Hustle,Serene Grace,Super Luck,0,Forest,24,1,0,0.3
Phione,489,,,,,,,Water,,G,Water 1,Fairy,40,,,10455,10280,10240,6.8,3.1,Slow,Pokémon consisting of a head and arms,Water,4,Blue,B,70,,,,Hydration,,,0,,,1,4,0.4
Tyranitar,248,M,,Tyranitarite,Mega,251,,Rock,Dark,1:1,Monster,—,40,10240,10496,10455,10280,10240,445.3,202,Slow,"Pokémon with a bipedal, tailed form",Rock,2,Green,,35,,,,Sand Stream,,Unnerve,0,Mountain,12,8,2,2.5
Druddigon,621,,,,,127,,Dragon,,1:1,Dragon,Monster,30,,,,7710,7680,306.4,139,Medium Fast,"Pokémon with a bipedal, tailed form",Dragon,5,Red,,70,,,,Rough Skin,Sheer Force,Mold Breaker,0,,,5,3,1.6
Marowak,105,,,,,105,,Ground,,1:1,Monster,—,20,5120,5376,5355,5140,5120,99.2,45,Medium Fast,"Pokémon with a bipedal, tailed form",Ground,1,Brown,F,70,,,,Rock Head,Lightning Rod,Battle Armor,0,Mountain,5,3,3,1
Giratina,487,,,,Altered Forme,210,,Ghost,Dragon,GU,Undiscovered,—,120,,,30855,30840,30720,1653.5,750,Slow,Pokémon with tentacles or a multiped body,Ghost,4,Black,C,0,,,,Pressure,,Telepathy,0,,,14,9,4.5
Minun,312,,,,,81,,Electric,,1:1,Fairy,—,20,,5376,5355,5140,5120,9.3,4.2,Medium Fast,"Pokémon with a bipedal, tailed form",Electric,3,Yellow,B,70,,,,Minus,,Volt Absorb*,0,Grassland,20,1,4,0.4
Shuppet,353,,,,,146,,Ghost,,1:1,Amorphous,—,25,,6656,6630,6425,6400,5.1,2.3,Fast,Pokémon consisting of only a head,Ghost,3,Black,F,35,37,,,Insomnia,Frisk,Cursed Body,1,Urban,3,2,0,0.6
Baltoy,343,,,,,131,,Ground,Psychic,G,Mineral,—,20,,5376,5355,5140,5120,47.4,21.5,Medium Fast,Pokémon consisting of a head and arms,Ground,3,Brown,F,70,36,,,Levitate,,,0,Rough-terrain,8,1,8,0.5
Raikou,243,,,,,243,,Electric,,GU,Undiscovered,—,80,20480,20736,20655,20560,20480,392.4,178,Slow,Pokémon with a quadruped body,Electric,2,Yellow,D,35,,,,Pressure,,Inner Focus,4,Grassland,27,6,3,1.9
Wailord,321,,,,,100,,Water,,1:1,Field,Water 2,40,,10496,10455,10280,10240,877.4,398,Fluctuating,Pokémon with fins,Water,3,Blue,E,70,,,,Water Veil,Oblivious,Pressure,0,Sea,10,47,7,14.5
Diglett,50,,,,,50,,Ground,,1:1,Field,—,20,5120,5376,5355,5140,5120,1.8,0.8,Medium Fast,Pokémon consisting of a head and a base,Ground,1,Brown,A,70,26,,,Sand Veil,Arena Trap,Sand Force,0,Cave,2,0,8,0.2
Shroomish,285,,,,,34,,Grass,,1:1,Fairy,Grass,15,,4096,4080,3855,3840,9.9,4.5,Fluctuating,Pokémon consisting of a head and legs,Grass,3,Brown,C,70,23,,,Effect Spore,Poison Heal,Quick Feet,1,Forest,9,1,4,0.4
Salamence,373,,,,,189,,Dragon,Flying,1:1,Dragon,—,40,,10496,10455,10280,10240,226.2,102.6,Slow,Pokémon with a quadruped body,Dragon,3,Blue,E,35,,,,Intimidate,,Moxie,0,Rough-terrain,9,4,11,1.5
Vivillon,666,,,,Poké Ball Pattern,22,Ce,Bug,Flying,1:1,Bug,—,15,,,,3855,3840,37.5,17,Medium Fast,Pokémon with two or more pairs of wings,Bug,6,White,,70,,,,Shield Dust,Compound Eyes,Friend Guard,0,,,3,11,1.2
Flabébé,669,,,,Orange Flower,68,Ce,Fairy,,1:0,Fairy,—,20,,,,5140,5120,0.2,0.1,Medium Fast,Pokémon consisting of a head and arms,Fairy,6,White,,70,19,,,Flower Veil,,Symbiosis,0,,,0,4,0.1
Weavile,461,,,,,145,,Dark,Ice,1:1,Field,—,20,,,5355,5140,5120,75,34,Medium Slow,"Pokémon with a bipedal, tailed form",Dark,4,Black,F,35,,,,Pressure,,Pickpocket,0,,,3,7,1.1
Morelull,755,,,,,145,,Grass,Fairy,1:1,Grass,—,20,,,,,5120,3.3,1.5,Medium Fast,Pokémon consisting of a head and a base,Grass,7,Purple,,70,24,,,Illuminate,Effect Spore,Rain Dish,0,,,0,8,0.2
Politoed,186,,,,,75,,Water,,1:1,Water 1,—,20,5120,5376,5355,5140,5120,74.7,33.9,Medium Slow,"Pokémon with a bipedal, tailless form",Water,2,Green,F,70,,,,Water Absorb,Damp,Drizzle,0,Water's-edge,7,3,7,1.1
Aerodactyl,142,M,,Aerodactylite,Mega,142,,Rock,Flying,1:7,Flying,—,35,8960,9216,9180,8995,8960,130.1,59,Slow,Pokémon with a single pair of wings,Rock,1,Purple,,70,,,,Rock Head,Pressure,Unnerve,0,Mountain,15,6,11,2.1
Comfey,764,,,,,174,,Fairy,,3:1,Grass,—,20,,,,,5120,0.7,0.3,Fast,Pokémon consisting of only a head,Fairy,7,Green,,70,,,,Flower Veil,Triage,Natural Cure,0,,,0,4,0.1
Latios,381,M,,Latiosite,Mega,197,,Dragon,Psychic,0:1U,Undiscovered,—,120,,30976,30855,30840,30720,132.3,60,Slow,Pokémon with a single pair of wings,Dragon,3,Purple,,90,,,,Levitate,,,0,Water's-edge,16,7,7,2.3
Cascoon,268,,,,,17,,Bug,,1:1,Bug,—,15,,4096,4080,3855,3840,25.4,11.5,Medium Fast,Pokémon consisting of only a head,Bug,3,Purple,A,70,10,,,Shed Skin,,,0,Forest,4,2,4,0.7
Dratini,147,,,,,147,,Dragon,,1:1,Water 1,Dragon,40,10240,10496,10455,10280,10240,7.3,3.3,Slow,Pokémon with serpentine bodies,Dragon,1,Blue,D,35,30,,,Shed Skin,,Marvel Scale,0,Water's-edge,12,5,11,1.8
Venusaur,3,,,,,3,,Grass,Poison,1:7,Monster,Grass,20,5120,5376,5355,5140,5120,220.5,100,Medium Slow,Pokémon with a quadruped body,Grass,1,Green,F,70,,,,Overgrow,,Chlorophyll,0,Grassland,23,6,7,2
Torchic,255,,,,,4,,Fire,,1:7,Field,—,20,,5376,5355,5140,5120,5.5,2.5,Medium Slow,Pokémon consisting of a head and legs,Fire,3,Red,C,70,16,,,Blaze,,Speed Boost,0,Grassland,26,1,4,0.4
Pangoro,675,,,,,92,Ce,Fighting,Dark,1:1,Field,Human-Like,25,,,,6425,6400,299.8,136,Medium Fast,"Pokémon with a bipedal, tailless form",Fighting,6,White,,70,,,,Iron Fist,Mold Breaker,Scrappy,0,,,6,11,2.1
Flabébé,669,,,,Yellow Flower,68,Ce,Fairy,,1:0,Fairy,—,20,,,,5140,5120,0.2,0.1,Medium Fast,Pokémon consisting of a head and arms,Fairy,6,White,,70,19,,,Flower Veil,,Symbiosis,0,,,0,4,0.1
Buneary,427,,,,,67,,Normal,,1:1,Field,Human-Like,20,,,5355,5140,5120,12.1,5.5,Medium Fast,"Pokémon with a bipedal, tailed form",Normal,4,Brown,D,0,,,,Run Away,Klutz,Limber,0,,,1,4,0.4
Diggersby,660,,,,,11,Ce,Normal,Ground,1:1,Field,—,15,,,,3855,3840,93.5,42.4,Medium Fast,"Pokémon with a bipedal, tailed form",Normal,6,Brown,,70,,,,Pickup,Cheek Pouch,Huge Power,0,,,3,3,1
Mudkip,258,,,,,7,,Water,,1:7,Monster,Water 1,20,,5376,5355,5140,5120,16.8,7.6,Medium Slow,Pokémon with a quadruped body,Water,3,Blue,F,70,16,,,Torrent,,Damp,0,Water's-edge,15,1,4,0.4
Rufflet,627,,,,,133,,Normal,Flying,0:1,Flying,—,20,,,,5140,5120,23.1,10.5,Slow,Pokémon with a single pair of wings,Normal,5,White,,70,54,,,Keen Eye,Sheer Force,Hustle,0,,,1,8,0.5
Meowth,52,A,,,Alolan,,,Dark,,1:1,Field,—,20,5120,5376,5355,5140,5120,9.3,4.2,Medium Fast,Pokémon with a quadruped body,Normal,1,Blue,,70,28,,,Pickup,Technician,Unnerve,1,Urban,1,1,4,0.4
Lycanroc,745,Mn,,,Midnight Form,104,,Rock,,1:1,Field,—,15,,,,,3840,55.1,25,Medium Fast,Pokémon with a quadruped body,Rock,7,Red,,70,,,,Keen Eye,Vital Spirit,No Guard,0,,,3,7,1.1
Duskull,355,,,,,148,,Ghost,,1:1,Amorphous,—,25,,6656,6630,6425,6400,33.1,15,Fast,Pokémon consisting of a head and arms,Ghost,3,Black,F,35,37,,,Levitate,,Frisk*,0,Forest,23,2,7,0.8
Mudbray,749,,,,,132,,Ground,,1:1,Field,—,20,,,,,5120,242.5,110,Medium Fast,Pokémon with a quadruped body,Ground,7,Brown,,70,30,,,Own Tempo,Stamina,Inner Focus,0,,,3,3,1
Glaceon,471,,,,,170,,Ice,,1:7,Field,—,35,,,9180,8995,8960,57.1,25.9,Medium Fast,Pokémon with a quadruped body,Ice,4,Blue,F,35,,,,Snow Cloak,,Ice Body,0,,,2,7,0.8
Giratina,487,O,,,Origin Forme,210,,Ghost,Dragon,GU,Undiscovered,—,120,,,30855,30840,30720,1433,650,Slow,Pokémon with tentacles or a multiped body,Ghost,4,Black,,0,,,,Levitate,,,0,,,22,8,6.9
Raichu,26,A,,,Alolan,,,Electric,Psychic,1:1,Field,Fairy,10,2560,2816,2805,2570,2560,66.1,30,Medium Fast,"Pokémon with a bipedal, tailed form",Electric,1,Brown,,70,,,,Static,,Lightning Rod,0,Forest,7,2,4,0.7
Hariyama,297,,,,,49,,Fighting,,1:3,Human-Like,—,20,,5376,5355,5140,5120,559.5,253.8,Fluctuating,"Pokémon with a bipedal, tailless form",Fighting,3,Brown,E,70,,,,Thick Fat,Guts,Sheer Force,0,Mountain,7,7,7,2.3
Ledyba,165,,,,,30,,Bug,Flying,1:1,Bug,—,15,3840,4096,4080,3855,3840,23.8,10.8,Fast,Pokémon with a single pair of wings,Bug,2,Red,F,70,18,,,Swarm,Early Bird,Rattled,0,Forest,12,3,3,1
Litten,725,,,,,4,,Fire,,1:7,Field,—,15,,,,,3840,9.5,4.3,Medium Slow,Pokémon with a quadruped body,Fire,7,Red,,70,17,,,Blaze,,Intimidate,0,,,1,4,0.4
Sliggoo,705,,,,,20,Mo,Dragon,,1:1,Dragon,—,40,,,,10280,10240,38.6,17.5,Slow,Pokémon with serpentine bodies,Dragon,6,Purple,,35,50,,,Sap Sipper,Hydration,Gooey,0,,,2,7,0.8
Aggron,306,,,,,72,,Steel,Rock,1:1,Monster,—,35,,9216,9180,8995,8960,793.7,360,Slow,"Pokémon with a bipedal, tailed form",Steel,3,Gray,E,35,,,,Sturdy,Rock Head,Heavy Metal,0,Mountain,11,6,11,2.1
Vivillon,666,,,,River Pattern,22,Ce,Bug,Flying,1:1,Bug,—,15,,,,3855,3840,37.5,17,Medium Fast,Pokémon with two or more pairs of wings,Bug,6,White,,70,,,,Shield Dust,Compound Eyes,Friend Guard,0,,,3,11,1.2
Wobbuffet,202,,,,,108,,Psychic,,1:1,Amorphous,—,20,5120,5376,5355,5140,5120,62.8,28.5,Medium Fast,Pokémon consisting of a head and a base,Psychic,2,Blue,E,70,,,,Shadow Tag,,Telepathy,0,Cave,8,4,3,1.3
Diglett,50,A,,,Alolan,,,Ground,Steel,1:1,Field,—,20,5120,5376,5355,5140,5120,1.8,0.8,Medium Fast,Pokémon consisting of a head and a base,Ground,1,Brown,,70,26,,,Sand Veil,Arena Trap,Sand Force,0,Cave,2,0,8,0.2
