ID,English,Japanese_Kana,Japanese_Hepburn,Japanese_Trademarked,ID,English,German,ID,English,French,ID,English,Korean_Hangul,Korean_Revised,Korean_McCune_Reischauer,Korean_Official,ID,English,Chinese_Traditional,Chinese_Simplified,Chinese_Pinyin,Chinese_Yale,Chinese_Former_Names
97,Hypno,スリーパー,Surīpā,Sleeper,97,Hypno,Hypno,97,Hypno,Hypnomade,97,Hypno,슬리퍼,Seullipeo,Sŭllip'ŏ,Slliper,97,Hypno,引夢貘人,引梦貘人,Yǐnmèngmòrén,Yáhnmuhngmohkyàhn,"素利拍 Sùlìpāi (TW/CN)
催眠獸 Chēuimìhnsau (HK)"
98,Krabby,クラブ,Kurabu,Crab,98,Krabby,Krabby,98,Krabby,Krabby,98,Krabby,크랩,Keuraep,K'ŭraep,Kreb,98,Krabby,大鉗蟹,大钳蟹,Dàqiánxiè,Daaihkìhmháaih,-
99,Kingler,キングラー,Kingurā,Kingler,99,Kingler,Kingler,99,Kingler,Krabboss,99,Kingler,킹크랩,Kingkeuraep,K'ingk'ŭraep,Kingkreb,99,Kingler,巨鉗蟹,巨钳蟹,Jùqiánxiè,Geuihkìhmháaih,-
100,Voltorb,ビリリダマ,Biriridama,Biriridama,100,Voltorb,Voltobal,100,Voltorb,Voltorbe,100,Voltorb,찌리리공,Jjiririgong,Tchiririgong,Zzililigong,100,Voltorb,霹靂電球,霹雳电球,Pīlìdiànqiú,Pīklīkdihnkàuh,"雷電球 / 雷电球 Léidiànqiú (TW/CN)
霹靂蛋 Pīklīkdáan (HK)"
101,Electrode,マルマイン,Marumain,Marumine,101,Electrode,Lektrobal,101,Electrode,Électrode,101,Electrode,붐볼,Bumbol,Pumbol,Boomball,101,Electrode,頑皮雷彈,顽皮雷弹,Wánpíléidàn,Wàahnpèihlèuidáan,"頑皮彈 / 顽皮弹 Wánpídàn (TW/CN)
雷霆蛋 Lèuihtìhngdáan (HK)"
102,Exeggcute,タマタマ,Tamatama,Tamatama,102,Exeggcute,Owei,102,Exeggcute,Noeunoeuf,102,Exeggcute,아라리,Arari,Arari,Arari,102,Exeggcute,蛋蛋,蛋蛋,Dàndàn,Dàahndáan,-
103,Exeggutor,ナッシー,Nasshī,Nassy,103,Exeggutor,Kokowei,103,Exeggutor,Noadkoko,103,Exeggutor,나시,Nasi,Nasi,Nasi,103,Exeggutor,椰蛋樹,椰蛋树,"Yédànshù
Yēdànshù",Yèhdáansyuh,椰樹獸 Yèhsyuhsau (HK)
104,Cubone,カラカラ,Karakara,Karakara,104,Cubone,Tragosso,104,Cubone,Osselait,104,Cubone,탕구리,Tangguri,T'angguri,Tangguri,104,Cubone,卡拉卡拉,卡拉卡拉,Kǎlākǎlā,Kālāaikālāai,可拉可拉 Kělākělā (TW/CN)
105,Marowak,ガラガラ,Garagara,Garagara,105,Marowak,Knogga,105,Marowak,Ossatueur,105,Marowak,텅구리,Teongguri,T'ŏngguri,Teongguri,105,Marowak,嘎啦嘎啦,嘎啦嘎啦,Gālagāla,Gālāaigālāai,"嘎拉嘎拉 Gālāgālā (TW/CN)
格拉格拉 Gaaklāaigaaklāai (HK)"
106,Hitmonlee,サワムラー,Sawamurā,Sawamular,106,Hitmonlee,Kicklee,106,Hitmonlee,Kicklee,106,Hitmonlee,시라소몬,Sirasomon,Sirasomon,Sirasomon,106,Hitmonlee,飛腿郎,飞腿郎,Fēituǐláng,Fēitéuilòhng,"沙瓦郎 Shāwǎláng (TW/CN)
沙古拉 Sāgúlāai (HK)"
107,Hitmonchan,エビワラー,Ebiwarā,Ebiwalar,107,Hitmonchan,Nockchan,107,Hitmonchan,Tygnon,107,Hitmonchan,홍수몬,Hongsumon,Hongsumon,Hongsoomon,107,Hitmonchan,快拳郎,快拳郎,Kuàiquánláng,Faaikyùhnlòhng,"艾比郎 Àibǐláng (TW/CN)
比華拉 Béiwàhlāai (HK)"
108,Lickitung,ベロリンガ,Beroringa,Beroringa,108,Lickitung,Schlurp,108,Lickitung,Excelangue,108,Lickitung,내루미,Naerumi,Naerumi,Nerumi,108,Lickitung,大舌頭,大舌头,Dàshétóu,Daaihsittàuh,-
109,Koffing,ドガース,Dogāsu,Dogars,109,Koffing,Smogon,109,Koffing,Smogo,109,Koffing,또가스,Ttogaseu,Ttogasŭ,Ttogas,109,Koffing,瓦斯彈,瓦斯弹,Wǎsīdàn,Ngáhsīdáan,毒氣丸 Duhkheiyún (HK)
110,Weezing,マタドガス,Matadogasu,Matadogas,110,Weezing,Smogmog,110,Weezing,Smogogo,110,Weezing,또도가스,Ttodogaseu,Ttodogasŭ,Ttodogas,110,Weezing,雙彈瓦斯,双弹瓦斯,Shuāngdànwǎsī,Sēungdáanngáhsī,毒氣雙子 Duhkheisēungjí (HK)
111,Rhyhorn,サイホーン,Saihōn,Sihorn,111,Rhyhorn,Rihorn,111,Rhyhorn,Rhinocorne,111,Rhyhorn,뿔카노,Ppulkano,Ppulk'ano,Ppulkano,111,Rhyhorn,獨角犀牛,独角犀牛,Dújiǎoxīniú,Duhkgoksāingàuh,"鐵甲犀牛 / 铁甲犀牛 Tiějiǎxīniú (TW/CN)
鐵甲犀牛 Titgaapsāingàuh (HK)"
112,Rhydon,サイドン,Saidon,Sidon,112,Rhydon,Rizeros,112,Rhydon,Rhinoféros,112,Rhydon,코뿌리,Koppuri,K'oppuri,Koppuri,112,Rhydon,鑽角犀獸,钻角犀兽,Zuānjiǎoxīshòu,Jyungoksāisau,"鐵甲暴龍 / 铁甲暴龙 Tiějiǎbàolóng (TW/CN)
鐵甲暴龍 Titgaapbouhlùhng (HK)"
113,Chansey,ラッキー,Rakkī,Lucky,113,Chansey,Chaneira,113,Chansey,Leveinard,113,Chansey,럭키,Reokki,Rŏkk'i,Lucki,113,Chansey,吉利蛋,吉利蛋,Jílìdàn,Gātleihdáan,-
114,Tangela,モンジャラ,Monjara,Monjara,114,Tangela,Tangela,114,Tangela,Saquedeneu,114,Tangela,덩구리,Deongguri,Tŏngguri,Deongkuri,114,Tangela,蔓藤怪,蔓藤怪,Mànténgguài,Maahntàhnggwaai,長籐怪 Chèuhngtàhnggwaai (HK)
115,Kangaskhan,ガルーラ,Garūra,Garura,115,Kangaskhan,Kangama,115,Kangaskhan,Kangourex,115,Kangaskhan,캥카,Kaengka,K'aengk'a,Kengka,115,Kangaskhan,袋獸,袋兽,Dàishòu,Doihsau,袋龍 / 袋龙 Dàilóng (TW/CN)
116,Horsea,タッツー,Tattsū,Tattu,116,Horsea,Seeper,116,Horsea,Hypotrempe,116,Horsea,쏘드라,Ssodeura,Ssodŭra,Ssodra,116,Horsea,墨海馬,墨海马,Mòhǎimǎ,Mahkhóimáh,噴墨海馬 Panmahkhóimáh (HK)
117,Seadra,シードラ,Shīdora,Seadra,117,Seadra,Seemon,117,Seadra,Hypocéan,117,Seadra,시드라,Sideura,Sidŭra,Seadra,117,Seadra,海刺龍,海刺龙,Hǎicìlóng,Hóichilùhng,飛刺海馬 Fēichihóimáh (HK)
118,Goldeen,トサキント,Tosakinto,Tosakinto,118,Goldeen,Goldini,118,Goldeen,Poissirène,118,Goldeen,콘치,Konchi,K'onch'i,Konchi,118,Goldeen,角金魚,角金鱼,Jiǎojīnyú,Gokgāmyú,獨角金魚 Duhkgokgāmyú (HK)
119,Seaking,アズマオウ,Azumaō,Azumao,119,Seaking,Golking,119,Seaking,Poissoroy,119,Seaking,왕콘치,Wangkonchi,Wangk'onch'i,Wangkonchi,119,Seaking,金魚王,金鱼王,Jīnyúwáng,Gāmyùhwòhng,-
120,Staryu,ヒトデマン,Hitodeman,Hitodeman,120,Staryu,Sterndu,120,Staryu,Stari,120,Staryu,별가사리,Byeolgasari,Pyŏlgasari,Byulgasari,120,Staryu,海星星,海星星,Hǎixīngxīng,Hóisīngsīng,-
121,Starmie,スターミー,Sutāmī,Starmie,121,Starmie,Starmie,121,Starmie,Staross,121,Starmie,아쿠스타,Akuseuta,Ak'usŭt'a,Akusta,121,Starmie,寶石海星,宝石海星,Bǎoshíhǎixīng,Bóusehkhóisīng,-
122,Mr. Mime,バリヤード,Bariyādo,Barrierd,122,Mr. Mime,Pantimos,122,Mr. Mime,M. Mime,122,Mr. Mime,마임맨,Maimmaen,Maimmaen,Maimman,122,Mr. Mime,魔牆人偶,魔墙人偶,Móqiángrénǒu,Mōchèuhngyàhnngáuh,"吸盤魔偶 / 吸盘魔偶 Xīpánmó'ǒu (TW/CN)
吸盤小丑 Kāppúnsíucháu (HK)"
123,Scyther,ストライク,Sutoraiku,Strike,123,Scyther,Sichlor,123,Scyther,Insécateur,123,Scyther,스라크,Seurakeu,Sŭrak'ŭ,Srak,123,Scyther,飛天螳螂,飞天螳螂,Fēitiāntángláng,Fēitīntòhnglòhng,-
124,Jynx,ルージュラ,Rūjura,Rougela,124,Jynx,Rossana,124,Jynx,Lippoutou,124,Jynx,루주라,Rujura,Rujura,Rujura,124,Jynx,迷唇姐,迷唇姐,Míchúnjiě,Màihsèuhnjé,紅唇娃 Hùhngsèuhnwā (HK)
125,Electabuzz,エレブー,Erebū,Eleboo,125,Electabuzz,Elektek,125,Electabuzz,Élektek,125,Electabuzz,에레브,Erebeu,Erebŭ,Elev,125,Electabuzz,電擊獸,电击兽,"Diànjíshòu
Diànjīshòu",Dihngīksau,-
126,Magmar,ブーバー,Būbā,Boober,126,Magmar,Magmar,126,Magmar,Magmar,126,Magmar,마그마,Mageuma,Magŭma,Magmar,126,Magmar,鴨嘴火獸,鸭嘴火兽,Yāzuǐhuǒshòu,Aapjéuifósau,"鴨嘴火龍 / 鸭嘴火龙 Yāzuǐhuǒlóng (TW/CN)
鴨嘴火龍 Aapjéuifólùhng (HK)"
127,Pinsir,カイロス,Kairosu,Kailios,127,Pinsir,Pinsir,127,Pinsir,Scarabrute,127,Pinsir,쁘사이저,Ppeusaijeo,Ppŭsaijŏ,Ppeusaizeo,127,Pinsir,凱羅斯,凯罗斯,Kǎiluósī,Hóilòhsī,"大甲 Dàjiǎ (TW/CN)
鉗刀甲蟲 Kìhmdōugaapchùhng (HK)"
128,Tauros,ケンタロス,Kentarosu,Kentauros,128,Tauros,Tauros,128,Tauros,Tauros,128,Tauros,켄타로스,Kentaroseu,K'ent'arosŭ,Kentaros,128,Tauros,肯泰羅,肯泰罗,Kěntàiluó,Hángtaailòh,大隻牛 Daaihjekngàuh (HK)
129,Magikarp,コイキング,Koikingu,Koiking,129,Magikarp,Karpador,129,Magikarp,Magicarpe,129,Magikarp,잉어킹,Ingeoking,Ingŏk'ing,Ingeoking,129,Magikarp,鯉魚王,鲤鱼王,Lǐyúwáng,Léihyùhwòhng,-
130,Gyarados,ギャラドス,Gyaradosu,Gyarados,130,Gyarados,Garados,130,Gyarados,Léviator,130,Gyarados,갸라도스,Gyaradoseu,Kyaradosŭ,Gyarados,130,Gyarados,暴鯉龍,暴鲤龙,Bàolǐlóng,Bouhléihlùhng,鯉魚龍 Léihyùhlùhng (HK)
131,Lapras,ラプラス,Rapurasu,Laplace,131,Lapras,Lapras,131,Lapras,Lokhlass,131,Lapras,라프라스,Rapeuraseu,Rap'ŭrasŭ,Lapras,131,Lapras,拉普拉斯,拉普拉斯,Lāpǔlāsī,Lāaipóulāaisī,"乘龍 / 乘龙 Chénglóng (TW/CN)
背背龍 Buibuilùhng (HK)"
132,Ditto,メタモン,Metamon,Metamon,132,Ditto,Ditto,132,Ditto,Métamorph,132,Ditto,메타몽,Metamong,Met'among,Metamong,132,Ditto,百變怪,百变怪,Bǎibiànguài,Baakbingwaai,-
133,Eevee,イーブイ,Ībui,Eievui,133,Eevee,Evoli,133,Eevee,Évoli,133,Eevee,이브이,Ibeui,Ibŭ'i,Eevee,133,Eevee,伊布,伊布,Yībù,Yībou,伊貝 Yībui (HK)
134,Vaporeon,シャワーズ,Shawāzu,Showers,134,Vaporeon,Aquana,134,Vaporeon,Aquali,134,Vaporeon,샤미드,Syamideu,Syamidŭ,Shamid,134,Vaporeon,水伊布,水伊布,Shuǐyībù,Séuiyībou,"水精靈 / 水精灵 Shuǐjīnglíng (TW/CN)
水伊貝 Séuiyībui (HK)"
135,Jolteon,サンダース,Sandāsu,Thunders,135,Jolteon,Blitza,135,Jolteon,Voltali,135,Jolteon,쥬피썬더,Jyupisseondeo,Chyup'issŏndŏ,Jupithunder,135,Jolteon,雷伊布,雷伊布,Léiyībù,Lèuihyībou,"雷精靈 / 雷精灵 Léijīnglíng (TW/CN)
雷伊貝 Lèuihyībui (HK)"
136,Flareon,ブースター,Būsutā,Booster,136,Flareon,Flamara,136,Flareon,Pyroli,136,Flareon,부스터,Buseuteo,Busŭt'ŏ,Booster,136,Flareon,火伊布,火伊布,Huǒyībù,Fóyībou,"火精靈 / 火精灵 Huǒjīnglíng (TW/CN)
水伊貝 Fóyībui (HK)"
137,Porygon,ポリゴン,Porigon,Porygon,137,Porygon,Porygon,137,Porygon,Porygon,137,Porygon,폴리곤,Polligon,P'olligon,Porygon,137,Porygon,多邊獸,多边兽,Duōbiānshòu,Dōbīnsau,"3D龍 / 3D龙 3D-Lóng (TW/CN)
立方獸 Laahpfōngsau (HK)"
138,Omanyte,オムナイト,Omunaito,Omnite,138,Omanyte,Amonitas,138,Omanyte,Amonita,138,Omanyte,암나이트,Amnaiteu,Amnait'ŭ,Amnait,138,Omanyte,菊石獸,菊石兽,Júshíshòu,Gūksehksau,-
139,Omastar,オムスター,Omusutā,Omstar,139,Omastar,Amoroso,139,Omastar,Amonistar,139,Omastar,암스타,Amseuta,Amsŭt'a,Amsta,139,Omastar,多刺菊石獸,多刺菊石兽,Duōcìjúshíshòu,Dōchigūksehksau,-
140,Kabuto,カブト,Kabuto,Kabuto,140,Kabuto,Kabuto,140,Kabuto,Kabuto,140,Kabuto,투구,Tugu,T'ugu,Toogu,140,Kabuto,化石盔,化石盔,Huàshíkuī,Fasehkkwāi,萬年蟲 Maahnnìhnchùhng (HK)
141,Kabutops,カブトプス,Kabutopusu,Kabutops,141,Kabutops,Kabutops,141,Kabutops,Kabutops,141,Kabutops,투구푸스,Tugupuseu,T'ugup'usŭ,Tooguphus,141,Kabutops,鐮刀盔,镰刀盔,Liándāokuī,Lìhmdōukwāi,鐮刀蟲 Lìhmdōuchùhng (HK)
142,Aerodactyl,プテラ,Putera,Ptera,142,Aerodactyl,Aerodactyl,142,Aerodactyl,Ptéra,142,Aerodactyl,프테라,Peutera,Pŭt'era,Ptera,142,Aerodactyl,化石翼龍,化石翼龙,Huàshíyìlóng,Fasehkyihklùhng,化石飛龍 Fasehkfēilùhng (HK)
143,Snorlax,カビゴン,Kabigon,Kabigon,143,Snorlax,Relaxo,143,Snorlax,Ronflex,143,Snorlax,잠만보,Jammanbo,Chammanbo,Jammanbo,143,Snorlax,卡比獸,卡比兽,Kǎbǐshòu,Kābéisau,-
144,Articuno,フリーザー,Furīzā,Freezer,144,Articuno,Arktos,144,Articuno,Artikodin,144,Articuno,프리져,Peurijyeo,Pŭrijyŏ,Freeser,144,Articuno,急凍鳥,急冻鸟,Jídòngniǎo,Gāpdungníuh,-
145,Zapdos,サンダー,Sandā,Thunder,145,Zapdos,Zapdos,145,Zapdos,Électhor,145,Zapdos,썬더,Sseondeo,Ssŏndŏ,Sunder,145,Zapdos,閃電鳥,闪电鸟,Shǎndiànniǎo,Símdihnníuh,雷鳥 Lèuihníuh (HK)
146,Moltres,ファイヤー,Faiyā,Fire,146,Moltres,Lavados,146,Moltres,Sulfura,146,Moltres,파이어,Paieo,P'aiŏ,Faier,146,Moltres,火焰鳥,火焰鸟,Huǒyànniǎo,Fóyihmníuh,火鳥 Fóníuh (HK)
147,Dratini,ミニリュウ,Miniryū,Miniryu,147,Dratini,Dratini,147,Dratini,Minidraco,147,Dratini,미뇽,Minyong,Minyong,Minyong,147,Dratini,迷你龍,迷你龙,Mínǐlóng,Màihnéihlùhng,-
148,Dragonair,ハクリュー,Hakuryū,Hakuryu,148,Dragonair,Dragonir,148,Dragonair,Draco,148,Dragonair,신뇽,Sinnyong,Sinnyong,Sinnyong,148,Dragonair,哈克龍,哈克龙,Hākèlóng,Hāhāklùhng,哈古龍 Hāgúlùhng (HK)
149,Dragonite,カイリュー,Kairyū,Kairyu,149,Dragonite,Dragoran,149,Dragonite,Dracolosse,149,Dragonite,망나뇽,Mangnanyong,Mangnanyong,Mangnanyong,149,Dragonite,快龍,快龙,Kuàilóng,Faailùhng,啟暴龍 Káibouhlùhng (HK)
150,Mewtwo,ミュウツー,Myūtsū,Mewtwo,150,Mewtwo,Mewtu,150,Mewtwo,Mewtwo,150,Mewtwo,뮤츠,Myucheu,Myuch'ŭ,Mewtwo,150,Mewtwo,超夢,超梦,Chāomèng,Chīumuhng,超夢夢 Chīumuhngmuhng (HK)
151,Mew,ミュウ,Myū,Mew,151,Mew,Mew,151,Mew,Mew,151,Mew,뮤,Myu,Myu,Mew,151,Mew,夢幻,梦幻,Mènghuàn,Muhngwaahn,夢夢 Muhngmuhng (HK)
152,Chikorita,チコリータ,Chikorīta,Chicorita,152,Chikorita,Endivie,152,Chikorita,Germignon,152,Chikorita,치코리타,Chikorita,Ch'ik'orit'a,Chikorita,152,Chikorita,菊草葉,菊草叶,Júcǎoyè,Gūkchóuyihp,-
153,Bayleef,ベイリーフ,Beirīfu,Bayleaf,153,Bayleef,Lorblatt,153,Bayleef,Macronium,153,Bayleef,베이리프,Beiripeu,Peiripŭ,Bayleef,153,Bayleef,月桂葉,月桂叶,Yuèguìyè,Yuhtgwaiyihp,-
154,Meganium,メガニウム,Meganiumu,Meganium,154,Meganium,Meganie,154,Meganium,Méganium,154,Meganium,메가니움,Meganium,Meganium,Meganium,154,Meganium,大竺葵,大竺葵,Dàzhúkuí,Daaihjūkkwàih,"大菊花 Dàjúhuā (TW/CN)
大菊花 Daaihgūkfā (HK)"
155,Cyndaquil,ヒノアラシ,Hinoarashi,Hinoarashi,155,Cyndaquil,Feurigel,155,Cyndaquil,Héricendre,155,Cyndaquil,브케인,Beukein,Pŭk'ein,Beukein,155,Cyndaquil,火球鼠,火球鼠,Huǒqiúshǔ,Fókàuhsyú,-
156,Quilava,マグマラシ,Magumarashi,Magmarashi,156,Quilava,Igelavar,156,Quilava,Feurisson,156,Quilava,마그케인,Mageukein,Magŭk'ein,Mageukein,156,Quilava,火岩鼠,火岩鼠,Huǒyánshǔ,Fóngàahmsyú,-
157,Typhlosion,バクフーン,Bakufūn,Bakphoon,157,Typhlosion,Tornupto,157,Typhlosion,Typhlosion,157,Typhlosion,블레이범,Beulleibeom,Bŭlleibŏm,Bleibeom,157,Typhlosion,火爆獸,火暴兽,Huǒbàoshòu,Fóbaausau,"火暴獸 Huǒbàoshòu (TW)
火暴獸 Fóbouhsau (HK)"
158,Totodile,ワニノコ,Waninoko,Waninoko,158,Totodile,Karnimani,158,Totodile,Kaiminus,158,Totodile,리아코,Riako,Riak'o,Liako,158,Totodile,小鋸鱷,小锯鳄,Xiǎojù'è,Síugeungohk,-
159,Croconaw,アリゲイツ,Arigeitsu,Alligates,159,Croconaw,Tyracroc,159,Croconaw,Crocrodil,159,Croconaw,엘리게이,Elligei,Elligei,Elligei,159,Croconaw,藍鱷,蓝鳄,Lán'è,Làahmngohk,-
160,Feraligatr,オーダイル,Ōdairu,Ordile,160,Feraligatr,Impergator,160,Feraligatr,Aligatueur,160,Feraligatr,장크로다일,Jangkeurodail,Changk'ŭrodail,Jangkrodail,160,Feraligatr,大力鱷,大力鳄,Dàlì'è,Daaihlihkngohk,-
161,Sentret,オタチ,Otachi,Otachi,161,Sentret,Wiesor,161,Sentret,Fouinette,161,Sentret,꼬리선,Kkoriseon,Kkorisŏn,Kkoriseon,161,Sentret,尾立,尾立,Wěilì,Méihlaahp,-
162,Furret,オオタチ,Ōtachi,Ootachi,162,Furret,Wiesenior,162,Furret,Fouinar,162,Furret,다꼬리,Dakkori,Takkori,Dakkori,162,Furret,大尾立,大尾立,Dàwěilì,Daaihméihlaahp,-
163,Hoothoot,ホーホー,Hōhō,Hoho,163,Hoothoot,Hoothoot,163,Hoothoot,Hoothoot,163,Hoothoot,부우부,Buubu,Puubu,Buubu,163,Hoothoot,咕咕,咕咕,Gūgū,Gūgū,-
164,Noctowl,ヨルノズク,Yorunozuku,Yorunozuku,164,Noctowl,Noctuh,164,Noctowl,Noarfang,164,Noctowl,야부엉,Yabueong,Yabuŏng,Yabueong,164,Noctowl,貓頭夜鷹,猫头夜鹰,Māotóuyèyīng,Māautàuhyehyīng,-
165,Ledyba,レディバ,Rediba,Rediba,165,Ledyba,Ledyba,165,Ledyba,Coxy,165,Ledyba,레디바,Rediba,Rediba,Ledyba,165,Ledyba,芭瓢蟲,芭瓢虫,Bāpiáochóng,Bāpìuhchùhng,-
166,Ledian,レディアン,Redian,Redian,166,Ledian,Ledian,166,Ledian,Coxyclaque,166,Ledian,레디안,Redian,Redian,Ledian,166,Ledian,安瓢蟲,安瓢虫,Ānpiáochóng,Ōnpìuhchùhng,-
167,Spinarak,イトマル,Itomaru,Itomaru,167,Spinarak,Webarak,167,Spinarak,Mimigal,167,Spinarak,페이검,Peigeom,P'eigŏm,Peigeom,167,Spinarak,圓絲蛛,圆丝蛛,Yuánsīzhū,Yùhnsījyū,"線球 / 线球 Xiànqiú (TW/CN)
線球 Sinkàuh (HK)"
168,Ariados,アリアドス,Ariadosu,Ariados,168,Ariados,Ariados,168,Ariados,Migalos,168,Ariados,아리아도스,Ariadoseu,Ariadosŭ,Ariados,168,Ariados,阿利多斯,阿利多斯,Ālìduōsī,Aleihdōsī,-
169,Crobat,クロバット,Kurobatto,Crobat,169,Crobat,Iksbat,169,Crobat,Nostenfer,169,Crobat,크로뱃,Keurobaet,K'ŭrobaet,Crobat,169,Crobat,叉字蝠,叉字蝠,Chāzìfú,Chājihfūk,-
170,Chinchou,チョンチー,Chonchī,Chonchie,170,Chinchou,Lampi,170,Chinchou,Loupio,170,Chinchou,초라기,Choragi,Ch'oragi,Choragi,170,Chinchou,燈籠魚,灯笼鱼,Dēnglóngyú,Dānglùhngyú,-
171,Lanturn,ランターン,Rantān,Lantern,171,Lanturn,Lanturn,171,Lanturn,Lanturn,171,Lanturn,랜턴,Raenteon,Raent'ŏn,Lanturn,171,Lanturn,電燈怪,电灯怪,Diàndēngguài,Dihndānggwaai,-
172,Pichu,ピチュー,Pichū,Pichu,172,Pichu,Pichu,172,Pichu,Pichu,172,Pichu,피츄,Pichyu,P'ich'yu,Pichu,172,Pichu,皮丘,皮丘,Píqiū,Pèihyāu,比超 Béichīu (HK)
173,Cleffa,ピィ,Pī,Py,173,Cleffa,Pii,173,Cleffa,Mélo,173,Cleffa,삐,Ppi,Ppi,Ppi,173,Cleffa,皮寶寶,皮宝宝,Píbǎobǎo,Pèihbóubóu,-
174,Igglybuff,ププリン,Pupurin,Pupurin,174,Igglybuff,Fluffeluff,174,Igglybuff,Toudoudou,174,Igglybuff,푸푸린,Pupurin,P'up'urin,Pupurin,174,Igglybuff,寶寶丁,宝宝丁,Bǎobǎodīng,Bóubóudīng,小波球 Síubōkàuh (HK)
175,Togepi,トゲピー,Togepī,Togepy,175,Togepi,Togepi,175,Togepi,Togepi,175,Togepi,토게피,Togepi,T'ogep'i,Togepi,175,Togepi,波克比,波克比,Bōkèbǐ,Bōhākbéi,小刺蛋 Síuchidáan (HK)
176,Togetic,トゲチック,Togechikku,Togechick,176,Togetic,Togetic,176,Togetic,Togetic,176,Togetic,토게틱,Togetik,T'oget'ik,Togetic,176,Togetic,波克基古,波克基古,Bōkèjīgǔ,Bōhākgēigú,"波剋基古 Bōkèjīgǔ (TW)
波剋基古 Bōhākgēigú (HK)"
177,Natu,ネイティ,Neiti,Naty,177,Natu,Natu,177,Natu,Natu,177,Natu,네이티,Neiti,Neit'i,Neiti,177,Natu,天然雀,天然雀,Tiānránquè,Tīnyìhnjéuk,-
178,Xatu,ネイティオ,Neitio,Natio,178,Xatu,Xatu,178,Xatu,Xatu,178,Xatu,네이티오,Neitio,Neit'io,Neitio,178,Xatu,天然鳥,天然鸟,Tiānránniǎo,Tīnyìhnníuh,-
179,Mareep,メリープ,Merīpu,Merriep,179,Mareep,Voltilamm,179,Mareep,Wattouat,179,Mareep,메리프,Meripeu,Merip'ŭ,Meleep,179,Mareep,咩利羊,咩利羊,Miēlìyáng,Mēleihyèuhng,-
180,Flaaffy,モココ,Mokoko,Mokoko,180,Flaaffy,Waaty,180,Flaaffy,Lainergie,180,Flaaffy,보송송,Bosongsong,Posongsong,Bosongsong,180,Flaaffy,茸茸羊,茸茸羊,Róngróngyáng,Yùhngyùhngyèuhng,"綿綿 / 绵绵 Miánmián (TW/CN)
綿綿 Mìhnmìhn (HK)"
181,Ampharos,デンリュウ,Denryū,Denryu,181,Ampharos,Ampharos,181,Ampharos,Pharamp,181,Ampharos,전룡,Jeonnyong,Chŏnnyong,Jeonryong,181,Ampharos,電龍,电龙,Diànlóng,Dihnlùhng,-
182,Bellossom,キレイハナ,Kireihana,Kireihana,182,Bellossom,Blubella,182,Bellossom,Joliflor,182,Bellossom,아르코,Areuko,Arŭk'o,Areuko,182,Bellossom,美麗花,美丽花,Měilìhuā,Méihlaihfā,-
183,Marill,マリル,Mariru,Maril,183,Marill,Marill,183,Marill,Marill,183,Marill,마릴,Maril,Maril,Marill,183,Marill,瑪力露,玛力露,Mǎlìlù,Máhlihklouh,馬利露 Máhleihlouh (HK)
184,Azumarill,マリルリ,Mariruri,Marilli,184,Azumarill,Azumarill,184,Azumarill,Azumarill,184,Azumarill,마릴리,Marilli,Marilli,Marilly,184,Azumarill,瑪力露麗,玛力露丽,Mǎlìlùlì,Máhlihklouhlaih,馬利露麗 Máhleihlouhlaih (HK)
185,Sudowoodo,ウソッキー,Usokkī,Usokkie,185,Sudowoodo,Mogelbaum,185,Sudowoodo,Simularbre,185,Sudowoodo,꼬지모,Kkojimo,Kkojimo,Kkojimo,185,Sudowoodo,樹才怪,树才怪‎,Shùcáiguài,Syuhchòihgwaai,"胡說樹 / 胡说树 Húshuōshù (TW/CN)
胡說樹 / 鬍說樹 Wùhsyutsyuh (HK)"
186,Politoed,ニョロトノ,Nyorotono,Nyorotono,186,Politoed,Quaxo,186,Politoed,Tarpaud,186,Politoed,왕구리,Wangguri,Wangguri,Wangguri,186,Politoed,蚊香蛙皇,蚊香蛙皇,Wénxiāngwāhuáng,Mānhēungwāwòhng,"牛蛙君 Niúwājūn (TW/CN)
牛蛙君 Ngàuhwāgwān (HK)"
187,Hoppip,ハネッコ,Hanekko,Hanecco,187,Hoppip,Hoppspross,187,Hoppip,Granivol,187,Hoppip,통통코,Tongtongko,T'ongt'ongk'o,Tongtongko,187,Hoppip,毽子草,毽子草,Jiànzǐcǎo,Yínjíchóu,-
188,Skiploom,ポポッコ,Popokko,Popocco,188,Skiploom,Hubelupf,188,Skiploom,Floravol,188,Skiploom,두코,Duko,Tuk'o,Duko,188,Skiploom,毽子花,毽子花,Jiànzǐhuā,Yínjífā,-
189,Jumpluff,ワタッコ,Watakko,Watacco,189,Jumpluff,Papungha,189,Jumpluff,Cotovol,189,Jumpluff,솜솜코,Somsomko,Somsomk'o,Somsomko,189,Jumpluff,毽子棉,毽子棉,Jiànzǐmián,Yínjímìhn,"毽子綿 / 毽子绵 Jiànzǐmián (TW/CN)
毽子綿 Yínjímìhn (HK)"
190,Aipom,エイパム,Eipamu,Eipam,190,Aipom,Griffel,190,Aipom,Capumain,190,Aipom,에이팜,Eipam,Eip'am,Eipam,190,Aipom,長尾怪手,长尾怪手,Chángwěiguàishǒu,Chèuhngméihgwaaisáu,-
